date,era,universe,signal,ic_future_payoff,ic_future_rank
2016-04-08,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,0.5491201525567068,0.5491201525567068
2016-04-08,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,0.6428571428571429,0.6428571428571429
2016-04-08,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,-0.28571428571428575,-0.28571428571428575
2016-04-08,2016_2019,KOSPI_ALL,LOCAL_RANK20,0.4047619047619048,0.4047619047619048
2016-04-08,2016_2019,KOSPI_ALL,GLOBAL_MEAN_RANK20,0.38095238095238104,0.38095238095238104
2016-04-08,2016_2019,KOSPI_ALL,GLOBAL_TOP2_SHARE,0.05108094442387969,0.05108094442387969
2016-04-08,2016_2019,KOSPI_ALL,GLOBAL_POSITIVE_SHARE,0.3447963748611879,0.3447963748611879
2016-04-08,2016_2019,KOSPI_ALL,GLOBAL_MEAN_PAYOFF20,0.2380952380952381,0.2380952380952381
2016-04-08,2016_2019,KOSPI_ALL,NEG_GLOBAL_RANK_DISPERSION20,0.30952380952380953,0.30952380952380953
2016-04-08,2016_2019,KOSPI_EX_K200,LOCAL_RANK20,-0.5952380952380953,-0.5952380952380953
2016-04-08,2016_2019,KOSPI_EX_K200,GLOBAL_MEAN_RANK20,-0.3333333333333334,-0.3333333333333334
2016-04-08,2016_2019,KOSPI_EX_K200,GLOBAL_TOP2_SHARE,-0.43418802760297737,-0.43418802760297737
2016-04-08,2016_2019,KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,-0.166013069377609,-0.166013069377609
2016-04-08,2016_2019,KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,-0.28571428571428575,-0.28571428571428575
2016-04-08,2016_2019,KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,0.5476190476190477,0.5476190476190477
2016-04-08,2016_2019,KOSPI_KOSDAQ_ALL,LOCAL_RANK20,0.523809523809524,0.523809523809524
2016-04-08,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_MEAN_RANK20,0.6190476190476191,0.6190476190476191
2016-04-08,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_TOP2_SHARE,0.38310708317909775,0.38310708317909775
2016-04-08,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_POSITIVE_SHARE,0.4852689720268571,0.4852689720268571
2016-04-08,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_MEAN_PAYOFF20,0.5952380952380953,0.5952380952380953
2016-04-08,2016_2019,KOSPI_KOSDAQ_ALL,NEG_GLOBAL_RANK_DISPERSION20,-0.1666666666666667,-0.1666666666666667
2016-04-18,2016_2019,K200,LOCAL_RANK20,-0.3333333333333334,-0.3333333333333334
2016-04-18,2016_2019,K200,GLOBAL_MEAN_RANK20,-0.7185757571479554,-0.7185757571479554
2016-04-18,2016_2019,K200,GLOBAL_TOP2_SHARE,-0.49803920813282704,-0.49803920813282704
2016-04-18,2016_2019,K200,GLOBAL_POSITIVE_SHARE,-0.3068928850876477,-0.3068928850876477
2016-04-18,2016_2019,K200,GLOBAL_MEAN_PAYOFF20,-0.7142857142857144,-0.7142857142857144
2016-04-18,2016_2019,K200,NEG_GLOBAL_RANK_DISPERSION20,-0.34731161595484505,-0.34731161595484505
2016-04-18,2016_2019,KOSDAQ,LOCAL_RANK20,0.5476190476190477,0.5476190476190477
2016-04-18,2016_2019,KOSDAQ,GLOBAL_MEAN_RANK20,0.047905050476530354,0.047905050476530354
2016-04-18,2016_2019,KOSDAQ,GLOBAL_TOP2_SHARE,0.12770236105969923,0.12770236105969923
2016-04-18,2016_2019,KOSDAQ,GLOBAL_POSITIVE_SHARE,0.4296500391227069,0.4296500391227069
2016-04-18,2016_2019,KOSDAQ,GLOBAL_MEAN_PAYOFF20,0.04761904761904763,0.04761904761904763
2016-04-18,2016_2019,KOSDAQ,NEG_GLOBAL_RANK_DISPERSION20,0.26347777762091695,0.26347777762091695
2016-04-18,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,LOCAL_RANK20,0.0,0.0
2016-04-18,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_RANK20,0.023952525238265177,0.023952525238265177
2016-04-18,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_TOP2_SHARE,0.12770236105969923,0.12770236105969923
2016-04-18,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,0.4296500391227069,0.4296500391227069
2016-04-18,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,0.0,0.0
2016-04-18,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,0.14371515142959107,0.14371515142959107
2016-04-18,2016_2019,KOSPI_ALL,LOCAL_RANK20,-0.523809523809524,-0.523809523809524
2016-04-18,2016_2019,KOSPI_ALL,GLOBAL_MEAN_RANK20,-0.730552019767088,-0.730552019767088
2016-04-18,2016_2019,KOSPI_ALL,GLOBAL_TOP2_SHARE,-0.5363499164507368,-0.5363499164507368
2016-04-18,2016_2019,KOSPI_ALL,GLOBAL_POSITIVE_SHARE,-0.29461716968414187,-0.29461716968414187
2016-04-18,2016_2019,KOSPI_ALL,GLOBAL_MEAN_PAYOFF20,-0.7380952380952381,-0.7380952380952381
2016-04-18,2016_2019,KOSPI_ALL,NEG_GLOBAL_RANK_DISPERSION20,-0.45509797952703834,-0.45509797952703834
2016-04-18,2016_2019,KOSPI_EX_K200,LOCAL_RANK20,-0.6904761904761906,-0.6904761904761906
2016-04-18,2016_2019,KOSPI_EX_K200,GLOBAL_MEAN_RANK20,-0.6467181814331598,-0.6467181814331598
2016-04-18,2016_2019,KOSPI_EX_K200,GLOBAL_TOP2_SHARE,-0.5235796803447669,-0.5235796803447669
2016-04-18,2016_2019,KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,-0.28234145428063595,-0.28234145428063595
2016-04-18,2016_2019,KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,-0.6428571428571429,-0.6428571428571429
2016-04-18,2016_2019,KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,-0.5748606057183643,-0.5748606057183643
2016-04-18,2016_2019,KOSPI_KOSDAQ_ALL,LOCAL_RANK20,-0.4047619047619048,-0.4047619047619048
2016-04-18,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_MEAN_RANK20,-0.467074242146171,-0.467074242146171
2016-04-18,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_TOP2_SHARE,-0.3064856665432782,-0.3064856665432782
2016-04-18,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_POSITIVE_SHARE,-0.03682714621051773,-0.03682714621051773
2016-04-18,2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_MEAN_PAYOFF20,-0.4523809523809524,-0.4523809523809524
2016-04-18,2016_2019,KOSPI_KOSDAQ_ALL,NEG_GLOBAL_RANK_DISPERSION20,-0.2155727271443866,-0.2155727271443866
2016-04-25,2016_2019,K200,LOCAL_RANK20,-0.5952380952380953,-0.5952380952380953
2016-04-25,2016_2019,K200,GLOBAL_MEAN_RANK20,-0.730552019767088,-0.730552019767088
2016-04-25,2016_2019,K200,GLOBAL_TOP2_SHARE,-0.7488186396138605,-0.7488186396138605
2016-04-25,2016_2019,K200,GLOBAL_POSITIVE_SHARE,-0.6257415691925263,-0.6257415691925263
2016-04-25,2016_2019,K200,GLOBAL_MEAN_PAYOFF20,-0.6904761904761906,-0.6904761904761906
2016-04-25,2016_2019,K200,NEG_GLOBAL_RANK_DISPERSION20,0.2155727271443866,0.2155727271443866
2016-04-25,2016_2019,KOSDAQ,LOCAL_RANK20,0.4761904761904762,0.4761904761904762
2016-04-25,2016_2019,KOSDAQ,GLOBAL_MEAN_RANK20,0.05988131309566295,0.05988131309566295
2016-04-25,2016_2019,KOSDAQ,GLOBAL_TOP2_SHARE,-0.29461716968414187,-0.29461716968414187
2016-04-25,2016_2019,KOSDAQ,GLOBAL_POSITIVE_SHARE,0.22986424990745863,0.22986424990745863
2016-04-25,2016_2019,KOSDAQ,GLOBAL_MEAN_PAYOFF20,0.023809523809523815,0.023809523809523815
2016-04-25,2016_2019,KOSDAQ,NEG_GLOBAL_RANK_DISPERSION20,0.5389318178609664,0.5389318178609664
2016-04-25,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,LOCAL_RANK20,-0.11904761904761905,-0.11904761904761905
2016-04-25,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_RANK20,-0.14371515142959107,-0.14371515142959107
2016-04-25,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_TOP2_SHARE,-0.4787529007367305,-0.4787529007367305
2016-04-25,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,0.012770236105969923,0.012770236105969923
2016-04-25,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,-0.2142857142857143,-0.2142857142857143
2016-04-25,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,0.467074242146171,0.467074242146171
2016-04-25,2016_2019,KOSPI_ALL,LOCAL_RANK20,-0.5952380952380953,-0.5952380952380953
2016-04-25,2016_2019,KOSPI_ALL,GLOBAL_MEAN_RANK20,-0.7065994945288228,-0.7065994945288228
2016-04-25,2016_2019,KOSPI_ALL,GLOBAL_TOP2_SHARE,-0.687440062596331,-0.687440062596331
2016-04-25,2016_2019,KOSPI_ALL,GLOBAL_POSITIVE_SHARE,-0.6257415691925263,-0.6257415691925263
