era,median_global_ic,positive_global_universes,universe_count,median_local_ic,median_global_minus_local_ic,global_beats_local_universes,PRIMARY_PASS
2016_2019,0.07770270559562047,6,6,0.07142857142857144,0.01550658363169586,3,False
2020_2022,0.1372980158338007,6,6,0.08333333333333334,0.0005720057149654484,3,False
2023_2024,0.011904761904761908,3,6,0.011904761904761908,-0.023666522380782453,2,False
2025,0.13744101726254204,5,6,0.09523809523809526,-0.04761904761904765,2,False
2026,0.07171457428605417,5,6,0.09523809523809526,0.02409552666700654,4,False
