date,universe,factor,current_payoff20,future_payoff20,LOCAL_RANK20,future_rank20,local_top2,local_positive,GLOBAL_MEAN_RANK20,GLOBAL_TOP2_SHARE,GLOBAL_POSITIVE_SHARE,GLOBAL_MEAN_PAYOFF20,GLOBAL_RANK_DISPERSION20,universe_count,NEG_GLOBAL_RANK_DISPERSION20,GLOBALLY_CONFIRMED,era
2016-04-01,KOSPI_ALL,FOREIGN_FLOW,-0.021442100549835,-0.0184670158135813,0.125,0.25,False,False,0.225,0.0,0.0,-0.016181071463721757,0.13693063937629152,5,-0.13693063937629152,False,2016_2019
2016-04-01,KOSPI_ALL,MOM12_1,0.0037923376017636,-0.033385664413843,0.25,0.125,False,True,0.25,0.0,0.6,-0.008891217227044659,0.125,5,-0.125,False,2016_2019
2016-04-01,KOSPI_ALL,MOM1M,0.0117339180589888,0.0006216853452463,0.375,0.625,False,True,0.575,0.2,1.0,0.00756936192465916,0.3010398644698074,5,-0.3010398644698074,False,2016_2019
2016-04-01,KOSPI_ALL,OP12_REV,0.028643920083734,-0.0045571535635713,0.625,0.5,False,True,0.7,0.2,0.8,0.016414170075592947,0.11180339887498948,5,-0.11180339887498948,False,2016_2019
2016-04-01,KOSPI_ALL,OPFY1_REV,0.0365335065517375,0.0058013377220806,0.75,0.75,False,True,0.575,0.2,0.6,0.011939698112619159,0.3010398644698074,5,-0.3010398644698074,False,2016_2019
2016-04-01,KOSPI_ALL,PBR12MF,0.0495111022631582,0.0233575701780024,0.875,0.875,True,True,0.775,0.6,0.8,0.030029253402414156,0.2053959590644373,5,-0.2053959590644373,True,2016_2019
2016-04-01,KOSPI_ALL,PER12MF,0.0660437128339963,0.0394070777686847,1.0,1.0,True,True,0.925,0.8,0.8,0.042599409401264623,0.11180339887498948,5,-0.11180339887498948,True,2016_2019
2016-04-01,KOSPI_ALL,PRIVATE_FLOW,0.0145314745478637,-0.013563741593324,0.5,0.375,False,True,0.475,0.0,0.6,0.0060084511325044394,0.13693063937629152,5,-0.13693063937629152,False,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,-0.0149345503198204,-0.0345375222753079,0.125,0.25,False,False,0.225,0.0,0.0,-0.016181071463721757,0.13693063937629152,5,-0.13693063937629152,False,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,MOM12_1,0.0072635956759969,-0.0402086542763928,0.375,0.125,False,True,0.25,0.0,0.6,-0.008891217227044659,0.125,5,-0.125,False,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,MOM1M,0.0098360307316796,-0.019050053396376,0.5,0.375,False,True,0.575,0.2,1.0,0.00756936192465916,0.3010398644698074,5,-0.3010398644698074,False,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,OP12_REV,0.0136348252189675,0.0070988718728055,0.625,0.625,False,True,0.7,0.2,0.8,0.016414170075592947,0.11180339887498948,5,-0.11180339887498948,False,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,OPFY1_REV,0.0163565784877193,0.0154039594833184,0.75,0.75,False,True,0.575,0.2,0.6,0.011939698112619159,0.3010398644698074,5,-0.3010398644698074,False,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,PBR12MF,0.0374303698019322,0.0584020022471076,0.875,1.0,True,True,0.775,0.6,0.8,0.030029253402414156,0.2053959590644373,5,-0.2053959590644373,True,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,PER12MF,0.0490426864728066,0.0580522492409723,1.0,0.875,True,True,0.925,0.8,0.8,0.042599409401264623,0.11180339887498948,5,-0.11180339887498948,True,2016_2019
2016-04-01,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,0.0065038651463866,6.727518304994184e-05,0.25,0.5,False,True,0.475,0.0,0.6,0.0060084511325044394,0.13693063937629152,5,-0.13693063937629152,False,2016_2019
2016-04-08,K200,FOREIGN_FLOW,-0.0229962223689041,-0.0370265999518063,0.125,0.125,False,False,0.22916666666666666,0.0,0.16666666666666666,-0.01108536213797965,0.12289901003127188,6,-0.12289901003127188,False,2016_2019
2016-04-08,K200,MOM12_1,0.0331804262361798,-0.0341005149182004,0.75,0.25,False,True,0.6458333333333334,0.0,1.0,0.01582096517451015,0.09409658158863513,6,-0.09409658158863513,False,2016_2019
2016-04-08,K200,MOM1M,0.0072658793610951,0.0169525132982832,0.5,1.0,False,True,0.2916666666666667,0.0,0.5,-0.017710228592788833,0.18819316317727025,6,-0.18819316317727025,False,2016_2019
2016-04-08,K200,OP12_REV,0.0415126764011009,-0.0129545025266348,0.875,0.375,True,True,0.8125,0.5,1.0,0.03476957536881975,0.18957188610128875,6,-0.18957188610128875,True,2016_2019
2016-04-08,K200,OPFY1_REV,0.0654117886670064,-0.0065261007720505,1.0,0.5,True,True,0.7916666666666666,0.6666666666666666,1.0,0.03316024583294157,0.3027650354097492,6,-0.3027650354097492,True,2016_2019
2016-04-08,K200,PBR12MF,-0.0123331098710522,0.0055002354432773,0.25,0.75,False,False,0.5416666666666666,0.16666666666666666,0.6666666666666666,0.012890409934981849,0.2327373340628157,6,-0.2327373340628157,False,2016_2019
2016-04-08,K200,PER12MF,0.032899928067682,0.006399987037688,0.625,0.875,False,True,0.8333333333333334,0.6666666666666666,1.0,0.041249753363038516,0.12909944487358058,6,-0.12909944487358058,True,2016_2019
2016-04-08,K200,PRIVATE_FLOW,0.0006097693358717,0.0032790125311266,0.375,0.625,False,True,0.3541666666666667,0.0,0.5,-0.007053817452886884,0.14613064930625153,6,-0.14613064930625153,False,2016_2019
2016-04-08,KOSDAQ,FOREIGN_FLOW,-0.0137018961956962,-0.0744321912497332,0.375,0.25,False,False,0.22916666666666666,0.0,0.16666666666666666,-0.01108536213797965,0.12289901003127188,6,-0.12289901003127188,False,2016_2019
2016-04-08,KOSDAQ,MOM12_1,0.0004508928300062,0.0069528284928932,0.625,0.5,False,True,0.6458333333333334,0.0,1.0,0.01582096517451015,0.09409658158863513,6,-0.09409658158863513,False,2016_2019
2016-04-08,KOSDAQ,MOM1M,-0.0723418588736397,-0.09110997599094,0.125,0.125,False,False,0.2916666666666667,0.0,0.5,-0.017710228592788833,0.18819316317727025,6,-0.18819316317727025,False,2016_2019
2016-04-08,KOSDAQ,OP12_REV,0.0458914361982385,0.036201349005847,1.0,1.0,True,True,0.8125,0.5,1.0,0.03476957536881975,0.18957188610128875,6,-0.18957188610128875,True,2016_2019
2016-04-08,KOSDAQ,OPFY1_REV,0.0224668980422171,0.0358683801029986,0.875,0.875,True,True,0.7916666666666666,0.6666666666666666,1.0,0.03316024583294157,0.3027650354097492,6,-0.3027650354097492,True,2016_2019
