era,universe,signal,n_dates,median_daily_ic,mean_daily_ic,positive_day_share
2016_2019,K200,GLOBAL_MEAN_PAYOFF20,184,0.04761904761904763,0.03739648033126295,0.5271739130434783
2016_2019,K200,GLOBAL_MEAN_RANK20,184,0.05389318178609665,0.038359109142006007,0.5271739130434783
2016_2019,K200,GLOBAL_POSITIVE_SHARE,182,0.08367056137689244,0.03401567592271682,0.5434782608695652
2016_2019,K200,GLOBAL_TOP2_SHARE,178,0.07023629858283459,0.01548479569527122,0.532608695652174
2016_2019,K200,LOCAL_RANK20,184,0.0,-0.005564182194616987,0.4945652173913043
2016_2019,K200,NEG_GLOBAL_RANK_DISPERSION20,184,-0.023809523809523815,-0.017406834930408503,0.4945652173913043
2016_2019,KOSDAQ,GLOBAL_MEAN_PAYOFF20,184,0.04761904761904763,0.0511128364389234,0.5489130434782609
2016_2019,KOSDAQ,GLOBAL_MEAN_RANK20,184,0.03592878785739777,0.04444729642197785,0.5217391304347826
2016_2019,KOSDAQ,GLOBAL_POSITIVE_SHARE,182,0.060430708605047,0.06043323945472872,0.5652173913043478
2016_2019,KOSDAQ,GLOBAL_TOP2_SHARE,178,0.012726946670882975,0.03644473395648331,0.4891304347826087
2016_2019,KOSDAQ,LOCAL_RANK20,184,0.059523809523809534,0.06806418219461698,0.592391304347826
2016_2019,KOSDAQ,NEG_GLOBAL_RANK_DISPERSION20,184,0.0895359667860117,0.04363367543645581,0.5271739130434783
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,184,0.10714285714285715,0.09394409937888198,0.5489130434782609
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_MEAN_RANK20,184,0.10151222940514429,0.08324827573793409,0.5652173913043478
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,182,0.10275074183018608,0.10636987483083055,0.5760869565217391
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,GLOBAL_TOP2_SHARE,178,0.024791369761549883,0.04540166768793648,0.4945652173913043
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,LOCAL_RANK20,184,0.10714285714285715,0.10455486542443065,0.5706521739130435
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,184,0.023881024523894498,0.034007849604759825,0.5108695652173914
2016_2019,KOSPI_ALL,GLOBAL_MEAN_PAYOFF20,184,0.1547619047619048,0.06638198757763977,0.5760869565217391
2016_2019,KOSPI_ALL,GLOBAL_MEAN_RANK20,184,0.13173888881045848,0.06517830457969923,0.5815217391304348
2016_2019,KOSPI_ALL,GLOBAL_POSITIVE_SHARE,182,0.14184738311978307,0.07130677978828447,0.592391304347826
2016_2019,KOSPI_ALL,GLOBAL_TOP2_SHARE,178,0.07662141663581955,0.03448767951636584,0.5815217391304348
2016_2019,KOSPI_ALL,LOCAL_RANK20,184,0.07142857142857144,0.04503105590062111,0.5543478260869565
2016_2019,KOSPI_ALL,NEG_GLOBAL_RANK_DISPERSION20,184,0.023809523809523815,0.013126868046519635,0.5054347826086957
2016_2019,KOSPI_EX_K200,GLOBAL_MEAN_PAYOFF20,183,0.1666666666666667,0.10681759042414782,0.6174863387978142
2016_2019,KOSPI_EX_K200,GLOBAL_MEAN_RANK20,183,0.15569141404872364,0.09805793266688921,0.6120218579234973
2016_2019,KOSPI_EX_K200,GLOBAL_POSITIVE_SHARE,181,0.1454785934906616,0.08995729703460814,0.6065573770491803
2016_2019,KOSPI_EX_K200,GLOBAL_TOP2_SHARE,177,0.07662141663581955,0.0630819858897749,0.5409836065573771
2016_2019,KOSPI_EX_K200,LOCAL_RANK20,183,0.11904761904761905,0.07858443924017698,0.5683060109289617
2016_2019,KOSPI_EX_K200,NEG_GLOBAL_RANK_DISPERSION20,183,0.04761904761904763,0.027125661604620623,0.5245901639344263
2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_MEAN_PAYOFF20,184,0.08333333333333334,0.062888198757764,0.5271739130434783
2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_MEAN_RANK20,184,0.047762049047788996,0.062390263752037926,0.5271739130434783
2016_2019,KOSPI_KOSDAQ_ALL,GLOBAL_POSITIVE_SHARE,182,0.06100805648870504,0.07889525295339954,0.532608695652174
