representation,period,observed_median_rank_ic,n_placebo_shifts,placebo_p,observed_percentile,placebo_q90,placebo_median
SNAPSHOT,VAL_2020_2022,0.023809523809523815,190,0.39790575916230364,0.6052631578947368,0.07142857142857144,0.0
SNAPSHOT,CONF_2023_2024,-0.07142857142857144,190,0.8534031413612565,0.14736842105263157,0.08452380952380947,-0.011904761904761908
SNAPSHOT,STRESS_2025,0.059523809523809534,190,0.3193717277486911,0.6842105263157895,0.11904761904761905,0.0
SNAPSHOT,STRESS_2026,0.27380952380952384,190,0.041884816753926704,0.9631578947368421,0.1904761904761905,0.0
PATH20,VAL_2020_2022,-0.059523809523809534,190,0.837696335078534,0.1631578947368421,0.07142857142857144,0.0
PATH20,CONF_2023_2024,0.023809523809523815,190,0.42408376963350786,0.5789473684210527,0.09642857142857138,0.011904761904761908
PATH20,STRESS_2025,-0.07142857142857144,190,0.7696335078534031,0.23157894736842105,0.09642857142857138,0.0
PATH20,STRESS_2026,0.1547619047619048,190,0.12041884816753927,0.8842105263157894,0.16666666666666669,-0.011904761904761906
