representation,period,n,median_analog_rank_ic,median_unconditional_rank_ic,median_persistence_rank_ic,mean_analog_mse,mean_unconditional_mse,mean_persistence_mse,mean_analog_top2_overlap,mean_unconditional_top2_overlap,mean_persistence_top2_overlap,median_neighbor_similarity
PATH20,CONF_2023_2024,96,0.023809523809523815,-0.28571428571428575,-0.09523809523809525,0.7227592953577341,0.6820642167445067,1.440760587805869,0.22395833333333334,0.2552083333333333,0.24479166666666666,0.44218519220099667
PATH20,STRESS_2025,48,-0.07142857142857144,-0.25000000000000006,0.059523809523809534,0.768001395434544,0.724124849086777,1.3644769129053713,0.23958333333333334,0.20833333333333334,0.22916666666666666,0.460391043768981
PATH20,STRESS_2026,28,0.1547619047619048,-0.130952380952381,0.130952380952381,1.8179185909985425,1.7722413569230024,3.18901359606092,0.35714285714285715,0.3392857142857143,0.2857142857142857,0.48100171634191824
PATH20,VAL_2020_2022,148,-0.059523809523809534,-0.09523809523809526,0.023809523809523815,0.7633400197574342,0.7028733752059904,1.457740351839707,0.26013513513513514,0.23648648648648649,0.2702702702702703,0.43437380639472223
SNAPSHOT,CONF_2023_2024,96,-0.07142857142857144,-0.28571428571428575,-0.09523809523809525,0.7130395712694968,0.6820642167445067,1.440760587805869,0.2552083333333333,0.2552083333333333,0.24479166666666666,0.7845286630157281
SNAPSHOT,STRESS_2025,48,0.059523809523809534,-0.25000000000000006,0.059523809523809534,0.7600929185331564,0.724124849086777,1.3644769129053713,0.2708333333333333,0.20833333333333334,0.22916666666666666,0.7981195846986038
SNAPSHOT,STRESS_2026,28,0.27380952380952384,-0.130952380952381,0.130952380952381,1.7578468275531054,1.7722413569230024,3.18901359606092,0.375,0.3392857142857143,0.2857142857142857,0.8051516754197716
SNAPSHOT,VAL_2020_2022,148,0.023809523809523815,-0.09523809523809526,0.023809523809523815,0.7449276611747819,0.7028733752059904,1.457740351839707,0.28378378378378377,0.23648648648648649,0.2702702702702703,0.7829912984626195
