metric,mean,median,p10,p90,min,max
factor_rows,650.6353166986564,664.0,492.0,823.0,382.0,934.0
eligible_mcap200,772.5834932821497,792.0,589.0,976.0,462.0,1064.0
jaccard,0.8361143551361054,0.835632183908046,0.8155784650630011,0.859882005899705,0.4046242774566474,0.9046015712682379
factor_precision_vs_cutoff,0.9960876704460615,0.99734395750332,0.9938900203665988,1.0,0.5271084337349398,1.0
cutoff_recall_in_factor,0.8386815067611266,0.8376470588235294,0.8171683389074693,0.8621420996818664,0.6352087114337568,0.9046015712682379
factor_only,2.4088291746641075,2.0,0.0,4.0,0.0,314.0
eligible_only,124.35700575815738,124.0,91.0,160.0,59.0,204.0
