sample,overlay,n_configs,return_improve_share,sharpe_improve_share,mdd_improve_share,median_return_delta,median_sharpe_delta,median_turnover_delta
FULL,ACT1_W10,96,0.34375,0.3020833333333333,0.5729166666666666,-0.006390950985647903,-0.025527811238253456,0.07933386415876692
FULL,ACT5_KEEP_TOP50,96,0.3229166666666667,0.3229166666666667,0.4375,-0.01371365925655621,-0.06370701217216954,0.25137689106560696
FULL,ACT5_KEEP_TOP70,96,0.4895833333333333,0.46875,0.5520833333333334,-0.0033886817289430216,-0.005293973937901639,0.14613824497092978
FULL,ACT5_W10,96,0.3020833333333333,0.3020833333333333,0.5,-0.007279871092186863,-0.02724023762579971,0.07728918468218082
FULL,RAW_TA_W10,96,0.6458333333333334,0.6666666666666666,0.59375,0.0031031653999590847,0.01859021042545098,-2.7755575615628914e-17
FULL,TURNOVER_W10,96,0.6354166666666666,0.6770833333333334,0.59375,0.004523979114337995,0.018372148648561792,0.009555984555984581
OOS_2023_PLUS,ACT1_W10,96,0.4375,0.4375,0.6458333333333334,-0.0035562128794320857,-0.010126433525015424,0.07354651162790701
OOS_2023_PLUS,ACT5_KEEP_TOP50,96,0.625,0.6354166666666666,0.8541666666666666,0.02450369490160975,0.0708836590729029,0.25523255813953494
OOS_2023_PLUS,ACT5_KEEP_TOP70,96,0.7291666666666666,0.7395833333333334,0.9166666666666666,0.028849784431691394,0.0941193352277834,0.14505813953488378
OOS_2023_PLUS,ACT5_W10,96,0.5416666666666666,0.5416666666666666,0.6979166666666666,0.0057223077661361366,0.01694651259865279,0.0715116279069768
OOS_2023_PLUS,RAW_TA_W10,96,0.625,0.59375,0.2916666666666667,0.010295864737319693,0.043432382289204735,0.0
OOS_2023_PLUS,TURNOVER_W10,96,0.5833333333333334,0.4895833333333333,0.34375,0.0071616219206273035,-0.003748941832234065,0.01162790697674429
