sample,factor,direction,overlay,top_n,cost_bps,n_periods,annualized_return,sharpe,mdd,avg_turnover
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_W10,10,60,86,0.11100635845492612,0.5058714768140187,-0.35799624919492845,0.6627906976744187
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,20,0,257,0.060417716843603975,0.3790605605163453,-0.3793729902875387,0.49766536964980546
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_W10,20,0,86,0.181083192239327,0.7725393813421424,-0.31643501813026476,0.5186046511627908
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,20,30,257,0.021270380163129765,0.20575698001137852,-0.4284508054893823,0.49766536964980546
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_W10,20,30,86,0.13581916953622097,0.6197660053901775,-0.3224048643825047,0.5186046511627908
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,20,60,257,-0.01648959468978839,0.03257893586777093,-0.500676567362625,0.49766536964980546
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_W10,20,60,86,0.09222062940946629,0.4672354301820865,-0.3283330716410384,0.5186046511627908
FULL,FOREIGN_FLOW,HIGH,BASE,10,0,259,0.11693979200413729,0.574962535056596,-0.387797284558828,0.5181467181467181
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,10,0,86,0.14519222641393958,0.611024161039288,-0.3877972845588282,0.5499999999999999
FULL,FOREIGN_FLOW,HIGH,BASE,10,30,259,0.0741376426882534,0.414942588893391,-0.40275102312414457,0.5181467181467181
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,10,30,86,0.09865329524530386,0.46695799604620597,-0.3930217707782161,0.5499999999999999
FULL,FOREIGN_FLOW,HIGH,BASE,10,60,259,0.03290731241069356,0.2548880870437709,-0.4690673233027315,0.5181467181467181
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,10,60,86,0.053928306922505165,0.32300418565630756,-0.3982114884778347,0.5499999999999999
FULL,FOREIGN_FLOW,HIGH,BASE,20,0,259,0.07457052672928066,0.4366813267388209,-0.3589755059317862,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,20,0,86,0.174756949699703,0.737697746339546,-0.3589755059317863,0.4790697674418606
FULL,FOREIGN_FLOW,HIGH,BASE,20,30,259,0.03779578027373409,0.2788159381731731,-0.3973903750282538,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,20,30,86,0.13317870874097726,0.6012285555664934,-0.3634004465478414,0.4790697674418606
FULL,FOREIGN_FLOW,HIGH,BASE,20,60,259,0.0022287461606906867,0.12084703645518995,-0.4513780210946633,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,20,60,86,0.09301356143495454,0.4646694009291831,-0.36780109366466374,0.4790697674418606
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,259,0.10697799086288584,0.5276409491061447,-0.4191952772533133,0.5154440154440154
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,86,0.2506646619754178,0.8674149064164369,-0.4191952772533133,0.5302325581395348
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,259,0.06478529194786975,0.3740015368900643,-0.42441044200140365,0.5154440154440154
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,86,0.2018229676888872,0.7395901692673225,-0.42441044200140354,0.5302325581395348
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,259,0.024134581947803824,0.22020008439197825,-0.4475763112574941,0.5154440154440154
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,86,0.15481132981901458,0.6117425231775093,-0.42958879829628405,0.5302325581395348
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,259,0.09014235043371976,0.499035050654148,-0.3869501668983526,0.45521235521235526
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,86,0.1716598260499138,0.7131992022130852,-0.3869501668983525,0.4726744186046512
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,259,0.05333751358125105,0.3446291219168956,-0.391678310997437,0.45521235521235526
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,86,0.13069771311942358,0.5824907754286511,-0.3916783109974369,0.4726744186046512
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,259,0.01772494822943327,0.1901637156710657,-0.4305029058683939,0.45521235521235526
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,86,0.09111016930739457,0.45177864478077384,-0.3963774781281205,0.4726744186046512
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,259,0.13032918033083507,0.6061067313932351,-0.42217471510725346,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,86,0.1681616053397117,0.6677461540874177,-0.4221747151072536,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,259,0.08664398313193966,0.4526710998955145,-0.4267981747024948,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,86,0.12096162553603484,0.5293062774577332,-0.4267981747024948,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,259,0.044577120608354726,0.29909316446057155,-0.454953319218085,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,86,0.0755914819843313,0.3908303245923309,-0.4313925765747151,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,259,0.06820903396118916,0.4020204666159795,-0.3786997168594164,0.4627413127413127
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,86,0.20016359116353666,0.7893898565561487,-0.37869971685941617,0.4750000000000001
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,259,0.03152989176033172,0.24999110008909434,-0.418354947537394,0.4627413127413127
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,86,0.15802792230111806,0.6607943174327511,-0.3831088614568112,0.4750000000000001
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,259,-0.003940685215347184,0.0978962865732898,-0.4880735635165486,0.4627413127413127
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,86,0.1173120896159896,0.5322441065483988,-0.38749306535797734,0.4750000000000001
FULL,FOREIGN_FLOW,LOW,ACT1_W10,10,0,257,0.10852589516151423,0.5039557792741505,-0.4936547852616915,0.6167315175097277
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT1_W10,10,0,86,0.18571972980256923,0.6634704911057919,-0.39181828351793424,0.636046511627907
FULL,FOREIGN_FLOW,LOW,ACT1_W10,10,30,257,0.058170627921689366,0.34018784556379883,-0.5320953375835513,0.6167315175097277
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT1_W10,10,30,86,0.1304005940227464,0.5238362252347794,-0.39654528432958125,0.636046511627907
FULL,FOREIGN_FLOW,LOW,ACT1_W10,10,60,257,0.010012166549523194,0.17616572511135487,-0.5676819459179494,0.6167315175097277
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT1_W10,10,60,86,0.07756062119675278,0.3838678115147385,-0.4012448185809334,0.636046511627907
FULL,FOREIGN_FLOW,LOW,ACT1_W10,20,0,257,0.06547055920146394,0.3835798536429676,-0.5020222738278333,0.49085603112840465
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT1_W10,20,0,86,0.14354667390426834,0.6134421933951774,-0.3204758147292961,0.502906976744186
FULL,FOREIGN_FLOW,LOW,ACT1_W10,20,30,257,0.026689436354577323,0.23018930607488253,-0.5321021673668532,0.49085603112840465
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT1_W10,20,30,86,0.10102133409324665,0.4785297411788166,-0.32509159958348866,0.502906976744186
FULL,FOREIGN_FLOW,LOW,ACT1_W10,20,60,257,-0.010736753232783447,0.07675117605703134,-0.5641075906562605,0.49085603112840465
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT1_W10,20,60,86,0.060014146444259175,0.34357362863993157,-0.331338349394541,0.502906976744186
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,0,257,0.10720822989975076,0.5152289509820798,-0.4932464858862343,0.7447470817120623
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,0,86,0.2048498857722143,0.7310103056561577,-0.34108860160696874,0.7441860465116278
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,30,257,0.04665471754899109,0.3027372994603861,-0.5602340051287751,0.7447470817120623
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,30,86,0.13923106861943935,0.5574355499591723,-0.3472020601648751,0.7441860465116278
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,60,257,-0.010716261175224062,0.09039522583238974,-0.6948673081822818,0.7447470817120623
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,60,86,0.07704735368837512,0.3838273028841066,-0.39953368924151644,0.7441860465116278
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,0,257,0.07788434394005161,0.44403995586168765,-0.4535798400404767,0.6974708171206225
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,0,86,0.1750723913504808,0.7665363209519503,-0.23351599299825698,0.6982558139534885
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,30,257,0.022587156783287154,0.2123889158950957,-0.5089062213078862,0.6974708171206225
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,30,86,0.11493324253739723,0.5564665924609322,-0.2397624188065346,0.6982558139534885
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,60,257,-0.029982508922820283,-0.019416157079840343,-0.605356088774756,0.6974708171206225
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,60,86,0.057753773208729875,0.3461862013307833,-0.25670123735667116,0.6982558139534885
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,0,257,0.09354250046403001,0.46846901010957176,-0.5008222050625868,0.6599221789883268
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,0,86,0.18147780889956588,0.6700507051681904,-0.36216467954506026,0.6825581395348836
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,30,257,0.040347212485992046,0.28090089379302163,-0.5420227525660326,0.6599221789883268
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,30,86,0.12225436169070591,0.5114292710956784,-0.36814387939006743,0.6825581395348836
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,60,257,-0.010362955042421795,0.09348439592577173,-0.6383734093764301,0.6599221789883268
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,60,86,0.06588230328043343,0.3528369666872537,-0.3740812543755925,0.6825581395348836
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,0,257,0.08386259115617167,0.4660076193790035,-0.47536775721945845,0.6060311284046692
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,0,86,0.14036019629095953,0.6254154593865258,-0.2866558756533516,0.6162790697674418
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,30,257,0.0353791623047941,0.26681399937009853,-0.5224079207857368,0.6060311284046692
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,30,86,0.08863171399917302,0.44968833432023103,-0.2925825058887317,0.6162790697674418
FULL,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,60,257,-0.011020533472124283,0.067604449008754,-0.5663310255193217,0.6060311284046692
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,60,86,0.03915789700084682,0.27378844538826075,-0.3186623681139028,0.6162790697674418
FULL,FOREIGN_FLOW,LOW,ACT5_W10,10,0,257,0.07083504939824947,0.38315373210274845,-0.5638981763483935,0.6221789883268481
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_W10,10,0,86,0.1618879003034206,0.6021119654738336,-0.41114900864517256,0.6418604651162789
FULL,FOREIGN_FLOW,LOW,ACT5_W10,10,30,257,0.021670587823071408,0.2152925779302415,-0.602313315926216,0.6221789883268481
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_W10,10,30,86,0.10708877241135939,0.4612421686381383,-0.4157515934036239,0.6418604651162789
FULL,FOREIGN_FLOW,LOW,ACT5_W10,10,60,257,-0.025326358997066922,0.0473216101032406,-0.6955759956437031,0.6221789883268481
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_W10,10,60,86,0.05477144820769042,0.3201920206735152,-0.4203274985058263,0.6418604651162789
FULL,FOREIGN_FLOW,LOW,ACT5_W10,20,0,257,0.05346725451219769,0.3388767191866417,-0.520520451464612,0.49202334630350203
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_W10,20,0,86,0.10129802213621941,0.48919832708106936,-0.3110189480273342,0.5040697674418605
FULL,FOREIGN_FLOW,LOW,ACT5_W10,20,30,257,0.015030448878594393,0.18263912012121988,-0.554949574819817,0.49202334630350203
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_W10,20,30,86,0.06023640666083452,0.3484055391537938,-0.3154552973558983,0.5040697674418605
FULL,FOREIGN_FLOW,LOW,ACT5_W10,20,60,257,-0.02205999394277236,0.026276364833096134,-0.5869523901328619,0.49202334630350203
OOS_2023_PLUS,FOREIGN_FLOW,LOW,ACT5_W10,20,60,86,0.02064467864063002,0.20741343355599418,-0.3215818327583936,0.5040697674418605
FULL,FOREIGN_FLOW,LOW,BASE,10,0,259,0.032961761365872366,0.25547986745926876,-0.5729338063870255,0.5285714285714286
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,10,0,86,0.14787742164703466,0.5702825126832461,-0.4092924156645277,0.563953488372093
FULL,FOREIGN_FLOW,LOW,BASE,10,30,259,-0.007498060756521596,0.11319324250567693,-0.6093516337514566,0.5285714285714286
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,10,30,86,0.10018089083788673,0.44493120506308653,-0.41331798233604367,0.563953488372093
FULL,FOREIGN_FLOW,LOW,BASE,10,60,259,-0.04643740524773543,-0.029247398144070447,-0.6752603045675516,0.5285714285714286
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,10,60,86,0.054386088894813556,0.3193800772103285,-0.41732346414332855,0.563953488372093
FULL,FOREIGN_FLOW,LOW,BASE,20,0,259,0.06913619955551087,0.4006330568323796,-0.4977620645842983,0.46505791505791505
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,20,0,86,0.12552022495208792,0.5606201889872707,-0.3306979171599428,0.4866279069767442
FULL,FOREIGN_FLOW,LOW,BASE,20,30,259,0.03224623475115296,0.2533243754254235,-0.5267231456973869,0.46505791505791505
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,20,30,86,0.08503357080891938,0.42915537288096184,-0.3355060826606251,0.4866279069767442
FULL,FOREIGN_FLOW,LOW,BASE,20,60,259,-0.0034222475285445864,0.10591194779689012,-0.5540513092369734,0.46505791505791505
OOS_2023_PLUS,FOREIGN_FLOW,LOW,BASE,20,60,86,0.04594506965400824,0.2974416503372695,-0.3424182123496674,0.4866279069767442
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,259,0.04253592387747429,0.28754617240078023,-0.5684446312186676,0.5235521235521235
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,86,0.1030536067581973,0.4449511529087675,-0.4462955279776466,0.5372093023255815
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,259,0.002055489010199585,0.14895421475003706,-0.6255316097599601,0.5235521235521235
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,86,0.05925719582344913,0.33337198188956485,-0.4497868355339991,0.5372093023255815
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,259,-0.036917846680108335,0.01032535515252002,-0.7094725734093995,0.5235521235521235
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,86,0.017128175499033782,0.22165186997428182,-0.4532625248131168,0.5372093023255815
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,259,0.05431331580074539,0.3384340935467738,-0.4960491998584736,0.4598455598455598
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,86,0.1215077180989137,0.5344528146084501,-0.3503262182909045,0.4715116279069768
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,259,0.018344831952190832,0.1971449583721664,-0.5243354941921217,0.4598455598455598
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,86,0.08241894428339447,0.4133524813141308,-0.35445955348818636,0.4715116279069768
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,259,-0.016445952649755236,0.055633982962023834,-0.5510695297744795,0.4598455598455598
OOS_2023_PLUS,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,86,0.044637861649401867,0.2919605133426383,-0.3585736585844619,0.4715116279069768
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,259,0.03784994624891147,0.2722728705810465,-0.5321943432924074,0.5258687258687259
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,86,0.10028091418533625,0.43837273426615925,-0.3914353007133893,0.5546511627906977
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,259,-0.002648240230843868,0.13501572744821422,-0.6133399563241696,0.5258687258687259
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,86,0.05515104044186758,0.3221315959723257,-0.39639720064133666,0.5546511627906977
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,259,-0.041630649377757845,-0.0022307629557101996,-0.699369552415426,0.5258687258687259
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,86,0.011797149661311623,0.20581624749910446,-0.4013289072946832,0.5546511627906977
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,259,0.06833108052276349,0.3914155833763143,-0.5222746658304271,0.4623552123552124
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,86,0.14332117572249303,0.60142134271597,-0.3607675536646686,0.4761627906976745
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,259,0.031683866609521605,0.2504962257895511,-0.5501468325026077,0.4623552123552124
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,86,0.10307192221071482,0.47877379045005436,-0.3648556252574787,0.4761627906976745
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,259,-0.003756988913530157,0.10945789810394682,-0.576562752512797,0.4623552123552124
OOS_2023_PLUS,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,86,0.06418282870312786,0.355950792893265,-0.3689243670194412,0.4761627906976745
FULL,MOM12_1,HIGH,ACT1_W10,10,0,257,0.05486862659194491,0.32394789516427713,-0.6224926635577899,0.42412451361867703
OOS_2023_PLUS,MOM12_1,HIGH,ACT1_W10,10,0,86,0.4173108598776427,1.0434443182800806,-0.4364252204868677,0.4220930232558138
FULL,MOM12_1,HIGH,ACT1_W10,10,30,257,0.021478116464525243,0.22601622012740086,-0.6618022227684945,0.42412451361867703
OOS_2023_PLUS,MOM12_1,HIGH,ACT1_W10,10,30,86,0.37306215038618173,0.9660428675030328,-0.4391685556731957,0.4220930232558138
FULL,MOM12_1,HIGH,ACT1_W10,10,60,257,-0.010900181127203479,0.12824126499064178,-0.6970650287314019,0.42412451361867703
OOS_2023_PLUS,MOM12_1,HIGH,ACT1_W10,10,60,86,0.3301364872931567,0.8887517352723605,-0.44190197693381106,0.4220930232558138
FULL,MOM12_1,HIGH,ACT1_W10,20,0,257,0.08116116989311628,0.4153399744916601,-0.49152843297554305,0.261284046692607
OOS_2023_PLUS,MOM12_1,HIGH,ACT1_W10,20,0,86,0.3904341539022782,1.1009892463725912,-0.4280498934774779,0.24302325581395348
FULL,MOM12_1,HIGH,ACT1_W10,20,30,257,0.05997872387047387,0.34634458143604363,-0.512937318547467,0.261284046692607
OOS_2023_PLUS,MOM12_1,HIGH,ACT1_W10,20,30,86,0.36527948427554624,1.0490318798726885,-0.4303258939439747,0.24302325581395348
FULL,MOM12_1,HIGH,ACT1_W10,20,60,257,0.039192813880409405,0.2774373938875838,-0.5444100604218649,0.261284046692607
OOS_2023_PLUS,MOM12_1,HIGH,ACT1_W10,20,60,86,0.34055997199818133,0.9971266979292023,-0.43259522932701056,0.24302325581395348
