sample,factor,direction,overlay,top_n,cost_bps,n_periods,annualized_return,sharpe,mdd,avg_turnover
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,257,0.07840953504440606,0.4352001447207435,-0.4150855796407127,0.6186770428015564
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,86,0.20777834364026515,0.8082039158714602,-0.3758641324340969,0.6325581395348837
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,257,0.029180089396398712,0.24115974322527683,-0.45200252091429116,0.6186770428015564
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,86,0.1516714307839997,0.6398349823618061,-0.38223094347116915,0.6325581395348837
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,257,-0.01789144889504124,0.04706430273344961,-0.5060319024416141,0.6186770428015564
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,86,0.0980679963227582,0.4713734951022414,-0.38854651411182406,0.6325581395348837
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,257,0.06864198515130981,0.41423007854926897,-0.3781118242667364,0.4885214007782101
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,86,0.18090916087502107,0.7688095283803879,-0.31005409303826303,0.5098837209302326
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,257,0.029926306446352635,0.24431240838161014,-0.4193790501669996,0.4885214007782101
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,86,0.13641220050089276,0.6194283523311601,-0.3157388151674997,0.5098837209302326
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,257,-0.0074428642003182555,0.07444134224614868,-0.4821314536638457,0.4885214007782101
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,86,0.09352537628050972,0.4702316386484528,-0.3213861561499498,0.5098837209302326
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,0,257,0.0789048598064288,0.44185736104156564,-0.40805364450506465,0.72568093385214
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,0,86,0.257791288249386,0.9843473583078991,-0.27928416510682075,0.7534883720930232
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,30,257,0.021345790948470666,0.2073669673668594,-0.4576558574749898,0.72568093385214
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,30,86,0.1885504245963916,0.7726666301785857,-0.28755547369533085,0.7534883720930232
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,60,257,-0.03326253625541775,-0.027033322155548607,-0.556417166814868,0.72568093385214
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,60,86,0.12297282721686598,0.561215171835525,-0.29575118626498254,0.7534883720930232
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,0,257,0.05651033810253914,0.3723521299094257,-0.4764434065498562,0.696498054474708
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,0,86,0.27336563365857924,1.1520248285528876,-0.24526271835937197,0.7116279069767442
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,30,257,0.002336324092764519,0.11394394602891127,-0.5705502082790389,0.696498054474708
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,30,86,0.20713948594095677,0.9215622541370266,-0.2537472190855138,0.7116279069767442
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,60,257,-0.04916701062183115,-0.14448612688875048,-0.6628809882974334,0.696498054474708
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,60,86,0.14422457118912058,0.6911753241070426,-0.2621555418820162,0.7116279069767442
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,257,0.08614921058393721,0.4662229803147046,-0.3694269159264455,0.6474708171206226
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,86,0.17636087101996334,0.7198137599073601,-0.3253254791066552,0.6802325581395349
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,257,0.03432682284758126,0.2609943305712518,-0.4010172952227111,0.6474708171206226
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,86,0.1175773285756303,0.5351507922081993,-0.332336843757143,0.6802325581395349
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,257,-0.015121325324176427,0.05574056621553636,-0.43108836548250806,0.6474708171206226
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,86,0.06161541365205481,0.35068382586891805,-0.3392903168530861,0.6802325581395349
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,257,0.07620403878588666,0.4541504510696615,-0.38240473880668313,0.5918287937743191
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,86,0.2553846724148925,1.024043515981455,-0.2771162590673337,0.6104651162790696
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,257,0.02914467087042838,0.241366465756824,-0.46766851443910784,0.5918287937743191
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,86,0.19906981002819113,0.8406892355304322,-0.2841601438878907,0.6104651162790696
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,60,257,-0.015937840127896563,0.02878597927106848,-0.548397129090749,0.5918287937743191
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,60,86,0.1451817539292084,0.6576975081283881,-0.2911493211982703,0.6104651162790696
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,10,0,257,0.09718417313205596,0.50644874561323,-0.3698968251542588,0.6350194552529183
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_W10,10,0,86,0.2275299454832258,0.8529726718876111,-0.345664198919298,0.6627906976744187
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,10,30,257,0.045824029796234456,0.3065213727709627,-0.4039013956456612,0.6350194552529183
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,ACT5_W10,10,30,86,0.16787543593261645,0.6794319069352819,-0.351853550663043,0.6627906976744187
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,10,60,257,-0.003227355996801018,0.10665811021963596,-0.4400206693119245,0.6350194552529183
