factor,direction,train_ic,n_train_dates
OP12_REV,1,0.020915045193027042,173
OPFY1_REV,1,0.01363006172447381,173
PBR12MF,-1,-0.024940389303776005,173
PER12MF,-1,-0.022504526204036143,173
MOM1M,-1,-0.02605129015693421,173
MOM12_1,-1,-0.019221797962804908,173
PRIVATE_FLOW,1,0.023132613308565184,173
FOREIGN_FLOW,-1,-0.012808432587871003,173
