date,signal,top_n,cost_bps,gross,net,benchmark,excess,turnover
2016-01-04,RAW_HIGH,10,0,-0.025322147424043324,-0.025322147424043324,-0.009377173995137834,-0.01594497342890549,1.0
2016-01-04,RAW_HIGH,10,30,-0.025322147424043324,-0.028322147424043324,-0.009377173995137834,-0.01894497342890549,1.0
2016-01-04,RAW_HIGH,10,60,-0.025322147424043324,-0.03132214742404332,-0.009377173995137834,-0.021944973428905487,1.0
2016-01-04,RAW_HIGH,20,0,-0.01747935077315304,-0.01747935077315304,-0.009377173995137834,-0.008102176778015205,1.0
2016-01-04,RAW_HIGH,20,30,-0.01747935077315304,-0.02047935077315304,-0.009377173995137834,-0.011102176778015204,1.0
2016-01-04,RAW_HIGH,20,60,-0.01747935077315304,-0.023479350773153038,-0.009377173995137834,-0.014102176778015204,1.0
2016-01-04,RAW_LOW,10,0,-0.01493909521530773,-0.01493909521530773,-0.009377173995137834,-0.005561921220169895,1.0
2016-01-04,RAW_LOW,10,30,-0.01493909521530773,-0.01793909521530773,-0.009377173995137834,-0.008561921220169895,1.0
2016-01-04,RAW_LOW,10,60,-0.01493909521530773,-0.020939095215307728,-0.009377173995137834,-0.011561921220169894,1.0
2016-01-04,RAW_LOW,20,0,-0.03973878603803122,-0.03973878603803122,-0.009377173995137834,-0.030361612042893386,1.0
2016-01-04,RAW_LOW,20,30,-0.03973878603803122,-0.042738786038031225,-0.009377173995137834,-0.03336161204289339,1.0
2016-01-04,RAW_LOW,20,60,-0.03973878603803122,-0.04573878603803122,-0.009377173995137834,-0.036361612042893385,1.0
2016-01-04,TURNOVER_HIGH,10,0,-0.030965974610048335,-0.030965974610048335,-0.009377173995137834,-0.021588800614910503,1.0
2016-01-04,TURNOVER_HIGH,10,30,-0.030965974610048335,-0.033965974610048334,-0.009377173995137834,-0.0245888006149105,1.0
2016-01-04,TURNOVER_HIGH,10,60,-0.030965974610048335,-0.03696597461004834,-0.009377173995137834,-0.0275888006149105,1.0
2016-01-04,TURNOVER_HIGH,20,0,-0.03625335185485502,-0.03625335185485502,-0.009377173995137834,-0.026876177859717187,1.0
2016-01-04,TURNOVER_HIGH,20,30,-0.03625335185485502,-0.039253351854855026,-0.009377173995137834,-0.02987617785971719,1.0
2016-01-04,TURNOVER_HIGH,20,60,-0.03625335185485502,-0.04225335185485502,-0.009377173995137834,-0.032876177859717186,1.0
2016-01-04,TURNOVER_LOW,10,0,-0.004140388241912029,-0.004140388241912029,-0.009377173995137834,0.005236785753225805,1.0
2016-01-04,TURNOVER_LOW,10,30,-0.004140388241912029,-0.007140388241912029,-0.009377173995137834,0.0022367857532258053,1.0
2016-01-04,TURNOVER_LOW,10,60,-0.004140388241912029,-0.010140388241912029,-0.009377173995137834,-0.0007632142467741947,1.0
2016-01-04,TURNOVER_LOW,20,0,-0.002260442692147659,-0.002260442692147659,-0.009377173995137834,0.007116731302990175,1.0
2016-01-04,TURNOVER_LOW,20,30,-0.002260442692147659,-0.005260442692147659,-0.009377173995137834,0.004116731302990175,1.0
2016-01-04,TURNOVER_LOW,20,60,-0.002260442692147659,-0.008260442692147658,-0.009377173995137834,0.0011167313029901756,1.0
2016-01-18,RAW_HIGH,10,0,0.021751592726751035,0.021751592726751035,0.023080476169571214,-0.0013288834428201793,0.5
2016-01-18,RAW_HIGH,10,30,0.021751592726751035,0.020251592726751033,0.023080476169571214,-0.0028288834428201806,0.5
2016-01-18,RAW_HIGH,10,60,0.021751592726751035,0.018751592726751035,0.023080476169571214,-0.0043288834428201785,0.5
2016-01-18,RAW_HIGH,20,0,0.025869495236725798,0.025869495236725798,0.023080476169571214,0.002789019067154584,0.44999999999999996
2016-01-18,RAW_HIGH,20,30,0.025869495236725798,0.024519495236725797,0.023080476169571214,0.0014390190671545837,0.44999999999999996
2016-01-18,RAW_HIGH,20,60,0.025869495236725798,0.023169495236725797,0.023080476169571214,8.901906715458319e-05,0.44999999999999996
2016-01-18,RAW_LOW,10,0,-0.016155629569457368,-0.016155629569457368,0.023080476169571214,-0.03923610573902858,0.4
2016-01-18,RAW_LOW,10,30,-0.016155629569457368,-0.017355629569457368,0.023080476169571214,-0.04043610573902858,0.4
2016-01-18,RAW_LOW,10,60,-0.016155629569457368,-0.018555629569457367,0.023080476169571214,-0.04163610573902858,0.4
2016-01-18,RAW_LOW,20,0,-0.006804559112012118,-0.006804559112012118,0.023080476169571214,-0.02988503528158333,0.30000000000000004
2016-01-18,RAW_LOW,20,30,-0.006804559112012118,-0.007704559112012118,0.023080476169571214,-0.030785035281583332,0.30000000000000004
2016-01-18,RAW_LOW,20,60,-0.006804559112012118,-0.00860455911201212,0.023080476169571214,-0.03168503528158333,0.30000000000000004
2016-01-18,TURNOVER_HIGH,10,0,0.023766988320513834,0.023766988320513834,0.023080476169571214,0.0006865121509426197,0.5
2016-01-18,TURNOVER_HIGH,10,30,0.023766988320513834,0.022266988320513832,0.023080476169571214,-0.0008134878490573816,0.5
2016-01-18,TURNOVER_HIGH,10,60,0.023766988320513834,0.020766988320513834,0.023080476169571214,-0.0023134878490573794,0.5
2016-01-18,TURNOVER_HIGH,20,0,0.02608753600190026,0.02608753600190026,0.023080476169571214,0.0030070598323290454,0.44999999999999996
2016-01-18,TURNOVER_HIGH,20,30,0.02608753600190026,0.02473753600190026,0.023080476169571214,0.0016570598323290449,0.44999999999999996
2016-01-18,TURNOVER_HIGH,20,60,0.02608753600190026,0.023387536001900258,0.023080476169571214,0.0003070598323290444,0.44999999999999996
2016-01-18,TURNOVER_LOW,10,0,-0.016075284321992764,-0.016075284321992764,0.023080476169571214,-0.03915576049156398,0.6
2016-01-18,TURNOVER_LOW,10,30,-0.016075284321992764,-0.017875284321992764,0.023080476169571214,-0.04095576049156398,0.6
2016-01-18,TURNOVER_LOW,10,60,-0.016075284321992764,-0.019675284321992764,0.023080476169571214,-0.042755760491563974,0.6
2016-01-18,TURNOVER_LOW,20,0,-0.00983509154589643,-0.00983509154589643,0.023080476169571214,-0.03291556771546764,0.44999999999999996
2016-01-18,TURNOVER_LOW,20,30,-0.00983509154589643,-0.01118509154589643,0.023080476169571214,-0.03426556771546764,0.44999999999999996
2016-01-18,TURNOVER_LOW,20,60,-0.00983509154589643,-0.012535091545896429,0.023080476169571214,-0.035615567715467644,0.44999999999999996
2016-02-01,RAW_HIGH,10,0,0.016536884527887326,0.016536884527887326,-0.009993183164641475,0.026530067692528803,0.5
2016-02-01,RAW_HIGH,10,30,0.016536884527887326,0.015036884527887326,-0.009993183164641475,0.0250300676925288,0.5
2016-02-01,RAW_HIGH,10,60,0.016536884527887326,0.013536884527887327,-0.009993183164641475,0.0235300676925288,0.5
2016-02-01,RAW_HIGH,20,0,-0.00971976500868578,-0.00971976500868578,-0.009993183164641475,0.0002734181559556955,0.4
2016-02-01,RAW_HIGH,20,30,-0.00971976500868578,-0.01091976500868578,-0.009993183164641475,-0.0009265818440443042,0.4
2016-02-01,RAW_HIGH,20,60,-0.00971976500868578,-0.012119765008685779,-0.009993183164641475,-0.002126581844044304,0.4
2016-02-01,RAW_LOW,10,0,0.020415479192767823,0.020415479192767823,-0.009993183164641475,0.0304086623574093,0.4
2016-02-01,RAW_LOW,10,30,0.020415479192767823,0.019215479192767823,-0.009993183164641475,0.0292086623574093,0.4
2016-02-01,RAW_LOW,10,60,0.020415479192767823,0.018015479192767823,-0.009993183164641475,0.0280086623574093,0.4
2016-02-01,RAW_LOW,20,0,0.019158197562679898,0.019158197562679898,-0.009993183164641475,0.029151380727321374,0.25
2016-02-01,RAW_LOW,20,30,0.019158197562679898,0.018408197562679897,-0.009993183164641475,0.028401380727321374,0.25
2016-02-01,RAW_LOW,20,60,0.019158197562679898,0.017658197562679896,-0.009993183164641475,0.027651380727321373,0.25
2016-02-01,TURNOVER_HIGH,10,0,-0.10152416729409672,-0.10152416729409672,-0.009993183164641475,-0.09153098412945525,0.5
2016-02-01,TURNOVER_HIGH,10,30,-0.10152416729409672,-0.10302416729409672,-0.009993183164641475,-0.09303098412945525,0.5
2016-02-01,TURNOVER_HIGH,10,60,-0.10152416729409672,-0.10452416729409672,-0.009993183164641475,-0.09453098412945525,0.5
2016-02-01,TURNOVER_HIGH,20,0,-0.0660209892215134,-0.0660209892215134,-0.009993183164641475,-0.056027806056871916,0.55
2016-02-01,TURNOVER_HIGH,20,30,-0.0660209892215134,-0.06767098922151339,-0.009993183164641475,-0.057677806056871915,0.55
2016-02-01,TURNOVER_HIGH,20,60,-0.0660209892215134,-0.06932098922151339,-0.009993183164641475,-0.059327806056871914,0.55
2016-02-01,TURNOVER_LOW,10,0,0.024503874309862957,0.024503874309862957,-0.009993183164641475,0.03449705747450443,0.4
2016-02-01,TURNOVER_LOW,10,30,0.024503874309862957,0.023303874309862957,-0.009993183164641475,0.033297057474504434,0.4
2016-02-01,TURNOVER_LOW,10,60,0.024503874309862957,0.022103874309862957,-0.009993183164641475,0.032097057474504434,0.4
2016-02-01,TURNOVER_LOW,20,0,0.018915345395385818,0.018915345395385818,-0.009993183164641475,0.02890852856002729,0.35
2016-02-01,TURNOVER_LOW,20,30,0.018915345395385818,0.01786534539538582,-0.009993183164641475,0.027858528560027296,0.35
2016-02-01,TURNOVER_LOW,20,60,0.018915345395385818,0.016815345395385817,-0.009993183164641475,0.026808528560027294,0.35
2016-02-01,ACT1_HIGH,10,0,-0.005993539390563788,-0.005993539390563788,-0.009993183164641475,0.003999643774077687,1.0
2016-02-01,ACT1_HIGH,10,30,-0.005993539390563788,-0.008993539390563788,-0.009993183164641475,0.000999643774077687,1.0
2016-02-01,ACT1_HIGH,10,60,-0.005993539390563788,-0.011993539390563787,-0.009993183164641475,-0.002000356225922312,1.0
2016-02-01,ACT1_HIGH,20,0,-0.048826727109182136,-0.048826727109182136,-0.009993183164641475,-0.03883354394454066,1.0
2016-02-01,ACT1_HIGH,20,30,-0.048826727109182136,-0.05182672710918214,-0.009993183164641475,-0.04183354394454066,1.0
2016-02-01,ACT1_HIGH,20,60,-0.048826727109182136,-0.054826727109182134,-0.009993183164641475,-0.04483354394454066,1.0
2016-02-01,ACT1_LOW,10,0,-0.009970653484608566,-0.009970653484608566,-0.009993183164641475,2.2529680032908755e-05,1.0
2016-02-01,ACT1_LOW,10,30,-0.009970653484608566,-0.012970653484608567,-0.009993183164641475,-0.002977470319967092,1.0
2016-02-01,ACT1_LOW,10,60,-0.009970653484608566,-0.015970653484608566,-0.009993183164641475,-0.005977470319967091,1.0
2016-02-01,ACT1_LOW,20,0,-0.025700072008413,-0.025700072008413,-0.009993183164641475,-0.015706888843771527,1.0
2016-02-01,ACT1_LOW,20,30,-0.025700072008413,-0.028700072008413,-0.009993183164641475,-0.018706888843771523,1.0
2016-02-01,ACT1_LOW,20,60,-0.025700072008413,-0.031700072008413,-0.009993183164641475,-0.021706888843771525,1.0
2016-02-01,ACT5_HIGH,10,0,0.00861225637291813,0.00861225637291813,-0.009993183164641475,0.018605439537559606,1.0
2016-02-01,ACT5_HIGH,10,30,0.00861225637291813,0.005612256372918131,-0.009993183164641475,0.015605439537559607,1.0
2016-02-01,ACT5_HIGH,10,60,0.00861225637291813,0.0026122563729181307,-0.009993183164641475,0.012605439537559606,1.0
2016-02-01,ACT5_HIGH,20,0,0.03647203235355894,0.03647203235355894,-0.009993183164641475,0.04646521551820042,1.0
2016-02-01,ACT5_HIGH,20,30,0.03647203235355894,0.03347203235355894,-0.009993183164641475,0.043465215518200415,1.0
2016-02-01,ACT5_HIGH,20,60,0.03647203235355894,0.030472032353558942,-0.009993183164641475,0.04046521551820042,1.0
2016-02-01,ACT5_LOW,10,0,-0.01452331213248063,-0.01452331213248063,-0.009993183164641475,-0.004530128967839156,1.0
2016-02-01,ACT5_LOW,10,30,-0.01452331213248063,-0.01752331213248063,-0.009993183164641475,-0.007530128967839155,1.0
