year,factor,direction,overlay,top_n,cost_bps,n_periods,return,avg_turnover
2016,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,23,-0.1157326789518659,0.6130434782608696
2016,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,23,-0.15265297021942026,0.6130434782608696
2016,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,23,-0.18810089346440206,0.6130434782608696
2016,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,23,-0.11994870269139712,0.4869565217391304
2016,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,23,-0.14931338746114686,0.4869565217391304
2016,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,23,-0.1777428117406269,0.4869565217391304
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,0,23,-0.036736146620693355,0.6782608695652174
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,30,23,-0.08092043122917691,0.6782608695652174
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,60,23,-0.12316719764127781,0.6782608695652174
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,0,23,-0.08672500674548467,0.6652173913043478
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,30,23,-0.12793791832268642,0.6652173913043478
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,60,23,-0.16737119284311242,0.6652173913043478
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,23,-0.028650990578805935,0.5999999999999999
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,23,-0.0680684124090365,0.5999999999999999
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,23,-0.10595829120437972,0.5999999999999999
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,23,-0.10351941538489329,0.541304347826087
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,23,-0.13667359917284772,0.541304347826087
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,60,23,-0.16865666043596228,0.541304347826087
2016,FOREIGN_FLOW,HIGH,ACT5_W10,10,0,23,-0.05197771165316212,0.5956521739130434
2016,FOREIGN_FLOW,HIGH,ACT5_W10,10,30,23,-0.09030978029243042,0.5956521739130434
2016,FOREIGN_FLOW,HIGH,ACT5_W10,10,60,23,-0.1271627330094044,0.5956521739130434
2016,FOREIGN_FLOW,HIGH,ACT5_W10,20,0,23,-0.10823856204823168,0.4956521739130435
2016,FOREIGN_FLOW,HIGH,ACT5_W10,20,30,23,-0.13850997637075002,0.4956521739130435
2016,FOREIGN_FLOW,HIGH,ACT5_W10,20,60,23,-0.16780063928487687,0.4956521739130435
2016,FOREIGN_FLOW,HIGH,BASE,10,0,25,0.08517296049466072,0.52
2016,FOREIGN_FLOW,HIGH,BASE,10,30,25,0.04397915755435955,0.52
2016,FOREIGN_FLOW,HIGH,BASE,10,60,25,0.004282904892893402,0.52
2016,FOREIGN_FLOW,HIGH,BASE,20,0,25,-0.08118237360677416,0.472
2016,FOREIGN_FLOW,HIGH,BASE,20,30,25,-0.11326454999752933,0.472
2016,FOREIGN_FLOW,HIGH,BASE,20,60,25,-0.14427324262319274,0.472
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,25,-0.07386434336244341,0.5359999999999999
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,25,-0.11038154153199509,0.5359999999999999
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,25,-0.14551934484120943,0.5359999999999999
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,25,-0.09086721544050136,0.452
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,25,-0.12128746119573652,0.452
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,25,-0.15073246943165686,0.452
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,25,0.0068456418624465165,0.5399999999999999
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,25,-0.032944846436129605,0.5399999999999999
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,25,-0.07122970800741257,0.5399999999999999
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,25,-0.11573075819035672,0.47199999999999986
