sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP50,20,0,-0.026620981213737904,-0.07182002318161873,-0.028935252219309704,0.39686612682721634
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP70,20,0,-0.02591259512656441,-0.07535247308476695,-0.01629961611365116,0.24180776106846152
FULL,MOM12_1,HIGH,ACT5_W10,20,0,-0.04793768869729953,-0.15623408234978353,-0.0397011982207619,0.057761068461457565
FULL,MOM12_1,HIGH,RAW_TA_W10,20,0,-0.010151498594619168,-0.03307484778252312,0.012560774165796151,-0.0007722007722007207
FULL,MOM12_1,HIGH,TURNOVER_W10,20,0,0.0027262505863729913,0.005349226044792654,0.006468252214366976,0.00444015444015447
FULL,MOM12_1,HIGH,ACT1_W10,20,30,-0.02152909436424366,-0.07012234816679341,-0.009579368228498586,0.06398674939530974
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP50,20,30,-0.057411348292979225,-0.1979986742031895,-0.07567239585800367,0.39686612682721634
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP70,20,30,-0.04464404039743641,-0.14841204433035743,-0.05226440760508755,0.24180776106846152
FULL,MOM12_1,HIGH,ACT5_W10,20,30,-0.05177880535701118,-0.1719985474280319,-0.0495586492862623,0.057761068461457565
FULL,MOM12_1,HIGH,RAW_TA_W10,20,30,-0.009960915483238297,-0.03273717761384409,0.00104597596473599,-0.0007722007722007207
FULL,MOM12_1,HIGH,TURNOVER_W10,20,30,0.002317770784349804,0.005032943139724022,-0.0053324615138344855,0.00444015444015447
FULL,MOM12_1,HIGH,ACT1_W10,20,60,-0.026303275988653674,-0.08687852388730954,-0.008948047619553146,0.06398674939530974
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP50,20,60,-0.08644726080433163,-0.3241337705071407,-0.12524221709393246,0.39686612682721634
FULL,MOM12_1,HIGH,ACT5_KEEP_TOP70,20,60,-0.0625101741995866,-0.22148502655828795,-0.07193637064455594,0.24180776106846152
FULL,MOM12_1,HIGH,ACT5_W10,20,60,-0.055481372357547576,-0.1877361829828232,-0.04954085968381294,0.057761068461457565
FULL,MOM12_1,HIGH,RAW_TA_W10,20,60,-0.009773795993866186,-0.0323796925047829,0.00129781260708961,-0.0007722007722007207
FULL,MOM12_1,HIGH,TURNOVER_W10,20,60,0.001920540893119771,0.004724537246152349,-0.004539647477689757,0.00444015444015447
FULL,MOM12_1,LOW,ACT1_W10,10,0,0.027165857490407452,0.08737347254953978,0.08309845281282258,0.16950558117873293
FULL,MOM12_1,LOW,ACT5_KEEP_TOP50,10,0,0.00826900268466968,0.015016583590221788,0.07687116052587573,0.37028379129546446
FULL,MOM12_1,LOW,ACT5_KEEP_TOP70,10,0,0.02291930070209358,0.07053904855591756,0.0390287237101995,0.21931102864955015
FULL,MOM12_1,LOW,ACT5_W10,10,0,0.005980349993406575,0.01308146374394717,0.0696360631239068,0.17884410257951106
FULL,MOM12_1,LOW,RAW_TA_W10,10,0,0.0024015392269787217,0.011032859950729473,-0.057796697825005405,0.020849420849420874
FULL,MOM12_1,LOW,TURNOVER_W10,10,0,0.024612372672957683,0.08131056448764812,0.016587454639347854,0.04169884169884169
FULL,MOM12_1,LOW,ACT1_W10,10,30,0.013790471908811108,0.03836914193396865,0.05674485907685145,0.16950558117873293
FULL,MOM12_1,LOW,ACT5_KEEP_TOP50,10,30,-0.019242095183212737,-0.09544196624637492,0.03447640186141909,0.37028379129546446
FULL,MOM12_1,LOW,ACT5_KEEP_TOP70,10,30,0.005834006653250068,0.006625513528726798,0.012469471865729553,0.21931102864955015
FULL,MOM12_1,LOW,ACT5_W10,10,30,-0.0073975350415830254,-0.03755946254027906,0.044090366336774545,0.17884410257951106
FULL,MOM12_1,LOW,RAW_TA_W10,10,30,0.0007512811150321985,0.007483401220862218,-0.0557121465415934,0.020849420849420874
