date,factor,overlay,top_n,cost_bps,gross,net,benchmark,excess,turnover,eligible
2016-01-04,OP12_REV,BASE,10,0,-0.013475909250794019,-0.013475909250794019,-0.009377173995137834,-0.004098735255656185,1.0,158
2016-01-04,OP12_REV,BASE,10,30,-0.013475909250794019,-0.016475909250794018,-0.009377173995137834,-0.007098735255656184,1.0,158
2016-01-04,OP12_REV,BASE,10,60,-0.013475909250794019,-0.019475909250794017,-0.009377173995137834,-0.010098735255656183,1.0,158
2016-01-04,OP12_REV,BASE,20,0,0.01775300238065726,0.01775300238065726,-0.009377173995137834,0.027130176375795095,1.0,158
2016-01-04,OP12_REV,BASE,20,30,0.01775300238065726,0.01475300238065726,-0.009377173995137834,0.024130176375795093,1.0,158
2016-01-04,OP12_REV,BASE,20,60,0.01775300238065726,0.01175300238065726,-0.009377173995137834,0.021130176375795093,1.0,158
2016-01-04,OP12_REV,RAW_TA_W10,10,0,-0.0007868781967580024,-0.0007868781967580024,-0.009377173995137834,0.008590295798379832,1.0,158
2016-01-04,OP12_REV,RAW_TA_W10,10,30,-0.0007868781967580024,-0.0037868781967580027,-0.009377173995137834,0.005590295798379831,1.0,158
2016-01-04,OP12_REV,RAW_TA_W10,10,60,-0.0007868781967580024,-0.006786878196758003,-0.009377173995137834,0.0025902957983798313,1.0,158
2016-01-04,OP12_REV,RAW_TA_W10,20,0,0.006974430427200501,0.006974430427200501,-0.009377173995137834,0.016351604422338337,1.0,158
2016-01-04,OP12_REV,RAW_TA_W10,20,30,0.006974430427200501,0.003974430427200501,-0.009377173995137834,0.013351604422338334,1.0,158
2016-01-04,OP12_REV,RAW_TA_W10,20,60,0.006974430427200501,0.0009744304272005008,-0.009377173995137834,0.010351604422338335,1.0,158
2016-01-04,OP12_REV,TURNOVER_W10,10,0,0.0655622268780381,0.0655622268780381,-0.009377173995137834,0.07493940087317594,1.0,158
2016-01-04,OP12_REV,TURNOVER_W10,10,30,0.0655622268780381,0.0625622268780381,-0.009377173995137834,0.07193940087317593,1.0,158
2016-01-04,OP12_REV,TURNOVER_W10,10,60,0.0655622268780381,0.0595622268780381,-0.009377173995137834,0.06893940087317593,1.0,158
2016-01-04,OP12_REV,TURNOVER_W10,20,0,0.0040398481284449565,0.0040398481284449565,-0.009377173995137834,0.01341702212358279,1.0,158
2016-01-04,OP12_REV,TURNOVER_W10,20,30,0.0040398481284449565,0.0010398481284449564,-0.009377173995137834,0.010417022123582791,1.0,158
2016-01-04,OP12_REV,TURNOVER_W10,20,60,0.0040398481284449565,-0.0019601518715550437,-0.009377173995137834,0.00741702212358279,1.0,158
2016-01-04,OP12_REV,TURNOVER_W20,10,0,0.054791927273319295,0.054791927273319295,-0.009377173995137834,0.06416910126845712,1.0,158
2016-01-04,OP12_REV,TURNOVER_W20,10,30,0.054791927273319295,0.05179192727331929,-0.009377173995137834,0.06116910126845713,1.0,158
2016-01-04,OP12_REV,TURNOVER_W20,10,60,0.054791927273319295,0.0487919272733193,-0.009377173995137834,0.05816910126845713,1.0,158
2016-01-04,OP12_REV,TURNOVER_W20,20,0,0.005318317026940525,0.005318317026940525,-0.009377173995137834,0.014695491022078358,1.0,158
2016-01-04,OP12_REV,TURNOVER_W20,20,30,0.005318317026940525,0.0023183170269405248,-0.009377173995137834,0.011695491022078359,1.0,158
2016-01-04,OP12_REV,TURNOVER_W20,20,60,0.005318317026940525,-0.0006816829730594753,-0.009377173995137834,0.00869549102207836,1.0,158
2016-01-04,OPFY1_REV,BASE,10,0,-0.054927939883950026,-0.054927939883950026,-0.009377173995137834,-0.04555076588881219,1.0,158
2016-01-04,OPFY1_REV,BASE,10,30,-0.054927939883950026,-0.05792793988395003,-0.009377173995137834,-0.04855076588881219,1.0,158
2016-01-04,OPFY1_REV,BASE,10,60,-0.054927939883950026,-0.060927939883950025,-0.009377173995137834,-0.05155076588881219,1.0,158
2016-01-04,OPFY1_REV,BASE,20,0,-0.04963953637874304,-0.04963953637874304,-0.009377173995137834,-0.040262362383605206,1.0,158
2016-01-04,OPFY1_REV,BASE,20,30,-0.04963953637874304,-0.052639536378743045,-0.009377173995137834,-0.04326236238360521,1.0,158
2016-01-04,OPFY1_REV,BASE,20,60,-0.04963953637874304,-0.05563953637874304,-0.009377173995137834,-0.046262362383605204,1.0,158
2016-01-04,OPFY1_REV,RAW_TA_W10,10,0,-0.031218376124287524,-0.031218376124287524,-0.009377173995137834,-0.021841202129149688,1.0,158
2016-01-04,OPFY1_REV,RAW_TA_W10,10,30,-0.031218376124287524,-0.034218376124287526,-0.009377173995137834,-0.02484120212914969,1.0,158
2016-01-04,OPFY1_REV,RAW_TA_W10,10,60,-0.031218376124287524,-0.03721837612428752,-0.009377173995137834,-0.027841202129149686,1.0,158
2016-01-04,OPFY1_REV,RAW_TA_W10,20,0,-0.060138002764521505,-0.060138002764521505,-0.009377173995137834,-0.05076082876938367,1.0,158
2016-01-04,OPFY1_REV,RAW_TA_W10,20,30,-0.060138002764521505,-0.0631380027645215,-0.009377173995137834,-0.053760828769383665,1.0,158
2016-01-04,OPFY1_REV,RAW_TA_W10,20,60,-0.060138002764521505,-0.0661380027645215,-0.009377173995137834,-0.05676082876938367,1.0,158
2016-01-04,OPFY1_REV,TURNOVER_W10,10,0,-0.06094869905452742,-0.06094869905452742,-0.009377173995137834,-0.051571525059389584,1.0,158
2016-01-04,OPFY1_REV,TURNOVER_W10,10,30,-0.06094869905452742,-0.06394869905452742,-0.009377173995137834,-0.054571525059389586,1.0,158
2016-01-04,OPFY1_REV,TURNOVER_W10,10,60,-0.06094869905452742,-0.06694869905452742,-0.009377173995137834,-0.05757152505938959,1.0,158
2016-01-04,OPFY1_REV,TURNOVER_W10,20,0,-0.06151004078606594,-0.06151004078606594,-0.009377173995137834,-0.05213286679092811,1.0,158
