date,factor,direction,overlay,top_n,cost_bps,net,turnover
2016-01-04,OPFY1_REV,HIGH,BASE,10,60,-0.060927939883950025,1.0
2016-01-04,OPFY1_REV,HIGH,BASE,20,0,-0.04963953637874304,1.0
2016-01-04,OPFY1_REV,HIGH,BASE,20,30,-0.052639536378743045,1.0
2016-01-04,OPFY1_REV,HIGH,BASE,20,60,-0.05563953637874304,1.0
2016-01-04,OPFY1_REV,HIGH,RAW_TA_W10,10,0,-0.031218376124287524,1.0
2016-01-04,OPFY1_REV,HIGH,RAW_TA_W10,10,30,-0.034218376124287526,1.0
2016-01-04,OPFY1_REV,HIGH,RAW_TA_W10,10,60,-0.03721837612428752,1.0
2016-01-04,OPFY1_REV,HIGH,RAW_TA_W10,20,0,-0.060138002764521505,1.0
2016-01-04,OPFY1_REV,HIGH,RAW_TA_W10,20,30,-0.0631380027645215,1.0
2016-01-04,OPFY1_REV,HIGH,RAW_TA_W10,20,60,-0.0661380027645215,1.0
2016-01-04,OPFY1_REV,HIGH,MCAP_W10,10,0,-0.06472234134502634,1.0
2016-01-04,OPFY1_REV,HIGH,MCAP_W10,10,30,-0.06772234134502635,1.0
2016-01-04,OPFY1_REV,HIGH,MCAP_W10,10,60,-0.07072234134502635,1.0
2016-01-04,OPFY1_REV,HIGH,MCAP_W10,20,0,-0.058766863985045804,1.0
2016-01-04,OPFY1_REV,HIGH,MCAP_W10,20,30,-0.06176686398504581,1.0
2016-01-04,OPFY1_REV,HIGH,MCAP_W10,20,60,-0.0647668639850458,1.0
2016-01-04,OPFY1_REV,HIGH,TURNOVER_W10,10,0,-0.06094869905452742,1.0
2016-01-04,OPFY1_REV,HIGH,TURNOVER_W10,10,30,-0.06394869905452742,1.0
2016-01-04,OPFY1_REV,HIGH,TURNOVER_W10,10,60,-0.06694869905452742,1.0
2016-01-04,OPFY1_REV,HIGH,TURNOVER_W10,20,0,-0.06151004078606594,1.0
2016-01-04,OPFY1_REV,HIGH,TURNOVER_W10,20,30,-0.06451004078606594,1.0
2016-01-04,OPFY1_REV,HIGH,TURNOVER_W10,20,60,-0.06751004078606594,1.0
2016-01-04,OPFY1_REV,HIGH,RESID_TA_W10,10,0,-0.06094869905452742,1.0
