sample,factor,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,ACT1_W10,10,0,0.07556413379564186,0.2484759118148817,0.07927902112533403,0.08816008893829907
FULL,FOREIGN_FLOW,ACT1_W10,10,30,0.06566868867821096,0.2269946030581219,0.0772562961679053,0.08816008893829907
FULL,FOREIGN_FLOW,ACT1_W10,10,60,0.056449571797258624,0.20541312325542532,0.10757835864960219,0.08816008893829907
FULL,FOREIGN_FLOW,ACT1_W10,20,0,-0.0036656403540469285,-0.017053203189412003,-0.004260209243534985,0.025798116070489596
FULL,FOREIGN_FLOW,ACT1_W10,20,30,-0.005556798396575635,-0.023135069350540993,-0.005379021669466355,0.025798116070489596
FULL,FOREIGN_FLOW,ACT1_W10,20,60,-0.007314505704238861,-0.029160771739858773,-0.01005628141928705,0.025798116070489596
FULL,FOREIGN_FLOW,ACT1_W20,10,0,0.005212583282274252,0.017536694369973294,-0.007049071593199008,0.2107281823235131
FULL,FOREIGN_FLOW,ACT1_W20,10,30,-0.010778123790114336,-0.04733197911819631,-0.018958806354477442,0.2107281823235131
FULL,FOREIGN_FLOW,ACT1_W20,10,60,-0.025338705915540882,-0.11223446410464578,-0.06928370003143014,0.2107281823235131
FULL,FOREIGN_FLOW,ACT1_W20,20,0,-0.01452949338351317,-0.05919796106307473,-0.01731164214899461,0.1143195168486999
FULL,FOREIGN_FLOW,ACT1_W20,20,30,-0.022807127786660164,-0.09305989121638752,-0.029060810643311785,0.1143195168486999
FULL,FOREIGN_FLOW,ACT1_W20,20,60,-0.030447608564503348,-0.12695418759004537,-0.06245387330114238,0.1143195168486999
FULL,FOREIGN_FLOW,ACT5_GT1,10,0,0.008101855005221426,0.027625589037483023,0.01565520133130982,0.27337409672040025
FULL,FOREIGN_FLOW,ACT5_GT1,10,30,-0.012740580077623576,-0.060203709566243255,-0.06226046685911013,0.27337409672040025
FULL,FOREIGN_FLOW,ACT5_GT1,10,60,-0.03163226367402938,-0.14784578714900556,-0.10673856538492599,0.27337409672040025
FULL,FOREIGN_FLOW,ACT5_GT1,20,0,-0.02203942034921802,-0.08034730937330814,-0.011492581276362324,0.30544989744208495
FULL,FOREIGN_FLOW,ACT5_GT1,20,30,-0.04441561902044466,-0.19811657382079736,-0.068988869835787,0.30544989744208495
FULL,FOREIGN_FLOW,ACT5_GT1,20,60,-0.0647870670309455,-0.3157907150937632,-0.17819288966804026,0.30544989744208495
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,10,0,0.0742464685338784,0.259749083522811,0.07968732050079119,0.2161756531406337
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,10,30,0.05415277830551268,0.18954405695470916,0.04911762862268154,0.2161756531406337
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,10,60,0.03572114407251137,0.11964262397646018,-0.019607003614730223,0.2161756531406337
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,20,0,0.008748144384540746,0.043406899029308055,0.04418222454382159,0.23241290206270748
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,20,30,-0.009659077967865803,-0.04093545953032782,0.017816924389500666,0.23241290206270748
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,20,60,-0.026560261394275697,-0.12532810487673046,-0.05130477953778256,0.23241290206270748
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,10,0,0.06058073909815764,0.212989142650303,0.07211160132443872,0.13135075041689825
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,10,30,0.04784527324251364,0.16770765128734472,0.06732888118542402,0.13135075041689825
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,10,60,0.036074450205313635,0.12273179406984218,0.03688689519112154,0.13135075041689825
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,20,0,0.014726391600660804,0.06537456254662388,0.022394307364839827,0.14097321334675417
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,20,30,0.0031329275536411405,0.013489623944675011,0.00431522491165004,0.14097321334675417
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,20,60,-0.007598285943579697,-0.03830749878813612,-0.012279716282348252,0.14097321334675417
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,10,0,-0.04665951681517522,-0.17710630587821935,-0.08834050402153648,0.28426903835464157
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,10,30,-0.06518660232673479,-0.26874546719521986,-0.16409421556565884,0.28426903835464157
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,10,60,-0.08184161263621148,-0.36006151266753045,-0.17510256389876133,0.28426903835464157
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,20,0,-0.0027070405821980614,-0.0013331457920814915,0.019690494325176777,0.23241290206270748
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,20,30,-0.020575023677106508,-0.08885436619383069,-0.005935041218021464,0.23241290206270748
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,20,60,-0.03696089291333615,-0.17618321473955567,-0.0855535683330535,0.23241290206270748
FULL,FOREIGN_FLOW,ACT5_W10,10,0,0.037873288032377106,0.12767386464347968,0.009035630038632059,0.09360755975541957
FULL,FOREIGN_FLOW,ACT5_W10,10,30,0.029168648579593004,0.10209933542456458,0.00703831782524067,0.09360755975541957
FULL,FOREIGN_FLOW,ACT5_W10,10,60,0.021111046250668508,0.07656900824731104,-0.0203156910761515,0.09360755975541957
FULL,FOREIGN_FLOW,ACT5_W10,20,0,-0.015668945043313176,-0.0617563376457379,-0.02275838688031373,0.02696543124558698
FULL,FOREIGN_FLOW,ACT5_W10,20,30,-0.017215785872558564,-0.07068525530420364,-0.02822642912243012,0.02696543124558698
FULL,FOREIGN_FLOW,ACT5_W10,20,60,-0.018637746414227774,-0.07963558296379399,-0.0329010808958885,0.02696543124558698
FULL,FOREIGN_FLOW,ACT5_W20,10,0,0.040466529751651104,0.1411580380905813,0.04294670566785341,0.21033907726514722
FULL,FOREIGN_FLOW,ACT5_W20,10,30,0.022599399590342406,0.07474489705424524,-0.02560037466981757,0.21033907726514722
FULL,FOREIGN_FLOW,ACT5_W20,10,60,0.00625797334294298,0.008615443133748256,-0.06896878044148491,0.21033907726514722
FULL,FOREIGN_FLOW,ACT5_W20,20,0,-0.025013706219154663,-0.09830683544021901,-0.0032486761515552187,0.12171251295764918
FULL,FOREIGN_FLOW,ACT5_W20,20,30,-0.03345841806480632,-0.14021792035777186,-0.014541307767327982,0.12171251295764918
FULL,FOREIGN_FLOW,ACT5_W20,20,60,-0.041233546187840475,-0.18192573144742258,-0.08996938950035294,0.12171251295764918
FULL,FOREIGN_FLOW,RAW_TA_W10,10,0,0.009574162511601925,0.03206630494151147,0.004489175168357895,-0.0050193050193050315
FULL,FOREIGN_FLOW,RAW_TA_W10,10,30,0.009553549766721181,0.03576097224436013,-0.016179976008503516,-0.0050193050193050315
FULL,FOREIGN_FLOW,RAW_TA_W10,10,60,0.009519558567627096,0.03957275329659047,-0.034212268841847915,-0.0050193050193050315
FULL,FOREIGN_FLOW,RAW_TA_W10,20,0,-0.014822883754765481,-0.06219896328560581,0.0017128647258246588,-0.005212355212355246
FULL,FOREIGN_FLOW,RAW_TA_W10,20,30,-0.013901402798962126,-0.05617941705325713,0.002387651505265209,-0.005212355212355246
FULL,FOREIGN_FLOW,RAW_TA_W10,20,60,-0.01302370512121065,-0.05027796483486628,0.0029817794624938943,-0.005212355212355246
FULL,FOREIGN_FLOW,TURNOVER_W10,10,0,0.004888184883039104,0.016793003121777728,0.04073946309461807,-0.002702702702702675
FULL,FOREIGN_FLOW,TURNOVER_W10,10,30,0.004849820525677728,0.021822484942537287,-0.003988322572712977,-0.002702702702702675
FULL,FOREIGN_FLOW,TURNOVER_W10,10,60,0.004806755869977586,0.027016635188360248,-0.024109247847874382,-0.002702702702702675
FULL,FOREIGN_FLOW,TURNOVER_W10,20,0,-0.0008051190327473812,-0.009217473456065273,-0.024512601246128862,-0.002702702702702675
FULL,FOREIGN_FLOW,TURNOVER_W10,20,30,-0.0005623681416313531,-0.0028281496358724123,-0.023423686805220778,-0.002702702702702675
FULL,FOREIGN_FLOW,TURNOVER_W10,20,60,-0.0003347413849855707,0.0035459503070567056,-0.02251144327582355,-0.002702702702702675
FULL,FOREIGN_FLOW,TURNOVER_W20,10,0,0.010848022535123514,0.03685953314929613,0.027403508639759933,0.019691119691119696
FULL,FOREIGN_FLOW,TURNOVER_W20,10,30,0.008887822875671247,0.03631523604038868,-0.03509952268065997,0.019691119691119696
FULL,FOREIGN_FLOW,TURNOVER_W20,10,60,0.0070606807715054565,0.03594187510741249,-0.05111462740257111,0.019691119691119696
FULL,FOREIGN_FLOW,TURNOVER_W20,20,0,-0.030489118763895373,-0.12420406941958917,-0.06288409925557137,0.003281853281853264
FULL,FOREIGN_FLOW,TURNOVER_W20,20,30,-0.029746523265888447,-0.11482975111495894,-0.06324473131774,0.003281853281853264
FULL,FOREIGN_FLOW,TURNOVER_W20,20,60,-0.02901817362150394,-0.10537470929673648,-0.09367690901428705,0.003281853281853264
FULL,MOM12_1,ACT1_W10,10,0,0.027165857490407452,0.08737347254953978,0.08309845281282258,0.16950558117873293
FULL,MOM12_1,ACT1_W10,10,30,0.013790471908811108,0.03836914193396865,0.05674485907685145,0.16950558117873293
FULL,MOM12_1,ACT1_W10,10,60,0.0010996594240639812,-0.010640248611859205,0.03462715049012821,0.16950558117873293
FULL,MOM12_1,ACT1_W10,20,0,0.021746147565357754,0.0820787476194467,0.04424277155440992,0.05711881976473418
FULL,MOM12_1,ACT1_W10,20,30,0.01702692495382141,0.06551922543870112,0.03414015432279882,0.05711881976473418
FULL,MOM12_1,ACT1_W10,20,60,0.012482054601438586,0.048909828105176655,0.025209809193809107,0.05711881976473418
FULL,MOM12_1,ACT1_W20,10,0,0.011015069318971449,0.02580034863124278,0.08143410314307908,0.3698946862370988
FULL,MOM12_1,ACT1_W20,10,30,-0.01655741524432741,-0.08728747135168287,0.02079786753052215,0.3698946862370988
FULL,MOM12_1,ACT1_W20,10,60,-0.042304327439582234,-0.20040080781746109,-0.027311772960156966,0.3698946862370988
FULL,MOM12_1,ACT1_W20,20,0,0.027845312711120673,0.10495421752762232,0.03656403219898707,0.22034839174916995
FULL,MOM12_1,ACT1_W20,20,30,0.010562317369825824,0.03634751246654172,0.0057127678388425585,0.22034839174916995
FULL,MOM12_1,ACT1_W20,20,60,-0.005869516112598561,-0.03232642254986703,-0.019793580321956217,0.22034839174916995
FULL,MOM12_1,ACT5_GT1,10,0,0.012969063029109718,0.02849903002906584,0.08425461658932121,0.45744332436939433
FULL,MOM12_1,ACT5_GT1,10,30,-0.021080012618907684,-0.1157490492526336,0.033030703927148575,0.45744332436939433
FULL,MOM12_1,ACT5_GT1,10,60,-0.052670462175875565,-0.25994977680115555,-0.010170560156861241,0.45744332436939433
FULL,MOM12_1,ACT5_GT1,20,0,0.04143663333430836,0.16185228361860057,0.12466548897413243,0.47273166023166024
FULL,MOM12_1,ACT5_GT1,20,30,0.004520310936283467,5.231236598454703e-05,0.08060332923621938,0.47273166023166024
FULL,MOM12_1,ACT5_GT1,20,60,-0.029932810093459494,-0.16174239094636997,-0.005304830608489963,0.47273166023166024
FULL,MOM12_1,ACT5_KEEP_TOP50,10,0,0.00826900268466968,0.015016583590221788,0.07687116052587573,0.37028379129546446
FULL,MOM12_1,ACT5_KEEP_TOP50,10,30,-0.019242095183212737,-0.09544196624637492,0.03447640186141909,0.37028379129546446
FULL,MOM12_1,ACT5_KEEP_TOP50,10,60,-0.04492802059715095,-0.20574200613149127,0.0008927305001099617,0.37028379129546446
FULL,MOM12_1,ACT5_KEEP_TOP50,20,0,0.04350426989251588,0.16841392137447517,0.1489762128872899,0.3732666796869132
FULL,MOM12_1,ACT5_KEEP_TOP50,20,30,0.013983490920877029,0.043319487673481843,0.08786145657922584,0.3732666796869132
FULL,MOM12_1,ACT5_KEEP_TOP50,20,60,-0.013774000177533274,-0.08160797573155731,0.03827867597031087,0.3732666796869132
FULL,MOM12_1,ACT5_KEEP_TOP70,10,0,0.02291930070209358,0.07053904855591756,0.0390287237101995,0.21931102864955015
FULL,MOM12_1,ACT5_KEEP_TOP70,10,30,0.005834006653250068,0.006625513528726798,0.012469471865729553,0.21931102864955015
FULL,MOM12_1,ACT5_KEEP_TOP70,10,60,-0.01031082578220377,-0.056867317487212216,-0.009102865751699052,0.21931102864955015
