sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,0.06797233801740621,0.38581238366462206,-0.42441044200140354,0.5146718146718147
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,0.2018229676888872,0.7395901692673225,-0.42441044200140354,0.5302325581395348
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,0.02726356883129899,0.23227235573313126,-0.4401823923274436,0.5146718146718147
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,0.15481132981901458,0.6117425231775093,-0.42958879829628405,0.5302325581395348
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,0.08919630947802792,0.49512214366978513,-0.3869501668983526,0.4554054054054054
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,0.17200644373679008,0.7143142272718026,-0.3869501668983525,0.4726744186046512
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,0.05240722822207933,0.3406520018151013,-0.391678310997437,0.4554054054054054
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,0.13103251610067157,0.5835971957965755,-0.391678310997437,0.4726744186046512
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,0.016810447978456544,0.18612037585961633,-0.4299266949662929,0.4554054054054054
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,0.0914335435208169,0.45287696524681514,-0.39637747812812063,0.4726744186046512
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,0,0.13199903020363202,0.6151932275035433,-0.40500465026671917,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,0,0.16047235948804062,0.649580616223805,-0.4050046502667193,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,30,0.08825812108585396,0.46042082854619576,-0.40987486429820286,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,30,0.11358614429138636,0.5097507031557162,-0.40987486429820286,0.547674418604651
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,60,0.0461376179034263,0.30548205007819207,-0.47642818663954967,0.5231660231660231
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,60,0.06851789909917305,0.3698525049953837,-0.4147135590653044,0.547674418604651
