sample,overlay,n_configs,return_improve_share,sharpe_improve_share,mdd_improve_share,median_return_delta,median_sharpe_delta,median_turnover_delta
FULL,MCAP_W10,96,0.5833333333333334,0.6041666666666666,0.4479166666666667,0.003399855073105751,0.008149756264173975,-0.004054054054054068
FULL,RAW_TA_W10,96,0.6770833333333334,0.71875,0.59375,0.0039122435596427585,0.020280449098054876,-0.00019305019305010385
FULL,RESID_TA_W10,96,0.5729166666666666,0.5625,0.5416666666666666,0.0018534391438830289,0.006518731406172457,0.008397683397683375
FULL,TURNOVER_W10,96,0.65625,0.65625,0.5833333333333334,0.004137982176084853,0.016091092087305345,0.009942084942084983
OOS_2023_PLUS,MCAP_W10,96,0.6875,0.6875,0.3958333333333333,0.026454693659878736,0.048161916954290396,-0.00639534883720938
OOS_2023_PLUS,RAW_TA_W10,96,0.6666666666666666,0.6145833333333334,0.2916666666666667,0.01452039108509584,0.04237532458981036,-0.0005813953488372214
OOS_2023_PLUS,RESID_TA_W10,96,0.59375,0.5208333333333334,0.2708333333333333,0.004459279041367115,0.004488404798370968,0.010755813953488388
OOS_2023_PLUS,TURNOVER_W10,96,0.5729166666666666,0.5,0.34375,0.006832284837127389,-0.0010197143917751728,0.011046511627907069
