source,destination,status,directional,val_r2,conf_r2,reverse_val_r2,reverse_conf_r2,coef_sign_stable,val_placebo_p,conf_placebo_p
OPFY1_REV,MOM12_1,FAIL,False,-0.0007129026056538201,-0.006592279178352145,-0.009802996015788379,-0.008659583198002085,False,0.8389261744966443,0.9896907216494846
MOM1M,FOREIGN_FLOW,FAIL,False,-0.005190938211452778,-0.00803075566175293,0.007532018182387579,-0.004390557669832873,True,0.7114093959731543,0.7628865979381443
FOREIGN_FLOW,OPFY1_REV,FAIL,False,-0.009047107570967272,-0.008377705922065548,-0.030886693328985526,-0.0680481602791474,False,0.9463087248322147,0.9381443298969072
MOM12_1,OPFY1_REV,FAIL,False,-0.009802996015788379,-0.008659583198002085,-0.0007129026056538201,-0.006592279178352145,False,0.8456375838926175,0.8762886597938144
PBR12MF,PRIVATE_FLOW,FAIL,False,0.0036612482258916446,-0.008742176356596243,-0.007205232563255004,-0.0011902817068776272,False,0.18791946308724833,0.7319587628865979
PRIVATE_FLOW,MOM1M,FAIL,False,0.010589967396266387,-0.00876516294816998,-0.01106515968294497,0.012689178041206617,True,0.10738255033557047,0.6804123711340206
PER12MF,OP12_REV,FAIL,False,-0.00371324992602462,-0.008842291826477666,-0.005401686022514562,-0.005199325929352794,False,0.6778523489932886,0.865979381443299
FOREIGN_FLOW,PRIVATE_FLOW,FAIL,False,0.004506089634059407,-0.009557306756849515,0.007916883640734507,0.008022527260123424,True,0.1476510067114094,0.7216494845360825
FOREIGN_FLOW,PER12MF,FAIL,False,-0.030542659243053327,-0.011454461151894302,0.007434571697577774,0.000530587368243074,True,0.8187919463087249,0.6185567010309279
OP12_REV,FOREIGN_FLOW,FAIL,False,-0.024831971392309526,-0.013780693233758967,0.0015101900575956728,-0.000474819948218963,False,0.9395973154362416,0.8041237113402062
OPFY1_REV,PER12MF,FAIL,False,-0.0016008182167503993,-0.014194574818103822,0.001567677981422988,-0.0010470171089089764,False,0.3825503355704698,0.7525773195876289
OP12_REV,PBR12MF,FAIL,False,-0.015200956291669065,-0.014441627052200312,0.0020054867153377343,-0.019570574704454113,False,0.825503355704698,0.7525773195876289
PBR12MF,OP12_REV,FAIL,False,0.0020054867153377343,-0.019570574704454113,-0.015200956291669065,-0.014441627052200312,False,0.3624161073825503,0.8247422680412371
FOREIGN_FLOW,PBR12MF,FAIL,False,-0.04050723453673988,-0.01981006257086415,0.011944463071924094,0.012470640286483481,True,0.9530201342281879,0.7525773195876289
OPFY1_REV,OP12_REV,FAIL,False,0.007836939950388588,-0.02938156154281457,-0.006582306879744371,0.005758326217833121,True,0.2214765100671141,0.9381443298969072
OPFY1_REV,PBR12MF,FAIL,False,-0.003644398731293519,-0.03069910831621203,0.0004142151963046903,-0.001724439364284125,True,0.33557046979865773,0.7938144329896907
OPFY1_REV,FOREIGN_FLOW,FAIL,False,-0.030886693328985526,-0.0680481602791474,-0.009047107570967272,-0.008377705922065548,True,0.6778523489932886,0.9381443298969072
