source,destination,status,directional,val_r2,conf_r2,reverse_val_r2,reverse_conf_r2,coef_sign_stable,val_placebo_p,conf_placebo_p
PBR12MF,MOM1M,FAIL,False,0.00909842171558839,0.0194255296276431,-0.060635032723393545,0.010575013881613415,True,0.14093959731543623,0.09278350515463918
OP12_REV,MOM1M,FAIL,False,-0.02879451748299089,0.01750272554405885,0.0005061762918082691,-0.0017190186874316282,True,0.6375838926174496,0.041237113402061855
OP12_REV,MOM12_1,FAIL,False,0.009071192286135066,0.01585387841986796,0.0031819983790214446,-0.003397804601648735,True,0.006711409395973154,0.13402061855670103
OPFY1_REV,MOM1M,FAIL,False,-0.019516728815154982,0.014171582758707446,0.0022234520336142927,-0.0006275002710403044,True,0.5906040268456376,0.05154639175257732
MOM1M,MOM12_1,FAIL,False,-0.023757078103845197,0.012707123571214951,0.011062482637054338,9.233565645550001e-05,True,0.7785234899328859,0.20618556701030927
MOM12_1,PBR12MF,FAIL,False,-0.03131313033500671,0.012702248213029121,-0.005933313649635563,0.005456257439797052,True,0.6241610738255033,0.16494845360824742
MOM1M,PRIVATE_FLOW,FAIL,False,-0.01106515968294497,0.012689178041206617,0.010589967396266387,-0.00876516294816998,True,0.6577181208053692,0.030927835051546393
PBR12MF,FOREIGN_FLOW,FAIL,False,0.011944463071924094,0.012470640286483481,-0.04050723453673988,-0.01981006257086415,False,0.04697986577181208,0.12371134020618557
MOM12_1,PER12MF,FAIL,False,-0.01041640049846726,0.010844182571786987,-0.0001683062222015419,3.7486677178733e-05,False,0.6711409395973155,0.31958762886597936
MOM1M,PBR12MF,FAIL,False,-0.060635032723393545,0.010575013881613415,0.00909842171558839,0.0194255296276431,True,0.8523489932885906,0.15463917525773196
PRIVATE_FLOW,FOREIGN_FLOW,FAIL,False,0.007916883640734507,0.008022527260123424,0.004506089634059407,-0.009557306756849515,True,0.2080536912751678,0.13402061855670103
PER12MF,MOM1M,FAIL,False,0.007963585122359174,0.007685129008506597,-0.07968665814145726,-0.004463247159131267,True,0.14093959731543623,0.23711340206185566
PBR12MF,PER12MF,FAIL,False,-0.003740971350844724,0.006337498377938289,-0.0003145594602846913,0.004074487874628052,True,0.4966442953020134,0.422680412371134
OP12_REV,OPFY1_REV,FAIL,False,-0.006582306879744371,0.005758326217833121,0.007836939950388588,-0.02938156154281457,True,0.9463087248322147,0.6185567010309279
PBR12MF,MOM12_1,FAIL,False,-0.005933313649635563,0.005456257439797052,-0.03131313033500671,0.012702248213029121,False,0.9865771812080537,0.26804123711340205
PRIVATE_FLOW,OPFY1_REV,FAIL,False,-0.007077232243341447,0.004867500688035098,-0.0010476114645336931,0.0015746882405395235,False,0.9932885906040269,0.1134020618556701
PER12MF,PBR12MF,FAIL,False,-0.0003145594602846913,0.004074487874628052,-0.003740971350844724,0.006337498377938289,False,0.06711409395973154,0.09278350515463918
PRIVATE_FLOW,MOM12_1,FAIL,False,-0.005694552015700571,0.0037829696257798417,-0.0005163981431046683,-0.0009406927240684926,False,0.785234899328859,0.1958762886597938
OPFY1_REV,PRIVATE_FLOW,FAIL,False,-0.0010476114645336931,0.0015746882405395235,-0.007077232243341447,0.004867500688035098,False,0.8791946308724832,0.1134020618556701
PRIVATE_FLOW,OP12_REV,FAIL,False,-0.001990793259253998,0.0011757484218537506,-0.00019412751420122554,0.00015052287538264153,False,0.9261744966442953,0.35051546391752575
MOM12_1,FOREIGN_FLOW,FAIL,False,0.001249461574423072,0.0005406050767658988,1.7347371019549307e-05,0.0004923857237921769,False,0.10738255033557047,0.5360824742268041
PER12MF,FOREIGN_FLOW,FAIL,False,0.007434571697577774,0.000530587368243074,-0.030542659243053327,-0.011454461151894302,False,0.2348993288590604,0.4845360824742268
FOREIGN_FLOW,MOM12_1,FAIL,False,1.7347371019549307e-05,0.0004923857237921769,0.001249461574423072,0.0005406050767658988,False,0.3825503355704698,0.020618556701030927
OP12_REV,PRIVATE_FLOW,FAIL,False,-0.00019412751420122554,0.00015052287538264153,-0.001990793259253998,0.0011757484218537506,False,0.7181208053691275,0.3917525773195876
MOM12_1,MOM1M,FAIL,False,0.011062482637054338,9.233565645550001e-05,-0.023757078103845197,0.012707123571214951,True,0.04697986577181208,0.35051546391752575
PER12MF,MOM12_1,FAIL,False,-0.0001683062222015419,3.7486677178733e-05,-0.01041640049846726,0.010844182571786987,False,0.9530201342281879,0.5360824742268041
PRIVATE_FLOW,PER12MF,FAIL,False,-0.0033606408823443346,-0.0003946426164478378,0.0030850587332529322,-0.0014507580808176268,False,0.7516778523489933,0.4020618556701031
FOREIGN_FLOW,OP12_REV,FAIL,False,0.0015101900575956728,-0.000474819948218963,-0.024831971392309526,-0.013780693233758967,False,0.35570469798657717,0.8041237113402062
MOM1M,OPFY1_REV,FAIL,False,0.0022234520336142927,-0.0006275002710403044,-0.019516728815154982,0.014171582758707446,False,0.14093959731543623,0.31958762886597936
MOM12_1,PRIVATE_FLOW,FAIL,False,-0.0005163981431046683,-0.0009406927240684926,-0.005694552015700571,0.0037829696257798417,False,0.6711409395973155,0.6907216494845361
PER12MF,OPFY1_REV,FAIL,False,0.001567677981422988,-0.0010470171089089764,-0.0016008182167503993,-0.014194574818103822,False,0.2483221476510067,0.7216494845360825
PRIVATE_FLOW,PBR12MF,FAIL,False,-0.007205232563255004,-0.0011902817068776272,0.0036612482258916446,-0.008742176356596243,True,0.7248322147651006,0.3917525773195876
PER12MF,PRIVATE_FLOW,FAIL,False,0.0030850587332529322,-0.0014507580808176268,-0.0033606408823443346,-0.0003946426164478378,False,0.1476510067114094,0.4742268041237113
MOM1M,OP12_REV,FAIL,False,0.0005061762918082691,-0.0017190186874316282,-0.02879451748299089,0.01750272554405885,False,0.1610738255033557,0.7938144329896907
PBR12MF,OPFY1_REV,FAIL,False,0.0004142151963046903,-0.001724439364284125,-0.003644398731293519,-0.03069910831621203,False,0.3288590604026846,0.7938144329896907
MOM12_1,OP12_REV,FAIL,False,0.0031819983790214446,-0.003397804601648735,0.009071192286135066,0.01585387841986796,True,0.37583892617449666,0.711340206185567
FOREIGN_FLOW,MOM1M,FAIL,False,0.007532018182387579,-0.004390557669832873,-0.005190938211452778,-0.00803075566175293,False,0.0738255033557047,0.5773195876288659
MOM1M,PER12MF,FAIL,False,-0.07968665814145726,-0.004463247159131267,0.007963585122359174,0.007685129008506597,True,0.9798657718120806,0.28865979381443296
OP12_REV,PER12MF,FAIL,False,-0.005401686022514562,-0.005199325929352794,-0.00371324992602462,-0.008842291826477666,False,0.912751677852349,0.845360824742268
