source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2
MOM1M,MOM12_1,DISC_2016_2019,194,0.09680789004718114,0.6336047420347043,0.627699215535888,0.009320521307734753
MOM1M,MOM12_1,VAL_2020_2022,149,0.09680789004718114,1.0206922752801748,1.0449409413839974,-0.023757078103845197
MOM1M,MOM12_1,CONF_2023_2024,97,0.09680789004718114,0.8728576443674089,0.8617661344203527,0.012707123571214951
MOM1M,MOM12_1,STRESS_2025,49,0.09680789004718114,1.651587753391029,1.7059476808876257,-0.03291373854340174
MOM1M,MOM12_1,STRESS_2026,29,0.09680789004718114,4.158817854049353,4.238372420303268,-0.019129129730087735
MOM1M,OP12_REV,DISC_2016_2019,194,-0.004252149289723062,0.4579219039364728,0.45791170241274554,2.227786799358089e-05
MOM1M,OP12_REV,VAL_2020_2022,149,-0.004252149289723062,0.6870936591299827,0.6867458686094793,0.0005061762918082691
MOM1M,OP12_REV,CONF_2023_2024,97,-0.004252149289723062,0.6972431817853288,0.6984417558445021,-0.0017190186874316282
MOM1M,OP12_REV,STRESS_2025,49,-0.004252149289723062,0.5723921346592167,0.5741097499595549,-0.003000766775666408
MOM1M,OP12_REV,STRESS_2026,29,-0.004252149289723062,1.5895147391934494,1.5856342729364126,0.002441289886374931
MOM1M,OPFY1_REV,DISC_2016_2019,194,-0.015155572896260322,0.442826437608445,0.4426940635133352,0.0002989299731621653
MOM1M,OPFY1_REV,VAL_2020_2022,149,-0.015155572896260322,0.7945692050443424,0.7928025185295392,0.0022234520336142927
MOM1M,OPFY1_REV,CONF_2023_2024,97,-0.015155572896260322,0.9437913771557375,0.9443836065007082,-0.0006275002710403044
MOM1M,OPFY1_REV,STRESS_2025,49,-0.015155572896260322,0.8434291915231442,0.844627496176608,-0.0014207531177570232
MOM1M,OPFY1_REV,STRESS_2026,29,-0.015155572896260322,0.6890438172974821,0.6956531866463402,-0.009592088605890003
MOM1M,PBR12MF,DISC_2016_2019,194,-0.16478889759936044,0.6896198122387451,0.6720887457572607,0.025421349808052107
MOM1M,PBR12MF,VAL_2020_2022,149,-0.16478889759936044,0.96343124195579,1.021848926838519,-0.060635032723393545
MOM1M,PBR12MF,CONF_2023_2024,97,-0.16478889759936044,1.1914834089963655,1.1788834554065168,0.010575013881613415
MOM1M,PBR12MF,STRESS_2025,49,-0.16478889759936044,1.1439415535144748,1.1653616445024275,-0.01872481240159951
