source,destination,period,observed_r2,placebo_p,observed_percentile,placebo_q90
MOM1M,MOM12_1,VAL_2020_2022,-0.023757078103845197,0.7785234899328859,0.22297297297297297,0.017607278592583583
MOM1M,MOM12_1,CONF_2023_2024,0.012707123571214951,0.20618556701030927,0.8020833333333334,0.023234264398364013
MOM1M,MOM12_1,STRESS_2025,-0.03291373854340174,0.9387755102040817,0.0625,0.02822550222064377
MOM1M,MOM12_1,STRESS_2026,-0.019129129730087735,0.7931034482758621,0.21428571428571427,0.03195910009130492
MOM1M,OP12_REV,VAL_2020_2022,0.0005061762918082691,0.1610738255033557,0.8445945945945946,0.0007166750371297105
MOM1M,OP12_REV,CONF_2023_2024,-0.0017190186874316282,0.7938144329896907,0.20833333333333334,0.00046560544688345473
MOM1M,OP12_REV,STRESS_2025,-0.003000766775666408,0.9183673469387755,0.08333333333333333,0.0012310756546097257
MOM1M,OP12_REV,STRESS_2026,0.002441289886374931,0.3793103448275862,0.6428571428571429,0.0038357182499714213
MOM1M,OPFY1_REV,VAL_2020_2022,0.0022234520336142927,0.14093959731543623,0.8648648648648649,0.002808031680652446
MOM1M,OPFY1_REV,CONF_2023_2024,-0.0006275002710403044,0.31958762886597936,0.6875,0.0024797513018512962
MOM1M,OPFY1_REV,STRESS_2025,-0.0014207531177570232,0.24489795918367346,0.7708333333333334,0.0013137490524228108
MOM1M,OPFY1_REV,STRESS_2026,-0.009592088605890003,0.5517241379310345,0.4642857142857143,4.231994914820633e-05
MOM1M,PBR12MF,VAL_2020_2022,-0.060635032723393545,0.8523489932885906,0.14864864864864866,0.008407227845764774
MOM1M,PBR12MF,CONF_2023_2024,0.010575013881613415,0.15463917525773196,0.8541666666666666,0.01829863424147088
MOM1M,PBR12MF,STRESS_2025,-0.01872481240159951,0.4897959183673469,0.5208333333333334,0.04780330095635638
MOM1M,PBR12MF,STRESS_2026,-0.03791850605323077,0.5517241379310345,0.4642857142857143,0.030139605719050958
MOM1M,PER12MF,VAL_2020_2022,-0.07968665814145726,0.9798657718120806,0.02027027027027027,0.00336124852574648
MOM1M,PER12MF,CONF_2023_2024,-0.004463247159131267,0.28865979381443296,0.71875,0.012739585883465854
MOM1M,PER12MF,STRESS_2025,0.005743357719810271,0.30612244897959184,0.7083333333333334,0.029954341713140768
MOM1M,PER12MF,STRESS_2026,-0.009964805860789738,0.3793103448275862,0.6428571428571429,0.049981416378879956
MOM1M,PRIVATE_FLOW,VAL_2020_2022,-0.01106515968294497,0.6577181208053692,0.34459459459459457,0.00423907725523011
MOM1M,PRIVATE_FLOW,CONF_2023_2024,0.012689178041206617,0.030927835051546393,0.9791666666666666,0.00512614423976715
MOM1M,PRIVATE_FLOW,STRESS_2025,-0.03550845334056052,0.9795918367346939,0.020833333333333332,0.026760305737947576
MOM1M,PRIVATE_FLOW,STRESS_2026,-0.024281177758686878,0.6551724137931034,0.35714285714285715,-0.0031937265687731007
MOM1M,FOREIGN_FLOW,VAL_2020_2022,-0.005190938211452778,0.7114093959731543,0.2905405405405405,0.002678119365431221
MOM1M,FOREIGN_FLOW,CONF_2023_2024,-0.00803075566175293,0.7628865979381443,0.23958333333333334,0.0050870073277046735
MOM1M,FOREIGN_FLOW,STRESS_2025,-0.0011518234672409644,0.6938775510204082,0.3125,0.007008030461859266
MOM1M,FOREIGN_FLOW,STRESS_2026,-0.007444599923539741,0.896551724137931,0.10714285714285714,0.010893947523373759
MOM12_1,MOM1M,VAL_2020_2022,0.011062482637054338,0.04697986577181208,0.9594594594594594,0.0021980230872633514
