source,destination,coef_2016_17,coef_2018_19,same_sign
MOM1M,MOM12_1,0.04990662735162582,0.12114490123457025,True
MOM1M,OP12_REV,-0.043281837410641566,0.008277525267616236,False
MOM1M,OPFY1_REV,-0.043292104403609255,0.003568611788862086,False
MOM1M,PBR12MF,-0.20649642810987617,-0.14827203899733143,True
MOM1M,PER12MF,-0.19392502542826984,-0.1466324566280009,True
MOM1M,PRIVATE_FLOW,-0.09677395497799675,-0.0005746540512154008,True
MOM1M,FOREIGN_FLOW,-0.00340532946265254,-0.01549153086572054,True
MOM12_1,MOM1M,0.11874669649915133,0.18161793465411658,True
MOM12_1,OP12_REV,0.12467187432684583,0.03381564775636946,True
MOM12_1,OPFY1_REV,0.15005390884055073,-0.021330170677499843,False
MOM12_1,PBR12MF,-0.316080942541289,-0.019085052947390345,True
MOM12_1,PER12MF,-0.2635265292670214,0.06472632514525506,False
MOM12_1,PRIVATE_FLOW,-0.005059132091305953,0.005752712779705082,False
MOM12_1,FOREIGN_FLOW,0.07334848274148895,-0.05938182768536583,False
OP12_REV,MOM1M,0.26564856064913983,0.08316802532590203,True
OP12_REV,MOM12_1,-0.005452040765371341,-0.11203533146285756,True
OP12_REV,OPFY1_REV,0.040954317582599986,0.05563194086680528,True
OP12_REV,PBR12MF,-0.3027782355862806,0.00620370701336747,False
OP12_REV,PER12MF,-0.2588034482163902,0.07720875521690196,False
OP12_REV,PRIVATE_FLOW,0.012001261024853733,-0.004604636725270686,False
OP12_REV,FOREIGN_FLOW,0.06247372448375347,-0.09805688150561316,False
OPFY1_REV,MOM1M,0.10860982490158638,0.13086324596598153,True
OPFY1_REV,MOM12_1,-0.07860325838075877,0.04620560116687715,False
OPFY1_REV,OP12_REV,0.0886542778767709,0.17172786929323722,True
OPFY1_REV,PBR12MF,-0.31716001347280404,-0.01495585562483467,True
OPFY1_REV,PER12MF,-0.24526362310027786,0.03515562986322234,False
OPFY1_REV,PRIVATE_FLOW,-0.12248876760490594,0.07869248145549003,False
OPFY1_REV,FOREIGN_FLOW,-0.009859432273533215,-0.1561696215285915,True
PBR12MF,MOM1M,-0.09750206371089883,-0.07274269053428079,True
PBR12MF,MOM12_1,-0.10444156202216681,0.07694832279992561,False
PBR12MF,OP12_REV,-0.1534708116967399,0.014617497783267347,False
PBR12MF,OPFY1_REV,-0.08153326303972155,0.11596287068430428,False
PBR12MF,PER12MF,0.21896796109446603,0.07166357111133172,True
PBR12MF,PRIVATE_FLOW,-0.06117309934027244,0.00944390546630957,False
PBR12MF,FOREIGN_FLOW,-0.10472112879907886,0.0610186541758295,False
PER12MF,MOM1M,-0.1147858063124146,-0.047109204071829905,True
PER12MF,MOM12_1,-0.14115836262202222,0.1373512560079892,False
PER12MF,OP12_REV,-0.15391713941750818,0.06585745032943421,False
PER12MF,OPFY1_REV,-0.07225539367529216,0.09276668501508939,False
PER12MF,PBR12MF,-0.10043632606736999,0.01711882667787433,False
PER12MF,PRIVATE_FLOW,-0.10026359129918053,0.06852034392618267,False
PER12MF,FOREIGN_FLOW,-0.1047470944905865,0.029468705440057814,False
PRIVATE_FLOW,MOM1M,-0.0729234323400872,-0.054299774411664725,True
PRIVATE_FLOW,MOM12_1,0.10211166366086018,-0.04545675787140085,False
PRIVATE_FLOW,OP12_REV,0.030656995981663354,-0.01941845680196674,False
PRIVATE_FLOW,OPFY1_REV,0.14356672623864486,-0.09427072206173405,False
PRIVATE_FLOW,PBR12MF,-0.10483836593509924,-0.00994225791386534,True
PRIVATE_FLOW,PER12MF,0.006601870165372281,-0.04642999920475646,False
PRIVATE_FLOW,FOREIGN_FLOW,0.011452518574532385,0.19722068435227286,True
FOREIGN_FLOW,MOM1M,0.022131114905792226,-0.08478574871119096,False
FOREIGN_FLOW,MOM12_1,0.018449804963554334,-0.02889445413937882,False
FOREIGN_FLOW,OP12_REV,-0.0439506768411482,0.03560556381010917,False
FOREIGN_FLOW,OPFY1_REV,0.12516467113653978,-0.010328093469186589,False
FOREIGN_FLOW,PBR12MF,-0.09850771783160019,-0.16166279082566387,True
FOREIGN_FLOW,PER12MF,-0.2069259511562195,-0.13093989952468293,True
FOREIGN_FLOW,PRIVATE_FLOW,-0.05144535387414009,-0.1004040192708955,True
