universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,benchmark_cagr,excess_cagr,information_ratio,relative_mdd,turnover_x,base_cagr,base_mdd,base_sharpe,base_excess_cagr,delta_cagr,delta_excess_cagr,delta_sharpe,delta_mdd
K200,WEIGHTED_MOM_R1M_GE_P0,0,PRE_STRESS_2017_2024,0,1954,-0.08229620202559962,-0.6167846781308851,-0.24596388866834562,0.017997874163432792,-0.09852090926167378,-0.5138118356431961,-0.6293876560521113,12.775124671469511,-0.06772843866625178,-0.5596108279191625,-0.18010018861101515,-0.08421069926116642,-0.01456776335934784,-0.014310210000507362,-0.06586370005733047,-0.05717385021172261
K200,WEIGHTED_MOM_R1M_GE_P0,0,PRE_STRESS_2017_2024,30,1954,-0.11683005857456163,-0.6705016261577311,-0.4087640470041777,0.017997874163432792,-0.13244421836223674,-0.7272316206735444,-0.7080658860988118,12.775124671469511,-0.10030197687821307,-0.620664964214988,-0.3311346621557083,-0.11620834782082556,-0.016528081696348562,-0.01623587054141118,-0.07762938484846937,-0.049836661942743166
K200,WEIGHTED_MOM_R1M_GE_P0,0,PRE_STRESS_2017_2024,60,1954,-0.1501183286217529,-0.7307298958141473,-0.5711005000741561,0.017997874163432792,-0.16514396252874308,-0.9388811876283043,-0.7701331470546982,12.775124671469511,-0.13178362109678265,-0.6874431447590119,-0.4817446354464101,-0.1471334067208162,-0.01833470752497024,-0.018010555807926876,-0.08935586462774603,-0.04328675105513535
K200,WEIGHTED_MOM_R1M_GE_P0,0,EARLY_2017_2019,0,723,-0.10686135609338088,-0.4232259587158512,-0.549425121414146,0.021706704930798848,-0.1258365638629022,-0.831456309813865,-0.34502261484981733,13.113602885945363,-0.09140403787944329,-0.4062841112175407,-0.43697084525474233,-0.11070764463457561,-0.015457318213937588,-0.015128919228326598,-0.11245427615940368,-0.016941847498310514
K200,WEIGHTED_MOM_R1M_GE_P0,0,EARLY_2017_2019,30,723,-0.1413439314791034,-0.45926937210565755,-0.7713956391581515,0.021706704930798848,-0.15958653850758986,-1.0883148193277166,-0.41096910806709863,13.113602885945363,-0.12471711549508879,-0.4401503066101804,-0.6422252353742712,-0.1433129681142743,-0.01662681598401461,-0.016273570393315562,-0.12917040378388023,-0.01911906549547715
K200,WEIGHTED_MOM_R1M_GE_P0,0,EARLY_2017_2019,60,723,-0.1745490747829921,-0.49311594297962436,-0.9913953456454055,0.021706704930798848,-0.19208622079766435,-1.341285770568681,-0.4703675516316196,13.113602885945363,-0.15685799689202629,-0.47346497218335104,-0.8459615212961445,-0.17477099931033413,-0.0176910778909658,-0.017315221487330223,-0.145433824349261,-0.019650970796273315
K200,WEIGHTED_MOM_R1M_GE_P0,0,LATE_2020_2022,0,742,-0.12263960086697567,-0.5047463882805784,-0.32668978066122983,0.0031120961055546292,-0.125361559750644,-0.616116705254951,-0.40981026256721287,12.76870531204498,-0.09610648930536114,-0.5155442425031922,-0.23528114080222376,-0.09891076560248513,-0.02653311156161453,-0.026450794148158874,-0.09140863985900607,0.010797854222613812
K200,WEIGHTED_MOM_R1M_GE_P0,0,LATE_2020_2022,30,742,-0.15564026273729925,-0.5322844698490258,-0.46441035151603555,0.0031120961055546292,-0.15825983901419216,-0.8159914893585513,-0.46070172503064977,12.76870531204498,-0.12710419542386697,-0.5368480844508143,-0.3638565461808559,-0.12981230316628356,-0.02853606731343228,-0.0284475358479086,-0.10055380533517966,0.004563614601788557
K200,WEIGHTED_MOM_R1M_GE_P0,0,LATE_2020_2022,60,742,-0.18745358390713296,-0.562480488524979,-0.6020370235599793,0.0031120961055546292,-0.18997446123173367,-1.0147991699606642,-0.5129995173227075,12.76870531204498,-0.15708237708548323,-0.5572449803951699,-0.49228608393747336,-0.15969747928767875,-0.030371206821649732,-0.030276981944054926,-0.10975093962250598,-0.005235508129809108
K200,WEIGHTED_MOM_R1M_GE_P0,0,NORMAL_2023_2024,0,489,0.02270672815271224,-0.24267172073719256,0.21361249908074095,0.03542592171588388,-0.012284020803819296,-0.0023341380042867406,-0.16024024001598514,12.284415909970443,0.01491838406126389,-0.21922273780560986,0.18342507311644693,-0.019805895549374508,0.0077883440914483515,0.007521874745555213,0.030187425964294023,-0.023448982931582707
K200,WEIGHTED_MOM_R1M_GE_P0,0,NORMAL_2023_2024,30,489,-0.014325035210126957,-0.25716860872908376,0.05922097866337467,0.03542592171588388,-0.04804878444955729,-0.19120265696142794,-0.17338864707767632,12.284415909970443,-0.018946822046500666,-0.22487332229524448,0.0455600806122942,-0.05251244209945827,0.004621786836373709,0.004463657649900976,0.013660898051080471,-0.032295286433839276
K200,WEIGHTED_MOM_R1M_GE_P0,0,NORMAL_2023_2024,60,489,-0.05006948867278982,-0.2714102337281763,-0.0947549559672292,0.03542592171588388,-0.08257028204103056,-0.37879395261065135,-0.18635215198345711,12.284415909970443,-0.051727699542896466,-0.2367345945538658,-0.09198432473731002,-0.08417175910986552,0.0016582108701066467,0.0016014770688349556,-0.0027706312299191765,-0.03467563917431049
K200,WEIGHTED_MOM_R1M_GE_P0,0,BULL_2025,0,242,0.5551064079965176,-0.21967302454498183,1.571519378276143,0.8474539436294959,-0.1582434769976646,-0.6917696930005474,-0.31654670404980023,11.598019060861745,0.5301137325244758,-0.21630338679448324,1.5119634016575965,-0.17177164940933598,0.02499267547204176,0.013528172411671369,0.0595559766185465,-0.0033696377504985886
K200,WEIGHTED_MOM_R1M_GE_P0,0,BULL_2025,30,242,0.501889985726528,-0.22299913143778216,1.4602040155433251,0.8474539436294959,-0.18704875382391173,-0.8537939334140959,-0.3289430769841455,11.598019060861745,0.4822540723329092,-0.2194103807190303,1.4110437248118515,-0.1976773886872193,0.01963591339361881,0.010628634863307562,0.049160290731473655,-0.0035887507187518652
K200,WEIGHTED_MOM_R1M_GE_P0,0,BULL_2025,60,242,0.4504202059792679,-0.22631578397432817,1.3481570638975802,0.8474539436294959,-0.21490859840880117,-1.0147519239248044,-0.34113243114667346,11.598019060861745,0.4358303129317942,-0.22250916212613048,1.3095321764479873,-0.2228058957123591,0.014589893047473712,0.007897297303557926,0.038624887449592915,-0.003806621848197689
K200,WEIGHTED_MOM_R1M_GE_P0,0,YTD_2026,0,147,1.3362552157402323,-0.30762276488941764,1.8107072641174502,1.0477770274712994,0.14087382776490864,0.1510226988901593,-0.21251035619102399,11.99326525152909,0.9217574685969914,-0.3877776849553053,1.383707190165538,-0.06153968776079277,0.41449774714324095,0.20241351552570142,0.4270000739519122,0.08015492006588765
K200,WEIGHTED_MOM_R1M_GE_P0,0,YTD_2026,30,147,1.2536261775702888,-0.31116897551152123,1.745985128530139,1.0477770274712994,0.10052322461747143,0.06101403910082625,-0.2153764033829284,11.99326525152909,0.862202039025153,-0.3904137858583655,1.331769482844186,-0.09062265371504341,0.3914241385451358,0.19114587833251484,0.41421564568595315,0.07924481034684427
K200,WEIGHTED_MOM_R1M_GE_P0,0,YTD_2026,60,147,1.1737933644362246,-0.3147033323065005,1.6809146275066555,1.0477770274712994,0.061538114391556764,-0.02875202452819186,-0.21823554621923857,11.99326525152909,0.8044161406340411,-0.3930414634986362,1.2796556475793939,-0.11884149669252331,0.3693772238021835,0.18037961108408007,0.40125897992726167,0.07833813119213573
K200,WEIGHTED_MOM_R1M_GE_P0,1,PRE_STRESS_2017_2024,0,1953,-0.09398523156628902,-0.5809626007735869,-0.3053069427877513,0.018824562896068375,-0.11072543651842115,-0.5882337727543947,-0.5996603300717582,13.018150996989066,-0.07730890775666233,-0.5237105664890473,-0.22985783979493582,-0.09435723691178577,-0.016676323809626692,-0.01636819960663538,-0.07544910299281546,-0.05725203428453951
K200,WEIGHTED_MOM_R1M_GE_P0,1,PRE_STRESS_2017_2024,30,1953,-0.12871551220015742,-0.6777176856545828,-0.4715288480998811,0.018824562896068375,-0.14481401457070686,-0.8031345510337694,-0.7004620817376728,13.018150996989066,-0.10962044715164221,-0.6243304689023554,-0.38232675076182165,-0.12607176419323685,-0.019095065048515214,-0.018742250377470016,-0.08920209733805945,-0.05338721675222735
K200,WEIGHTED_MOM_R1M_GE_P0,1,PRE_STRESS_2017_2024,60,1953,-0.16216924688121126,-0.7522411660009121,-0.636636185994624,0.018824562896068375,-0.1776496330857924,-1.0159001075371685,-0.7781895385659219,13.018150996989066,-0.1408464653192688,-0.7037980079262585,-0.5339106818265946,-0.15672082714757352,-0.02132278156194245,-0.020928805938218886,-0.10272550416802939,-0.0484431580746536
K200,WEIGHTED_MOM_R1M_GE_P0,1,EARLY_2017_2019,0,722,-0.0847588594990687,-0.36698725224335704,-0.38373623483483144,0.023957745064612457,-0.1061729403265762,-0.6255222663723699,-0.2979212821293097,13.18589751472754,-0.0831258040819316,-0.373626941790301,-0.36629679763252193,-0.1045780938350993,-0.001633055417137097,-0.0015948464914768978,-0.017439437202309505,0.006639689546943939
K200,WEIGHTED_MOM_R1M_GE_P0,1,EARLY_2017_2019,30,722,-0.12028554701387428,-0.40495228562481544,-0.5949118823118441,0.023957745064612457,-0.14086840279662582,-0.8662016253626497,-0.3690043331804247,13.18589751472754,-0.1162921213045437,-0.4094229962767326,-0.5603840929137895,-0.13696841207085764,-0.003993425709330589,-0.0038999907257681876,-0.034527789398054565,0.004470710651917176
