universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,benchmark_cagr,excess_cagr,information_ratio,relative_mdd,turnover_x
K200,WEIGHTED_MOM,0,PRE_STRESS_2017_2024,0,1954,-0.06772843866625178,-0.5596108279191625,-0.18010018861101515,0.017997874163432792,-0.08421069926116642,-0.41906342476670005,-0.5728597390637433,11.846135530693125
K200,WEIGHTED_MOM,0,PRE_STRESS_2017_2024,30,1954,-0.10030197687821307,-0.620664964214988,-0.3311346621557083,0.017997874163432792,-0.11620834782082556,-0.6129876744710302,-0.6580802001425881,11.846135530693125
K200,WEIGHTED_MOM,0,PRE_STRESS_2017_2024,60,1954,-0.13178362109678265,-0.6874431447590119,-0.4817446354464101,0.017997874163432792,-0.1471334067208162,-0.8054976098310044,-0.7297439223408152,11.846135530693125
K200,WEIGHTED_MOM,0,EARLY_2017_2019,0,723,-0.09140403787944329,-0.4062841112175407,-0.43697084525474233,0.021706704930798848,-0.11070764463457561,-0.6974918652519754,-0.3161574413588183,12.441421352193435
K200,WEIGHTED_MOM,0,EARLY_2017_2019,30,723,-0.12471711549508879,-0.4401503066101804,-0.6422252353742712,0.021706704930798848,-0.1433129681142743,-0.9356539082686508,-0.38163423347655234,12.441421352193435
K200,WEIGHTED_MOM,0,EARLY_2017_2019,60,723,-0.15685799689202629,-0.47346497218335104,-0.8459615212961445,0.021706704930798848,-0.17477099931033413,-1.17082644561666,-0.440927916215722,12.441421352193435
K200,WEIGHTED_MOM,0,LATE_2020_2022,0,742,-0.09610648930536114,-0.5155442425031922,-0.23528114080222376,0.0031120961055546292,-0.09891076560248513,-0.4701913607101376,-0.41594711083842073,11.623204493762518
K200,WEIGHTED_MOM,0,LATE_2020_2022,30,742,-0.12710419542386697,-0.5368480844508143,-0.3638565461808559,0.0031120961055546292,-0.12981230316628356,-0.6495936464978083,-0.46007683378609354,11.623204493762518
K200,WEIGHTED_MOM,0,LATE_2020_2022,60,742,-0.15708237708548323,-0.5572449803951699,-0.49228608393747336,0.0031120961055546292,-0.15969747928767875,-0.8280657277374689,-0.5009305865606006,11.623204493762518
K200,WEIGHTED_MOM,0,NORMAL_2023_2024,0,489,0.01491838406126389,-0.21922273780560986,0.18342507311644693,0.03542592171588388,-0.019805895549374508,-0.03156474024714613,-0.16383194440418214,11.304260644103735
K200,WEIGHTED_MOM,0,NORMAL_2023_2024,30,489,-0.018946822046500666,-0.22487332229524448,0.0455600806122942,0.03542592171588388,-0.05251244209945827,-0.20021590520855878,-0.1833223412041235,11.304260644103735
