universe,strategy,period,cost_bp,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases,sharpe_better_phases,mdd_better_phases
KOSDAQ,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,0.2614688077850206,0.34159982504981345,0.28605032879416153,0.08956890201838902,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,0.008428007366415913,0.0060894838181733135,0.021151730813154357,0.003197960393546362,7,7,7,7
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,0.005067450871924728,0.003661382666432289,0.014914177914310045,0.0026940352187415084,7,7,6,7
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,0.001931129818406374,0.0013952982322767427,0.00795942920580811,0.0012320116119138302,6,6,6,6
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,0.034631600375882754,0.034155554761225504,0.1026836794176513,0.000996051264595732,9,9,9,7
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,0.029448394168165137,0.02904350957660251,0.08789072262769848,0.0005598086732382379,9,9,9,5
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,0.024593663938817956,0.02425542635159228,0.07317043356772648,-4.656195755287085e-05,9,9,9,5
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,0.036968376178701357,0.03645805566654747,0.09280274476043976,0.020953649403537278,10,10,10,6
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,0.03113308313141422,0.030703314432574402,0.07852507653259305,0.023910561057927215,10,10,8,6
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,0.025679942149287316,0.02532544994312813,0.06420277692177144,0.02738492894689043,8,8,8,9
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,0.01734227420671458,0.01695773643011611,0.04464485672687307,-0.0002769399772384329,6,6,6,5
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,0.012669853748611293,0.012388919579756408,0.03293609287749591,-0.0035785400463183015,6,6,6,4
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,0.008315332839775036,0.008130953353914727,0.021221865125745837,-0.005969702052483761,6,6,6,4
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,0.027076742249772356,0.026679337573018103,0.07175821748438874,0.02361120465017469,9,9,9,8
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,0.022220058968075274,0.021893705887719217,0.0591334729202876,0.03314372766838203,8,8,8,8
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,0.017680815225057378,0.017420869840679087,0.04658891254791141,0.026413486473555348,8,8,8,7
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,0.1858330393200619,0.22225326402741674,0.26515999664706896,0.06401672246715295,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,30,10,0.17452791094446757,0.208732516097349,0.2544183676066792,0.06277111002118646,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,0.1637844949004671,0.19588356689369657,0.24368475690983518,0.06175260030064672,10,10,10,10
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,-0.014518687319586943,-0.008053379094961566,-0.020057437859467453,0.0047811987214657625,3,3,3,6
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,30,10,-0.018384253990336386,-0.010197572514873632,-0.03091994880870358,0.00456239818023918,2,2,2,6
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,60,10,-0.021974955828775733,-0.012189301001435227,-0.04185686838696551,0.004317667473791642,2,2,2,6
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,0,10,0.027096686594111685,0.026527762285612155,0.12605168558584268,0.041793721520638094,9,9,9,9
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,30,10,0.02367567246885327,0.023179057003256176,0.11274486134943312,0.03541495416148588,9,9,9,9
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,EARLY_2017_2019,60,10,0.020478879054243337,0.020049827634807393,0.09961568026428913,0.03007468331771085,9,9,9,9
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,0,10,-0.0035332781694615845,-0.003515544435407303,-0.0059793949470595305,0.015767889478141173,5,5,5,7
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,30,10,-0.007314428140584639,-0.007277716589105643,-0.018069634029184045,0.013053118595810154,4,4,5,7
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,LATE_2020_2022,60,10,-0.01081960687501543,-0.010765302622223027,-0.03018941984091307,0.010272335566770818,4,4,4,7
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,0,10,0.013416903052670515,0.01291871655785759,0.03950897263077295,0.01636884243084319,6,6,6,8
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,30,10,0.008716707899840415,0.008393045566002066,0.02436507854968748,0.013051483740145031,6,6,6,7
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,NORMAL_2023_2024,60,10,0.004326761312955785,0.004166103220403228,0.009306348991282673,0.01000901003471949,6,6,6,7
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,0,10,0.00776578555373203,0.007626361059568543,0.016265532972792554,0.003446565595096318,9,9,9,5
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,30,10,0.0041483968967314655,0.004073738225513213,0.0025098361675143233,0.005665121175993049,7,7,5,6
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,PRE_STRESS_2017_2024,60,10,0.0007858769631275964,0.0007714214767096106,-0.010144296356744104,0.0024683002768668416,6,6,4,7
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,0,10,0.243335505056819,0.12310980555038392,0.3288961442795804,0.06670526077525768,10,10,10,10
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,30,10,0.22834135225567015,0.11552387091535721,0.31436035868514356,0.06520031634228607,10,10,10,10
KOSPI_ALL,WEIGHTED_MOM_R1M_GE_P0,YTD_2026,60,10,0.21408048580232503,0.10830892505021728,0.29978077879489307,0.06370647664823187,10,10,10,10
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE_P0,BULL_2025,0,10,-0.025166992952161515,-0.018719616645804182,-0.049174630946575815,-0.008623654722981489,2,2,2,4
