date,UNIVERSE_POS20_BREADTH,SELECTED_POS20_BREADTH,SELECTED_RET20_DISPERSION,SELECTED_TOP5_POS_CONC,SELECTED_ACT5_GT1_SHARE,SELECTED_ACT5_RANK_MEDIAN,HOLDING_RETENTION_4STATE,MOMENTUM_OVERLAP,OP12_OVERLAP,ALL_FACTOR_MULTIPLICITY,value,is_high,GROSS_FWD5,GROSS_FWD5_NPHASE,GROSS_FWD10,GROSS_FWD10_NPHASE,GROSS_FWD20,GROSS_FWD20_NPHASE,NET60_FWD5,NET60_FWD5_NPHASE,NET60_FWD10,NET60_FWD10_NPHASE,NET60_FWD20,NET60_FWD20_NPHASE,sample,OPFY1_POS_BREADTH,OPFY1_MEDIAN_RAW,OPFY1_P75_RAW,OP12_POS_BREADTH,DUAL_UPGRADE_BREADTH,SELECTED_OPFY1_POS_SHARE,SELECTED_OPFY1_MEDIAN_RAW,SELECTED_DUAL_UPGRADE_SHARE,OPFY1_POS_BREADTH_ACCEL_4STATE,SELECTED_OPFY1_MEDIAN_ACCEL_4STATE
2016-02-01,0.3486616334934797,0.75,0.184395835512938,0.7006288923941927,0.5,0.7271777003484321,,0.45,0.4,0.2071428571428571,0.75,True,-0.0624646304567003,10,-0.0644330128146068,10,-0.0360100154056811,10,-0.063802519188665,10,-0.0675358468212213,10,-0.0423740152127486,10,EARLY_2016_2019,0.9204545454545454,22.29522462995635,44.78706189707307,0.6764705882352942,0.07407407407407407,1.0,146.6300695585145,0.75,,
2016-02-11,0.2772820864790666,0.75,0.1748894965499199,0.6413236474187682,0.45,0.6414701803051318,,0.55,0.95,0.3642857142857142,0.625,True,-0.002070009363564,10,0.0134973979464873,10,0.014486166889068,10,-0.0039791597265971,10,0.0099972202398916,10,0.0074150300764171,10,EARLY_2016_2019,0.2988505747126437,0.0,1.0380109891880565,0.6071428571428571,0.03285420944558522,1.0,11.26804461942255,1.0,,
2016-02-18,0.334248455730954,0.75,0.1161073393487805,0.5619340034357766,0.7,0.6819444444444445,,0.55,0.9,0.3928571428571429,0.5,False,0.0155679847788313,10,0.0304578079147906,10,0.0215211219074063,10,0.0140129971777603,10,0.0270663332878494,10,0.0148323249141916,10,EARLY_2016_2019,0.30337078651685395,0.0,1.0324208851749552,0.627906976744186,0.036935704514363885,1.0,11.26804461942255,1.0,,
2016-02-25,0.4348422496570645,0.75,0.111363297276709,0.55408666531386,0.4,0.6018068102849201,,0.45,0.9,0.3642857142857142,0.5,False,0.0146283022259685,10,0.0009458771533491,10,-0.0056244011359313,10,0.0128379766942857,10,-0.0025827532612972,10,-0.0120904174567458,10,EARLY_2016_2019,0.3333333333333333,0.0,0.910194174757273,0.5823529411764706,0.03761969904240766,1.0,10.8801987696202,0.95,,
2016-03-04,0.5509924709103354,0.7,0.1108051402191448,0.5554131373475986,0.55,0.6264767199444059,0.1,0.3,0.85,0.3,0.25,False,-0.0135310908971333,10,-0.0087193910188205,10,-0.0019978172564636,10,-0.0152710315446598,10,-0.0119604270334802,10,-0.0081761019744608,10,EARLY_2016_2019,0.3125,0.0,1.3200761871286975,0.6646706586826348,0.03551912568306011,1.0,9.99905891210242,0.95,-0.6079545454545454,-136.63101064641208
2016-03-11,0.7667578659370725,0.95,0.0890592280665551,0.5386223747705032,0.3,0.4490997229916897,0.25,0.35,0.8,0.3071428571428571,0.25,False,0.0048846994403591,10,-0.0065839973296326,10,0.0368381628783301,10,0.003377730750329,10,-0.0095523058647896,10,0.0305684585348795,10,EARLY_2016_2019,0.3615819209039548,0.0,1.84569338210841,0.6627218934911243,0.041638225255972695,1.0,11.5803114254396,0.95,0.0627313461913111,0.3122668060170497
2016-03-18,0.7954856361149111,0.7894736842105263,0.1394052155113484,0.66151219558175,0.3157894736842105,0.4656964656964657,0.2,0.15,0.85,0.2928571428571428,0.25,False,-0.0114043069059691,10,0.0067686996441361,10,-0.0039076004723964,10,-0.0128728146492242,10,0.003817434444032,10,-0.0096628105015196,10,EARLY_2016_2019,0.37572254335260113,0.0,2.31804381718223,0.6809815950920245,0.041638225255972695,1.0,13.89012289740935,0.95,0.07235175683574718,2.6220782779868
2016-03-25,0.7336065573770492,0.75,0.1438981917854868,0.7368655478525648,0.35,0.4729166666666666,0.3,0.3,0.8,0.3214285714285714,0.25,False,0.0183754258236425,10,0.0437041279528596,10,0.0165239632733015,10,0.0169032674648146,10,0.0405021045258527,10,0.0109035289811928,10,EARLY_2016_2019,0.3583815028901734,0.0,1.22578094108344,0.7073170731707317,0.039590443686006824,1.0,11.5791033044518,0.8,0.025048169556840083,0.6989045348316001
2016-04-01,0.6368600682593857,0.75,0.1190423898845792,0.6363640366143175,0.45,0.4812889812889813,0.35,0.4,0.75,0.3142857142857143,0.375,False,0.0248643275830017,10,-0.0106202582026624,10,-0.0262095613081621,10,0.0232040707768596,10,-0.0134457036784354,10,-0.0319904118659563,10,EARLY_2016_2019,0.3954802259887006,0.0,1.48557280259022,0.8154761904761905,0.04433833560709413,1.0,11.86019249908485,0.9,0.08298022598870058,1.8611335869824295
2016-04-08,0.6436860068259386,0.65,0.1298813984324328,0.8592093099890933,0.5,0.5932085932085932,0.15,0.15,0.65,0.2142857142857142,0.75,True,-0.0346173687675625,10,-0.0260505413596205,10,-0.0278455793857995,10,-0.0358055421057949,10,-0.0284541684555777,10,-0.0337499623857312,10,EARLY_2016_2019,0.36649214659685864,0.0,1.50636597253597,0.6483516483516484,0.043626448534423996,1.0,12.9344201740764,0.85,0.004910225692903836,1.3541087486368006
2016-04-18,0.5938566552901023,0.55,0.1020308464740779,0.7433220386492885,0.45,0.5114583333333333,0.35,0.1,0.7,0.2214285714285714,0.5,False,0.0088794739000104,10,-0.0157583481170513,10,-0.0011916494671402,10,0.0076330532671613,10,-0.0187978881278438,10,-0.0079250294360152,10,EARLY_2016_2019,0.3351063829787234,0.0,1.2160163707701326,0.5536723163841808,0.039509536784741145,1.0,14.03310104529615,0.85,-0.04061616037387772,0.14297814788679908
2016-04-25,0.6930422919508867,0.8,0.1366277005583265,0.6519514980597934,0.45,0.5260416666666667,0.3,0.2,0.75,0.2214285714285714,0.625,True,-0.0244249557794444,10,-0.0018354240977948,10,-0.0160513497892645,10,-0.0262355427713658,10,-0.0054432591354927,10,-0.0231708014156096,10,EARLY_2016_2019,0.3316062176165803,0.0,1.12493608317709,0.5597826086956522,0.04087193460490463,1.0,14.5600756859035,0.9,-0.026775285273593075,2.9809723814517
2016-05-02,0.558282208588957,0.65,0.1214127892994114,0.6857992192254362,0.5,0.6121593291404612,0.15,0.35,0.8,0.2571428571428571,0.625,True,0.0231751110634755,10,0.0148569940407153,10,0.0096099264909897,10,0.0213666075878946,10,0.0111356430861958,10,0.0027854037979546,10,EARLY_2016_2019,0.3862433862433862,0.0,2.27754237288135,0.6077348066298343,0.045609257998638526,1.0,13.190761334473901,0.9,-0.009236839745314362,1.3305688353890517
2016-05-11,0.5282890252215405,0.8,0.0983497749391386,0.6610235408306842,0.5,0.7060881735479356,0.2,0.3,0.8,0.2928571428571428,0.625,True,-0.0081375156782946,10,-0.0142343002533252,10,-0.0139881925539231,10,-0.0100232303905214,10,-0.0178149126670085,10,-0.020123712119551,10,EARLY_2016_2019,0.4074074074074074,0.0,2.99451946437651,0.6939890710382514,0.05037440435670524,1.0,15.0869553173218,1.0,0.04091526081054875,2.1525351432454
