feature,direction,train_q1,train_q2,train_cutoff,EARLY_2016_2019_n,EARLY_2016_2019_flag_rate,EARLY_2016_2019_n_bad,EARLY_2016_2019_n_rest,EARLY_2016_2019_bad_mean,EARLY_2016_2019_rest_mean,EARLY_2016_2019_bad_minus_rest,LATE_2020_2022_n,LATE_2020_2022_flag_rate,LATE_2020_2022_n_bad,LATE_2020_2022_n_rest,LATE_2020_2022_bad_mean,LATE_2020_2022_rest_mean,LATE_2020_2022_bad_minus_rest,OOS_2023_2024_n,OOS_2023_2024_flag_rate,OOS_2023_2024_n_bad,OOS_2023_2024_n_rest,OOS_2023_2024_bad_mean,OOS_2023_2024_rest_mean,OOS_2023_2024_bad_minus_rest,BULL_2025_n,BULL_2025_flag_rate,BULL_2025_n_bad,BULL_2025_n_rest,BULL_2025_bad_mean,BULL_2025_rest_mean,BULL_2025_bad_minus_rest,YTD_2026_n,YTD_2026_flag_rate,YTD_2026_n_bad,YTD_2026_n_rest,YTD_2026_bad_mean,YTD_2026_rest_mean,YTD_2026_bad_minus_rest,YTD_2026_negative_n,YTD_2026_negative_capture,pass_early,pass_late,pass_oos,pass_2025_control,pass_2026_capture,SCREEN_PASS
OPFY1_MEDIAN_RAW,LOW_BAD,0.0,0.0,0.0,97,0.9484536082474226,92,5,-0.000933130090092762,-0.01324809755895252,0.012314967468859758,70,0.9142857142857143,64,6,0.0037004750069378686,0.0026021164709681007,0.001098358535969768,39,0.9743589743589743,38,1,0.0008499854932052731,0.0728924952659416,-0.07204250977273632,22,1.0,22,0,0.04785921175122461,,,16,1.0,16,0,-0.07230184711487891,,,12,1.0,False,False,True,False,True,False
SELECTED_OPFY1_POS_SHARE,LOW_BAD,1.0,1.0,1.0,97,1.0,97,0,-0.0015679222276628524,,,70,1.0,70,0,0.0036063299895690315,,,39,1.0,39,0,0.0026972293335318443,,,22,1.0,22,0,0.04785921175122461,,,16,1.0,16,0,-0.07230184711487891,,,12,1.0,False,False,False,False,True,False
SELECTED_DUAL_UPGRADE_SHARE,LOW_BAD,0.9,0.95,0.9,97,0.5773195876288659,56,41,-0.01132738421313578,0.011762074630544071,-0.02308945884367985,70,0.38571428571428573,27,43,0.011948234197697256,-0.0016316098620463655,0.013579844059743622,39,0.5384615384615384,21,18,0.0043738900504328385,0.0007411251638140182,0.00363276488661882,22,0.5,11,11,0.03325294785016213,0.06246547565228708,-0.029212527802124945,16,0.875,14,2,-0.07289111808201275,-0.0681769503449421,-0.004714167737070646,12,0.8333333333333334,True,False,False,False,True,False
SELECTED_OPFY1_MEDIAN_ACCEL_4STATE,LOW_BAD,-3.5816647500642653,3.2069908174977653,-3.5816647500642653,97,0.30927835051546393,30,67,-0.009076976365799962,0.0017943408192642105,-0.010871317185064172,70,0.35714285714285715,25,45,-0.0024007069490037214,0.006943572733220557,-0.009344279682224278,39,0.3333333333333333,13,26,-0.0004649596607123703,0.004278323830653951,-0.004743283491366321,22,0.45454545454545453,10,12,0.04241881065539699,0.052392879331080965,-0.009974068675683977,16,0.4375,7,9,-0.06336222251739256,-0.07925488846847943,0.015892665951086876,12,0.4166666666666667,True,True,True,False,False,False
OPFY1_POS_BREADTH_ACCEL_4STATE,LOW_BAD,-0.02890017572196256,0.036364105224140006,-0.02890017572196256,97,0.30927835051546393,30,67,-0.02347957304759146,0.008243264706633538,-0.031722837754225,70,0.35714285714285715,25,45,0.005119994036389563,0.002765405519113181,0.0023545885172763822,39,0.1794871794871795,7,32,-0.011336745335396303,0.005767161292359876,-0.01710390662775618,22,0.5454545454545454,12,10,0.04307281467050555,0.053602888248087496,-0.010530073577581948,16,0.375,6,10,-0.04445139770320361,-0.08901211676188411,0.044560719058680504,12,0.3333333333333333,True,False,True,False,False,False
OPFY1_POS_BREADTH,LOW_BAD,0.3164947459751277,0.3724261634478353,0.3164947459751277,97,0.3402061855670103,33,64,-0.011833377972089441,0.0037252033905571056,-0.015558581362646547,70,0.32857142857142857,23,47,0.005089965774233242,0.0028802954566482467,0.002209670317584995,39,0.6153846153846154,24,15,0.005376570425758588,-0.0015897164140309468,0.006966286839789535,22,0.4090909090909091,9,13,0.04995161741738609,0.04641062321311282,0.0035409942042732706,16,0.125,2,14,-0.1634110441652187,-0.05928624753625895,-0.10412479662895976,12,0.16666666666666666,True,False,False,False,False,False
OPFY1_P75_RAW,LOW_BAD,0.8518762893121431,2.0745422426042563,0.8518762893121431,97,0.36082474226804123,35,62,-0.012815971194977661,0.00478178283453099,-0.017597754029508653,70,0.3,21,49,0.012305838539164454,-0.00012203081740043696,0.012427869356564892,39,0.6153846153846154,24,15,-0.004826502102924692,0.014735199631862298,-0.01956170173478699,22,0.5,11,11,0.03996595616791266,0.055752467334536544,-0.015786511166623884,16,0.125,2,14,-0.1634110441652187,-0.05928624753625895,-0.10412479662895976,12,0.16666666666666666,True,False,True,False,False,False
DUAL_UPGRADE_BREADTH,LOW_BAD,0.03593994725096368,0.04472341342772219,0.03593994725096368,97,0.35051546391752575,34,63,-0.004213437870699715,-0.0001401836266588318,-0.004073254244040883,70,0.3142857142857143,22,48,0.003496596864657427,0.003656624338486849,-0.00016002747382942197,39,0.6153846153846154,24,15,0.005376570425758588,-0.0015897164140309468,0.006966286839789535,22,0.5454545454545454,12,10,0.03570151840714004,0.06244844376412608,-0.026746925356986043,16,0.125,2,14,-0.1634110441652187,-0.05928624753625895,-0.10412479662895976,12,0.16666666666666666,True,True,False,False,False,False
SELECTED_OPFY1_MEDIAN_RAW,LOW_BAD,11.363257889687134,16.93788504540523,11.363257889687134,97,0.4639175257731959,45,52,-0.0036201021331476813,0.00020800269054517266,-0.003828104823692854,70,0.15714285714285714,11,59,0.022766963953590836,3.400840305649088e-05,0.022732955550534346,39,0.28205128205128205,11,28,-0.00871982976540332,0.0071825025509706574,-0.015902332316373977,22,0.22727272727272727,5,17,0.05408126871278186,0.046029194997825415,0.008052073714956448,16,0.0625,1,15,-0.2260073936494778,-0.06205481067923899,-0.16395258297023882,12,0.08333333333333333,True,False,True,True,False,False
OP12_POS_BREADTH,LOW_BAD,0.6617834536122473,0.7203585887796414,0.6617834536122473,97,0.44329896907216493,43,54,0.005359578556143911,-0.007084265444397866,0.012443844000541777,70,0.18571428571428572,13,57,-0.008192907258427818,0.006297384098761294,-0.014490291357189112,39,0.3076923076923077,12,27,-0.007274819300551234,0.007129250948679878,-0.014404070249231113,22,0.3181818181818182,7,15,0.06953787412954418,0.03774250264134216,0.03179537148820202,16,0.0625,1,15,-0.0393111852931221,-0.07450122456966271,0.03519003927654061,12,0.08333333333333333,False,True,True,True,False,False
