universe,horizon,topn,sample,family,n_dates,gross_delta,positive_date_rate
K200,5,20,YTD_2026,REVISION,28,0.002818950677727707,0.6071428571428571
K200,5,20,YTD_2026,VALUE,28,0.0014510262580054666,0.5714285714285714
K200,10,10,BULL_2025,FLOW,25,0.004574383731395289,0.64
K200,10,10,BULL_2025,MOMENTUM,25,-0.003100861726227108,0.44
K200,10,10,BULL_2025,REVISION,25,-0.0022476985489307995,0.48
K200,10,10,BULL_2025,VALUE,25,0.004404247736259851,0.64
K200,10,10,EARLY_2016_2019,FLOW,98,-0.00036465619179501226,0.47959183673469385
K200,10,10,EARLY_2016_2019,MOMENTUM,98,0.00012254633236329077,0.5102040816326531
K200,10,10,EARLY_2016_2019,REVISION,98,-0.0024340062576128896,0.42857142857142855
K200,10,10,EARLY_2016_2019,VALUE,98,-0.0016683831894805776,0.4387755102040816
K200,10,10,LATE_2020_2022,FLOW,75,0.0011568764036506125,0.56
K200,10,10,LATE_2020_2022,MOMENTUM,75,0.0026583732777999917,0.5733333333333334
K200,10,10,LATE_2020_2022,REVISION,75,0.002149413613254613,0.52
K200,10,10,LATE_2020_2022,VALUE,75,0.001327650056158111,0.48
K200,10,10,NORMAL_2023_2024,FLOW,48,-0.00045790604229249313,0.4583333333333333
K200,10,10,NORMAL_2023_2024,MOMENTUM,48,0.0008842676687383909,0.5208333333333334
K200,10,10,NORMAL_2023_2024,REVISION,48,0.0010312749101996572,0.5416666666666666
K200,10,10,NORMAL_2023_2024,VALUE,48,0.002153006094409641,0.5208333333333334
K200,10,10,YTD_2026,FLOW,13,0.009845041537161058,0.6923076923076923
K200,10,10,YTD_2026,MOMENTUM,13,0.0029131895195324874,0.5384615384615384
K200,10,10,YTD_2026,REVISION,13,0.010820710226131108,0.6153846153846154
K200,10,10,YTD_2026,VALUE,13,0.007743775630535143,0.6923076923076923
K200,10,20,BULL_2025,FLOW,25,0.004209336073302548,0.64
K200,10,20,BULL_2025,MOMENTUM,25,0.0008369385261829278,0.48
K200,10,20,BULL_2025,REVISION,25,0.0028102552749886627,0.52
K200,10,20,BULL_2025,VALUE,25,0.0019658903760450246,0.6
K200,10,20,EARLY_2016_2019,FLOW,98,0.00036076343024121885,0.5408163265306123
K200,10,20,EARLY_2016_2019,MOMENTUM,98,0.00031932682466991123,0.5
K200,10,20,EARLY_2016_2019,REVISION,98,8.159604625287072e-05,0.45918367346938777
K200,10,20,EARLY_2016_2019,VALUE,98,0.0003180324767369022,0.5
K200,10,20,LATE_2020_2022,FLOW,75,-0.000773178504475141,0.4666666666666667
K200,10,20,LATE_2020_2022,MOMENTUM,75,-1.7174324793984177e-05,0.5333333333333333
K200,10,20,LATE_2020_2022,REVISION,75,0.0005225008454313085,0.5333333333333333
K200,10,20,LATE_2020_2022,VALUE,75,-6.384960833616222e-05,0.5066666666666667
K200,10,20,NORMAL_2023_2024,FLOW,48,0.0008580252935767345,0.6041666666666666
K200,10,20,NORMAL_2023_2024,MOMENTUM,48,-8.10652213831268e-05,0.5625
K200,10,20,NORMAL_2023_2024,REVISION,48,0.0018553800170049938,0.5833333333333334
K200,10,20,NORMAL_2023_2024,VALUE,48,0.00033276949080796096,0.5
K200,10,20,YTD_2026,FLOW,13,0.0034173081988352447,0.6153846153846154
K200,10,20,YTD_2026,MOMENTUM,13,0.001372519674224532,0.6153846153846154
K200,10,20,YTD_2026,REVISION,13,0.004916244135503652,0.6923076923076923
K200,10,20,YTD_2026,VALUE,13,0.0014976922251078765,0.5384615384615384
K200,20,10,BULL_2025,FLOW,12,0.005016223830352021,0.6666666666666666
K200,20,10,BULL_2025,MOMENTUM,12,-0.007479073953434739,0.25
K200,20,10,BULL_2025,REVISION,12,-0.006467246815367138,0.3333333333333333
K200,20,10,BULL_2025,VALUE,12,0.009823083133644855,0.9166666666666666
K200,20,10,EARLY_2016_2019,FLOW,49,-0.00042377887302995213,0.5102040816326531
