date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,KOSPI_EX_K200,PBR12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.02443632331014162,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PER12MF,VALUE,5,10,BASE,-0.007173054084255617,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PER12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.0071730540842556145,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PER12MF,VALUE,5,20,BASE,-0.008285702990202292,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PER12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.007510025563154725,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM1M,MOMENTUM,5,10,BASE,0.003233156050568705,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM1M,MOMENTUM,5,10,CROSS_FAMILY_W20,0.002535054727445519,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM1M,MOMENTUM,5,20,BASE,-0.00785844411747773,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM1M,MOMENTUM,5,20,CROSS_FAMILY_W20,-0.00762259828625172,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM12_1,MOMENTUM,5,10,BASE,0.05190948830083978,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM12_1,MOMENTUM,5,10,CROSS_FAMILY_W20,0.04450078153573974,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM12_1,MOMENTUM,5,20,BASE,0.027799517633885395,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,MOM12_1,MOMENTUM,5,20,CROSS_FAMILY_W20,0.023018558551485945,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,10,BASE,0.018378483172852424,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,10,CROSS_FAMILY_W20,0.01421183753345765,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,20,BASE,-0.0017660910643806996,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,5,20,CROSS_FAMILY_W20,-0.0017660910643806996,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,10,BASE,0.0009860631523702958,1.0,EARLY_2016_2019
2016-01-04,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,5,10,CROSS_FAMILY_W20,-0.017303223316584418,1.0,EARLY_2016_2019
