universe,horizon,topn,sample,metric,mean,ci025,ci975,p_gt0,n_dates
K200,5,10,YTD_2026,net_0,0.003966115270477195,-0.0002376696912557891,0.008534399884327647,0.96625,28
K200,5,10,YTD_2026,net_30,0.003867008127620053,-0.00036644659744911214,0.008424656940862462,0.9615,28
K200,5,10,YTD_2026,net_60,0.00376790098476291,-0.000499469434992616,0.008337976444224791,0.95425,28
K200,5,20,BULL_2025,gross_delta,0.0010608893664213188,1.945722289163111e-05,0.0021912729601943374,0.97625,49
K200,5,20,BULL_2025,net_0,0.0010608893664213188,-2.5589040727632935e-05,0.0021194830051500667,0.97275,49
K200,5,20,BULL_2025,net_30,0.0010142056929519309,-5.1754457051979176e-05,0.0021262181575706952,0.96775,49
K200,5,20,BULL_2025,net_60,0.0009675220194825432,-8.40902156214718e-05,0.0020015492307814365,0.9655,49
K200,5,20,EARLY_2016_2019,gross_delta,7.230760599909891e-05,-0.00024014719584068066,0.0003896550757306566,0.663,196
K200,5,20,EARLY_2016_2019,net_0,7.230760599909891e-05,-0.00025434364205720046,0.00039089882514006504,0.67375,196
K200,5,20,EARLY_2016_2019,net_30,4.6574187631752005e-05,-0.0002735762664833361,0.000378370371233541,0.6085,196
K200,5,20,EARLY_2016_2019,net_60,2.0840769264405076e-05,-0.00030314580970752824,0.0003347946848069725,0.55275,196
K200,5,20,LATE_2020_2022,gross_delta,4.8147068631967824e-05,-0.0005681472538426771,0.0006367744151507597,0.5635,149
K200,5,20,LATE_2020_2022,net_0,4.8147068631967824e-05,-0.0005457461231905395,0.0006491188129598167,0.55375,149
K200,5,20,LATE_2020_2022,net_30,1.460827021229539e-06,-0.0005789074095707089,0.0005908879271581786,0.49375,149
K200,5,20,LATE_2020_2022,net_60,-4.522541458950866e-05,-0.0006253429477816057,0.000546958877848953,0.4405,149
K200,5,20,NORMAL_2023_2024,gross_delta,0.0004621484727523337,-6.809698809954628e-05,0.0009582234465420758,0.95675,97
K200,5,20,NORMAL_2023_2024,net_0,0.0004621484727523337,-3.972855479267982e-05,0.000952399253599112,0.96275,97
K200,5,20,NORMAL_2023_2024,net_30,0.00041904280264924086,-0.00010900414455176505,0.0009206656162501583,0.942,97
K200,5,20,NORMAL_2023_2024,net_60,0.00037593713254614817,-0.00014858344695003686,0.0008770713138384382,0.923,97
K200,5,20,YTD_2026,gross_delta,0.00189751533755529,0.0005362211976184445,0.003255753124237623,0.99925,28
K200,5,20,YTD_2026,net_0,0.00189751533755529,0.0005133905602111346,0.003278207052892156,0.9975,28
K200,5,20,YTD_2026,net_30,0.0018486314089838612,0.0004745866267275909,0.0032485134589289194,0.99725,28
K200,5,20,YTD_2026,net_60,0.001799747480412433,0.0004497960719659456,0.003215187716983879,0.99575,28
K200,10,10,BULL_2025,gross_delta,0.0009075177981243079,-0.003400556056877083,0.005310476935028551,0.651,25
K200,10,10,BULL_2025,net_0,0.0009075177981243079,-0.0034450530481251016,0.005228353869313306,0.65,25
K200,10,10,BULL_2025,net_30,0.0007350177981243078,-0.003666485779949296,0.0051796047089071855,0.61275,25
K200,10,10,BULL_2025,net_60,0.0005625177981243079,-0.003772492815190843,0.005023482152220869,0.5915,25
K200,10,10,EARLY_2016_2019,gross_delta,-0.0010861248266312974,-0.002533224662470803,0.00031260396252648425,0.05925,98
K200,10,10,EARLY_2016_2019,net_0,-0.0010861248266312974,-0.002451184773894808,0.00027141084160494587,0.0655,98
K200,10,10,EARLY_2016_2019,net_30,-0.001185997275610889,-0.0025567892263625,0.000117689578218219,0.0385,98
K200,10,10,EARLY_2016_2019,net_60,-0.0012858697245904807,-0.0026447560014205705,9.524139077401996e-05,0.03375,98
K200,10,10,LATE_2020_2022,gross_delta,0.0018230783377158326,-0.0007092778051451909,0.004653605558700233,0.91975,75
