universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,raw_high_minus_low,directed_high_minus_low
K200,2020,DEV_2020_2022,DISPERSION_CHANGE_20,TARGET_FWD_DISPERSION_20,184,50,0.11801930226734218,1,-0.24619447779111645,-0.24619447779111645,-0.009522891305471667,-0.009522891305471667
K200,2020,DEV_2020_2022,AVG_PAIR_CORR_60,TARGET_FWD_DISPERSION_20,184,50,-0.03918437325422357,-1,-0.03558223289315726,0.03558223289315726,,
K200,2020,DEV_2020_2022,PC1_SHARE_60,TARGET_FWD_DISPERSION_20,184,50,0.037677948796979444,1,0.01752701080432173,0.01752701080432173,,
K200,2020,DEV_2020_2022,FACTOR_VOL_MEDIAN_60,TARGET_FWD_DISPERSION_20,184,50,0.07387451599853595,1,-0.011668667466986795,-0.011668667466986795,0.015004978653310123,0.015004978653310123
K200,2020,DEV_2020_2022,SIGN_ALIGNMENT_20_60,TARGET_FWD_DISPERSION_20,184,50,0.0360919609846162,1,-0.2552884783236749,-0.2552884783236749,-0.007743286229778476,-0.007743286229778476
K200,2020,DEV_2020_2022,BREADTH_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.01586985061231377,1,-0.3484001490423233,-0.3484001490423233,-0.008367882775026814,-0.008367882775026814
K200,2020,DEV_2020_2022,BREADTH_60,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.0014030904586968657,1,0.004920528739958602,0.004920528739958602,0.007505018957608425,0.007505018957608425
K200,2020,DEV_2020_2022,DISPERSION_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.19479493748916415,1,-0.26501800720288116,-0.26501800720288116,,
K200,2020,DEV_2020_2022,DISPERSION_60,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.0727803355743484,1,0.0468187274909964,0.0468187274909964,,
K200,2020,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.21498526323900521,1,-0.26511404561824725,-0.26511404561824725,-0.00306235534185325,-0.00306235534185325
K200,2020,DEV_2020_2022,RANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.19397815491899595,1,-0.22957983193277312,-0.22957983193277312,,
K200,2020,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.15036119512242105,1,0.1365186074429772,0.1365186074429772,0.004012437601420518,0.004012437601420518
K200,2020,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.1037275336633854,1,-0.3028571428571428,-0.3028571428571428,-0.014048761569233736,-0.014048761569233736
K200,2020,DEV_2020_2022,WINNER_GAP_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.0752846217564678,1,0.055078031212484994,0.055078031212484994,0.0026128777147176666,0.0026128777147176666
K200,2020,DEV_2020_2022,CROSS_HORIZON_RANK_CORR,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.05264739067495062,1,-0.15459263551010496,-0.15459263551010496,-0.004605984101383909,-0.004605984101383909
K200,2020,DEV_2020_2022,PREV_RANK_CORR_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.08278704642410169,1,-0.25427642861822386,-0.25427642861822386,-0.007798968267859564,-0.007798968267859564
K200,2020,DEV_2020_2022,RANK_TURNOVER_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,-0.08278704642410169,-1,0.25427642861822386,-0.25427642861822386,0.007798968267859564,-0.007798968267859564
K200,2020,DEV_2020_2022,BREADTH_CHANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,-0.004010511610440401,-1,-0.055902861672254146,0.055902861672254146,0.0059772511833753525,-0.0059772511833753525
K200,2020,DEV_2020_2022,DISPERSION_CHANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.227685846930323,1,-0.19174069627851137,-0.19174069627851137,-0.005266753107936367,-0.005266753107936367
K200,2020,DEV_2020_2022,AVG_PAIR_CORR_60,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,-0.07715513089711236,-1,0.004273709483793517,-0.004273709483793517,,
K200,2020,DEV_2020_2022,PC1_SHARE_60,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,-0.0532257132399684,-1,0.012533013205282113,-0.012533013205282113,,
K200,2020,DEV_2020_2022,FACTOR_VOL_MEDIAN_60,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.05739246017221783,1,0.048643457382953184,0.048643457382953184,0.012040687915061608,0.012040687915061608
K200,2020,DEV_2020_2022,SIGN_ALIGNMENT_20_60,TARGET_FWD_ABS_OPPORTUNITY_20,184,50,0.04557118363368088,1,-0.2945410395996694,-0.2945410395996694,-0.0063856949687698325,-0.0063856949687698325
K200,2020,DEV_2020_2022,BREADTH_20,TARGET_FWD_RANGE_20,184,50,-0.02917251950792973,-1,-0.3152451419712971,0.3152451419712971,-0.03746379066566398,0.03746379066566398
K200,2020,DEV_2020_2022,BREADTH_60,TARGET_FWD_RANGE_20,184,50,-0.02992802718808681,-1,-0.041646949438206314,0.041646949438206314,0.02569530743286305,-0.02569530743286305
K200,2020,DEV_2020_2022,DISPERSION_20,TARGET_FWD_RANGE_20,184,50,0.2156305985243975,1,-0.30045618247298916,-0.30045618247298916,,
K200,2020,DEV_2020_2022,DISPERSION_60,TARGET_FWD_RANGE_20,184,50,0.16514226271888424,1,-0.003889555822328931,-0.003889555822328931,,
K200,2020,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_FWD_RANGE_20,184,50,0.25119146231049294,1,-0.3113085234093637,-0.3113085234093637,-0.01923245938010129,-0.01923245938010129
K200,2020,DEV_2020_2022,RANGE_20,TARGET_FWD_RANGE_20,184,50,0.21996493999345035,1,-0.24542617046818724,-0.24542617046818724,,
K200,2020,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_FWD_RANGE_20,184,50,0.1899231376779488,1,0.08292917166866745,0.08292917166866745,0.006679264441942473,0.006679264441942473
K200,2020,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_FWD_RANGE_20,184,50,0.12381576159195547,1,-0.28950780312124846,-0.28950780312124846,-0.05674758087591045,-0.05674758087591045
K200,2020,DEV_2020_2022,WINNER_GAP_20,TARGET_FWD_RANGE_20,184,50,0.11499489510893644,1,0.16129651860744296,0.16129651860744296,0.022292621414702576,0.022292621414702576
K200,2020,DEV_2020_2022,CROSS_HORIZON_RANK_CORR,TARGET_FWD_RANGE_20,184,50,0.06908108693854025,1,-0.2096944853951548,-0.2096944853951548,-0.017370076431999032,-0.017370076431999032
K200,2020,DEV_2020_2022,PREV_RANK_CORR_20,TARGET_FWD_RANGE_20,184,50,0.052954345223515956,1,-0.3459543246506447,-0.3459543246506447,-0.030691648567477567,-0.030691648567477567
K200,2020,DEV_2020_2022,RANK_TURNOVER_20,TARGET_FWD_RANGE_20,184,50,-0.052954345223515956,-1,0.3459543246506447,-0.3459543246506447,0.030691648567477567,-0.030691648567477567
K200,2020,DEV_2020_2022,BREADTH_CHANGE_20,TARGET_FWD_RANGE_20,184,50,-0.02623995519587227,-1,-0.11146455505182672,0.11146455505182672,0.0038584940866136785,-0.0038584940866136785
K200,2020,DEV_2020_2022,DISPERSION_CHANGE_20,TARGET_FWD_RANGE_20,184,50,0.10447881951802121,1,-0.23899159663865546,-0.23899159663865546,-0.028633045042575134,-0.028633045042575134
K200,2020,DEV_2020_2022,AVG_PAIR_CORR_60,TARGET_FWD_RANGE_20,184,50,-0.04682437248367398,-1,-0.06506602641056422,0.06506602641056422,,
K200,2020,DEV_2020_2022,PC1_SHARE_60,TARGET_FWD_RANGE_20,184,50,0.052724856003544526,1,-0.0041776710684273705,-0.0041776710684273705,,
K200,2020,DEV_2020_2022,FACTOR_VOL_MEDIAN_60,TARGET_FWD_RANGE_20,184,50,0.1132476739034116,1,-0.08024009603841536,-0.08024009603841536,0.04437323541869451,0.04437323541869451
