feature,target,n_universe_years,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
WINNER_GAP_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.011332533013205283,0.5,-0.00040049719850236004,0.14923252279635257,0.75,0.0009676645885508331,0.04928571428571428,0.6666666666666666,0.0030744750286771858,-0.16176470588235295,0.16666666666666666,-0.008018946377055289,5,6,True
DISPERSION_20,TARGET_FWD_RANGE_20,42,0.10751500600240096,0.6666666666666666,0.018869804815436826,0.11540816326530612,0.6666666666666666,0.011399097763200486,-0.03581632653061224,0.3333333333333333,-0.00799686009465396,-0.1629901960784314,0.0,0.00824662224190753,6,6,True
RANGE_20,TARGET_FWD_RANGE_20,42,0.11193277310924371,0.6666666666666666,0.02015367820949253,0.109587494572297,0.75,0.010295164549129883,-0.037959183673469385,0.16666666666666666,-0.0003194649351039511,-0.1593137254901961,0.0,-0.05946259128071568,6,6,True
LEADER_STRENGTH_20,TARGET_FWD_DISPERSION_20,42,0.13085234093637454,0.7777777777777778,0.004755200473164266,0.10456252713851497,0.9166666666666666,0.0011319671335433754,0.03632653061224489,0.5,-0.00010609980449874379,-0.2769607843137255,0.0,-0.025145932777201757,6,6,True
ABS_OPPORTUNITY_20,TARGET_FWD_DISPERSION_20,42,0.030828331332533012,0.5,0.0015816531120459998,0.10260529743812419,0.8333333333333334,0.0019812441098860344,-0.17887755102040814,0.3333333333333333,-0.006296881147813002,-0.12009803921568628,0.3333333333333333,-0.015354239256681987,6,6,True
LEADER_STRENGTH_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.10867346938775507,0.7777777777777778,0.0038749176933704707,0.09937255753365176,0.9166666666666666,0.0008749664126382374,0.14581632653061222,0.8333333333333334,0.006265293174397219,-0.33210784313725494,0.0,-0.023593446371924454,6,6,True
RANGE_20,TARGET_FWD_DISPERSION_20,42,0.08686974789915966,0.6111111111111112,0.004732851877776195,0.09811224489795917,0.8333333333333334,0.0028975838868112967,-0.06642857142857142,0.16666666666666666,-0.0009004142639015104,-0.14583333333333334,0.0,-0.018462553211295307,6,6,True
LEADER_STRENGTH_20,TARGET_FWD_RANGE_20,42,0.09387755102040815,0.7777777777777778,0.012622413782550954,0.09038428137212332,0.75,0.0028933325524719902,0.038418367346938764,0.5,-0.00179621945253447,-0.25245098039215685,0.0,-0.07902146517094533,6,6,True
DISPERSION_20,TARGET_FWD_DISPERSION_20,42,0.07999999999999999,0.7222222222222222,0.005089142421303837,0.08912613981762918,0.9166666666666666,0.0026633570068387413,-0.06596938775510203,0.16666666666666666,-0.0034177452691865028,-0.16666666666666669,0.0,0.004863002322515089,6,6,True
DISPERSION_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.09435774309723889,0.6666666666666666,0.004208907426230032,0.08878202344767694,0.75,0.0015899106566311452,0.005102040816326522,0.5,0.0018716107790004988,-0.12990196078431374,0.0,0.00533653294808472,5,6,True
WINNER_GAP_20,TARGET_FWD_DISPERSION_20,42,0.09262905162064825,0.6666666666666666,0.0024274402766932685,0.08730785931393834,0.75,0.002767885694948888,-0.021428571428571425,0.5,-0.0013709765792712866,-0.10539215686274511,0.16666666666666666,-0.004569330689184761,5,6,True
RANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.07611044417767107,0.6666666666666666,0.0048305646474824104,0.07948979591836733,0.8333333333333334,0.0023461813748951524,-0.012959183673469387,0.5,0.0018514396596313563,-0.10661764705882354,0.0,-0.015609865310848528,5,6,True
ABS_OPPORTUNITY_20,TARGET_FWD_RANGE_20,42,0.0426890756302521,0.5555555555555556,0.0024528947934392004,0.07843030829353018,0.9166666666666666,0.0075676447656740295,-0.13270408163265304,0.3333333333333333,-0.015311200228313275,-0.13970588235294118,0.3333333333333333,-0.03600744930828237,6,6,True
BREADTH_CHANGE_20,TARGET_FWD_RANGE_20,42,0.15087580951149654,0.7222222222222222,0.008346834236381044,0.061709885892978246,0.5,0.007039006571196577,0.0729042655710779,0.6666666666666666,0.013561890541672943,-0.1979134017732331,0.16666666666666666,-0.01808483568795445,4,6,True
WINNER_GAP_20,TARGET_FWD_RANGE_20,42,0.08595438175270108,0.6111111111111112,0.006084627469812205,0.05816326530612244,0.5833333333333334,0.009569185752896475,-0.004693877551020409,0.5,-0.0017821082672691765,-0.10171568627450982,0.16666666666666666,-0.02537302024830998,5,6,True
BREADTH_60,TARGET_FWD_RANGE_20,42,0.0799334454442818,0.7777777777777778,0.009879123199863192,0.05813951506852969,0.5833333333333334,0.0037038753256155438,0.27294545857860153,0.6666666666666666,0.0235391761176253,0.0371302643859095,0.5,0.03532056444525297,4,6,True
BREADTH_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.05396097064227952,0.6111111111111112,0.0006127200521901348,0.055447429666790955,0.6666666666666666,0.0034408973146421683,0.005598682342890501,0.5,-0.0014373545922523254,0.2883425851880397,0.8333333333333334,0.00748381218867571,6,6,True
ABS_OPPORTUNITY_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.09656662665066026,0.6111111111111112,-0.0001533960269318943,0.041703213200173686,0.6666666666666666,0.0005385278477304366,-0.038367346938775505,0.16666666666666666,-0.0007480721932268744,-0.13970588235294118,0.3333333333333333,-0.02151695502484611,4,6,True
BREADTH_60,TARGET_FWD_DISPERSION_20,42,0.10602417249383618,0.8333333333333334,0.003234759734433823,0.016337950638377882,0.5833333333333334,0.00157184493232106,0.29506781616339606,0.6666666666666666,0.00864130017563132,0.07104333515776366,0.6666666666666666,0.01484362800715136,4,6,True
DISPERSION_CHANGE_20,TARGET_FWD_RANGE_20,42,-0.07464285714285712,0.2777777777777778,-0.001783142718255297,0.17131567520625268,0.8333333333333334,0.032183700599222625,0.1339285714285714,1.0,0.01609434975923868,-0.05637254901960785,0.3333333333333333,-0.015888211293667145,4,6,False
DISPERSION_CHANGE_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,-0.009960984393757503,0.3888888888888889,0.0003220836683919502,0.14368866695614413,0.8333333333333334,0.007031487474297868,0.21056122448979586,1.0,0.010345155771134715,-0.06862745098039216,0.5,-0.00772295337002369,5,6,False
DISPERSION_CHANGE_20,TARGET_FWD_DISPERSION_20,42,-0.0603391356542617,0.16666666666666666,-0.0010962736373826866,0.06502605297438124,0.6666666666666666,0.008125891736044985,0.1479081632653061,0.8333333333333334,0.007359058825579249,-0.012254901960784314,0.5,-0.004244220478320224,3,6,False
BREADTH_CHANGE_20,TARGET_FWD_DISPERSION_20,42,0.10572331992128742,0.7222222222222222,0.0015767264388365163,0.04226981933810157,0.5,0.002167356144025856,0.08802470417174874,0.6666666666666666,0.003784679113102065,-0.2900391540062556,0.16666666666666666,-0.013713677764429728,3,6,False
PREV_RANK_CORR_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,-0.0021130140799944,0.5,-0.0014250874786566198,0.04114031344168123,0.6666666666666666,0.0013292897887980139,0.018232632665228662,0.5,0.0010434290157697694,0.2311465793135455,0.8333333333333334,0.007136475688154741,3,6,False
RANK_TURNOVER_20,TARGET_FWD_ABS_OPPORTUNITY_20,42,-0.0021130140799944,0.5,-0.0014250874786566198,0.04114031344168123,0.6666666666666666,0.0013292897887980139,0.018232632665228662,0.5,0.0010434290157697694,0.2311465793135455,0.8333333333333334,0.007136475688154741,3,6,False
CROSS_HORIZON_RANK_CORR,TARGET_FWD_ABS_OPPORTUNITY_20,42,0.06988835523355535,0.5555555555555556,0.001270190221498907,0.03797860814840307,0.6666666666666666,-0.0018826793394096236,-0.07245548741029564,0.3333333333333333,0.00028995794968094193,0.015381718223602396,0.6666666666666666,0.008343122407096042,2,6,False
PREV_RANK_CORR_20,TARGET_FWD_DISPERSION_20,42,0.011650606831242348,0.5,-0.0008956432916362687,0.033502853355248136,0.6666666666666666,-0.00043687847750239,-0.11854965862568045,0.0,-0.0076363265960750736,-0.15941143400934174,0.3333333333333333,-0.0021514520330474136,4,6,False
RANK_TURNOVER_20,TARGET_FWD_DISPERSION_20,42,0.011650606831242348,0.5,-0.0008956432916362687,0.033502853355248136,0.6666666666666666,-0.00043687847750239,-0.11854965862568045,0.0,-0.0076363265960750736,-0.15941143400934174,0.3333333333333333,-0.0021514520330474136,4,6,False
CROSS_HORIZON_RANK_CORR,TARGET_FWD_DISPERSION_20,42,0.0767147975804242,0.5555555555555556,-0.0019858694601838176,0.017838912966606328,0.5833333333333334,-0.0023457214762549125,-0.11779240571086459,0.3333333333333333,-0.000746300546462509,-0.20139854713864838,0.0,-0.015133780893940008,3,6,False
LOSER_WEAKNESS_20,TARGET_FWD_DISPERSION_20,42,0.018775510204081632,0.6111111111111112,0.0029756399770697675,-0.0020473295701259175,0.5,0.0006412617660084621,-0.09959183673469386,0.3333333333333333,-0.003661388709991765,0.14583333333333334,0.6666666666666666,-0.0016056227602813597,4,6,False
LOSER_WEAKNESS_20,TARGET_FWD_RANGE_20,42,0.0026290516206482592,0.5,0.01686520043451653,-0.0035388623534520144,0.5,0.006514553598115612,-0.08897959183673468,0.3333333333333333,-0.005654199975895564,0.10294117647058824,0.6666666666666666,-0.0037955208553774322,4,6,False
