universe,variant,top_n,weighting,cost_bps,sample,n_periods,ann_return,ann_excess,sharpe,excess_sharpe,mdd,excess_mdd,hit_rate,excess_hit_rate,avg_turnover,avg_eligible,avg_rank_ic
KOSDAQ,ABS_M10,10,equal,0,POST_2023,86,-0.01835281711348491,0.04325518008331075,0.21856923806797288,0.3082448589363642,-0.5588934499996434,-0.46575414745699917,0.5116279069767442,0.47674418604651164,0.4505917455561919,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,equal,0,TRAIN_2016_2022,167,-0.2302677670423796,-0.2980448355651162,-0.4956087415586786,-1.0495496321649216,-0.8519022852359073,-0.9009736967546488,0.47305389221556887,0.40718562874251496,0.4178941033930926,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,equal,30,POST_2023,86,-0.05151626393740094,0.008163208177124792,0.15179388060445448,0.22644593412850383,-0.5626567115414154,-0.4830927331003191,0.5,0.47674418604651164,0.4505917455561919,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,equal,30,TRAIN_2016_2022,167,-0.25453930616802,-0.32029536771381006,-0.5788935469370452,-1.1558729077010448,-0.8734022216172654,-0.919572520838316,0.46706586826347307,0.39520958083832336,0.4178941033930926,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,equal,60,POST_2023,86,-0.08360707735398631,-0.02579851892527374,0.08506127583664767,0.14471215735279616,-0.5824079301982137,-0.49989654322249,0.5,0.46511627906976744,0.4505917455561919,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,equal,60,TRAIN_2016_2022,167,-0.27807972108244494,-0.34187231724018186,-0.6621371327283144,-1.2618733360571461,-0.8924534996398694,-0.9346983087201469,0.46706586826347307,0.39520958083832336,0.4178941033930926,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,equal,100,POST_2023,86,-0.1247834567315882,-0.06938265858691561,-0.003843200803055806,0.03584580961584788,-0.6150656140853316,-0.5290428964974054,0.4883720930232558,0.45348837209302323,0.4505917455561919,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,equal,100,TRAIN_2016_2022,167,-0.30836585468231403,-0.36962731377532954,-0.7730454700208836,-1.4026680640128324,-0.9145131792861831,-0.9505603611266435,0.46706586826347307,0.39520958083832336,0.4178941033930926,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,rank_linear,0,POST_2023,86,-0.15032187189074897,-0.09441758540067458,-0.017781906989185563,0.01538936126695041,-0.6343227562805227,-0.5100897786473332,0.5116279069767442,0.4883720930232558,0.45112573485755647,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,rank_linear,0,TRAIN_2016_2022,167,-0.30025473727800156,-0.3607228019278875,-0.6408263018381116,-1.1602102250482302,-0.9190829554169443,-0.9457536585459158,0.46706586826347307,0.3772455089820359,0.43139201467243943,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,rank_linear,30,POST_2023,86,-0.1792165757595171,-0.12508894341831922,-0.07961230989129835,-0.05825499882027184,-0.6537736218621517,-0.5308045337714945,0.5,0.47674418604651164,0.45112573485755647,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,rank_linear,30,TRAIN_2016_2022,167,-0.32310125806266754,-0.3816977504444018,-0.7191438005561243,-1.2571502014293179,-0.9317307568455041,-0.9562557031544896,0.46107784431137727,0.3772455089820359,0.43139201467243943,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,rank_linear,60,POST_2023,86,-0.2071705536818652,-0.15476563478354843,-0.1414233147651098,-0.13185910334265255,-0.6907935752247638,-0.5797870745670306,0.5,0.46511627906976744,0.45112573485755647,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,rank_linear,60,TRAIN_2016_2022,167,-0.3452350564846981,-0.40201525829531615,-0.797441371636821,-1.3538940136941466,-0.9424173839911941,-0.9647361322389848,0.46107784431137727,0.3712574850299401,0.43139201467243943,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,10,rank_linear,100,POST_2023,86,-0.24302964213056366,-0.19284045924530735,-0.22380308656785589,-0.22992735759895938,-0.7341428875118496,-0.6384089190294484,0.47674418604651164,0.4186046511627907,0.45112573485755647,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,10,rank_linear,100,TRAIN_2016_2022,167,-0.3736746777844435,-0.4281164704656868,-0.9017915936578282,-1.4825519810591026,-0.9553795552181542,-0.9735565091428531,0.4431137724550898,0.3592814371257485,0.43139201467243943,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,equal,0,POST_2023,86,0.13709869348540615,0.19944067494729412,0.5169450613248525,0.7104674445953778,-0.5150326385917904,-0.28689969228502354,0.5581395348837209,0.5465116279069767,0.3970395637640715,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,equal,0,TRAIN_2016_2022,167,-0.1453604936842433,-0.22173342881419278,-0.32128117339518886,-0.9979049584641886,-0.7279957107027635,-0.8045047210432258,0.5029940119760479,0.41916167664670656,0.40093417759585415,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,equal,30,POST_2023,86,0.10338218838418212,0.16402334398091178,0.4464943641670606,0.6203501172380693,-0.51942645464027,-0.2909302577287368,0.5465116279069767,0.5465116279069767,0.3970395637640715,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,equal,30,TRAIN_2016_2022,167,-0.17107024715790753,-0.24529628796692482,-0.415274480663476,-1.1312121730852138,-0.7656681965399117,-0.8378288379624975,0.48502994011976047,0.41317365269461076,0.40093417759585415,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,equal,60,POST_2023,86,0.07062275236343929,0.12960737230749553,0.37611744640318184,0.5303649049748731,-0.5237885900804566,-0.2949456760989382,0.5348837209302325,0.5465116279069767,0.3970395637640715,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,equal,60,TRAIN_2016_2022,167,-0.19604040636817077,-0.26817726886470294,-0.5093225356860978,-1.2640061093098285,-0.798167118530102,-0.8675507420220896,0.46107784431137727,0.40119760479041916,0.40093417759585415,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,equal,100,POST_2023,86,0.028387499149265416,0.0852304057784361,0.28240247807566166,0.41060278455278376,-0.5295557840637921,-0.33417536005236936,0.5232558139534884,0.5232558139534884,0.3970395637640715,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,equal,100,TRAIN_2016_2022,167,-0.22821850292181167,-0.2976570204088562,-0.6347820135151192,-1.4402058922064078,-0.8346548366815052,-0.8989292244024529,0.4491017964071856,0.38922155688622756,0.40093417759585415,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,rank_linear,0,POST_2023,86,-0.0016300913868035893,0.05740282720751666,0.2324488509458596,0.33551151769513626,-0.5599217129884333,-0.39956331993348715,0.5581395348837209,0.47674418604651164,0.4070813474241597,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,rank_linear,0,TRAIN_2016_2022,167,-0.20029929140238367,-0.2709797819743036,-0.46315749781500737,-1.1079894731374647,-0.8131410105068215,-0.870667175662259,0.47904191616766467,0.4311377245508982,0.40066085862036155,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,rank_linear,30,POST_2023,86,-0.03213215026592642,0.02522084208253239,0.16644256348122619,0.2530075379559717,-0.5637119055765387,-0.4171870720752049,0.5581395348837209,0.47674418604651164,0.4070813474241597,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,rank_linear,30,TRAIN_2016_2022,167,-0.2244260451832485,-0.29309921882594236,-0.5501777759007579,-1.2256648664298573,-0.8389933893523583,-0.894042463984484,0.46107784431137727,0.41916167664670656,0.40066085862036155,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,rank_linear,60,POST_2023,86,-0.06174192370702625,-0.006023200661992689,0.10049622228498586,0.17062257861967256,-0.5674762645759299,-0.44398113665088845,0.5581395348837209,0.47674418604651164,0.4070813474241597,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,rank_linear,60,TRAIN_2016_2022,167,-0.24785677159116903,-0.3145771290423325,-0.6371993329184704,-1.34295724699913,-0.8616430211547147,-0.9132171251820606,0.4550898203592814,0.41317365269461076,0.40066085862036155,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,20,rank_linear,100,POST_2023,86,-0.09987665111988564,-0.04626797176963304,0.01266605262586523,0.060970627651312136,-0.5904971748780397,-0.48856180106823255,0.5581395348837209,0.46511627906976744,0.4070813474241597,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,20,rank_linear,100,TRAIN_2016_2022,167,-0.2780480892224827,-0.34224703552213964,-0.7532116525871505,-1.4987091997482547,-0.8870047058442307,-0.9335265540539485,0.4491017964071856,0.3712574850299401,0.40066085862036155,191.61077844311376,-0.005292914217175323
KOSDAQ,ABS_M10,30,equal,0,POST_2023,86,0.12930720601852497,0.1834905486884364,0.5158487320199338,0.7508546846004226,-0.4487004282510244,-0.21128336442866447,0.5697674418604651,0.5581395348837209,0.37849635509209595,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,equal,0,TRAIN_2016_2022,166,-0.11945762282994299,-0.18799414645447476,-0.2822065301601646,-1.0092491952990177,-0.7058001090995516,-0.7694330825898741,0.4819277108433735,0.42771084337349397,0.37653436444152427,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,equal,30,POST_2023,86,0.09742257611784244,0.15019403534263454,0.4373458630024302,0.6457964430277755,-0.4532041990960535,-0.21525203244976243,0.5581395348837209,0.5465116279069767,0.37849635509209595,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,equal,30,TRAIN_2016_2022,166,-0.14432900528556136,-0.21104769622706043,-0.37924219094660994,-1.1588496978992735,-0.7441098430899085,-0.8011993817234124,0.4819277108433735,0.42168674698795183,0.37653436444152427,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,equal,60,POST_2023,86,0.06640049291805772,0.11779521087150746,0.35892050124894587,0.5408893823180528,-0.4576787095213768,-0.21920747378384164,0.5581395348837209,0.5348837209302325,0.37849635509209595,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,equal,60,TRAIN_2016_2022,166,-0.16852833624858266,-0.23347530514037584,-0.4763246337639796,-1.3078151379627212,-0.777473318523953,-0.8286240168603878,0.46987951807228917,0.42168674698795183,0.37653436444152427,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,equal,100,POST_2023,86,0.026340957621550753,0.07595324779004686,0.25448097162295175,0.4012651034868595,-0.4635994520262363,-0.2567002214993469,0.5581395348837209,0.5232558139534884,0.37849635509209595,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,equal,100,TRAIN_2016_2022,166,-0.1997786123244928,-0.2624330869942658,-0.6058177431180645,-1.5053718745327946,-0.8153463448301702,-0.8594422568311827,0.45180722891566266,0.41566265060240964,0.37653436444152427,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,rank_linear,0,POST_2023,86,0.07531992724081915,0.13366527104868275,0.3843653626189017,0.5485130742949577,-0.5094406445322245,-0.29089310688179637,0.5813953488372093,0.5348837209302325,0.38164150621840204,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,rank_linear,0,TRAIN_2016_2022,166,-0.1689880778145797,-0.23315541929701744,-0.41738882104456154,-1.087762500278246,-0.7766556012766829,-0.8241216722075213,0.5,0.42168674698795183,0.3791808682377379,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,rank_linear,30,POST_2023,86,0.04460807285991253,0.10140549995441228,0.3151145308879746,0.45893521043501284,-0.5134674911169703,-0.30987567628834733,0.5813953488372093,0.5116279069767442,0.38164150621840204,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,rank_linear,30,TRAIN_2016_2022,166,-0.19270288383685874,-0.25514040419190187,-0.5073725364987013,-1.2160912354660494,-0.8060524903989444,-0.848481152193074,0.4879518072289157,0.40963855421686746,0.3791808682377379,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,rank_linear,60,POST_2023,86,0.014736410279635681,0.07002514804148707,0.24593192509243572,0.36950183726898367,-0.517468029707302,-0.32947872120998223,0.5813953488372093,0.5116279069767442,0.38164150621840204,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,rank_linear,60,TRAIN_2016_2022,166,-0.21577022484043518,-0.2765225151715641,-0.5973398858360051,-1.3439466662837605,-0.8316126408690337,-0.8740031588389467,0.4759036144578313,0.39759036144578314,0.3791808682377379,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M10,30,rank_linear,100,POST_2023,86,-0.023823419288346304,0.029513118301856434,0.1537996424243362,0.25049261590722854,-0.5227613790607408,-0.3794076293002693,0.5813953488372093,0.5,0.38164150621840204,257.8488372093023,0.006182849528182688
KOSDAQ,ABS_M10,30,rank_linear,100,TRAIN_2016_2022,166,-0.24554863368239455,-0.30412142233101447,-0.7172531623783533,-1.513638095049886,-0.8605734033931356,-0.902273161930542,0.4759036144578313,0.39759036144578314,0.3791808682377379,192.62048192771084,-0.00529291421717532
KOSDAQ,ABS_M5,10,equal,0,POST_2023,86,0.13222176378050454,0.1975146176152438,0.4960241429387142,0.646692425451122,-0.5122602723022871,-0.47408663069754153,0.5232558139534884,0.47674418604651164,0.48484219344756985,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,equal,0,TRAIN_2016_2022,167,-0.1477781104849345,-0.22358196962875476,-0.22879477994693123,-0.6944498347363206,-0.7980602560165914,-0.8281553227077846,0.47305389221556887,0.4311377245508982,0.47639177297626384,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,equal,30,POST_2023,86,0.091220776214747,0.1543230589523692,0.42088127494875577,0.5548690746633533,-0.5270636594060227,-0.4932376579478386,0.5116279069767442,0.47674418604651164,0.48484219344756985,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,equal,30,TRAIN_2016_2022,167,-0.17820378731691544,-0.2514229309613307,-0.3232822412372532,-0.8146390337196067,-0.816553677585685,-0.8465515707380173,0.46706586826347307,0.4251497005988024,0.47639177297626384,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,equal,60,POST_2023,86,0.05164072583403989,0.11262253682379786,0.3458712814370259,0.4632658484717193,-0.5574043816910809,-0.5117258589086915,0.5116279069767442,0.47674418604651164,0.48484219344756985,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,equal,60,TRAIN_2016_2022,167,-0.2075900768783524,-0.2783087886190655,-0.41779418782067945,-0.9346721308160197,-0.8333816348110561,-0.8786607358993598,0.4491017964071856,0.4251497005988024,0.47639177297626384,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,equal,100,POST_2023,86,0.000996574860600008,0.05925645222501008,0.24607254853449878,0.3414844923506958,-0.5949275272643867,-0.5353832237256744,0.5,0.47674418604651164,0.48484219344756985,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,equal,100,TRAIN_2016_2022,167,-0.2452134398135103,-0.3127248273744867,-0.5438268033767095,-1.0944298965327124,-0.8534811703860823,-0.9113267421796939,0.4431137724550898,0.41916167664670656,0.47639177297626384,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,rank_linear,0,POST_2023,86,0.0031573693776878464,0.06403148202350373,0.27784368998686054,0.3613098578007976,-0.5906503012841492,-0.5411282259492464,0.5,0.5,0.47887325212411386,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,rank_linear,0,TRAIN_2016_2022,167,-0.21700962186447104,-0.2844653230782612,-0.38113672754744643,-0.8420675909853178,-0.8746749055674471,-0.8979213576570833,0.47904191616766467,0.41916167664670656,0.4893232842252475,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,rank_linear,30,POST_2023,86,-0.03290696416159933,0.025930057879943513,0.21248025997581638,0.28464271143354924,-0.605707204486161,-0.5606583689378715,0.4883720930232558,0.5,0.47887325212411386,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,rank_linear,30,TRAIN_2016_2022,167,-0.24583937257245647,-0.3108823197147096,-0.47046080602850426,-0.9539583227138316,-0.8864002786967443,-0.9157448768221195,0.47305389221556887,0.40718562874251496,0.4893232842252475,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,rank_linear,60,POST_2023,86,-0.06773054387457245,-0.010865534062723614,0.14718802103505593,0.20808903240002782,-0.6306206103254093,-0.580300388043003,0.4883720930232558,0.5,0.47887325212411386,216.7093023255814,0.013237057471324538
KOSDAQ,ABS_M5,10,rank_linear,60,TRAIN_2016_2022,167,-0.2736530340365032,-0.3363657347472776,-0.5597675192460227,-1.0657654638733123,-0.8980021626964758,-0.9314427089307602,0.47305389221556887,0.38922155688622756,0.4893232842252475,158.61077844311376,-0.0001324107364476442
KOSDAQ,ABS_M5,10,rank_linear,100,POST_2023,86,-0.11230222203390494,-0.05796874457628998,0.06024794907133855,0.10620263552396506,-0.6614680375957707,-0.6051826113488709,0.4883720930232558,0.4883720930232558,0.47887325212411386,216.7093023255814,0.013237057471324538
