universe,variant,top_n,weighting,cost_bps,sample,n_periods,mean_delta_net,mean_delta_excess,delta_hit_rate
KOSDAQ,ABS_M10,10,equal,0,POST_2023,86,0.007242071480870679,0.007242071480870679,0.4883720930232558
KOSDAQ,ABS_M10,10,equal,0,TRAIN_2016_2022,167,0.000737389294802477,0.0007373892948024774,0.4491017964071856
KOSDAQ,ABS_M10,10,equal,30,POST_2023,86,0.006734436513191576,0.006734436513191574,0.5116279069767442
KOSDAQ,ABS_M10,10,equal,30,TRAIN_2016_2022,167,0.0002594627930529528,0.0002594627930529528,0.47305389221556887
KOSDAQ,ABS_M10,10,equal,60,POST_2023,86,0.006226801545512475,0.006226801545512473,0.5116279069767442
KOSDAQ,ABS_M10,10,equal,60,TRAIN_2016_2022,167,-0.00021846370869657016,-0.00021846370869657052,0.46107784431137727
KOSDAQ,ABS_M10,10,equal,100,POST_2023,86,0.005549954921940339,0.005549954921940339,0.5116279069767442
KOSDAQ,ABS_M10,10,equal,100,TRAIN_2016_2022,167,-0.0008556990443626011,-0.000855699044362601,0.46107784431137727
KOSDAQ,ABS_M10,10,rank_linear,0,POST_2023,86,0.005835375018531409,0.005835375018531409,0.47674418604651164
KOSDAQ,ABS_M10,10,rank_linear,0,TRAIN_2016_2022,167,0.0002973557275573697,0.0002973557275573693,0.4550898203592814
KOSDAQ,ABS_M10,10,rank_linear,30,POST_2023,86,0.005292727807610868,0.005292727807610868,0.4883720930232558
KOSDAQ,ABS_M10,10,rank_linear,30,TRAIN_2016_2022,167,-0.0002009130223150256,-0.00020091302231502599,0.47305389221556887
KOSDAQ,ABS_M10,10,rank_linear,60,POST_2023,86,0.004750080596690322,0.004750080596690322,0.4883720930232558
KOSDAQ,ABS_M10,10,rank_linear,60,TRAIN_2016_2022,167,-0.0006991817721874198,-0.0006991817721874197,0.46107784431137727
KOSDAQ,ABS_M10,10,rank_linear,100,POST_2023,86,0.004026550982129598,0.004026550982129598,0.4883720930232558
KOSDAQ,ABS_M10,10,rank_linear,100,TRAIN_2016_2022,167,-0.001363540105350612,-0.0013635401053506118,0.4491017964071856
KOSDAQ,ABS_M10,20,equal,0,POST_2023,86,0.005136380693714152,0.005136380693714152,0.5465116279069767
KOSDAQ,ABS_M10,20,equal,0,TRAIN_2016_2022,167,-0.0008646880114015104,-0.0008646880114015104,0.47305389221556887
KOSDAQ,ABS_M10,20,equal,30,POST_2023,86,0.004716707751581512,0.004716707751581513,0.5465116279069767
KOSDAQ,ABS_M10,20,equal,30,TRAIN_2016_2022,167,-0.0013383250663834938,-0.0013383250663834933,0.47305389221556887
KOSDAQ,ABS_M10,20,equal,60,POST_2023,86,0.004297034809448872,0.004297034809448871,0.5348837209302325
KOSDAQ,ABS_M10,20,equal,60,TRAIN_2016_2022,167,-0.0018119621213654768,-0.0018119621213654766,0.46706586826347307
KOSDAQ,ABS_M10,20,equal,100,POST_2023,86,0.003737470886605351,0.0037374708866053518,0.5232558139534884
KOSDAQ,ABS_M10,20,equal,100,TRAIN_2016_2022,167,-0.0024434781946747882,-0.0024434781946747874,0.46107784431137727
KOSDAQ,ABS_M10,20,rank_linear,0,POST_2023,86,0.005849268740806099,0.005849268740806099,0.5581395348837209
KOSDAQ,ABS_M10,20,rank_linear,0,TRAIN_2016_2022,167,0.00040566058647665203,0.0004056605864766517,0.49101796407185627
KOSDAQ,ABS_M10,20,rank_linear,30,POST_2023,86,0.0053728996455748405,0.00537289964557484,0.5465116279069767
KOSDAQ,ABS_M10,20,rank_linear,30,TRAIN_2016_2022,167,-7.711585998003855e-05,-7.711585998003843e-05,0.49101796407185627
KOSDAQ,ABS_M10,20,rank_linear,60,POST_2023,86,0.004896530550343582,0.004896530550343581,0.5348837209302325
KOSDAQ,ABS_M10,20,rank_linear,60,TRAIN_2016_2022,167,-0.0005598923064367278,-0.0005598923064367279,0.48502994011976047
KOSDAQ,ABS_M10,20,rank_linear,100,POST_2023,86,0.0042613717567019024,0.0042613717567019024,0.5348837209302325
KOSDAQ,ABS_M10,20,rank_linear,100,TRAIN_2016_2022,167,-0.0012035942350456484,-0.0012035942350456484,0.46706586826347307
KOSDAQ,ABS_M10,30,equal,0,POST_2023,86,0.00241215580632954,0.00241215580632954,0.5116279069767442
KOSDAQ,ABS_M10,30,equal,0,TRAIN_2016_2022,166,-0.0013786720971153325,-0.0013786720971153323,0.4819277108433735
KOSDAQ,ABS_M10,30,equal,30,POST_2023,86,0.0019900920612638735,0.001990092061263874,0.5116279069767442
KOSDAQ,ABS_M10,30,equal,30,TRAIN_2016_2022,166,-0.0018080494852215129,-0.0018080494852215129,0.5
KOSDAQ,ABS_M10,30,equal,60,POST_2023,86,0.0015680283161982075,0.0015680283161982075,0.5
KOSDAQ,ABS_M10,30,equal,60,TRAIN_2016_2022,166,-0.0022374268733276917,-0.0022374268733276917,0.4819277108433735
KOSDAQ,ABS_M10,30,equal,100,POST_2023,86,0.0010052766561106526,0.0010052766561106526,0.4883720930232558
KOSDAQ,ABS_M10,30,equal,100,TRAIN_2016_2022,166,-0.0028099300574692654,-0.0028099300574692654,0.4819277108433735
KOSDAQ,ABS_M10,30,rank_linear,0,POST_2023,86,0.004477496563919978,0.004477496563919978,0.6046511627906976
KOSDAQ,ABS_M10,30,rank_linear,0,TRAIN_2016_2022,166,-0.0006936319500727435,-0.0006936319500727431,0.5180722891566265
KOSDAQ,ABS_M10,30,rank_linear,30,POST_2023,86,0.00402460958695724,0.004024609586957239,0.5813953488372093
KOSDAQ,ABS_M10,30,rank_linear,30,TRAIN_2016_2022,166,-0.00114216390161951,-0.0011421639016195102,0.5
KOSDAQ,ABS_M10,30,rank_linear,60,POST_2023,86,0.003571722609994503,0.003571722609994503,0.5581395348837209
KOSDAQ,ABS_M10,30,rank_linear,60,TRAIN_2016_2022,166,-0.001590695853166276,-0.0015906958531662757,0.4759036144578313
KOSDAQ,ABS_M10,30,rank_linear,100,POST_2023,86,0.0029678733073775217,0.002967873307377522,0.5465116279069767
KOSDAQ,ABS_M10,30,rank_linear,100,TRAIN_2016_2022,166,-0.0021887384552286312,-0.0021887384552286312,0.463855421686747
KOSDAQ,ABS_M5,10,equal,0,POST_2023,86,0.012466177936203833,0.012466177936203833,0.6046511627906976
KOSDAQ,ABS_M5,10,equal,0,TRAIN_2016_2022,167,0.004730702257141703,0.004730702257141704,0.46107784431137727
KOSDAQ,ABS_M5,10,equal,30,POST_2023,86,0.011855791624850598,0.011855791624850598,0.6046511627906976
KOSDAQ,ABS_M5,10,equal,30,TRAIN_2016_2022,167,0.004077282746642665,0.004077282746642665,0.46107784431137727
