universe,strategy,period,cost_bp,n_phases,median_delta_cagr,mean_delta_cagr,min_delta_cagr,cagr_better_phases,median_delta_sharpe,sharpe_better_phases,median_mdd_improvement,mdd_better_phases,median_delta_annual_turnover,median_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_annual_turnover
KOSDAQ,ACT1_LOW05,BULL_2025,0,10,0.003037517678591506,0.007251126506232897,-0.0036878263998731953,8,0.007770552639892125,8,0.0,4,0.01865243749363632,0.7300264768086453,0.6720466921853916,-0.15509012135098876,-0.1663476443247348,2.4963317652141166,2.3947403030914773,10.202928692835291
KOSDAQ,ACT5_LOW30,BULL_2025,0,10,0.031163560151509118,0.03237500753177469,0.005566772924064933,10,0.1055900596675472,10,0.002920683513055189,8,1.4802359786291435,0.7599542313953724,0.7005379286474454,-0.14925653240609243,-0.15936985736962583,2.580511763868593,2.490128463831411,11.643126485648299
KOSDAQ,AMIHUD20_TOP05,BULL_2025,0,10,0.0029396151292817585,0.003944235136901919,-0.0010108864916638094,9,0.007987261325072659,10,0.0,2,-0.0036761857979792367,0.7340702499204408,0.6728409407526612,-0.1546507585853727,-0.1663476443247348,2.508743987742098,2.3920103085888544,10.169171762786572
KOSDAQ,TURNOVER20_LOW30,BULL_2025,0,10,0.03329285662272041,0.0318771251624155,0.007335266237533888,10,-0.06931827230569465,2,-0.009509005440097806,0,0.2697426777683969,0.7685816739826117,0.7258372864670899,-0.16508769758165415,-0.1760537964673491,2.454075610193434,2.3789133533327718,10.436168423762666
KOSDAQ,TURNOVER20_TOP01_LOW30,BULL_2025,0,10,0.032525791785895986,0.033586038897577164,-0.019313492071545202,8,-0.04484465928580539,2,-0.0102753425106476,0,0.22421022876337116,0.7778592556430881,0.7078848875333417,-0.16660167300908268,-0.17492262581883122,2.4912385618000954,2.3772807379050143,10.404684992043254
KOSDAQ,ACT1_LOW05,BULL_2025,30,10,0.0028195842215512634,0.006937571087696081,-0.003605501921792875,8,0.0074143637166621534,8,0.0,3,0.01865243749363632,0.6766811090844621,0.6216128256117608,-0.15816626742452872,-0.16946425601296422,2.3650319438378213,2.257003946173994,10.202928692835291
KOSDAQ,ACT5_LOW30,BULL_2025,30,10,0.02304421975188753,0.024049798135998147,-0.0033890088039241206,9,0.08509267064008452,10,0.002359521430749578,7,1.4802359786291435,0.6980846442588284,0.6412665711324279,-0.15332449511066615,-0.16283502806217764,2.4276812382568793,2.3280860057963584,11.643126485648299
KOSDAQ,AMIHUD20_TOP05,BULL_2025,30,10,0.0028522418395725557,0.0038436043599827663,-0.0009152816767656891,9,0.007955418825652538,10,0.0,2,-0.0036761857979792367,0.6806837984105384,0.6225332390948508,-0.1577359228018147,-0.16946425601296422,2.372994085991497,2.2547054586866606,10.169171762786572
KOSDAQ,TURNOVER20_LOW30,BULL_2025,30,10,0.03055068932657179,0.029424991392679067,0.006122682988010553,10,-0.06598590974470597,2,-0.009573456315919271,0,0.2697426777683969,0.7131760314580587,0.6726015368436384,-0.1681597393210731,-0.18048134728585596,2.3227115053891687,2.2507292605577547,10.436168423762666
KOSDAQ,TURNOVER20_TOP01_LOW30,BULL_2025,30,10,0.030040707510333498,0.03121442272411168,-0.019820479134581515,8,-0.04094309967039367,2,-0.010267022565692008,0,0.22421022876337116,0.7223893779102506,0.6555200520402413,-0.1699722139499077,-0.17934401433447167,2.358618180497659,2.2494694831753,10.404684992043254
