universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight,median_missing_return_weight
KOSDAQ,ACT1_LOW05,BULL_2025,0,10,0.7300264768086453,0.7787071219819997,0.6720466921853916,-0.15509012135098876,-0.1663476443247348,2.4963317652141166,2.3947403030914773,10.202928692835291,95.66666666666666,0.03252604166666667,0.0
KOSDAQ,ACT1_LOW05,BULL_2025,30,10,0.6766811090844621,0.7247189396597475,0.6216128256117608,-0.15816626742452872,-0.16946425601296422,2.3650319438378213,2.257003946173994,10.202928692835291,95.66666666666666,0.03252604166666667,0.0
KOSDAQ,ACT1_LOW05,BULL_2025,60,10,0.6253614007215588,0.6723063264620837,0.5726405312043299,-0.16123495030285184,-0.1725731147346884,2.232148302827479,2.1182703360676585,10.202928692835291,95.66666666666666,0.03252604166666667,0.0
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,0,10,0.04167413983155388,0.044844407513921894,0.015757892807993112,-0.31481345388653736,-0.32363022370095473,0.2996754915166932,0.18009937487400823,8.878989330121023,81.53125,0.03701171875,0.0
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,30,10,0.014275606891932413,0.017366057267452484,-0.010925705268715724,-0.3263732421659935,-0.3463425788390522,0.17294821774408523,0.05442725729093277,8.878989330121023,81.53125,0.03701171875,0.0
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,60,10,-0.012431458474677304,-0.009418834201978366,-0.03693677722132893,-0.34544523765531,-0.3685769504277725,0.04634181855456941,-0.07120898441052365,8.878989330121023,81.53125,0.03701171875,0.0
KOSDAQ,ACT1_LOW05,FULL_2016_2026,0,10,0.10776975028252056,0.10832003166319568,0.0857327742412437,-0.45838917204329716,-0.4831363358988515,0.5042625316090358,0.4327100215905667,9.808084011997133,90.56589147286822,0.033757267441860465,0.0
KOSDAQ,ACT1_LOW05,FULL_2016_2026,30,10,0.0756789169123181,0.07616436374076814,0.05417190792408588,-0.4819998783226891,-0.5084385517487726,0.40009912090680366,0.32837396270299046,9.808084011997133,90.56589147286822,0.033757267441860465,0.0
KOSDAQ,ACT1_LOW05,FULL_2016_2026,60,10,0.04448082403251541,0.044904610194745606,0.02349201933886924,-0.5052531316619137,-0.5327209788899258,0.29574786930145547,0.22406841901011174,9.808084011997133,90.56589147286822,0.033757267441860465,0.0
KOSDAQ,ACT1_LOW05,LATE_2020_2022,0,10,0.05165786419417617,0.05305938151563616,0.036874211470173,-0.4046883609544193,-0.41780699604482696,0.31848480695349235,0.27046242224358147,10.383171790035966,94.29054054054055,0.032854729729729734,0.0
KOSDAQ,ACT1_LOW05,LATE_2020_2022,30,10,0.019365033134856602,0.020798212860618358,0.005495319115415898,-0.40732567636720035,-0.42887969901489353,0.21276590201942241,0.16635235954358507,10.383171790035966,94.29054054054055,0.032854729729729734,0.0
KOSDAQ,ACT1_LOW05,LATE_2020_2022,60,10,-0.011974747840342137,-0.01051315564637948,-0.024971191240259705,-0.41535387352295,-0.4424952855618157,0.1070805697346506,0.062214370616008284,10.383171790035966,94.29054054054055,0.032854729729729734,0.0
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,0,10,0.07638494729455014,0.06850633072635803,0.02070996103674516,-0.3361389489758606,-0.3653541083385832,0.4206071179604291,0.20819819641017445,10.173670779010774,97.41220238095238,0.030803571428571423,0.0
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,30,10,0.044187572229487104,0.03639795018965959,-0.01024232649564727,-0.34486696631734426,-0.37435398220840865,0.2989981984701314,0.08505485995824111,10.173670779010774,97.41220238095238,0.030803571428571423,0.0
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,60,10,0.012600267467120174,0.005216802284187106,-0.04029246979949819,-0.35349000043094225,-0.38323683973305833,0.17643114827543108,-0.037960935968378864,10.173670779010774,97.41220238095238,0.030803571428571423,0.0
KOSDAQ,ACT1_LOW05,PRE_STRESS_2016_2024,0,10,0.05313311469132309,0.05279059310134064,0.03094666126393042,-0.45768000346429094,-0.4831363358988515,0.3324554482733169,0.2475274047699443,9.67398314022,89.41095890410958,0.03421803652968036,0.0
