universe,sample,contrast,n_dates,mean,ci025,ci975,p_gt0
K200,BULL_2025,P70_90_MINUS_P99_100,25,0.028806697510180994,0.006313519134871253,0.05252142435555024,0.9948333333333333
K200,BULL_2025,P90_95_MINUS_P99_100,25,0.03389782536582036,0.011849611764004842,0.056281199260210496,0.9986666666666667
K200,BULL_2025,P70_90_MINUS_P00_20,25,-0.007382815981421328,-0.019291957502510365,0.0041406076466391694,0.10266666666666667
K200,BULL_2025,P90_95_MINUS_P00_20,25,-0.002291688125781958,-0.017258930582273933,0.011395114520752713,0.38
K200,BULL_2025,P95_99_MINUS_P99_100,25,0.01906111117233391,-0.007096276087727471,0.046659309798896945,0.9168333333333333
K200,BULL_2025,P70_90_MINUS_P95_99,25,0.009745586337847082,-0.008786639081387196,0.027363669788487557,0.8475
K200,EARLY_2016_2019,P70_90_MINUS_P99_100,96,0.0047060485108614365,-0.004519109926362685,0.01449266698054561,0.8323333333333334
K200,EARLY_2016_2019,P90_95_MINUS_P99_100,96,0.0019527113327664145,-0.006335136287149263,0.011337558600396832,0.6525
K200,EARLY_2016_2019,P70_90_MINUS_P00_20,96,0.000691622850454507,-0.0017725367869535957,0.0031942242183768984,0.6973333333333334
K200,EARLY_2016_2019,P90_95_MINUS_P00_20,96,-0.0020617143276405138,-0.007128254628236966,0.0027096550496397073,0.20383333333333334
K200,EARLY_2016_2019,P95_99_MINUS_P99_100,96,0.004307181373644658,-0.0055046972230543235,0.013958332892662748,0.8016666666666666
K200,EARLY_2016_2019,P70_90_MINUS_P95_99,96,0.0003988671372167774,-0.005650600942362361,0.006248669315311959,0.5486666666666666
K200,LATE_2020_2022,P70_90_MINUS_P99_100,74,-0.00856518317667464,-0.02851513288045202,0.010210251162534881,0.20216666666666666
K200,LATE_2020_2022,P90_95_MINUS_P99_100,74,-0.006908853763330133,-0.02743305270816908,0.01355131521915608,0.24766666666666667
K200,LATE_2020_2022,P70_90_MINUS_P00_20,75,-0.004447694138900653,-0.009932273862167553,0.0005408255290909121,0.043333333333333335
K200,LATE_2020_2022,P90_95_MINUS_P00_20,75,-0.002276080989485443,-0.011919805828569819,0.007278170951344722,0.3263333333333333
K200,LATE_2020_2022,P95_99_MINUS_P99_100,74,-0.00802498598587569,-0.029419397084981702,0.011999231134349916,0.225
K200,LATE_2020_2022,P70_90_MINUS_P95_99,75,-0.0007889497141057894,-0.009700349990377402,0.007716490866649674,0.437
K200,NORMAL_2023_2024,P70_90_MINUS_P99_100,48,0.01121826802854131,-0.0029777896464061905,0.02576539719817196,0.9365
K200,NORMAL_2023_2024,P90_95_MINUS_P99_100,48,0.014200413771670672,-0.0019726335508513603,0.029230132509559758,0.959
K200,NORMAL_2023_2024,P70_90_MINUS_P00_20,48,0.005073831567621922,-0.002647224177378388,0.013737517129287833,0.8886666666666667
K200,NORMAL_2023_2024,P90_95_MINUS_P00_20,48,0.00805597731075129,-0.0011840181619658142,0.017583271251745806,0.9533333333333334
K200,NORMAL_2023_2024,P95_99_MINUS_P99_100,48,0.010524894816500869,-0.0052025779465188085,0.027657041810727968,0.9038333333333334
K200,NORMAL_2023_2024,P70_90_MINUS_P95_99,48,0.0006933732120404388,-0.010934007292745908,0.011631933225333882,0.5596666666666666
K200,YTD_2026,P70_90_MINUS_P99_100,13,0.028634385562288204,-0.07315317542658356,0.12142462657357614,0.7035
K200,YTD_2026,P90_95_MINUS_P99_100,13,0.03349689192127201,-0.034428208139853596,0.09118801298042178,0.8475
K200,YTD_2026,P70_90_MINUS_P00_20,13,0.025076965338991043,-0.006431677086855926,0.054801254297607176,0.9393333333333334
K200,YTD_2026,P90_95_MINUS_P00_20,13,0.029939471697974847,-0.015843376313935995,0.08670296236268009,0.85
K200,YTD_2026,P95_99_MINUS_P99_100,13,0.01035756573045652,-0.07434562560763772,0.0809841260988583,0.6195
K200,YTD_2026,P70_90_MINUS_P95_99,13,0.018276819831831683,-0.007201763693843141,0.04108909952273346,0.9158333333333334
KOSDAQ,BULL_2025,P70_90_MINUS_P99_100,12,0.1066132028547427,0.015380475026338464,0.18749492561012593,0.9868333333333333
KOSDAQ,BULL_2025,P90_95_MINUS_P99_100,12,0.11320872759208996,0.027718569438752002,0.19190585223102663,0.998
KOSDAQ,BULL_2025,P70_90_MINUS_P00_20,25,0.015413030493896555,0.004631915151305535,0.02597386109623257,0.9986666666666667
KOSDAQ,BULL_2025,P90_95_MINUS_P00_20,25,0.01556234017793765,-0.012619258594299293,0.043139174130690655,0.8558333333333333
KOSDAQ,BULL_2025,P95_99_MINUS_P99_100,11,0.1361150862107908,0.01726357081527393,0.23977167438406108,0.987
KOSDAQ,BULL_2025,P70_90_MINUS_P95_99,24,0.0038938433418201543,-0.029117580747146644,0.036746816032436326,0.5921666666666666
KOSDAQ,EARLY_2016_2019,P70_90_MINUS_P99_100,29,0.022992368441938194,-0.03194817786821939,0.0758057066049773,0.7873333333333333
KOSDAQ,EARLY_2016_2019,P90_95_MINUS_P99_100,29,0.011113896934421878,-0.04655691785959737,0.06456675466852618,0.6606666666666666
KOSDAQ,EARLY_2016_2019,P70_90_MINUS_P00_20,96,0.00911884229299906,0.001192024167219039,0.016867009430185972,0.9888333333333333
KOSDAQ,EARLY_2016_2019,P90_95_MINUS_P00_20,96,0.004334075470993014,-0.00708610636002039,0.016846911292690676,0.7611666666666667
KOSDAQ,EARLY_2016_2019,P95_99_MINUS_P99_100,29,0.010018112167328728,-0.038888614707469515,0.05735482690065982,0.6555
KOSDAQ,EARLY_2016_2019,P70_90_MINUS_P95_99,91,-0.0004373723450629359,-0.015782978826914117,0.013733484591537237,0.491
KOSDAQ,LATE_2020_2022,P70_90_MINUS_P99_100,42,-0.024188695561782846,-0.07143109139547975,0.022279403355208147,0.16466666666666666
KOSDAQ,LATE_2020_2022,P90_95_MINUS_P99_100,42,-0.004184958526447077,-0.05270753751877743,0.042381490929360194,0.43716666666666665
KOSDAQ,LATE_2020_2022,P70_90_MINUS_P00_20,75,0.003956068569540192,-0.002501278123507496,0.010897548417819774,0.8728333333333333
KOSDAQ,LATE_2020_2022,P90_95_MINUS_P00_20,75,0.016224428081900097,0.0005205000208678183,0.03217570569415128,0.9786666666666667
KOSDAQ,LATE_2020_2022,P95_99_MINUS_P99_100,42,-0.02624242149370279,-0.07059621800961577,0.015721574168292316,0.11366666666666667
KOSDAQ,LATE_2020_2022,P70_90_MINUS_P95_99,74,0.005205280435997114,-0.011031145335639817,0.020720521072028177,0.7425
KOSDAQ,NORMAL_2023_2024,P70_90_MINUS_P99_100,30,0.030334520132174636,-0.023837398152481124,0.07771365355482532,0.8733333333333333
KOSDAQ,NORMAL_2023_2024,P90_95_MINUS_P99_100,30,0.03241344924637921,-0.03215566722794001,0.0999663030661411,0.8256666666666667
KOSDAQ,NORMAL_2023_2024,P70_90_MINUS_P00_20,48,0.008883104940921186,-0.0027313426319508544,0.020182538589300362,0.9336666666666666
KOSDAQ,NORMAL_2023_2024,P90_95_MINUS_P00_20,48,0.011154609634197744,-0.01238095343520684,0.03736968934049673,0.8126666666666666
KOSDAQ,NORMAL_2023_2024,P95_99_MINUS_P99_100,30,0.027000977731873918,-0.03448976801971474,0.08818788469319132,0.8061666666666667
KOSDAQ,NORMAL_2023_2024,P70_90_MINUS_P95_99,48,0.005113977718074849,-0.025776108917450427,0.03371320704902379,0.6346666666666667
KOSDAQ,YTD_2026,P70_90_MINUS_P99_100,8,0.09666668425147336,0.04715236900566754,0.1461809994972792,1.0
KOSDAQ,YTD_2026,P90_95_MINUS_P99_100,8,0.06336958310409097,0.027024658132051745,0.09971450807613019,1.0
KOSDAQ,YTD_2026,P70_90_MINUS_P00_20,13,0.038902239066286905,0.012601672703631526,0.07034510873094761,1.0
KOSDAQ,YTD_2026,P90_95_MINUS_P00_20,13,0.004756428082068168,-0.03342943645821999,0.03370410085506761,0.6271666666666667
KOSDAQ,YTD_2026,P95_99_MINUS_P99_100,8,0.0843566332450024,0.05184316112963361,0.1168701053603712,1.0
KOSDAQ,YTD_2026,P70_90_MINUS_P95_99,12,-0.00034017173346847715,-0.04560675071740824,0.0338849629414708,0.49966666666666665
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P70_90_MINUS_P99_100,18,0.05888692394424011,-0.018214838614446515,0.1268056395714242,0.9326666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P90_95_MINUS_P99_100,18,0.04861410897472504,-0.01923915408349053,0.11696702834261886,0.9135
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P70_90_MINUS_P00_20,25,0.016918908534314672,0.007403684252193405,0.028267532862886954,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P90_95_MINUS_P00_20,25,0.015907853711822864,-0.006067643920056147,0.03667100796643674,0.9226666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P95_99_MINUS_P99_100,18,0.049714272137867006,-0.025357855703617805,0.12273400104553324,0.8993333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P70_90_MINUS_P95_99,25,0.0098262891067041,-0.012438937927051846,0.03204825963478394,0.7938333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P70_90_MINUS_P99_100,51,0.005702855323195528,-0.04977533635087691,0.055358525519216426,0.6098333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P90_95_MINUS_P99_100,51,0.010445774269680007,-0.043204273219578995,0.05907513752845909,0.6698333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P70_90_MINUS_P00_20,96,0.004948799909438347,-0.00024473783663169337,0.010329326729621686,0.9683333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P90_95_MINUS_P00_20,96,0.005921985528470932,-0.0029188545991160955,0.015033291753129447,0.9036666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P95_99_MINUS_P99_100,51,-0.002968947151698538,-0.04837081420263349,0.0400265311254819,0.44466666666666665
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P70_90_MINUS_P95_99,95,0.0015526217748083083,-0.008725096401000484,0.012520196110881636,0.6195
