strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
BAND_50_95,K200,5,BULL_2025,49,-0.001881028561580484,0.3153061224489796,-0.001881028561580484,-0.0028269469289274227,-0.0037728652962743616,gross_delta,-0.001881028561580484,-0.005294673428353537,0.0012357496794962106,0.13083333333333333
BAND_50_95,K200,5,BULL_2025,49,-0.001881028561580484,0.3153061224489796,-0.001881028561580484,-0.0028269469289274227,-0.0037728652962743616,net_30,-0.0028269469289274227,-0.006204960300149408,0.0002577957872162989,0.039
BAND_50_95,K200,5,BULL_2025,49,-0.001881028561580484,0.3153061224489796,-0.001881028561580484,-0.0028269469289274227,-0.0037728652962743616,net_60,-0.0037728652962743616,-0.007326985286340848,-0.0007548751123418498,0.005833333333333334
BAND_50_95,K200,5,EARLY_2016_2019,192,-0.0003784309145336874,0.33746744791666666,-0.0003784309145336874,-0.0013908332582836874,-0.0024032356020336873,gross_delta,-0.0003784309145336874,-0.001209790800825837,0.00044049274084743815,0.1815
BAND_50_95,K200,5,EARLY_2016_2019,192,-0.0003784309145336874,0.33746744791666666,-0.0003784309145336874,-0.0013908332582836874,-0.0024032356020336873,net_30,-0.0013908332582836874,-0.0022116012582565144,-0.0005742670964755925,0.0005
BAND_50_95,K200,5,EARLY_2016_2019,192,-0.0003784309145336874,0.33746744791666666,-0.0003784309145336874,-0.0013908332582836874,-0.0024032356020336873,net_60,-0.0024032356020336873,-0.003230976418009528,-0.0015558910367528013,0.0
BAND_50_95,K200,5,LATE_2020_2022,149,-0.001189199528353678,0.3091862416107382,-0.001189199528353678,-0.002116758253185893,-0.0030443169780181075,gross_delta,-0.001189199528353678,-0.0027121111676864824,0.000273706078221577,0.05466666666666667
BAND_50_95,K200,5,LATE_2020_2022,149,-0.001189199528353678,0.3091862416107382,-0.001189199528353678,-0.002116758253185893,-0.0030443169780181075,net_30,-0.002116758253185893,-0.0036589816820839184,-0.0006895008069881408,0.0013333333333333333
BAND_50_95,K200,5,LATE_2020_2022,149,-0.001189199528353678,0.3091862416107382,-0.001189199528353678,-0.002116758253185893,-0.0030443169780181075,net_60,-0.0030443169780181075,-0.004605800731614636,-0.0016066065971270373,0.0
BAND_50_95,K200,5,NORMAL_2023_2024,97,0.0002703686437486367,0.31662371134020617,0.0002703686437486367,-0.0006795024902719819,-0.0016293736242926006,gross_delta,0.0002703686437486367,-0.0011338678102008964,0.0017262573399033634,0.6371666666666667
BAND_50_95,K200,5,NORMAL_2023_2024,97,0.0002703686437486367,0.31662371134020617,0.0002703686437486367,-0.0006795024902719819,-0.0016293736242926006,net_30,-0.0006795024902719819,-0.0020776702720271207,0.0007451935837617681,0.16333333333333333
BAND_50_95,K200,5,NORMAL_2023_2024,97,0.0002703686437486367,0.31662371134020617,0.0002703686437486367,-0.0006795024902719819,-0.0016293736242926006,net_60,-0.0016293736242926006,-0.003091608036226323,-0.0001902478089308268,0.013
BAND_50_95,K200,5,YTD_2026,28,0.0018683106697119506,0.3109375,0.0018683106697119506,0.0009354981697119502,2.685669711950369e-06,gross_delta,0.0018683106697119506,-0.0029385017079595756,0.0062945971191757655,0.7783333333333333
BAND_50_95,K200,5,YTD_2026,28,0.0018683106697119506,0.3109375,0.0018683106697119506,0.0009354981697119502,2.685669711950369e-06,net_30,0.0009354981697119502,-0.0037884080147708734,0.005457442337386029,0.6556666666666666
BAND_50_95,K200,5,YTD_2026,28,0.0018683106697119506,0.3109375,0.0018683106697119506,0.0009354981697119502,2.685669711950369e-06,net_60,2.685669711950369e-06,-0.004665319826082067,0.004428631945255368,0.5118333333333334
BAND_50_95,K200,10,BULL_2025,25,-0.0017429932189964895,0.29425,-0.0017429932189964895,-0.0026257432189964896,-0.0035084932189964895,gross_delta,-0.0017429932189964895,-0.007366725498045874,0.003933150203646092,0.2795
BAND_50_95,K200,10,BULL_2025,25,-0.0017429932189964895,0.29425,-0.0017429932189964895,-0.0026257432189964896,-0.0035084932189964895,net_30,-0.0026257432189964896,-0.008417299927017844,0.002879352421384555,0.18833333333333332
BAND_50_95,K200,10,BULL_2025,25,-0.0017429932189964895,0.29425,-0.0017429932189964895,-0.0026257432189964896,-0.0035084932189964895,net_60,-0.0035084932189964895,-0.009121148938949865,0.002169071718678299,0.115
BAND_50_95,K200,10,EARLY_2016_2019,96,-0.0005419381711047988,0.3033854166666667,-0.0005419381711047988,-0.0014520944211047987,-0.0023622506711047987,gross_delta,-0.0005419381711047988,-0.0017417075316264565,0.0006999109511289871,0.19833333333333333
BAND_50_95,K200,10,EARLY_2016_2019,96,-0.0005419381711047988,0.3033854166666667,-0.0005419381711047988,-0.0014520944211047987,-0.0023622506711047987,net_30,-0.0014520944211047987,-0.0026787517528435974,-0.00021204513602403942,0.012333333333333333
BAND_50_95,K200,10,EARLY_2016_2019,96,-0.0005419381711047988,0.3033854166666667,-0.0005419381711047988,-0.0014520944211047987,-0.0023622506711047987,net_60,-0.0023622506711047987,-0.003588371653580379,-0.0011340741477629513,0.0
BAND_50_95,K200,10,LATE_2020_2022,75,-0.0016833480890273082,0.29824999999999996,-0.0016833480890273082,-0.0025780980890273086,-0.0034728480890273074,gross_delta,-0.0016833480890273082,-0.004417519871451209,0.0012862867882642947,0.127
BAND_50_95,K200,10,LATE_2020_2022,75,-0.0016833480890273082,0.29824999999999996,-0.0016833480890273082,-0.0025780980890273086,-0.0034728480890273074,net_30,-0.0025780980890273086,-0.00532649456170283,0.00045910877813664573,0.043
BAND_50_95,K200,10,LATE_2020_2022,75,-0.0016833480890273082,0.29824999999999996,-0.0016833480890273082,-0.0025780980890273086,-0.0034728480890273074,net_60,-0.0034728480890273074,-0.006384632008491271,-0.0005847901455868943,0.010833333333333334
BAND_50_95,K200,10,NORMAL_2023_2024,48,0.0013129957814911107,0.309375,0.0013129957814911107,0.00038487078149111097,-0.000543254218508889,gross_delta,0.0013129957814911107,-0.001270123417251277,0.004026048619247265,0.8313333333333334
BAND_50_95,K200,10,NORMAL_2023_2024,48,0.0013129957814911107,0.309375,0.0013129957814911107,0.00038487078149111097,-0.000543254218508889,net_30,0.00038487078149111097,-0.002242517092942074,0.0031174360598722724,0.613
BAND_50_95,K200,10,NORMAL_2023_2024,48,0.0013129957814911107,0.309375,0.0013129957814911107,0.00038487078149111097,-0.000543254218508889,net_60,-0.000543254218508889,-0.0031696858859667373,0.002216125690885152,0.3415
BAND_50_95,K200,10,YTD_2026,13,0.005901443594633767,0.2942307692307692,0.005901443594633767,0.0050187512869414586,0.004136058979249153,gross_delta,0.005901443594633767,-0.006296934760594264,0.017764076524729326,0.8073333333333333
BAND_50_95,K200,10,YTD_2026,13,0.005901443594633767,0.2942307692307692,0.005901443594633767,0.0050187512869414586,0.004136058979249153,net_30,0.0050187512869414586,-0.007451486677845292,0.016913468232665894,0.792
BAND_50_95,K200,10,YTD_2026,13,0.005901443594633767,0.2942307692307692,0.005901443594633767,0.0050187512869414586,0.004136058979249153,net_60,0.004136058979249153,-0.008727915610618486,0.015911474784128084,0.7378333333333333
BAND_50_95,K200,20,BULL_2025,12,-0.003477457725850138,0.228125,-0.003477457725850138,-0.004161832725850138,-0.0048462077258501395,gross_delta,-0.003477457725850138,-0.013665157754085088,0.006040700539856852,0.254
BAND_50_95,K200,20,BULL_2025,12,-0.003477457725850138,0.228125,-0.003477457725850138,-0.004161832725850138,-0.0048462077258501395,net_30,-0.004161832725850138,-0.01438859525408509,0.005384049050240039,0.219
BAND_50_95,K200,20,BULL_2025,12,-0.003477457725850138,0.228125,-0.003477457725850138,-0.004161832725850138,-0.0048462077258501395,net_60,-0.0048462077258501395,-0.015112032754085085,0.005112409121793222,0.19
BAND_50_95,K200,20,EARLY_2016_2019,48,-0.003116132109197559,0.24609375,-0.003116132109197559,-0.0038544133591975585,-0.004592694609197558,gross_delta,-0.003116132109197559,-0.006162972205964681,-0.0003700578023328224,0.011833333333333333
BAND_50_95,K200,20,EARLY_2016_2019,48,-0.003116132109197559,0.24609375,-0.003116132109197559,-0.0038544133591975585,-0.004592694609197558,net_30,-0.0038544133591975585,-0.006901293241640421,-0.001029450738799944,0.0013333333333333333
BAND_50_95,K200,20,EARLY_2016_2019,48,-0.003116132109197559,0.24609375,-0.003116132109197559,-0.0038544133591975585,-0.004592694609197558,net_60,-0.004592694609197558,-0.007573847044039423,-0.0017420920006343426,0.0006666666666666666
BAND_50_95,K200,20,LATE_2020_2022,38,-0.00624281896669174,0.22944078947368415,-0.00624281896669174,-0.006931141335112794,-0.0076194637035338466,gross_delta,-0.00624281896669174,-0.012093250916999468,-0.0012846494409612132,0.007166666666666667
BAND_50_95,K200,20,LATE_2020_2022,38,-0.00624281896669174,0.22944078947368415,-0.00624281896669174,-0.006931141335112794,-0.0076194637035338466,net_30,-0.006931141335112794,-0.012803387217832187,-0.001934182990128371,0.0025
BAND_50_95,K200,20,LATE_2020_2022,38,-0.00624281896669174,0.22944078947368415,-0.00624281896669174,-0.006931141335112794,-0.0076194637035338466,net_60,-0.0076194637035338466,-0.013686625530017872,-0.002570425387475023,0.001
BAND_50_95,K200,20,NORMAL_2023_2024,24,0.00014222116186181463,0.22604166666666667,0.00014222116186181463,-0.0005359038381381859,-0.0012140288381381854,gross_delta,0.00014222116186181463,-0.0066500041050543395,0.0057573408744420055,0.5448333333333333
BAND_50_95,K200,20,NORMAL_2023_2024,24,0.00014222116186181463,0.22604166666666667,0.00014222116186181463,-0.0005359038381381859,-0.0012140288381381854,net_30,-0.0005359038381381859,-0.007493200221977293,0.005120599282863871,0.4523333333333333
BAND_50_95,K200,20,NORMAL_2023_2024,24,0.00014222116186181463,0.22604166666666667,0.00014222116186181463,-0.0005359038381381859,-0.0012140288381381854,net_60,-0.0012140288381381854,-0.007849245995497321,0.004513435917402982,0.3615
BAND_50_95,KOSDAQ,5,BULL_2025,49,0.0010003804096521168,0.20229591836734692,0.0010003804096521168,0.0003934926545500761,-0.00021339510055196501,gross_delta,0.0010003804096521168,-0.0021788218414221824,0.004623401966692751,0.6943333333333334
BAND_50_95,KOSDAQ,5,BULL_2025,49,0.0010003804096521168,0.20229591836734692,0.0010003804096521168,0.0003934926545500761,-0.00021339510055196501,net_30,0.0003934926545500761,-0.0028173933690828156,0.003982281860815532,0.5655
BAND_50_95,KOSDAQ,5,BULL_2025,49,0.0010003804096521168,0.20229591836734692,0.0010003804096521168,0.0003934926545500761,-0.00021339510055196501,net_60,-0.00021339510055196501,-0.003360044724933165,0.0034867839538707712,0.4226666666666667
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,192,-0.0001539899703279292,0.2294921875,-0.0001539899703279292,-0.0008424665328279294,-0.0015309430953279295,gross_delta,-0.0001539899703279292,-0.0012159854247894887,0.0008646274582533896,0.39616666666666667
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,192,-0.0001539899703279292,0.2294921875,-0.0001539899703279292,-0.0008424665328279294,-0.0015309430953279295,net_30,-0.0008424665328279294,-0.0019498681144433695,0.0002029604666281172,0.05683333333333333
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,192,-0.0001539899703279292,0.2294921875,-0.0001539899703279292,-0.0008424665328279294,-0.0015309430953279295,net_60,-0.0015309430953279295,-0.002656207353848683,-0.0004933303495057395,0.0013333333333333333
BAND_50_95,KOSDAQ,5,LATE_2020_2022,149,-0.00038487270052813243,0.2016778523489933,-0.00038487270052813243,-0.0009899062575751123,-0.0015949398146220923,gross_delta,-0.00038487270052813243,-0.0014793576113936505,0.0006855153126475896,0.2455
BAND_50_95,KOSDAQ,5,LATE_2020_2022,149,-0.00038487270052813243,0.2016778523489933,-0.00038487270052813243,-0.0009899062575751123,-0.0015949398146220923,net_30,-0.0009899062575751123,-0.0020983746458847975,0.00013128736243052787,0.04066666666666666
BAND_50_95,KOSDAQ,5,LATE_2020_2022,149,-0.00038487270052813243,0.2016778523489933,-0.00038487270052813243,-0.0009899062575751123,-0.0015949398146220923,net_60,-0.0015949398146220923,-0.002717799673786891,-0.0004842149850824615,0.0015
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,97,0.001418848466200533,0.20708762886597937,0.001418848466200533,0.0007975855796025943,0.00017632269300465642,gross_delta,0.001418848466200533,-0.00024044041631894172,0.0031705736618264967,0.9503333333333334
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,97,0.001418848466200533,0.20708762886597937,0.001418848466200533,0.0007975855796025943,0.00017632269300465642,net_30,0.0007975855796025943,-0.0008954701093682218,0.0025641566391500265,0.8155
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,97,0.001418848466200533,0.20708762886597937,0.001418848466200533,0.0007975855796025943,0.00017632269300465642,net_60,0.00017632269300465642,-0.0015314227472386925,0.002015299504857171,0.5723333333333334
BAND_50_95,KOSDAQ,5,YTD_2026,28,0.0014692196712769241,0.18638392857142858,0.0014692196712769241,0.0009100678855626377,0.0003509160998483529,gross_delta,0.0014692196712769241,-0.00376556648699822,0.006824661378716998,0.7141666666666666
BAND_50_95,KOSDAQ,5,YTD_2026,28,0.0014692196712769241,0.18638392857142858,0.0014692196712769241,0.0009100678855626377,0.0003509160998483529,net_30,0.0009100678855626377,-0.004515363566924479,0.0061372390394629954,0.6281666666666667
BAND_50_95,KOSDAQ,5,YTD_2026,28,0.0014692196712769241,0.18638392857142858,0.0014692196712769241,0.0009100678855626377,0.0003509160998483529,net_60,0.0003509160998483529,-0.005063874087811067,0.00566386821821439,0.5371666666666667
BAND_50_95,KOSDAQ,10,BULL_2025,25,0.00351924078708288,0.2,0.00351924078708288,0.0029192407870828807,0.00231924078708288,gross_delta,0.00351924078708288,-0.00042938257196072197,0.008348466604824129,0.9536666666666667
BAND_50_95,KOSDAQ,10,BULL_2025,25,0.00351924078708288,0.2,0.00351924078708288,0.0029192407870828807,0.00231924078708288,net_30,0.0029192407870828807,-0.0011042782079050207,0.007599921891097008,0.9066666666666666
BAND_50_95,KOSDAQ,10,BULL_2025,25,0.00351924078708288,0.2,0.00351924078708288,0.0029192407870828807,0.00231924078708288,net_60,0.00231924078708288,-0.001673515442473788,0.0070822974147065525,0.8528333333333333
BAND_50_95,KOSDAQ,10,EARLY_2016_2019,96,1.8669784296084332e-05,0.2188151041666667,1.8669784296084332e-05,-0.0006377755282039156,-0.0012942208407039156,gross_delta,1.8669784296084332e-05,-0.0018821512342798428,0.0017288895134548272,0.5225
