era,universe,feature,n_dates,mean_primary_partial_ic,median_primary_partial_ic,mean_continuation_partial_ic,mean_top4_quality_spread_raw5,mean_top4_quality_spread_cont5
2016-19,K200,BREADTH_ALIGNMENT,188,-0.027307780807935715,-0.07190044002469298,0.008601064726115654,-0.0009638040664219937,-0.0011651468481682348
2016-19,K200,BROAD_CONTRIBUTION,188,0.03950030686676315,0.03180964674247029,0.001561356727361213,-0.00041529387604570577,-0.0005268559033517444
2016-19,K200,LIQUIDITY_SUPPORT20,188,0.03766336400776671,0.03362121755052329,0.0020219568448352344,3.0443458532248568e-06,0.0012906026635969498
2016-19,K200,WITHIN_ALIGNMENT,188,-0.015539103466219228,0.010810221164470366,-0.014770406481324426,-0.00040877814842326196,0.00020166111467722364
2016-19,KOSDAQ,BREADTH_ALIGNMENT,188,-0.0076984708409735024,-0.00680572011702023,-0.028136760743609077,-0.00181653818504041,-0.002107229053973416
2016-19,KOSDAQ,BROAD_CONTRIBUTION,188,0.013779213394083858,0.04478763442322636,-0.03473314785163357,-0.0032217913424749276,-0.0035095939158599075
2016-19,KOSDAQ,LIQUIDITY_SUPPORT20,188,-0.026227529122126374,-0.035277976136629946,-0.051779408815120775,-0.0010620737639935435,-0.0013204933662411505
2016-19,KOSDAQ,WITHIN_ALIGNMENT,188,0.012486294873100384,-0.0032323254379960638,0.010418279865017433,0.0026859111453620913,0.003646740211272514
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,BREADTH_ALIGNMENT,188,-0.0459063793094802,-0.05930069225436957,0.0017485140235088904,0.00023592395162878104,0.0002915249019871942
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_CONTRIBUTION,188,-0.04362756491326102,-0.05837458231373817,-0.060383414305647205,-0.0014005364065102761,-0.00230888700149332
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,LIQUIDITY_SUPPORT20,188,0.020723887511299038,0.03717026653707714,0.03314662140161477,0.0014953623633491295,0.0008362817013331252
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN_ALIGNMENT,188,0.041351623101361,0.07889631324134933,0.015428000238581143,0.001705206415874668,0.003227130100540944
2016-19,KOSPI_ALL,BREADTH_ALIGNMENT,188,-0.038192003635301994,-0.058302141263500896,-0.014050029990438199,-0.000949897496077319,-0.0007967067015151062
2016-19,KOSPI_ALL,BROAD_CONTRIBUTION,188,-0.008377259858917921,0.01845714116256028,-0.01804539858308228,-0.0007311136766889391,0.0002158585038150915
2016-19,KOSPI_ALL,LIQUIDITY_SUPPORT20,188,-0.005404002894779631,0.009123975878775809,-0.005333742227240805,-0.0013975405240166505,-0.0006316189061699545
2016-19,KOSPI_ALL,WITHIN_ALIGNMENT,188,-0.03192823257939053,-0.06138333527061295,-0.017936672674909452,-7.932122642419146e-05,-0.00010634978103183635
2016-19,KOSPI_EX_K200,BREADTH_ALIGNMENT,188,0.03077332612114791,0.03346172716429363,0.022171321600815218,0.0019636343280755326,0.0013097156661870265
2016-19,KOSPI_EX_K200,BROAD_CONTRIBUTION,188,-0.008348213541474567,0.01801133592634123,-0.011184784288733023,1.8693306624222647e-05,-0.0024222495714927004
2016-19,KOSPI_EX_K200,LIQUIDITY_SUPPORT20,188,-0.02000330741144143,-0.031428276042838474,-0.023901932488735643,-0.00012440653093703525,0.0005397927676207705
2016-19,KOSPI_EX_K200,WITHIN_ALIGNMENT,188,0.04310185002392602,0.08114309398753661,0.024247502121762205,0.003247109385505808,0.0020188282109736915
2016-19,KOSPI_KOSDAQ_ALL,BREADTH_ALIGNMENT,188,-0.07551833392424318,-0.09809715694689186,-0.06911983588181012,0.0010550463098097929,0.0011500453080615287
2016-19,KOSPI_KOSDAQ_ALL,BROAD_CONTRIBUTION,188,-0.03793764856829038,-0.01683051456104754,-0.0219578225176461,-0.00027070213950768275,7.820722032151478e-05
2016-19,KOSPI_KOSDAQ_ALL,LIQUIDITY_SUPPORT20,188,0.052413649552751164,0.022682931925476234,0.023048585933712933,0.002273962097166443,0.002310091640781745
2016-19,KOSPI_KOSDAQ_ALL,WITHIN_ALIGNMENT,188,0.05808354579925345,0.04928231704690715,0.02014261141065601,0.0025011730123070037,0.0022855979699095154
2020-22,K200,BREADTH_ALIGNMENT,149,0.05149162696819623,0.0077964420852977365,-0.004960299563844941,-0.00015850348448860117,-0.0010407108331232896
