era,feature,n_universes,median_universe_primary_ic,positive_primary_ic_universes,median_universe_continuation_ic,median_universe_top4_spread,positive_top4_spread_universes,pooled_mean_primary_ic,pooled_primary_ic_tstat,pooled_mean_top4_spread,pooled_top4_spread_tstat
2016-19,WITHIN_ALIGNMENT,3,0.012486294873100384,2,0.010418279865017433,0.0026859111453620913,2,0.013349680476935724,0.7396962622916878,0.0018414141274815457,2.1484977164469714
2016-19,BREADTH_ALIGNMENT,3,-0.0076984708409735024,1,0.008601064726115654,-0.0009638040664219937,1,-0.001410975175920431,-0.07608735148837599,-0.0002722359744622905,-0.3208793332687461
2016-19,BROAD_CONTRIBUTION,3,0.013779213394083858,2,-0.011184784288733023,-0.00041529387604570577,1,0.014977102239790811,0.8522424874818365,-0.001206130637298804,-1.4303536398773355
2016-19,LIQUIDITY_SUPPORT20,3,-0.02000330741144143,1,-0.023901932488735643,-0.00012440653093703525,1,-0.002855824175267036,-0.15892609994548612,-0.0003944786496924517,-0.4701401547341686
2020-22,WITHIN_ALIGNMENT,3,0.033652108711080965,2,0.02566736434584809,0.00126366395178366,2,0.012020574189608318,0.5612765370992352,0.0008910198762414141,0.8091837586320845
2020-22,BREADTH_ALIGNMENT,3,0.05149162696819623,3,-0.0008167386922285389,-0.00015850348448860117,1,0.042748747295960406,2.230512989491673,0.0005365472714825529,0.46990100902585574
2020-22,BROAD_CONTRIBUTION,3,0.019841954589981423,2,0.0023958537805332542,-0.0005874785195945431,1,-0.008906035164342496,-0.44010311899781,-0.0014487179527493507,-1.2921602626068411
2020-22,LIQUIDITY_SUPPORT20,3,0.006178040471251685,2,0.03638042021884343,-0.0002250310437852772,1,0.004160671573076997,0.2133066264717485,-0.0012527011135587234,-1.1091131372451406
2023-24,WITHIN_ALIGNMENT,3,0.00832079833484075,2,0.01851319004920225,0.0018533950388926104,2,0.026394771720201538,1.0759456117733244,0.0011104118641288986,0.6936221284872452
2023-24,BREADTH_ALIGNMENT,3,-0.0017402963598131635,1,-0.02319662992787608,0.0009723405419464217,2,0.006598527327393558,0.26792245463171643,0.0007755951211016483,0.5387170397898619
2023-24,BROAD_CONTRIBUTION,3,0.0027019341777891207,2,-0.01681619373248999,-0.0015550463062677362,0,-0.013720175631081535,-0.559001844372994,-0.0011469361046092348,-0.6882174391518248
2023-24,LIQUIDITY_SUPPORT20,3,0.023493878341853406,2,0.0013137224147939347,0.0021439820761975465,2,0.02641774319215169,1.1204839910412152,0.001862086541895598,1.2211461735010962
2025,WITHIN_ALIGNMENT,3,-0.03651232718774861,1,-0.029950986704966896,-0.0007244170658007281,1,0.02857903862102992,0.8429301408427339,-0.0014323206532162829,-0.7369683913123484
2025,BREADTH_ALIGNMENT,3,0.013527398936898378,2,-0.07223895547663674,-0.003271046006971196,0,-0.010557286740856842,-0.2938717234681924,-0.003315022566832107,-1.625358261753266
2025,BROAD_CONTRIBUTION,3,-0.02245185997423659,0,-0.04497025996023244,-0.0012739563515299858,1,-0.036564230678568635,-1.0031140297818029,-0.0005211127533833766,-0.22987806572984595
2025,LIQUIDITY_SUPPORT20,3,-0.010467410181107533,1,-0.015789290842396303,0.002960438190993118,2,0.004587200708326108,0.14866328984837007,0.0016473946530641767,0.8700431730896018
2026,WITHIN_ALIGNMENT,3,-0.057867409083397346,1,-0.04468683831057858,-0.005225738355248464,1,-0.02888109114288374,-0.6053781381425695,-0.0037013848363773422,-0.9338454174168156
2026,BREADTH_ALIGNMENT,3,0.14213710235572316,3,0.052673381101652574,0.009157139522984201,3,0.12099406274199358,2.51454602828438,0.010540967121492509,2.7712835766447412
2026,BROAD_CONTRIBUTION,3,0.031256583511023776,2,0.08647718070226208,0.0024667828482879722,2,0.024733963576289805,0.5400479642071409,0.0021359614178981367,0.5871894808876775
2026,LIQUIDITY_SUPPORT20,3,-0.0429501079424334,0,-0.06960543481710504,-0.003292980771828329,1,-0.07721314442170935,-1.6028020137550347,-0.002275612828887094,-0.6695865978127188
