date,universe,eval_year,score,train_q33,train_q67,action,target_factor_mom_20,policy_gross,top2_gross,bottom2_gross,ew8_gross,w_MOM1M,top_w_MOM1M,w_MOM12_1,top_w_MOM12_1,w_OP12_REV,top_w_OP12_REV,w_OPFY1_REV,top_w_OPFY1_REV,w_PBR12MF,top_w_PBR12MF,w_PER12MF,top_w_PER12MF,w_PRIVATE_FLOW,top_w_PRIVATE_FLOW,w_FOREIGN_FLOW,top_w_FOREIGN_FLOW,policy_turnover,top2_turnover,cost_bps,policy_ret,top2_ret,ew8_turnover,ew8_ret
2020-01-03,K200,2020,0.1572162729499817,-0.14969523709363677,0.17579787683631196,EW8,0.1261777992698365,0.018919013308884847,0.06448953891975705,-0.061688260350079446,0.018919013308884847,0.125,0.0,0.125,0.5,0.125,0.5,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.5,0.5,0,0.018919013308884847,0.06448953891975705,0.5,0.018919013308884847
2020-02-04,K200,2020,-0.40717490268446077,-0.14969523709363677,0.17579787683631196,BOTTOM2,0.0074657232785675,-0.0316726403346868,-0.0242069170561192,-0.0316726403346868,-0.015262968795943337,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0,-0.0316726403346868,-0.0242069170561192,0.0,-0.015262968795943337
2020-03-03,K200,2020,0.5380164029663516,-0.14969523709363677,0.17579787683631196,TOP2,0.0550270338323257,0.03191322196619715,0.03191322196619715,-0.02311381186612855,-0.012425918179522412,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0,0.03191322196619715,0.03191322196619715,0.0,-0.012425918179522412
2020-03-31,K200,2020,-0.20486837175693398,-0.14969523709363677,0.17579787683631196,BOTTOM2,-0.1816946713574366,0.08625354207575425,-0.0954411292816823,0.08625354207575425,-0.01775432805667497,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0,0.08625354207575425,-0.0954411292816823,0.0,-0.01775432805667497
2020-04-29,K200,2020,-0.8142216348424872,-0.14969523709363677,0.17579787683631196,BOTTOM2,-0.038187937323891,0.02388649049848575,-0.01430144682540535,0.02388649049848575,0.0179769002723153,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0,0.02388649049848575,-0.01430144682540535,0.0,0.0179769002723153
2020-06-01,K200,2020,0.6924151693840039,-0.14969523709363677,0.17579787683631196,TOP2,0.0743823804464115,0.04823952027364905,0.04823952027364905,-0.026142860172762503,0.02129135968113364,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0,0.04823952027364905,0.04823952027364905,0.0,0.02129135968113364
2020-06-29,K200,2020,-0.5972332597493049,-0.14969523709363677,0.17579787683631196,BOTTOM2,0.0582665196267929,-0.0046199949432072,0.053646524683585606,-0.0046199949432072,0.023294878296217,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,-0.0046199949432072,0.053646524683585606,0.0,0.023294878296217
2020-07-27,K200,2020,0.8015433854306405,-0.14969523709363677,0.17579787683631196,TOP2,0.0395464498808587,0.0346620030185723,0.0346620030185723,-0.004884446862286351,0.002922272730150586,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0346620030185723,0.0346620030185723,0.0,0.002922272730150586
2020-08-25,K200,2020,-0.08639709707867486,-0.14969523709363677,0.17579787683631196,EW8,-0.0774217671641858,0.0009424384186942254,-0.01855113289181795,0.0588706342723678,0.0009424384186942254,0.125,0.5,0.125,0.0,0.125,0.5,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.75,1.0,0,0.0009424384186942254,-0.01855113289181795,0.0,0.0009424384186942254
2020-09-22,K200,2020,-0.06596295857307848,-0.14969523709363677,0.17579787683631196,EW8,0.0649218187908217,0.036051607814026165,0.11433706517410794,0.0494152463832863,0.036051607814026165,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.5,0.125,0.5,0.125,0.0,0.125,0.0,0.0,1.0,0,0.036051607814026165,0.11433706517410794,0.0,0.036051607814026165
