universe,cost_bps,period,n_rebalances,policy_cagr,policy_sharpe,policy_mdd,top2_cagr,top2_sharpe,top2_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_top2,delta_sharpe_vs_top2,delta_mdd_vs_top2,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,action_top2_share,action_bottom2_share,action_ew8_share,annual_policy_turnover,annual_top2_turnover,target_sign_hit
KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.02408500877538433,0.2573832284035971,-0.10317875764302264,0.07968925517936953,0.5836453263890231,-0.09371326742570829,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.0556042464039852,-0.326262097985426,-0.009465490217314354,-0.01741656224414112,-0.23390982511068203,0.4,0.16,0.44,7.433999999999999,9.324,0.36
KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.07392825906656597,0.8312471360306483,-0.05059685757203647,0.10313645130640103,0.5894283115312887,-0.15149119459434768,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.029208192239835062,0.24181882449935954,0.10089433702231121,-0.011934644303990938,-0.5050103295227825,0.3333333333333333,0.4583333333333333,0.20833333333333334,8.925,9.45,0.4166666666666667
K200,0,BULL_2025,12,0.26654076102043556,1.5739102804172895,-0.06198041966511114,-0.0037649395725156687,0.09821458775468897,-0.18812263661914563,0.24428861752413122,1.99165182428855,-0.06198041966511103,0.2703057005929512,1.4756956926626006,0.1261422169540345,0.022252143496304333,-0.4177415438712604,0.25,0.25,0.5,7.3500000000000005,10.5,0.5
KOSDAQ,0,BULL_2025,12,0.0030458343197410365,0.07720064928001945,-0.06260759656202719,0.034691462586339705,0.2946934680482536,-0.08627223515022087,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.03164562826659867,-0.21749281876823412,0.023664638588193676,-0.11653707754563114,-1.1799299885629193,0.25,0.4166666666666667,0.3333333333333333,8.137500000000001,9.975,0.4166666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,0.01627248618951005,0.18916994847269403,-0.09470907425682995,0.1997184974581323,1.8106164059199106,-0.021258898256490966,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.18344601126862226,-1.6214464574472165,-0.07345017600033898,-0.10719965751927818,-1.2869778506010578,0.4166666666666667,0.3333333333333333,0.25,7.875,9.975,0.5
KOSPI_ALL,0,BULL_2025,12,0.20288423288349722,1.4939618994724317,-0.07667359543830987,-0.059475029630645215,-0.3246397764942533,-0.17094961476452508,0.19042237372146853,2.1353087016045973,-0.04581588063655484,0.26235926251414243,1.818601675966685,0.09427601932621521,0.012461859162028688,-0.6413468021321655,0.16666666666666666,0.5,0.3333333333333333,9.1875,11.549999999999999,0.5833333333333334
KOSPI_EX_K200,0,BULL_2025,12,0.24349901032462284,2.23959909809904,-0.02518416939724344,0.1260002993185172,0.9133717810354915,-0.06616542821680471,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.11749871100610565,1.3262273170635486,0.04098125881956127,0.1256041960703902,0.32543318690793055,0.3333333333333333,0.25,0.4166666666666667,7.3500000000000005,9.975,0.5833333333333334
KOSPI_KOSDAQ_ALL,0,BULL_2025,12,0.1317794775022565,1.259597511242903,-0.0491054467787182,0.09802319551479077,0.6600874063072499,-0.11409696894630039,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.03375628198746572,0.599510104935653,0.0649915221675822,-0.042807633899308195,-0.7632101497951265,0.08333333333333333,0.5,0.4166666666666667,9.1875,11.025,0.6666666666666666
K200,0,YTD_2026,4,0.6199522734221767,2.1611108370648187,-0.03157359802709592,0.0555229707229945,0.3154131212453638,-0.04511875425348233,0.44758800968263035,3.218589932676514,0.0,0.5644293026991822,1.8456977158194547,0.013545156226386412,0.1723642637395464,-1.0574790956116953,0.25,0.75,0.0,11.8125,11.025,0.5
KOSDAQ,0,YTD_2026,4,0.434471249249065,2.0596587669566953,-0.00645294469286295,0.7624693691352455,2.663934884619375,-0.0196825548834364,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.32799811988618055,-0.6042761176626796,0.013229610190573449,0.08175766408985563,-0.7451016160174411,0.25,0.5,0.25,10.237499999999999,7.875,0.75
KOSDAQ_PLUS_KOSPI_EX_K200,0,YTD_2026,4,0.3353968937594656,4.228746196585604,0.0,0.6805392344320684,3.0568680153054153,-0.008278020805803532,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.34514234067260285,1.1718781812801886,0.008278020805803532,0.05252383549712336,1.267932373624454,0.0,0.25,0.75,7.0874999999999995,7.875,0.5
KOSPI_ALL,0,YTD_2026,4,0.7258051489569275,2.3398184248795992,-0.03192549399772482,0.35962875464660593,1.5104366181841682,-0.03903281763822175,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.36617639431032156,0.829381806695431,0.007107323640496932,0.38848293926002997,-0.24366226728557505,0.25,0.75,0.0,11.025,9.45,0.75
KOSPI_EX_K200,0,YTD_2026,4,0.41903062053750273,2.1277566956752287,-0.021157130158278137,0.3526699720129478,1.4324742188862067,-0.05024657897953999,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.06636064852455492,0.695282476789022,0.029089448821261854,0.32274454448739287,1.314627262855601,0.25,0.5,0.25,9.45,9.45,0.75
KOSPI_KOSDAQ_ALL,0,YTD_2026,4,0.1576363396946694,1.3656644592829423,-0.026241193815654706,-0.07900754446236768,-1.6866084520032967,-0.026241193815654706,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.23664388415703708,3.052272911286239,0.0,-0.19987415746523118,-2.286476522007108,0.5,0.5,0.0,7.0874999999999995,11.025,0.5
K200,10,DEV_2020_2022,38,0.04408951245012127,0.40558591334203037,-0.18693851975311604,0.023317694164691094,0.22452587054137485,-0.13363544424420515,0.06861936099357124,0.9252577805444361,-0.06132276546491944,0.020771818285430177,0.18106004280065552,-0.05330307550891089,-0.024529848543449972,-0.5196718672024057,0.39473684210526316,0.3684210526315789,0.23684210526315788,9.035526315789474,9.118421052631579,0.6052631578947368
KOSDAQ,10,DEV_2020_2022,38,0.0623498002186611,0.5503950064788798,-0.1029051661715984,0.07404925508676996,0.555687744594074,-0.16748009115780393,0.04179473726282623,0.6921866698616813,-0.1003203287307477,-0.01169945486810886,-0.005292738115194151,0.06457492498620554,0.02055506295583487,-0.14179166338280147,0.42105263157894735,0.39473684210526316,0.18421052631578946,8.952631578947368,8.786842105263156,0.47368421052631576
KOSDAQ_PLUS_KOSPI_EX_K200,10,DEV_2020_2022,38,0.10412941034735712,0.8933613506318866,-0.07856876838822258,0.08365781110221326,0.6626718958765068,-0.13692890955686488,0.06016500093172805,0.9105009068498411,-0.08721308188926802,0.020471599245143857,0.23068945475537983,0.0583601411686423,0.04396440941562907,-0.017139556217954488,0.2894736842105263,0.4473684210526316,0.2631578947368421,9.118421052631579,9.118421052631579,0.6052631578947368
KOSPI_ALL,10,DEV_2020_2022,38,0.06099317878050936,0.7259931222571843,-0.0895003124757271,0.036058796735851883,0.3239703618703834,-0.1599196588328401,0.06767022488469565,1.0960360155768634,-0.04072532130981732,0.024934382044657477,0.40202276038680085,0.070419346357113,-0.0066770461041862905,-0.3700428933196791,0.2631578947368421,0.2894736842105263,0.4473684210526316,7.211842105263157,9.78157894736842,0.5263157894736842
KOSPI_EX_K200,10,DEV_2020_2022,31,0.0453559516325821,0.3507927080917705,-0.12611215302394962,0.15032465454196497,0.9243979510823265,-0.15626090277905935,0.08396506165713724,0.9867211233290786,-0.06475484058299597,-0.10496870290938287,-0.573605242990556,0.030148749755109727,-0.03860911002455514,-0.6359284152373081,0.2903225806451613,0.3870967741935484,0.3225806451612903,7.925806451612903,8.738709677419354,0.45161290322580644
KOSPI_KOSDAQ_ALL,10,DEV_2020_2022,38,0.016710521961370572,0.20581130939964243,-0.11652306611350427,0.013603877707730527,0.1633239252171247,-0.21515963437670826,0.07521602370581149,1.229060716163908,-0.03081420934002388,0.003106644253640045,0.04248738418251774,0.098636568263204,-0.05850550174444091,-1.0232494067642657,0.21052631578947367,0.4473684210526316,0.34210526315789475,8.455263157894736,9.118421052631579,0.4473684210526316
K200,10,CONFIRM_2023_2024,24,0.2158028591723602,1.3551617709733317,-0.045786127488813944,0.08638391054487315,0.6255001586025248,-0.11030842902551363,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.12941894862748704,0.7296616123708068,0.06452230153669969,0.10767733240714361,-0.1293514678836376,0.2916666666666667,0.375,0.3333333333333333,8.00625,9.7125,0.5833333333333334
KOSDAQ,10,CONFIRM_2023_2024,24,0.23516939913186952,1.3733476487025087,-0.05184610210021068,0.03386334970952465,0.2536547586900637,-0.1608984015062217,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.20130604942234487,1.119692890012445,0.10905229940601102,0.1968728015999457,0.832546743845662,0.4583333333333333,0.25,0.2916666666666667,8.925,10.237499999999999,0.6666666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,10,CONFIRM_2023_2024,24,0.13912707340376973,1.1190966135389344,-0.07095301257926534,0.04323589844631659,0.2912046157744927,-0.2231980793066446,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.09589117495745314,0.8278919977644417,0.15224506672737925,0.09190893959217394,0.36713833013914543,0.375,0.4166666666666667,0.20833333333333334,8.79375,8.925,0.5833333333333334
KOSPI_ALL,10,CONFIRM_2023_2024,24,0.12598181829177468,1.211765868969174,-0.05362408238640681,0.16551456419249244,0.9790816979365301,-0.09439396459622496,0.08517826364566328,1.2527517412988858,-0.04634863422223201,-0.03953274590071776,0.23268417103264383,0.04076988220981814,0.040803554646111406,-0.04098587232971185,0.375,0.25,0.375,7.612499999999999,9.1875,0.5833333333333334
KOSPI_EX_K200,10,CONFIRM_2023_2024,25,0.016465275120095768,0.1942097754947539,-0.10683693949876238,0.06970557034852853,0.5213997571136906,-0.09630449269752706,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.053240295228432766,-0.32718998161893664,-0.010532446801235329,-0.025036295899429684,-0.2970832780195253,0.4,0.16,0.44,7.433999999999999,9.324,0.36
KOSPI_KOSDAQ_ALL,10,CONFIRM_2023_2024,24,0.0644109234100756,0.7309093491640566,-0.05159685757203647,0.09287949035047416,0.542313953449407,-0.1545711769416135,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.028468566940398565,0.18859539571464956,0.10297431936957702,-0.021451979960481316,-0.6053481163893741,0.3333333333333333,0.4583333333333333,0.20833333333333334,8.925,9.45,0.4166666666666667
K200,10,BULL_2025,12,0.2574371079263844,1.528315834957869,-0.06273041966511106,-0.014266671866135727,0.05587498161978565,-0.19112445067483808,0.24428861752413122,1.99165182428855,-0.06198041966511103,0.27170377979252014,1.4724408533380833,0.12839403100972702,0.013148490402253188,-0.463335989330681,0.25,0.25,0.5,7.3500000000000005,10.5,0.5
KOSDAQ,10,BULL_2025,12,-0.005103759239908023,-0.002319989206041257,-0.06335759656202722,0.024431939209602405,0.22820199297134283,-0.08818350176781087,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.029535698449510428,-0.2305219821773841,0.02482590520578365,-0.1246866711052802,-1.25945062704898,0.25,0.4166666666666667,0.3333333333333333,8.137500000000001,9.975,0.4166666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,12,0.008320219109216431,0.12436279653117503,-0.09614575772207057,0.1879685527309396,1.7141242224588775,-0.02175889825649102,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.17964833362172317,-1.5897614259277024,-0.07438685946557955,-0.1151519245995718,-1.3517850025425768,0.4166666666666667,0.3333333333333333,0.25,7.875,9.975,0.5
KOSPI_ALL,10,BULL_2025,12,0.19206645023226154,1.4259188098570226,-0.078570083177816,-0.07037788915149301,-0.3991942381015509,-0.17442321834083452,0.19042237372146853,2.1353087016045973,-0.04581588063655484,0.26244433938375455,1.8251130479585735,0.09585313516301852,0.0016440765107930133,-0.7093898917475747,0.16666666666666666,0.5,0.3333333333333333,9.1875,11.549999999999999,0.5833333333333334
KOSPI_EX_K200,10,BULL_2025,12,0.2345855148840208,2.1751751190453423,-0.02715784093712159,0.11493887653032431,0.8432143402806535,-0.06666542821680466,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.11964663835369649,1.3319607787646888,0.039507587279683065,0.11669070062978815,0.26100920785423276,0.3333333333333333,0.25,0.4166666666666667,7.3500000000000005,9.975,0.5833333333333334
KOSPI_KOSDAQ_ALL,10,BULL_2025,12,0.12150434046302161,1.1681812181980986,-0.05294983567867606,0.08601712706377662,0.5901966544592708,-0.11551885240464732,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.03548721339924499,0.5779845637388278,0.06256901672597126,-0.05308277093854308,-0.8546264428399308,0.08333333333333333,0.5,0.4166666666666667,9.1875,11.025,0.6666666666666666
K200,10,YTD_2026,4,0.6015225986614341,2.108472885880124,-0.033540880876144596,0.0438523780383111,0.2684320976377601,-0.04611875425348233,0.44758800968263035,3.218589932676514,0.0,0.557670220623123,1.8400407882423637,0.012577873377337734,0.15393458897880374,-1.1101170467963901,0.25,0.75,0.0,11.8125,11.025,0.5
KOSDAQ,10,YTD_2026,4,0.4203190836142192,2.0079739550358955,-0.0072029446928632,0.7491292455441254,2.624401129219566,-0.020182554883436454,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.3288101619299062,-0.6164271741836704,0.012979610190573254,0.06760549845500985,-0.7967864279382408,0.25,0.5,0.25,10.237499999999999,7.875,0.75
KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,4,0.3261665248669403,4.119868586616914,0.0,0.6680134638598176,3.0245204737189693,-0.008778020805803366,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.3418469389928773,1.0953481128979443,0.008778020805803366,0.043293466604598096,1.1590547636557638,0.0,0.25,0.75,7.0874999999999995,7.875,0.5
KOSPI_ALL,10,YTD_2026,4,0.7075009006391944,2.2908846330390773,-0.03292549399772493,0.34700379099468237,1.4628975049749167,-0.04003281763822175,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.360497109644512,0.8279871280641606,0.007107323640496821,0.37017869094229683,-0.292596059126097,0.25,0.75,0.0,11.025,9.45,0.75
KOSPI_EX_K200,10,YTD_2026,4,0.40604497113053495,2.07356338064404,-0.0226378972567437,0.3402963629475211,1.3928405913826902,-0.0517033849306453,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.06574860818301387,0.6807227892613497,0.029065487673901602,0.3097588950804251,1.2604339478244122,0.25,0.5,0.25,9.45,9.45,0.75
KOSPI_KOSDAQ_ALL,10,YTD_2026,4,0.14958046845837836,1.3058476856870314,-0.02674119381565465,-0.0891806002366784,-1.911331306591561,-0.027241193815654707,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.23876106869505676,3.2171789922785923,0.000500000000000056,-0.20793002870152222,-2.3462932956030187,0.5,0.5,0.0,7.0874999999999995,11.025,0.5
K200,30,DEV_2020_2022,38,0.025402390585092194,0.26109020636524566,-0.20617060016814615,0.0048417340188671165,0.10588719962320403,-0.14160561064803034,0.06827132347523568,0.9215249775433709,-0.06132276546491944,0.020560656566225077,0.15520300674204163,-0.0645649895201158,-0.042868932890143485,-0.6604347711781253,0.39473684210526316,0.3684210526315789,0.23684210526315788,9.035526315789474,9.118421052631579,0.6052631578947368
KOSDAQ,30,DEV_2020_2022,38,0.04346273880160245,0.40242816575792223,-0.11559458786152976,0.05538682304663811,0.4366446926162872,-0.17844771537798654,0.041450262265989135,0.6867871598105947,-0.10032032873074759,-0.01192408424503566,-0.03421652685836496,0.06285312751645677,0.0020124765356133167,-0.28435899405267245,0.42105263157894735,0.39473684210526316,0.18421052631578946,8.952631578947368,8.786842105263156,0.47368421052631576
KOSDAQ_PLUS_KOSPI_EX_K200,30,DEV_2020_2022,38,0.0842907686558314,0.7391583749759177,-0.08240728005055253,0.06418430391562713,0.527831538433129,-0.13970052109081565,0.05981285107347367,0.905060457419607,-0.08721308188926813,0.020106464740204277,0.21132683654278872,0.05729324104026312,0.024477917582357733,-0.1659020824436892,0.2894736842105263,0.4473684210526316,0.2631578947368421,9.118421052631579,9.118421052631579,0.6052631578947368
KOSPI_ALL,30,DEV_2020_2022,38,0.04584641113570509,0.5592338467250699,-0.09370346124486051,0.016065493153516464,0.1831180873891387,-0.16450986057543715,0.0673225288250745,1.0918942969137404,-0.04072532130981732,0.029780917982188626,0.3761157593359312,0.07080639933057664,-0.02147611768936941,-0.5326604501886705,0.2631578947368421,0.2894736842105263,0.4473684210526316,7.211842105263157,9.78157894736842,0.5263157894736842
KOSPI_EX_K200,30,DEV_2020_2022,31,0.028895580923880226,0.2545604740732039,-0.1324569578937128,0.13054641090613894,0.8185934408577784,-0.16814657336216587,0.08352209351311046,0.9812761219459062,-0.06475484058299597,-0.10165082998225872,-0.5640329667845745,0.03568961546845306,-0.054626512589230236,-0.7267156478727023,0.2903225806451613,0.3870967741935484,0.3225806451612903,7.925806451612903,8.738709677419354,0.45161290322580644
KOSPI_KOSDAQ_ALL,30,DEV_2020_2022,38,-0.00041373009568579366,0.049335183667677814,-0.12721866885235766,-0.0046785605905249605,0.04929064138887898,-0.22016544697137075,0.07486327521835778,1.224115206930817,-0.03081420934002399,0.004264830494839167,4.4542278798832824e-05,0.09294677811901308,-0.07527700531404358,-1.1747800232631391,0.21052631578947367,0.4473684210526316,0.34210526315789475,8.455263157894736,9.118421052631579,0.4473684210526316
K200,30,CONFIRM_2023_2024,24,0.19673742533723027,1.2501451030415303,-0.049690544644882206,0.06562635864929134,0.4965512755988041,-0.11667187762722042,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.13111106668793893,0.7535938274427262,0.06698133298233822,0.08861189857201368,-0.23436813581543903,0.2916666666666667,0.375,0.3333333333333333,8.00625,9.7125,0.5833333333333334
KOSDAQ,30,CONFIRM_2023_2024,24,0.21370503899065407,1.2670194739562346,-0.05855326383144632,0.013064971151124816,0.15558577572588042,-0.18587003128117197,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.20064006783952926,1.111433698230354,0.12731676744972564,0.17540844145873025,0.7262185690993879,0.4583333333333333,0.25,0.2916666666666667,8.925,10.237499999999999,0.6666666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,30,CONFIRM_2023_2024,24,0.11942317814683401,0.9753081316465136,-0.07295301257926545,0.024879654295474785,0.21138827477205388,-0.24196096663774858,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.09454352385135922,0.7639198568744597,0.16900795405848312,0.07220504433523822,0.22334984824672466,0.375,0.4166666666666667,0.20833333333333334,8.79375,8.925,0.5833333333333334
KOSPI_ALL,30,CONFIRM_2023_2024,24,0.10904888380814515,1.0574202262320824,-0.061237414076365626,0.1446302780210993,0.8747125448453841,-0.10081852901880761,0.08517826364566328,1.2527517412988858,-0.04634863422223201,-0.03558139421295414,0.18270768138669835,0.039581114942441986,0.02387062016248187,-0.19533151506680335,0.375,0.25,0.375,7.612499999999999,9.1875,0.5833333333333334
KOSPI_EX_K200,30,CONFIRM_2023_2024,25,0.0013781533336603147,0.06899902292010827,-0.11411761733968961,0.04998777503142571,0.39696513996814076,-0.10364068124988213,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.04860962169776539,-0.32796611704803247,-0.010476936089807487,-0.04012341768586514,-0.42229403059417087,0.4,0.16,0.44,7.433999999999999,9.324,0.36
KOSPI_KOSDAQ_ALL,30,CONFIRM_2023_2024,24,0.04560634637037819,0.5317326576561653,-0.05359685757203647,0.07262266052117838,0.4476068240086872,-0.16909941636776693,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.02701631415080019,0.08412583364747811,0.11550255879573046,-0.040256557000178717,-0.8045248078972654,0.3333333333333333,0.4583333333333333,0.20833333333333334,8.925,9.45,0.4166666666666667
K200,30,BULL_2025,12,0.239404346911134,1.4366924964108472,-0.06423041966511112,-0.03496893342759533,-0.028507046461737937,-0.19710366989074812,0.24428861752413122,1.99165182428855,-0.06198041966511103,0.2743732803387293,1.465199542872585,0.132873250225637,-0.004884270612997232,-0.5549593278777027,0.25,0.25,0.5,7.3500000000000005,10.5,0.5
KOSDAQ,30,BULL_2025,12,-0.021224439353355495,-0.16051787575834067,-0.06485759656202728,0.004190915308805554,0.09526770505669177,-0.09200003500299081,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.02541535466216105,-0.25578558081503244,0.027142438440963534,-0.14080735121872767,-1.4176485136012795,0.25,0.4166666666666667,0.3333333333333333,8.137500000000001,9.975,0.4166666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,30,BULL_2025,12,-0.007417288566230806,-0.005783428747603838,-0.09901612465255194,0.1647832232248556,1.5209724240243077,-0.022868652811613988,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.17220051179108642,-1.5267558527719114,-0.07614747184093795,-0.13088943227501904,-1.4819312278213557,0.4166666666666667,0.3333333333333333,0.25,7.875,9.975,0.5
KOSPI_ALL,30,BULL_2025,12,0.1706985724062935,1.2889776739766274,-0.08235539115824297,-0.09183674411016562,-0.5475282950553283,-0.18133769189257887,0.19042237372146853,2.1353087016045973,-0.04581588063655484,0.2625353165164591,1.8365059690319558,0.09898230073433589,-0.019723801315175038,-0.8463310276279699,0.16666666666666666,0.5,0.3333333333333333,9.1875,11.549999999999999,0.5833333333333334
KOSPI_EX_K200,30,BULL_2025,12,0.21692853414167268,2.0436237831076314,-0.031099184016877945,0.09311313903803908,0.7023765183327492,-0.06766542821680466,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.1238153951036336,1.341247264774882,0.03656624419992671,0.09903371988744003,0.1294578719165218,0.3333333333333333,0.25,0.4166666666666667,7.3500000000000005,9.975,0.5833333333333334
KOSPI_KOSDAQ_ALL,30,BULL_2025,12,0.10120838315563296,0.9859558542301561,-0.06060186165322046,0.062363231890498305,0.4510356887123347,-0.11835961932134076,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.03884515126513466,0.5349201655178214,0.0577577576681203,-0.07337872824593172,-1.0368518068078734,0.08333333333333333,0.5,0.4166666666666667,9.1875,11.025,0.6666666666666666
K200,30,YTD_2026,4,0.5652398423482601,2.003600453451295,-0.03746944657424145,0.020864447482966453,0.1752655057853672,-0.04811875425348233,0.44758800968263035,3.218589932676514,0.0,0.5443753948652936,1.8283349476659276,0.010649307679240883,0.11765183266562973,-1.2149894792252192,0.25,0.75,0.0,11.8125,11.025,0.5
KOSDAQ,30,YTD_2026,4,0.39239930924232014,1.90396139413033,-0.008702944692863257,0.7227240907835952,2.5456360228294916,-0.021182554883436233,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.3303247815412751,-0.6416746286991617,0.012479610190572976,0.039685724083110774,-0.9007989888438064,0.25,0.5,0.25,10.237499999999999,7.875,0.75
KOSDAQ_PLUS_KOSPI_EX_K200,30,YTD_2026,4,0.30787674253119324,3.8990276377522637,0.0,0.6432173375444483,2.958955073726697,-0.009778020805803478,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.3353405950132551,0.9400725640255665,0.009778020805803478,0.025003684268851023,0.9382138147911139,0.0,0.25,0.75,7.0874999999999995,7.875,0.5
