universe,cost_bps,period,n_rebalances,policy_cagr,policy_sharpe,policy_mdd,top2_cagr,top2_sharpe,top2_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_top2,delta_sharpe_vs_top2,delta_mdd_vs_top2,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,action_top2_share,action_bottom2_share,action_ew8_share,annual_policy_turnover,annual_top2_turnover,target_sign_hit
K200,0,DEV_2020_2022,38,0.053548671758540944,0.47797830729089286,-0.1771602441711464,0.032670774411281744,0.28377043965786075,-0.13180222196697777,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.0208778973472592,0.1942078676330321,-0.045358022204168624,-0.015244622338342673,-0.44912340158441977,0.39473684210526316,0.3684210526315789,0.23684210526315788,9.035526315789474,9.118421052631579,0.6052631578947368
KOSDAQ,0,DEV_2020_2022,38,0.07190919847223709,0.6250858244919854,-0.09650063006505116,0.08349194710304131,0.6152740599473255,-0.16194896393500946,0.04196688868988119,0.6948641799186976,-0.1003203287307477,-0.011582748630804218,0.009811764544659818,0.0654483338699583,0.029942309782355903,-0.06977835542671229,0.42105263157894735,0.39473684210526316,0.18421052631578946,8.952631578947368,8.786842105263156,0.47368421052631576
KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.11417215116878188,0.9704914120011073,-0.07664651255705768,0.09351506458952596,0.7299419985067269,-0.13554160378988944,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.020657086579255912,0.24054941349438042,0.058895091232831764,0.05383116369855756,0.05729364368175871,0.2894736842105263,0.4473684210526316,0.2631578947368421,9.118421052631579,9.118421052631579,0.6052631578947368
KOSPI_ALL,0,DEV_2020_2022,38,0.06863959528560493,0.809250037448678,-0.08739405986491733,0.04618925709060262,0.39406706339106023,-0.1576972702241317,0.06784398735064134,1.0980679005285914,-0.04072532130981743,0.022450338195002306,0.4151829740576177,0.07030321035921439,0.0007956079349635825,-0.2888178630799134,0.2631578947368421,0.2894736842105263,0.4473684210526316,7.211842105263157,9.78157894736842,0.5263157894736842
KOSPI_EX_K200,0,DEV_2020_2022,31,0.05367433873405658,0.3990122937992549,-0.1229268085224745,0.16033114286904793,0.9773542447977174,-0.1502623011395613,0.08418644663110508,0.9894260487380767,-0.06475484058299585,-0.10665680413499135,-0.5783419509984624,0.027335492617086787,-0.0305121078970485,-0.5904137549388218,0.2903225806451613,0.3870967741935484,0.3225806451612903,7.925806451612903,8.738709677419354,0.45161290322580644
KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.02537169351652624,0.2848197311058508,-0.11113239271573383,0.022858651921169537,0.22014881101303815,-0.21264806282555215,0.07539231049923023,1.231490309029853,-0.0308142093400241,0.002513041595356702,0.06467092009281264,0.10151567010981832,-0.05002061698270399,-0.9466705779240022,0.21052631578947367,0.4473684210526316,0.34210526315789475,8.455263157894736,9.118421052631579,0.4473684210526316
K200,0,CONFIRM_2023_2024,24,0.22543745695742157,1.4075589716310777,-0.044675506951512345,0.09689955473524803,0.6897617652054854,-0.10711412614167382,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.12853790222217354,0.7177972064255923,0.06243861919016147,0.11731193019220498,-0.0769542672258916,0.2916666666666667,0.375,0.3333333333333333,8.00625,9.7125,0.5833333333333334
KOSDAQ,0,CONFIRM_2023_2024,24,0.24602991170212274,1.4262450566298162,-0.04847920390838156,0.04440735746819824,0.30240744461305163,-0.14939917588656715,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.2016225542339245,1.1238376120167646,0.10091997197818559,0.2077333141701989,0.8854441517729694,0.4583333333333333,0.25,0.2916666666666667,8.925,10.237499999999999,0.6666666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.14909711858374886,1.1910531990800297,-0.06995301257926545,0.0525242265289505,0.3309777027451042,-0.2136566862423641,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.09657289205479835,0.8600754963349255,0.14370367366309866,0.10187898477215307,0.4390949156802407,0.375,0.4166666666666667,0.20833333333333334,8.79375,8.925,0.5833333333333334
KOSPI_ALL,0,CONFIRM_2023_2024,24,0.13453466883101028,1.2892971079293531,-0.0497990068039873,0.17608548338274388,1.0309319266032486,-0.09116905875511094,0.08517826364566328,1.2527517412988858,-0.04634863422223201,-0.041550814551733595,0.25836518132610453,0.04137005195112364,0.04935640518534701,0.03654536663046737,0.375,0.25,0.375,7.612499999999999,9.1875,0.5833333333333334
