universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,calmar,benchmark_cagr,benchmark_mdd,benchmark_sharpe,geometric_excess_cagr,tracking_error,information_ratio,relative_mdd,beta,jensen_alpha_annual,corr,annual_turnover,avg_missing_weight
K200,WEIGHTED_MOM,0,FULL_2017_2026,0,2343,0.02678121111144982,-0.5596108279191625,0.23476908833274948,0.04785684939484132,0.13115992252902808,-0.4311120013167099,0.6228444241749561,-0.09227582178142335,0.19668947871989342,-0.4452491446034623,-0.6340166451172498,0.8337663207995559,-0.06202512221660121,0.7304762983363101,11.630636488689925,0.0
K200,WEIGHTED_MOM,0,FULL_2017_2026,30,2343,-0.008452776884534718,-0.6350454323665123,0.110790027948791,-0.013310507333365485,0.13115992252902808,-0.4311120013167099,0.6228444241749561,-0.12342436876778562,0.1967967062161419,-0.6224755495982982,-0.733739606347019,0.8332534804999698,-0.096871612571095,0.7301202652742134,11.630636488689925,0.0
K200,WEIGHTED_MOM,0,FULL_2017_2026,60,2343,-0.04252696405440304,-0.7146999861187013,-0.01321296876008711,-0.05950323895394609,0.13115992252902808,-0.4311120013167099,0.6228444241749561,-0.1535475958121858,0.19713999683172073,-0.7985515679190238,-0.8063797094524636,0.8327406402003843,-0.13171810292558883,0.7293364053021961,11.630636488689925,0.0
K200,WEIGHTED_MOM,0,PRE_STRESS_2017_2024,0,1954,-0.06772843866625178,-0.5596108279191625,-0.18010018861101515,-0.12102774872689805,0.017997874163432792,-0.4311120013167099,0.189139419991125,-0.08421069926116642,0.18292438780185277,-0.41906342476670005,-0.5728597390637433,0.8340652644476709,-0.07097055867306928,0.6420720683691901,11.846135530693125,0.0
K200,WEIGHTED_MOM,0,PRE_STRESS_2017_2024,30,1954,-0.10030197687821307,-0.620664964214988,-0.3311346621557083,-0.16160405800426356,0.017997874163432792,-0.4311120013167099,0.189139419991125,-0.11620834782082556,0.1830476845369199,-0.6129876744710302,-0.6580802001425881,0.8334144503083597,-0.10649731017778802,0.6415571976854719,11.846135530693125,0.0
K200,WEIGHTED_MOM,0,PRE_STRESS_2017_2024,60,1954,-0.13178362109678265,-0.6874431447590119,-0.4817446354464101,-0.19170112045117613,0.017997874163432792,-0.4311120013167099,0.189139419991125,-0.1471334067208162,0.18343323020981978,-0.8054976098310044,-0.7297439223408152,0.8327636361690487,-0.14202406168250675,0.6404866501643265,11.846135530693125,0.0
K200,WEIGHTED_MOM,0,EARLY_2017_2019,0,723,-0.09140403787944329,-0.4062841112175407,-0.43697084525474233,-0.22497566445689018,0.021706704930798848,-0.26860620316713957,0.23288741448355196,-0.11070764463457561,0.1560915084963356,-0.6974918652519754,-0.3161574413588183,0.7678616842832785,-0.10201896497865547,0.5360687038760829,12.441421352193435,0.0
K200,WEIGHTED_MOM,0,EARLY_2017_2019,30,723,-0.12471711549508879,-0.4401503066101804,-0.6422252353742712,-0.2833511953123428,0.021706704930798848,-0.26860620316713957,0.23288741448355196,-0.1433129681142743,0.15624668080340512,-0.9356539082686508,-0.38163423347655234,0.7672065021218262,-0.13931988168421444,0.5353888492845429,12.441421352193435,0.0
K200,WEIGHTED_MOM,0,EARLY_2017_2019,60,723,-0.15685799689202629,-0.47346497218335104,-0.8459615212961445,-0.33129799691133743,0.021706704930798848,-0.26860620316713957,0.23288741448355196,-0.17477099931033413,0.15673807025059397,-1.17082644561666,-0.440927916215722,0.7665513199603742,-0.17662079838977357,0.5338590806237615,12.441421352193435,0.0
K200,WEIGHTED_MOM,0,LATE_2020_2022,0,742,-0.09610648930536114,-0.5155442425031922,-0.23528114080222376,-0.18641753972214337,0.0031120961055546292,-0.3525838725994014,0.1245555094303075,-0.09891076560248513,0.1948462682308378,-0.4701913607101376,-0.41594711083842073,0.8676715690211018,-0.08796395904348175,0.7063237788413584,11.623204493762518,0.0
