universe,period,n_phases,median_ic,positive_ic_phases,median_top20_10d,median_bottom20_10d,median_top_minus_bottom_10d,positive_top_minus_bottom_phases
K200,BULL_2025,10,-0.002336483818745551,3,0.023889004135185923,0.011043868428663567,0.01217364541587421,10
K200,EARLY_2017_2019,10,-0.04002110881858595,0,-0.002813193507231351,0.003969475772369268,-0.0074940728083211505,0
K200,LATE_2020_2022,10,-0.05488654183100329,0,-0.0012980146089353428,0.004039081104910224,-0.006146647974813128,0
K200,NORMAL_2023_2024,10,-0.015483536736753557,1,-0.0006050459195350877,-0.0018584963610090968,0.0012631416425515675,7
K200,YTD_2026,10,-0.0051339647012172045,2,0.019356838691187924,-0.003204427535116692,0.02147408923926127,10
KOSDAQ,BULL_2025,10,-0.02938691746372643,0,0.024978056793037093,0.009978167819052482,0.012121850091798631,10
KOSDAQ,EARLY_2017_2019,10,-0.03846739589883247,0,0.005741468740346792,0.003746900057873927,0.0023856030289898466,8
KOSDAQ,LATE_2020_2022,10,-0.06964786949351051,0,-0.0015159378925106398,0.0013926133950377408,-0.0032079267225710714,0
KOSDAQ,NORMAL_2023_2024,10,-0.042297981509076224,0,0.0007179239316853531,-0.0034235382034852506,0.004566206091159977,10
KOSDAQ,YTD_2026,10,-0.02433467618753799,0,-0.00796622322414637,-0.020858530606904874,0.013726980824962477,10
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,10,-0.030641953470210936,0,0.01707591242795431,0.008491139016196931,0.008157435342976634,10
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,10,-0.05107513228316589,0,0.0005711787540238106,0.004808823459303278,-0.004294920824158425,0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,10,-0.0676995614290431,0,0.001174258787135602,0.004090730478954315,-0.003489543470763844,1
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,10,-0.038680278659496165,0,-0.00014399106099531193,-0.007017089712880814,0.005986211247292423,9
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,10,-0.036588139350074364,0,-0.014874005436664717,-0.01990245692402811,0.004486470811333187,8
KOSPI_ALL,BULL_2025,10,-0.013691071054417399,0,0.012654239024434806,0.007606676506129511,0.005685516129703764,9
KOSPI_ALL,EARLY_2017_2019,10,-0.052390844186387786,0,-0.008905381582971758,0.006161830376170272,-0.015308231359964347,0
KOSPI_ALL,LATE_2020_2022,10,-0.05734595982055142,0,0.0004540018790518892,0.00631027776967801,-0.005417446728545366,0
KOSPI_ALL,NORMAL_2023_2024,10,-0.02016225471877523,0,0.0015630878967736878,-0.005315014858419403,0.006625439030165317,10
KOSPI_ALL,YTD_2026,10,-0.030764678675549575,0,-0.00024048788943950897,-0.006333136453508848,0.007756855051643065,8
KOSPI_EX_K200,BULL_2025,10,-0.03213655664736957,0,0.006325590650764503,0.008469638019847238,-0.0016462354530581969,4
KOSPI_EX_K200,EARLY_2017_2019,10,-0.06665980496739257,0,-0.006915893123252835,0.002737409830318111,-0.009840112980914218,0
KOSPI_EX_K200,LATE_2020_2022,10,-0.058328617483433674,0,0.0026097164137634412,0.004365428686773011,-0.0021708250330546124,2
KOSPI_EX_K200,NORMAL_2023_2024,10,-0.02393734856129446,0,0.00032223941066933907,-0.004327568982947973,0.004583622664671604,10
KOSPI_EX_K200,YTD_2026,10,-0.053035517724059844,0,-0.01095257113444013,-0.014869758393489325,-0.0033766800185318054,4
KOSPI_KOSDAQ_ALL,BULL_2025,10,-0.022537408243546556,0,0.021188722544149243,0.00563449227071395,0.014170386151491066,10
KOSPI_KOSDAQ_ALL,EARLY_2017_2019,10,-0.04895487541798198,0,-0.00019605312728822354,0.006966372335749062,-0.008078868430323665,0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,10,-0.06430516295068253,0,0.0007790316380242207,0.006110724946493811,-0.005521092074733324,1
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,10,-0.03342767595722544,0,0.0011096216988442267,-0.006780460297963686,0.006781694988486697,10
KOSPI_KOSDAQ_ALL,YTD_2026,10,-0.027088265726299347,0,-0.010802510730028188,-0.016395253706401457,0.0038143826798358307,7
