"Code","Name","거래대금(십억원)"
"A000020","동화약품","4.83859885"
"A000040","KR모터스","0.526310216"
"A000050","경방","0.56154315"
"A000070","삼양홀딩스","0.73927985"
"A000080","하이트진로","20.9175116"
"A000100","유한양행","153.5846799"
"A000120","CJ대한통운","9.609196"
"A000140","하이트진로홀딩스","0.92518805"
"A000150","두산","6.09837535"
"A000180","성창기업지주","0.12325942"
"A0001A0","덕양에너젠",""
"A000210","DL","18.8600928"
"A000220","유유제약","0.95881915"
"A000230","일동홀딩스","0.03378894"
"A000240","한국앤컴퍼니","1.8392415"
"A000250","삼천당제약","30.2518252"
"A000270","기아","77.02817615"
"A000300","DH오토넥스","0.344057049"
"A000320","노루홀딩스","0.03494834"
"A000370","한화손해보험","3.207794545"
"A000390","SP삼화","0.16145556"
"A000400","롯데손해보험","2.269218115"
"A000430","대원강업","0.045707045"
"A000440","중앙에너비스","0.33015329"
"A000480","CR홀딩스","0.0703918"
"A000490","대동","0.57388068"
"A0004V0","엔비알모션",""
"A000500","가온전선","0.064701"
"A000520","삼일제약","0.9600624"
"A000540","흥국화재","0.45406301"
"A000590","CS홀딩스","0.01549705"
"A000640","동아쏘시오홀딩스","1.437375"
"A000650","천일고속","0.0086098"
"A000660","SK하이닉스","236.84364885"
"A000670","영풍","2.123769"
"A000680","LS네트웍스","0.05281764"
"A000700","유수홀딩스","0.06128641"
"A000720","현대건설","25.1565484"
"A000760","이화산업","0.0088066"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","14.919932"
"A000850","화천기공","1.098391"
"A000860","강남제비스코","0.22550975"
"A000880","한화","5.58576355"
"A000890","보해양조","1.432196092"
"A0008Z0","에스엔시스",""
"A000910","유니온","8.525724295"
"A000950","전방","0.011589"
"A000970","한국주철관","0.72348552"
"A000990","DB하이텍","20.9647634"
"A0009K0","에임드바이오",""
"A001000","신라섬유","0.167629585"
"A001020","페이퍼코리아","0.909347735"
"A001040","CJ","7.2105772"
"A001060","JW중외제약","10.44962865"
"A001070","대한방직","0.08988005"
"A001080","만호제강","0.0514658"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어",""
"A001120","LX인터내셔널","2.3230647"
"A001130","대한제분","0.4479275"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","5.106065385"
"A001210","금호전기","0.259835315"
