"Code","Name","거래대금(십억원)"
"A000020","동화약품","1.28997713"
"A000040","KR모터스","2.27881243"
"A000050","경방","1.082197"
"A000070","삼양홀딩스","11.3536095"
"A000080","하이트진로","5.0333084"
"A000100","유한양행","6.6322845"
"A000120","CJ대한통운","13.949488"
"A000140","하이트진로홀딩스","0.21999985"
"A000150","두산","3.8618057"
"A000180","성창기업지주","2.1568531"
"A0001A0","덕양에너젠",""
"A000210","DL","14.424832"
"A000220","유유제약","4.90697075"
"A000230","일동홀딩스","1.85681105"
"A000240","한국앤컴퍼니","4.7768961"
"A000250","삼천당제약","0.85560776"
"A000270","기아","41.00689172"
"A000300","DH오토넥스","0.598592195"
"A000320","노루홀딩스","0.14809505"
"A000370","한화손해보험","0.48224103"
"A000390","SP삼화","0.2491507"
"A000400","롯데손해보험","0.597734145"
"A000430","대원강업","0.0378742"
"A000440","중앙에너비스","0.05232405"
"A000480","CR홀딩스","0.0718141"
"A000490","대동","0.19196196"
"A0004V0","엔비알모션",""
"A000500","가온전선","0.14012825"
"A000520","삼일제약","0.77906696"
"A000540","흥국화재","0.087436445"
"A000590","CS홀딩스","0.054193"
"A000640","동아쏘시오홀딩스","5.134933"
"A000650","천일고속","0.8180238"
"A000660","SK하이닉스","56.33100415"
"A000670","영풍","1.122548"
"A000680","LS네트웍스","0.05020042"
"A000700","유수홀딩스","1.3518025"
"A000720","현대건설","19.8313237"
"A000760","이화산업","0.07166205"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","18.2531015"
"A000850","화천기공","0.1323794"
"A000860","강남제비스코","0.2854296"
"A000880","한화","7.2521667"
"A000890","보해양조","2.07935641"
"A0008Z0","에스엔시스",""
"A000910","유니온","0.231022005"
"A000950","전방","0.1147199"
"A000970","한국주철관","0.655593"
"A000990","DB하이텍","3.81056985"
"A0009K0","에임드바이오",""
"A001000","신라섬유","0"
"A001020","페이퍼코리아","0.673765175"
"A001040","CJ","11.908709"
"A001060","JW중외제약","2.7548105"
"A001070","대한방직","0.1944951"
"A001080","만호제강","0.1082813"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어",""
"A001120","LX인터내셔널","5.4076015"
"A001130","대한제분","0.2775515"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","1.884578985"
"A001210","금호전기","0.14146165"
"A001230","동국홀딩스","2.22885291"
"A001250","GS글로벌","2.29400808"
"A001260","남광토건","5.31873235"
"A001270","부국증권","0.0883638"
"A001290","상상인증권","0.1001363"
"A001340","PKC","0.028202275"
"A001360","삼성제약","1.07150729"
"A001380","SG글로벌","0.442839495"
"A001390","KG케미칼","0.56866235"
"A0013V0","삼진식품",""
"A001420","태원물산","0.184587575"
"A001430","세아베스틸지주","2.4381317"
"A001440","대한전선","29.26533234"
"A001450","현대해상","5.21312125"
"A001460","BYC","0.127066"
"A001470","삼부토건","0"
"A001500","현대차증권","0.29741105"
"A001510","SK증권","1.718631205"
"A001520","동양","17.81959589"
"A001530","DI동일","0.0562147"
"A001540","안국약품","0.9488693"
"A001550","조비","0.12141295"
"A001560","제일연마","0.03753803"
"A001570","금양","2.068534415"
"A0015G0","그린광학",""
"A0015N0","아로마티카",""
"A0015S0","페스카로",""
"A001620","케이비아이동국실업","0.551575405"
"A001630","종근당홀딩스","1.3758445"
"A001680","대상","5.7757089"
"A001720","신영증권","0.4239799"
"A001740","SK네트웍스","5.8836287"
"A001750","한양증권","0.16877705"
"A001770","SHD","0.07464415"
"A001780","알루코","6.93363472"
"A001790","대한제당","0.1145367"
"A0017J0","세미티에스",""
"A001800","오리온홀딩스","10.341958"
"A001810","무림SP","0.19639398"
"A001820","삼화콘덴서","2.67769125"
"A001840","이화공영","0.146038045"
"A001940","KISCO홀딩스","0.1279111"
"A002020","코오롱","1.8084679"
"A002030","아세아","0.3174868"
"A002070","비비안","0.00220232"
"A002100","경농","0.02582424"
"A002140","고려산업","0.04683601"
"A002150","도화엔지니어링","0.148213115"
"A002170","SYTS","0.58423645"
"A002200","한국수출포장","0.1701594"
"A002210","동성제약","1.4491212"
"A002220","한일철강","0.0980965"
"A002230","피에스텍","0.90068401"
"A002240","고려제강","0.55629325"
"A002290","삼일기업공사","1.71631376"
"A002310","아세아제지","0.3207916"
"A002320","한진","3.5200423"
"A002350","넥센타이어","4.1292684"
"A002360","SH에너지화학","0.586017035"
"A002380","KCC","9.5608615"
"A002390","한독","1.4937446"
"A002410","범양건영","0.22279465"
"A002420","세기상사","0.1933929"
"A002450","삼익악기","3.070932915"
"A002460","HS화성","1.55260895"
"A002600","조흥","0.055429"
"A002620","제일파마홀딩스","3.492634"
"A002630","오리엔트바이오","17.72016497"
"A002680","한탑","0.039037555"
"A002690","동일제강","0.23433979"
"A002700","신일전자","5.041331075"
"A002710","TCC스틸","0.032600655"
"A002720","국제약품","1.942842165"
"A002760","보락","0.02590663"
"A002780","진흥기업","0.49100488"
"A002790","아모레퍼시픽홀딩스","11.1213945"
"A002800","신신제약",""
"A002810","삼영무역","0.3455209"
"A002820","SUN&L","0.50470235"
"A002840","미원상사","0.0037905"
"A002870","신풍","0.03362663"
"A002880","디와이에이","5.037790375"
"A002900","TYM","0.63135525"
"A002920","유성기업","0.25232512"
"A002960","한국쉘석유","0.93825"
"A002990","금호건설","0.528765"
"A003000","부광약품","5.30123945"
"A003010","혜인","0.688737065"
"A003030","세아제강지주","0.7358308"
"A003060","에이프로젠바이오로직스","12.873171955"
"A003070","코오롱글로벌","0.31453155"
"A003080","SB성보","0.0794757"
"A003090","대웅","0.6362217"
"A003100","선광","0.24459155"
"A003120","일성아이에스","0.062041"
"A003160","디아이","1.69583068"
"A003200","일신방직","0.236057"
"A003220","대원제약","1.2856295"
"A003230","삼양식품","0.22021055"
"A003240","태광산업","0.586363"
"A003280","흥아해운","0.5469841"
"A003300","한일홀딩스","0.8872456"
"A003310","대주산업","0.670986745"
"A003350","한국화장품제조","1.15001825"
"A003380","하림지주",""
"A003460","유화증권","0.0014642"
"A003470","유안타증권","1.12990677"
"A003480","한진중공업홀딩스","0.02748345"
"A003490","대한항공","11.7340325"
"A003520","영진약품","8.615218665"
"A003530","한화투자증권","0.338750275"
"A003540","대신증권","1.0979029"
"A003550","LG","13.9321107"
"A003570","SNT다이내믹스","1.2016167"
"A003580","HLB글로벌","2.68648529"
"A003610","방림","0.20445555"
"A003620","KG모빌리티","1.7155552"
"A003650","미창석유","0.2681012"
"A003670","포스코퓨처엠","1.7313114"
"A003680","한성기업","0.65359096"
"A003690","코리안리","5.3845158"
"A003720","삼영","0.496995755"
"A003780","진양산업","0.78059706"
"A003800","에이스침대","0.029909"
"A003830","대한화섬","0.1429847"
"A003850","보령","1.3346747"
"A003920","남양유업","0.340379"
"A003960","사조대림","0.12890355"
"A004000","롯데정밀화학","6.74345995"
"A004020","현대제철","26.666695"
"A004060","SG세계물산","2.600164165"
"A004080","신흥","0.4948053"
"A004090","한국석유","0.5141725"
"A004100","태양금속","0.12584277"
"A004140","동방","0.24048194"
"A004150","한솔홀딩스","1.22701681"
"A004170","신세계","8.8152525"
"A004250","NPC","0.39756701"
"A004270","남성","0.062891805"
