"Code","Name","거래대금(십억원)"
"A000020","동화약품","7.3482529"
"A000040","KR모터스","1.03393693"
"A000050","경방","0.48971145"
"A000070","삼양홀딩스","4.2056025"
"A000080","하이트진로","9.4150244"
"A000100","유한양행","7.4723865"
"A000120","CJ대한통운","8.744037"
"A000140","하이트진로홀딩스","0.27119885"
"A000150","두산","8.850832"
"A000180","성창기업지주","1.74196235"
"A0001A0","덕양에너젠",""
"A000210","DL","12.2530102"
"A000220","유유제약","2.2774824"
"A000230","일동홀딩스","0.14937625"
"A000240","한국앤컴퍼니","2.2142128"
"A000250","삼천당제약","144.0290593"
"A000270","기아","101.4453635"
"A000300","DH오토넥스","1.564341885"
"A000320","노루홀딩스","0.34371965"
"A000370","한화손해보험","2.579447935"
"A000390","SP삼화","0.84033565"
"A000400","롯데손해보험","0.723978915"
"A000430","대원강업","0.25411863"
"A000440","중앙에너비스","10.58630085"
"A000480","CR홀딩스","0.1339715"
"A000490","대동","6.4273107"
"A0004V0","엔비알모션",""
"A000500","가온전선","1.89416745"
"A000520","삼일제약","129.22589533"
"A000540","흥국화재","0.383623995"
"A000590","CS홀딩스","0.0829866"
"A000640","동아쏘시오홀딩스","1.6427355"
"A000650","천일고속","0.1597138"
"A000660","SK하이닉스","525.0121535"
"A000670","영풍","1.122579"
"A000680","LS네트웍스","0.821631425"
"A000700","유수홀딩스","0.30682839"
"A000720","현대건설","22.0148387"
"A000760","이화산업","0.1003687"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","23.46919"
"A000850","화천기공","0.20802535"
"A000860","강남제비스코","0.34640235"
"A000880","한화","7.26176295"
"A000890","보해양조","3.309959085"
"A0008Z0","에스엔시스",""
"A000910","유니온","1.54703132"
"A000950","전방","0.0605396"
"A000970","한국주철관","1.84419752"
"A000990","DB하이텍","97.9857111"
"A0009K0","에임드바이오",""
"A001000","신라섬유","1.13550821"
"A001020","페이퍼코리아","0.06707309"
"A001040","CJ","6.0919316"
"A001060","JW중외제약","1.2250586"
"A001070","대한방직","0.20716455"
"A001080","만호제강","0.1721215"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어",""
"A001120","LX인터내셔널","11.08945645"
"A001130","대한제분","0.9413175"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","1.023336845"
"A001210","금호전기","0.279232935"
"A001230","동국홀딩스","23.69328945"
"A001250","GS글로벌","0.861406325"
"A001260","남광토건","0.54435695"
"A001270","부국증권","0.0406338"
"A001290","상상인증권","0.137731925"
"A001340","PKC","3.42763932"
"A001360","삼성제약","6.20616692"
"A001380","SG글로벌","1.140721505"
"A001390","KG케미칼","10.32673545"
"A0013V0","삼진식품",""
"A001420","태원물산","0.382048655"
"A001430","세아베스틸지주","9.7276532"
"A001440","대한전선","35.85413899"
"A001450","현대해상","16.2525116"
"A001460","BYC","0.1378565"
"A001470","삼부토건","11.55034487"
"A001500","현대차증권","1.79554255"
"A001510","SK증권","2.332310732"
"A001520","동양","4.893844565"
"A001530","DI동일","8.48777"
"A001540","안국약품","0.45210055"
"A001550","조비","216.51063925"
"A001560","제일연마","0.03494019"
"A001570","금양","1.19613937"
"A0015G0","그린광학",""
"A0015N0","아로마티카",""
"A0015S0","페스카로",""
"A001620","케이비아이동국실업","3.119233515"
"A001630","종근당홀딩스","0.644236"
"A001680","대상","3.7603763"
"A001720","신영증권","0.1676702"
"A001740","SK네트웍스","16.97983854"
"A001750","한양증권","0.6312859"
"A001770","SHD","0.3612464"
"A001780","알루코","3.56842054"
"A001790","대한제당","0.7805691"
"A0017J0","세미티에스",""
"A001800","오리온홀딩스","1.64386795"
"A001810","무림SP","0.663746085"
"A001820","삼화콘덴서","3.8768625"
"A001840","이화공영","0.90101225"
"A001940","KISCO홀딩스","0.4801123"
"A002020","코오롱","1.95629635"
