"Code","Name","거래대금(십억원)"
"A000020","동화약품","0.40555535"
"A000040","KR모터스","0.0492744"
"A000050","경방","0.01996172"
"A000070","삼양홀딩스","0.9348742"
"A000080","하이트진로","2.8884689"
"A000100","유한양행","408.2100274"
"A000120","CJ대한통운","10.0555306"
"A000140","하이트진로홀딩스","0.04253888"
"A000150","두산","11.7206616"
"A000180","성창기업지주","0.023842221"
"A0001A0","덕양에너젠",""
"A000210","DL","1.9686114"
"A000220","유유제약","0.29335361"
"A000230","일동홀딩스","0.11749675"
"A000240","한국앤컴퍼니","1.37728084"
"A000250","삼천당제약","58.8811876"
"A000270","기아","142.9658061"
"A000300","DH오토넥스","0"
"A000320","노루홀딩스","0.11740554"
"A000370","한화손해보험","0.93302801"
"A000390","SP삼화","0.31554791"
"A000400","롯데손해보험","0.42902839"
"A000430","대원강업","0.27371613"
"A000440","중앙에너비스","1.91171415"
"A000480","CR홀딩스","0.06115163"
"A000490","대동","0.56300144"
"A0004V0","엔비알모션",""
"A000500","가온전선","2.9723656"
"A000520","삼일제약","10.96437148"
"A000540","흥국화재","0.09871193"
"A000590","CS홀딩스","0.031484"
"A000640","동아쏘시오홀딩스","0.8863676"
"A000650","천일고속","0.07020435"
"A000660","SK하이닉스","866.892945285"
"A000670","영풍","5.1617625"
"A000680","LS네트웍스","0.35537549"
"A000700","유수홀딩스","0.38312768"
"A000720","현대건설","9.66082295"
"A000760","이화산업","0.01270418"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","38.961293"
"A000850","화천기공","0.8414424"
"A000860","강남제비스코","0.14900455"
"A000880","한화","3.4478873"
"A000890","보해양조","0.111842421"
"A0008Z0","에스엔시스",""
"A000910","유니온","0.271375295"
"A000950","전방","0.0053383"
"A000970","한국주철관","0.11840217"
"A000990","DB하이텍","8.98854655"
"A0009K0","에임드바이오",""
"A001000","신라섬유","0.231313284"
"A001020","페이퍼코리아","0.014529739"
"A001040","CJ","17.5899856"
"A001060","JW중외제약","3.6278577"
"A001070","대한방직","0.02063162"
"A001080","만호제강","0.6515555"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어",""
"A001120","LX인터내셔널","5.92599705"
"A001130","대한제분","0.0705913"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","2.00900254"
"A001210","금호전기","0.762969255"
"A001230","동국홀딩스","0.20516644"
"A001250","GS글로벌","9.40398738"
"A001260","남광토건","0.06398559"
"A001270","부국증권","0.1945025"
"A001290","상상인증권","0.04589073"
"A001340","PKC","1.88623487"
"A001360","삼성제약","4.287245988"
"A001380","SG글로벌","2.18199178"
"A001390","KG케미칼","0.694253255"
"A0013V0","삼진식품",""
"A001420","태원물산","0.01417684"
"A001430","세아베스틸지주","0.9913865"
"A001440","대한전선","10.1804485"
"A001450","현대해상","10.864806625"
"A001460","BYC","0.05568855"
"A001470","삼부토건","9.473094837"
"A001500","현대차증권","0.16323996"
"A001510","SK증권","0.551067296"
"A001520","동양","0.066724323"
"A001530","DI동일","1.73489705"
"A001540","안국약품","0.06097195"
"A001550","조비","0.0592753"
"A001560","제일연마","0.00603218"
"A001570","금양","62.4470386"
"A0015G0","그린광학",""
"A0015N0","아로마티카",""
"A0015S0","페스카로",""
"A001620","케이비아이동국실업","0.027939784"
"A001630","종근당홀딩스","0.3935886"
"A001680","대상","3.5150453"
"A001720","신영증권","0.1640752"
"A001740","SK네트웍스","3.98117088"
"A001750","한양증권","1.20068308"
"A001770","SHD","0.05316368"
"A001780","알루코","0.31139932"
"A001790","대한제당","0.31212366"
"A0017J0","세미티에스",""
"A001800","오리온홀딩스","0.94338332"
"A001810","무림SP","0.051591515"
"A001820","삼화콘덴서","0.8334161"
"A001840","이화공영","0.24918737"
"A001940","KISCO홀딩스","0.11140554"
"A002020","코오롱","0.36795569"
"A002030","아세아","0.482492"
"A002070","비비안","0.110492964"
"A002100","경농","0.16295722"
"A002140","고려산업","35.53878837"
"A002150","도화엔지니어링","0.21145978"
"A002170","SYTS","0.12545575"
"A002200","한국수출포장","0.126287175"
"A002210","동성제약","0.256904995"
"A002220","한일철강","0.021466095"
"A002230","피에스텍","0.037433835"
"A002240","고려제강","0.2165809"
"A002290","삼일기업공사","0.06292228"
"A002310","아세아제지","0.5993738"
"A002320","한진","0.35514672"
"A002350","넥센타이어","0.25414416"
"A002360","SH에너지화학","0.074415355"
"A002380","KCC","6.9273775"
"A002390","한독","0.47139754"
"A002410","범양건영","0.02437619"
"A002420","세기상사","0.08052357"
"A002450","삼익악기","0.011670604"
"A002460","HS화성","0.04629953"
"A002600","조흥","0.0024635"
"A002620","제일파마홀딩스","0.12657505"
"A002630","오리엔트바이오","0.027349872"
"A002680","한탑","0.05347653"
"A002690","동일제강","0.018532876"
"A002700","신일전자","0.256171878"
"A002710","TCC스틸","10.00435415"
"A002720","국제약품","0.95360121"
"A002760","보락","0.151080218"
"A002780","진흥기업","0.165103482"
"A002790","아모레퍼시픽홀딩스","6.4707574"
"A002800","신신제약","0.59813801"
"A002810","삼영무역","0.08131328"
"A002820","SUN&L","0.04237039"
"A002840","미원상사","0.258326"
"A002870","신풍","0.200747233"
"A002880","디와이에이","0.01987077"
"A002900","TYM","0.34438968"
"A002920","유성기업","0.05378064"
"A002960","한국쉘석유","0.5941715"
"A002990","금호건설","0.047238385"
"A003000","부광약품","0.70246347"
"A003010","혜인","0.13242246"
"A003030","세아제강지주","0.7848367"
"A003060","에이프로젠바이오로직스","0.668846121"
"A003070","코오롱글로벌","0.53736377"
"A003080","SB성보","0.02493794"
"A003090","대웅","1.74470575"
"A003100","선광","0.05324441"
"A003120","일성아이에스","0.02491053"
"A003160","디아이","3.96680974"
"A003200","일신방직","0.22292572"
"A003220","대원제약","1.47399465"
"A003230","삼양식품","40.071811"
"A003240","태광산업","0.554475"
"A003280","흥아해운","27.12133297"
"A003300","한일홀딩스","0.12875696"
"A003310","대주산업","0.446683722"
"A003350","한국화장품제조","8.4301594"
"A003380","하림지주","1.53365527"
"A003460","유화증권","0.019623045"
"A003470","유안타증권","0.30561871"
"A003480","한진중공업홀딩스","0.011721865"
"A003490","대한항공","17.47792135"
"A003520","영진약품","0.595247995"
"A003530","한화투자증권","2.104943505"
"A003540","대신증권","0.5624318"
"A003550","LG","20.9068361"
"A003570","SNT다이내믹스","2.6222566"
"A003580","HLB글로벌","0.57379162"
"A003610","방림","0.32110906"
"A003620","KG모빌리티","1.70089953"
"A003650","미창석유","0.1022728"
"A003670","포스코퓨처엠","146.8502665"
"A003680","한성기업","0.26656679"
"A003690","코리안리","1.3209412"
"A003720","삼영","3.25204359"
"A003780","진양산업","0.15865508"
"A003800","에이스침대","0.2368201"
"A003830","대한화섬","0.4106566"
"A003850","보령","3.14129046"
