"Code","Name","거래대금(십억원)"
"A000020","동화약품","0.214229465"
"A000040","KR모터스","0.116318927"
"A000050","경방","0.23474729"
"A000070","삼양홀딩스","1.53829525"
"A000080","하이트진로","2.60877662"
"A000100","유한양행","34.11616855"
"A000120","CJ대한통운","5.04308885"
"A000140","하이트진로홀딩스","0.243587355"
"A000150","두산","119.3083335"
"A000180","성창기업지주","0.04334592"
"A0001A0","덕양에너젠",""
"A000210","DL","2.64267455"
"A000220","유유제약","0.118227014"
"A000230","일동홀딩스","0.70532708"
"A000240","한국앤컴퍼니","1.291632"
"A000250","삼천당제약","21.29597235"
"A000270","기아","135.8463236"
"A000300","DH오토넥스","0"
"A000320","노루홀딩스","0.41035305"
"A000370","한화손해보험","3.1633218"
"A000390","SP삼화","0.15386825"
"A000400","롯데손해보험","0.796220949"
"A000430","대원강업","0.353716405"
"A000440","중앙에너비스","0.21130849"
"A000480","CR홀딩스","0.056463075"
"A000490","대동","2.047718915"
"A0004V0","엔비알모션",""
"A000500","가온전선","2.12264405"
"A000520","삼일제약","1.62593311"
"A000540","흥국화재","0.348484612"
"A000590","CS홀딩스","0.0349204"
"A000640","동아쏘시오홀딩스","1.4342154"
"A000650","천일고속","0.2178784"
"A000660","SK하이닉스","1591.85320575"
"A000670","영풍","0.945694675"
"A000680","LS네트웍스","0.82254913"
"A000700","유수홀딩스","0.02965412"
"A000720","현대건설","37.5067524"
"A000760","이화산업","0.02643264"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","48.57850375"
"A000850","화천기공","0.07977765"
"A000860","강남제비스코","0.18922496"
"A000880","한화","32.01550295"
"A000890","보해양조","0.158392472"
"A0008Z0","에스엔시스","12.38005425"
"A000910","유니온","1.885144654"
"A000950","전방","0.0378953"
"A000970","한국주철관","0.23675728"
"A000990","DB하이텍","25.6638168"
"A0009K0","에임드바이오",""
"A001000","신라섬유","0.159133873"
"A001020","페이퍼코리아","0.012384072"
"A001040","CJ","32.4364735"
"A001060","JW중외제약","1.072950425"
"A001070","대한방직","0.134512945"
"A001080","만호제강","0.5537326"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어","4.583869175"
"A001120","LX인터내셔널","3.138926425"
"A001130","대한제분","0.6312982"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","5.049279155"
"A001210","금호전기","0.217335111"
"A001230","동국홀딩스","0.194798335"
"A001250","GS글로벌","0.724343909"
"A001260","남광토건","0.58045821"
"A001270","부국증권","8.60762075"
"A001290","상상인증권","3.568627048"
"A001340","PKC","0.78695598"
"A001360","삼성제약","0.358590197"
"A001380","SG글로벌","0.414454456"
"A001390","KG케미칼","1.19251907"
"A0013V0","삼진식품",""
"A001420","태원물산","0.00170122"
"A001430","세아베스틸지주","1.484014275"
"A001440","대한전선","30.222420495"
"A001450","현대해상","13.090450425"
"A001460","BYC","0.0595247"
"A001470","삼부토건","0"
"A001500","현대차증권","2.128150695"
"A001510","SK증권","5.586896134"
"A001520","동양","30.348987051"
"A001530","DI동일","1.0734417"
"A001540","안국약품","0.1942861"
"A001550","조비","0.543654545"
"A001560","제일연마","0.0130769"
"A001570","금양","0"
"A0015G0","그린광학",""
"A0015N0","아로마티카",""
"A0015S0","페스카로",""
"A001620","케이비아이동국실업","0.039141554"
"A001630","종근당홀딩스","0.3101617"
"A001680","대상","2.0239635"
"A001720","신영증권","6.50898125"
"A001740","SK네트웍스","0.744057988"
"A001750","한양증권","3.31230125"
"A001770","SHD","0.02108338"
"A001780","알루코","0.652188256"
"A001790","대한제당","0.643296121"
"A0017J0","세미티에스",""
"A001800","오리온홀딩스","2.264426305"
"A001810","무림SP","0.009556216"
"A001820","삼화콘덴서","5.43500095"
"A001840","이화공영","0"
"A001940","KISCO홀딩스","0.285125325"
"A002020","코오롱","12.71508905"
"A002030","아세아","0.638291"
"A002070","비비안","0.077452826"
"A002100","경농","0.269218125"
"A002140","고려산업","0.194061971"
"A002150","도화엔지니어링","0.13038647"
"A002170","SYTS","0.0958204"
"A002200","한국수출포장","0.2215269"
"A002210","동성제약","0"
"A002220","한일철강","0.41957058"
"A002230","피에스텍","0.069932015"
"A002240","고려제강","0.33131122"
"A002290","삼일기업공사","0.109389134"
"A002310","아세아제지","0.822855025"
"A002320","한진","0.42303483"
"A002350","넥센타이어","0.882777495"
"A002360","SH에너지화학","0.101827828"
"A002380","KCC","10.79206875"
"A002390","한독","0.11662911"
"A002410","범양건영","0"
"A002420","세기상사","0.0311264"
"A002450","삼익악기","0.154136963"
"A002460","HS화성","0.45807469"
"A002600","조흥","0.003075"
"A002620","제일파마홀딩스","0.01891429"
"A002630","오리엔트바이오","0.923824882"
"A002680","한탑","1.026556027"
"A002690","동일제강","0.383887855"
"A002700","신일전자","0.273364039"
"A002710","TCC스틸","4.80830789"
"A002720","국제약품","0.16785073"
"A002760","보락","0.170310169"
"A002780","진흥기업","0.314814844"
"A002790","아모레퍼시픽홀딩스","2.63795225"
"A002800","신신제약","0.21997503"
"A002810","삼영무역","0.32497165"
"A002820","SUN&L","0.00162653"
"A002840","미원상사","0.37880585"
"A002870","신풍","0.193117096"
"A002880","디와이에이","0.074447608"
"A002900","TYM","3.248546415"
"A002920","유성기업","0.063535959"
"A002960","한국쉘석유","1.076582"
"A002990","금호건설","0.22611853"
"A003000","부광약품","1.21339488"
"A003010","혜인","0.53908043"
"A003030","세아제강지주","1.1799972"
"A003060","에이프로젠바이오로직스","0.182576246"
"A003070","코오롱글로벌","0.06057598"
"A003080","SB성보","0.067138675"
"A003090","대웅","1.6082689"
"A003100","선광","0.13886912"
"A003120","일성아이에스","0.08895555"
"A003160","디아이","61.0031267"
"A003200","일신방직","0.49698997"
"A003220","대원제약","0.358174125"
"A003230","삼양식품","87.1819435"
"A003240","태광산업","0.536818"
"A003280","흥아해운","5.042481812"
"A003300","한일홀딩스","0.30415292"
"A003310","대주산업","0.330501566"
"A003350","한국화장품제조","1.0424539"
"A003380","하림지주","1.514901185"
"A003460","유화증권","0.246974655"
"A003470","유안타증권","2.609688731"
"A003480","한진중공업홀딩스","0.318522184"
"A003490","대한항공","35.539717075"
"A003520","영진약품","0.359222671"
"A003530","한화투자증권","41.772975765"
"A003540","대신증권","13.679288575"
"A003550","LG","34.751606763"
"A003570","SNT다이내믹스","4.37897985"
"A003580","HLB글로벌","0.381582614"
"A003610","방림","0.6236115"
"A003620","KG모빌리티","1.381514551"
"A003650","미창석유","0.0562389"
"A003670","포스코퓨처엠","144.74717675"
"A003680","한성기업","0.093837755"
"A003690","코리안리","2.92535889"
"A003720","삼영","0.832866472"
"A003780","진양산업","2.746890945"
"A003800","에이스침대","0.329563025"
"A003830","대한화섬","0.015093"
"A003850","보령","0.836262265"
"A003920","남양유업","0.1941461"
"A003960","사조대림","4.109460725"
"A004000","롯데정밀화학","3.236162625"
"A004020","현대제철","11.360587225"
"A004060","SG세계물산","0.097258786"
"A004080","신흥","0.11874854"
"A004090","한국석유","0.6007408"
"A004100","태양금속","0.211100944"
"A004140","동방","1.199601929"
"A004150","한솔홀딩스","0.127235547"
"A004170","신세계","4.25790315"
"A004250","NPC","0.136253097"
"A004270","남성","0.028647226"
"A004310","현대약품","0.282908924"
"A004360","세방","0.549151205"
"A004370","농심","12.894096"
"A004380","삼익THK","0"
"A004410","서울식품","0.36635744"
"A004430","송원산업","0.1745709"
"A004440","삼일씨엔에스","0.152457275"
"A004450","삼화왕관","0.00448355"
"A004490","세방전지","2.24230205"
"A004540","깨끗한나라","0.079107535"
"A004560","현대비앤지스틸","0.2822839"
"A004590","한국가구","0.111782245"
"A004650","창해에탄올","0.09089671"
"A004690","삼천리","0.75985735"
"A004700","조광피혁","0.1917566"
"A004710","한솔테크닉스","2.00170937"
"A004720","팜젠사이언스","0.162994715"
"A004770","써니전자","0.171502159"
"A004780","대륙제관","0.031190685"
"A004800","효성","4.23908205"
"A004830","덕성","0.59560836"
"A004840","DRB동일","0.080702961"
"A004870","티웨이홀딩스","0.095223818"
"A004890","동일산업","0.0391201"
"A004910","조광페인트","0.38954649"
"A004920","씨아이테크","0.125664593"
"A004960","한신공영","0.291776395"
"A004970","신라교역","0.14605282"
"A004980","성신양회","0.29473737"
"A004990","롯데지주","7.1915776"
"A005010","휴스틸","0.881172511"
"A005030","부산주공","0"
"A005070","코스모신소재","63.54034025"
"A005090","SGC에너지","0.401558575"
"A005110","한창","0"
"A005160","동국산업","0.345633675"
"A005180","빙그레","2.73189095"
"A005250","녹십자홀딩스","1.282566165"
"A005290","동진쎄미켐","20.220998325"
"A005300","롯데칠성","1.9921474"
"A005320","온타이드","0.054614188"
"A005360","모나미","0.138540731"
"A005380","현대차","285.00935975"
"A005420","코스모화학","8.74283019"
"A005430","한국공항","0.259054"
"A005440","현대지에프홀딩스","1.02242996"
"A005490","POSCO홀딩스","97.416025"
"A005500","삼진제약","0.316106385"
"A005610","삼립","0.18960645"
"A005670","푸드웰","0.325104895"
"A005680","삼영전자","1.050817235"
"A005690","파미셀","41.240739375"
"A005710","대원산업","0.28958567"
"A005720","넥센","0.06302465"
"A005740","크라운해태홀딩스","0.3362704"
"A005750","대림바스","0.083077885"
"A005800","신영와코루","0.09117732"
"A005810","풍산홀딩스","0.794588375"
"A005820","원림","0.00565841"
"A005830","DB손해보험","33.7268255"
"A005850","에스엘","7.4554951"
"A005860","한일사료","0.25450671"
"A005870","휴니드","0.2852421"
"A005880","대한해운","2.822745993"
"A005930","삼성전자","1714.99992505"
"A005940","NH투자증권","27.96255685"
"A005950","이수화학","0.43169492"
"A005960","동부건설","0.161198155"
"A005990","매일홀딩스","0.0442562"
"A006040","동원산업","2.14257775"
"A006050","국영지앤엠","0.07189993"
"A006060","화승인더","0.395583565"
"A006090","사조오양","0.03314473"
"A006110","삼아알미늄","2.379122575"
"A006120","SK디스커버리","0.57576835"
"A006140","피제이전자","0.06744425"
"A006200","한국전자홀딩스","0.047858062"
"A006220","제주은행","2.97171769"
"A006260","LS","72.93492305"
"A006280","녹십자","6.4932279"
"A006340","대원전선","3.343387741"
"A006360","GS건설","5.310930785"
"A006370","대구백화점","0.1137438"
"A006380","카프로","0"
"A006400","삼성SDI","225.4159365"
"A006490","프리티","0.284480229"
"A006570","대림통상","0.01099417"
"A006620","동구바이오제약","0.890947105"
"A006650","대한유화","4.37899"
"A006660","삼성공조","0.472326045"
"A006730","서부T&D","4.42669655"
"A006740","블루산업개발","0.060192453"
"A006800","미래에셋증권","220.858175325"
"A006840","AK홀딩스","0.18753366"
"A006880","신송홀딩스","1.338315185"
"A006890","태경케미컬","0.10460687"
"A006910","보성파워텍","8.531630385"
"A006920","모헨즈","0.16040331"
"A006980","우성","0.22773936"
"A007070","GS리테일","2.904290595"
"A007110","일신석재","6.083166331"
"A007120","미래아이앤지","0.050238955"
"A007160","사조산업","0.4464272"
"A007210","벽산","0.211316042"
"A007280","한국특강","0.078563833"
"A007310","오뚜기","2.26434875"
"A007330","푸른저축은행","0.1058248"
"A007340","DN오토모티브","1.522639425"
"A007370","진양제약","0.18814711"
"A007390","네이처셀","80.988398525"
"A007460","에이프로젠","0.856797298"
"A007530","와이엠","0.03230729"
"A007540","샘표","10.61383655"
"A007570","일양약품","0"
"A007590","동방아그로","0.041479385"
"A007610","선도전기","0"
"A007660","이수페타시스","126.36536395"
"A007680","대원","0.03199267"
"A007690","국도화학","0.38985445"
"A007700","F&F홀딩스","0.323946325"
"A007720","소노스퀘어","0.489162868"
"A007770","한일화학","0.057345055"
"A007810","코리아써키트","18.44900369"
"A007820","엠엑스로보틱스","3.208486037"
"A007860","서연","0.26707171"
"A007980","TP","5.790865039"
"A008040","사조동아원","0.55011284"
"A008060","대덕","0.58286142"
"A008250","이건산업","0.457783135"
"A008260","NI스틸","0.45297199"
"A008290","원풍물산","0.047548653"
"A0082N0","카나프테라퓨틱스",""
"A008350","남선알미늄","0.416277593"
"A008370","원풍","0.029009825"
"A008420","문배철강","0.42287328"
"A008470","부스타","0.040912235"
"A008490","서흥","0.932767025"
"A008500","일정실업","1.369317975"
"A008600","윌비스","0.052339475"
"A008700","아남전자","0.199308597"
"A008730","율촌화학","10.85313075"
"A008770","호텔신라","11.35759495"
"A008830","대동기어","1.6799924"
"A008870","금비","0.1604216"
"A0088M0","메쥬",""
"A008930","한미사이언스","2.58749205"
"A008970","KBI동양철관","15.121661127"
"A009070","KCTC","1.218459545"
"A009140","경인전자","0.03802305"
"A009150","삼성전기","110.0179015"
"A009160","SIMPAC","0.364251415"
"A009180","한솔로지스틱스","0.238561612"
"A009190","대양금속","0.393945039"
"A009200","무림페이퍼","0.07968448"
"A009240","한샘","1.544004725"
"A009270","신원","8.256231219"
"A009290","광동제약","0.31862575"
"A009300","삼아제약","0.087030935"
"A009310","참엔지니어링","0.046384603"
"A009320","아진전자부품","0.068357304"
"A009410","태영건설","0.200994129"
"A009420","한올바이오파마","14.667186125"
"A009440","KC그린홀딩스","0"
"A009450","경동나비엔","4.41370175"
"A009460","한창제지","0.021700886"
"A009470","삼화전기","3.141232025"
"A009520","포스코엠텍","6.629651495"
"A009540","HD한국조선해양","54.65344075"
"A009580","무림P&P","0.211415025"
"A009620","삼보산업","0.352567609"
"A009680","모토닉","0.595411085"
"A009730","이렘","0.239330391"
"A009770","삼정펄프","0.09043835"
"A009780","엠에스씨","0.812933925"
"A009810","플레이그램","0.05134627"
"A009830","한화솔루션","21.405199975"
"A009900","명신산업","2.94778215"
"A009970","영원무역홀딩스","1.43578055"
"A010040","한국내화","0.050328925"
"A010060","OCI홀딩스","13.36101625"
"A010100","한국무브넥스","0.72567579"
"A010120","LS ELECTRIC","138.27066075"
"A010130","고려아연","56.761701"
"A010140","삼성중공업","73.685509325"
"A010170","대한광통신","27.130755708"
"A010240","흥국","0.097162815"
"A010280","아이티센엔텍","0.236949937"
"A010400","우진아이엔에스","0.01954309"
"A010470","오리콤","0.08860348"
"A010580","에스엠벡셀","38.54587279"
"A010640","진양폴리","0.37334303"
"A010660","화천기계","0.667084033"
"A010690","화신","4.929611935"
"A010770","평화홀딩스","0.401022095"
"A010780","아이에스동서","0.50519284"
"A010820","퍼스텍","3.845242771"
"A010950","S-Oil","22.35467205"
"A010960","삼호개발","0.13634828"
"A011000","진원생명과학","0.672010677"
"A011040","경동제약","0.06119845"
"A011070","LG이노텍","40.415537"
"A011080","형지I&C","26.116842566"
"A011090","에넥스","0.069877402"
"A011150","CJ씨푸드","0.388169031"
"A011170","롯데케미칼","10.37095765"
"A011200","HMM","34.775791075"
"A011210","현대위아","6.8330406"
"A011230","삼화전자","0.48822288"
"A011280","태림포장","0.065628048"
"A011300","우성머티리얼스","0.658759164"
"A011320","유니크","0.100481725"
"A011330","유니켐","0.461462086"
"A011370","서한","0.219203792"
"A011390","부산산업","1.14340555"
"A011420","갤럭시아에스엠","0.247576507"
"A011500","한농화성","3.3277955"
"A011560","세보엠이씨","0.33453727"
"A011690","와이투솔루션","0.952530215"
"A011700","한신기계","0.674636754"
"A011760","현대코퍼레이션","1.13406925"
"A011780","금호석유화학","9.48744315"
"A011790","SKC","31.04174685"
"A0117P0","피스피스스튜디오",""
"A011810","STX","0"
"A011930","신성이엔지","8.649870182"
"A012030","DB","0.381325917"
"A0120G0","삼양바이오팜",""
"A012160","영흥","0.206571693"
"A012170","아센디오","0.128594086"
"A012200","계양전기","0.042159567"
"A012210","삼미금속","0.0872376"
"A012280","영화금속","0.086673363"
"A012320","경동인베스트","0.48467315"
"A012330","현대모비스","38.34855825"
"A012340","뉴인텍","0.02289438"
"A012450","한화에어로스페이스","185.547512"
"A012510","더존비즈온","14.0772376"
"A012610","경인양행","0.18414091"
"A012620","원일특강","0.04362702"
"A012630","HDC","2.679849905"
"A012690","모나리자","0.242668487"
"A0126Z0","삼성에피스홀딩스",""
"A012700","리드코프","0.08294795"
"A012750","에스원","3.50313745"
"A012790","신일제약","0.11019139"
"A012800","대창","0.455141174"
"A012860","모베이스전자","0.154964178"
"A013000","세우글로벌","1.853986846"
"A013030","하이록코리아","3.168816925"
"A013120","동원개발","0.166752635"
"A013310","아진산업","1.500503973"
"A013360","일성건설","0.215977043"
"A013520","화승코퍼레이션","1.104400847"
"A013570","디와이","0.14325538"
"A013580","계룡건설","0.98678401"
"A013700","까뮤이앤씨","0.057639181"
"A013720","청보","0.135277097"
"A013810","스페코","0.15816192"
"A013870","지엠비코리아","0.049492425"
"A013890","지누스","0.879491115"
"A013990","아가방컴퍼니","0.67297724"
"A014100","메디앙스","0.015021909"
"A014130","한익스프레스","0.031878495"
"A014160","대영포장","0.269051654"
"A014190","원익큐브","0.097018364"
"A014280","금강공업","264.337843015"
"A014440","영보화학","0.17225327"
"A014470","부방","0.063938328"
"A014530","극동유화","0.213287865"
"A014570","고려제약","0.008688955"
"A014580","태경비케이","0.699990569"
"A014620","성광벤드","6.109384225"
"A014680","한솔케미칼","15.71459875"
"A014710","사조씨푸드","0.13846888"
"A014790","HL D&I","0.135128834"
"A014820","동원시스템즈","1.362467725"
"A014830","유니드","1.7532986"
"A014910","성문전자","2.428114134"
"A014940","오리엔탈정공","17.28283751"
"A014950","삼익제약",""
"A014970","삼륭물산","0.16670557"
"A014990","인디에프","3.808565461"
"A015020","이스타코","0.071725423"
"A015230","대창단조","0.4614314"
"A015260","에이엔피","0.085892275"
"A015360","INVENI","0.5650722"
"A015590","DKME","0"
"A015710","코콤","0.056763047"
"A015750","성우하이텍","14.69464028"
"A015760","한국전력","162.018913025"
"A015860","일진홀딩스","1.174339335"
"A015890","태경산업","0.23524201"
"A016090","대현","0.175873787"
"A016100","리더스코스메틱","0.043335215"
"A016250","SGC E&C","0.007907685"
"A016360","삼성증권","55.5909655"
"A016380","KG스틸","0.78864965"
"A016450","한세예스24홀딩스","0.153656815"
"A016580","환인제약","0.322151005"
"A016590","신대양제지","0.57119187"
"A016600","큐캐피탈","0.067447154"
"A016610","DB증권","2.683970785"
"A016670","디모아","0.12619613"
"A016710","대성홀딩스","0.12931192"
"A016740","두올","0.207698345"
"A016790","현대사료","0"
"A016800","퍼시스","0.1578087"
"A016880","웅진","1.582133496"
"A016920","카스","0.056809938"
"A017000","신원종합개발","0.112874135"
"A017040","광명전기","0.482990095"
"A017180","명문제약","0.116720952"
"A017250","인터엠","0.01389632"
"A017370","우신시스템","0.131593345"
"A017390","서울가스","0.6350009"
"A017480","삼현철강","0.066502615"
"A017510","세명전기","6.132769595"
"A017550","수산세보틱스","0.163532767"
"A017650","대림제지","0.04895293"
"A017670","SK텔레콤","30.0308993"
"A017800","현대엘리베이터","27.92976735"
"A017810","풀무원","1.85323159"
"A017860","DS단석","2.726747"
"A017890","한국알콜","0.32337451"
"A017900","광전자","0.079820088"
"A017940","E1","0.4963706"
"A017960","한국카본","13.868081075"
"A018000","유니슨","1.812739032"
"A018120","진로발효","0.0756239"
"A018250","애경산업","1.225160065"
"A018260","삼성에스디에스","32.0441432"
"A018290","브이티","14.1100465"
"A018310","삼목에스폼","0.146824225"
"A018470","조일알미늄","0.631044842"
"A018500","동원모빌리티","0.297865983"
"A018620","우진비앤지","0.029484729"
"A018670","SK가스","3.72454225"
"A018680","서울제약","0.03482461"
"A018700","졸스","0.508410512"
"A018880","한온시스템","10.322039122"
"A019010","베뉴지","0.01288122"
"A019170","신풍제약","2.47972947"
"A019180","티에이치엔","3.985711955"
"A019210","와이지-원","0.39309211"
"A019490","엑시큐어하이트론","0.595961653"
"A019540","일지테크","0.251635675"
"A019550","SBI인베스트먼트","0.234417448"
"A019570","GMI벤처","0.054799379"
"A019660","글로본","1.30053418"
"A019680","대교","0.033913395"
"A019770","서연탑메탈","0.067215587"
"A019990","에너토크","1.687687475"
"A020000","한섬","1.49255847"
"A020120","키다리스튜디오","0.156970205"
"A020150","롯데에너지머티리얼즈","3.3228973"
"A020180","대신정보통신","0.128344208"
"A020400","대동금속","0.14246691"
"A020560","아시아나항공","0.663569885"
"A020710","시공테크","0.643726881"
"A020760","일진디스플","0"
"A021040","대호특수강","0.199435343"
"A021050","서원","0.113035234"
"A021080","에이티넘인베스트","0.247822286"
"A021240","코웨이","23.766179986"
"A021320","KCC건설","0.05011727"
"A021650","한국큐빅","0.047316273"
"A021820","세원정공","0.13912641"
"A021880","메이슨캐피탈","0.110856227"
"A022100","포스코DX","25.507752925"
"A022220","티케이지애강","0.033752867"
"A023000","삼원강재","0.265431875"
"A023150","MH에탄올","0.02222611"
"A023160","태광","7.15666945"
"A023350","한국종합기술","0.155022529"
