"Code","Name","거래대금(십억원)"
"A003580","HLB글로벌","0.94272093"
"A003610","방림","0.128408695"
"A003620","KG모빌리티","3.092771755"
"A003650","미창석유","0.0096576"
"A003670","포스코퓨처엠","43.0620043"
"A003680","한성기업","16.18583573"
"A003690","코리안리","1.57229935"
"A003720","삼영","0.159914335"
"A003780","진양산업","2.177260385"
"A003800","에이스침대","0.01564445"
"A003830","대한화섬","0.0523704"
"A003850","보령","4.38855"
"A003920","남양유업","0.706748"
"A003960","사조대림","0.2490773"
"A004000","롯데정밀화학","7.4430121"
"A004020","현대제철","35.65956535"
"A004060","SG세계물산","0.47850241"
"A004080","신흥","1.36808155"
"A004090","한국석유","0.238603"
"A004100","태양금속","0.087979615"
"A004140","동방","1.35267977"
"A004150","한솔홀딩스","0.482778625"
"A004170","신세계","11.77073"
"A004250","NPC","0.16645375"
"A004270","남성","31.61585353"
"A004310","현대약품","5.04516901"
"A004360","세방","0.23743156"
"A004370","농심","11.8001765"
"A004380","삼익THK","0.6786875"
"A004410","서울식품","0.208756312"
"A004430","송원산업","3.90687435"
"A004440","삼일씨엔에스","0.7159882"
"A004450","삼화왕관","0.0008211"
"A004490","세방전지","1.78542115"
"A004540","깨끗한나라","0.753035545"
"A004560","현대비앤지스틸","0.43954099"
"A004590","한국가구","0.01228725"
"A004650","창해에탄올","0.3729737"
"A004690","삼천리","0.5443257"
"A004700","조광피혁","0.0638131"
"A004710","한솔테크닉스","2.00215322"
"A004720","팜젠사이언스","5.72082805"
"A004770","써니전자","14.117400765"
"A004780","대륙제관","0.44568983"
"A004800","효성","3.7258"
"A004830","덕성","32.21464581"
"A004840","DRB동일","31.91887232"
"A004870","티웨이홀딩스","0.070333805"
"A004890","동일산업","0.0438756"
"A004910","조광페인트","0.01684519"
"A004920","씨아이테크","0.140667284"
"A004960","한신공영","0.3433832"
"A004970","신라교역","0.1354135"
"A004980","성신양회","0.62777222"
"A004990","롯데지주","3.2325109"
"A005010","휴스틸","0.0494352"
"A005030","부산주공","2.69898885"
"A005070","코스모신소재","19.31583525"
"A005090","SGC에너지","0.61315095"
"A005110","한창","3.51288368"
"A005160","동국산업","2.068526765"
"A005180","빙그레","0.6712897"
"A005250","녹십자홀딩스","543.80878745"
"A005290","동진쎄미켐","42.92322765"
"A005300","롯데칠성","1.8567828"
"A005320","온타이드","18.934848445"
"A005360","모나미","8.22175774"
"A005380","현대차","226.049073"
"A005420","코스모화학","2.64450158"
"A005430","한국공항","0.14532185"
"A005440","현대지에프홀딩스","2.00521074"
"A005490","POSCO홀딩스","110.458935"
"A005500","삼진제약","0.5070871"
"A005610","삼립","0.7436673"
"A005670","푸드웰","0.08577956"
"A005680","삼영전자","0.1332617"
"A005690","파미셀","26.3985592"
"A005710","대원산업","0.07015671"
"A005720","넥센","0.119859245"
"A005740","크라운해태홀딩스","0.1056906"
"A005750","대림바스","0.11274905"
"A005800","신영와코루","0.151026"
"A005810","풍산홀딩스","0.25469635"
"A005820","원림","0.01434365"
"A005830","DB손해보험","4.239763"
"A005850","에스엘","1.6177314"
"A005860","한일사료","0.473312715"
"A005870","휴니드","0.72228718"
"A005880","대한해운","1.3707502"
"A005930","삼성전자","1232.65447"
"A005940","NH투자증권","13.30952986"
"A005950","이수화학","7.26829795"
"A005960","동부건설","3.6525119"
"A005990","매일홀딩스","0.03703447"
"A006040","동원산업","1.0572315"
"A006050","국영지앤엠","118.751754165"
"A006060","화승인더","1.40201071"
"A006090","사조오양","0.65189066"
"A006110","삼아알미늄","54.01995093"
"A006120","SK디스커버리","9.4537875"
"A006140","피제이전자","0.23796918"
"A006200","한국전자홀딩스","0.472845163"
"A006220","제주은행","0.04456314"
"A006260","LS","17.2496581"
"A006280","녹십자","333.4851495"
"A006340","대원전선","0.321894106"
"A006360","GS건설","13.68548475"
"A006370","대구백화점","0.0696182"
"A006380","카프로","22.883264055"
"A006400","삼성SDI","347.585233816"
"A006490","프리티","1.151184275"
"A006570","대림통상","0.00345594"
"A006620","동구바이오제약","0.93897645"
"A006650","대한유화","27.753039"
"A006660","삼성공조","0.01575241"
"A006730","서부T&D","0.88239246"
"A006740","블루산업개발","0.787780625"
"A006800","미래에셋증권","14.24232451"
"A006840","AK홀딩스","0.39950665"
"A006880","신송홀딩스","0.089515615"
"A006890","태경케미컬","0.60703074"
"A006910","보성파워텍","20.73204041"
"A006920","모헨즈","0.84328652"
"A006980","우성","0.57153229"
"A007070","GS리테일","10.46449985"
"A007110","일신석재","4.613526985"
"A007120","미래아이앤지","0.188734399"
"A007160","사조산업","0.1540832"
"A007210","벽산","1.745825965"
"A007280","한국특강","0.12297915"
"A007310","오뚜기","2.04174"
"A007330","푸른저축은행","0.0938333"
"A007340","DN오토모티브","0.35373485"
"A007370","진양제약","5.0921427"
"A007390","네이처셀","5.58523228"
"A007460","에이프로젠","3.64190345"
"A007530","와이엠","0.230459005"
"A007540","샘표","1.77394615"
"A007570","일양약품","21.7094453"
"A007590","동방아그로","0.0199721"
"A007610","선도전기","0.395219775"
"A007660","이수페타시스","1.85298199"
"A007680","대원","0.140895"
"A007690","국도화학","0.90525045"
"A007700","F&F홀딩스","5.5336823"
"A007720","소노스퀘어","0.48269199"
"A007770","한일화학","0.01933907"
"A007810","코리아써키트","1.42830085"
"A007820","엠엑스로보틱스","1.48764845"
"A007860","서연","41.83344735"
"A007980","TP","0.165668675"
"A008040","사조동아원","0.131532801"
"A008060","대덕","0.7734874"
"A008250","이건산업","4.81635445"
"A008260","NI스틸","0.22005689"
"A008290","원풍물산","0.460579735"
"A0082N0","카나프테라퓨틱스",""
"A008350","남선알미늄","19.510137075"
"A008370","원풍","0.038684925"
"A008420","문배철강","0.514642555"
"A008470","부스타","0.2607631"
"A008490","서흥","1.048939"
"A008500","일정실업","1.31620845"
"A008600","윌비스","0.683048225"
"A008700","아남전자","5.459921375"
"A008730","율촌화학","0.56021155"
"A008770","호텔신라","24.6844443"
"A008830","대동기어","0.010996045"
"A008870","금비","0.0275877"
"A0088M0","메쥬",""
"A008930","한미사이언스","5.6255214"
"A008970","KBI동양철관","0.960549175"
"A009070","KCTC","0.24795475"
"A009140","경인전자","0.2185849"
"A009150","삼성전기","50.2331825"
"A009160","SIMPAC","0.06929433"
"A009180","한솔로지스틱스","0.74753504"
"A009190","대양금속","0.71416445"
"A009200","무림페이퍼","0.101517815"
"A009240","한샘","4.5237395"
"A009270","신원","1.92591168"
"A009290","광동제약","2.9843361"
"A009300","삼아제약","0.29292385"
"A009310","참엔지니어링","0.3529615"
"A009320","아진전자부품","4.36149193"
"A009410","태영건설","1.98268312"
"A009420","한올바이오파마","27.89038625"
"A009440","KC그린홀딩스","1.838672165"
