"Code","Name","거래대금(십억원)"
"A000020","동화약품","27.7857269"
"A000040","KR모터스","5.266835792"
"A000050","경방","3.4067089"
"A000070","삼양홀딩스","0.9567174"
"A000080","하이트진로","7.57536565"
"A000100","유한양행","18.41326985"
"A000120","CJ대한통운","11.5422095"
"A000140","하이트진로홀딩스","0.49654755"
"A000150","두산","3.9021224"
"A000180","성창기업지주","0.613335055"
"A0001A0","덕양에너젠",""
"A000210","DL","38.0406519"
"A000220","유유제약","2.02050865"
"A000230","일동홀딩스","0.11542587"
"A000240","한국앤컴퍼니","0.53345562"
"A000250","삼천당제약","5.8229038"
"A000270","기아","57.0467973"
"A000300","DH오토넥스","0.133350122"
"A000320","노루홀딩스","0.15835811"
"A000370","한화손해보험","0.60338185"
"A000390","SP삼화","0.56233062"
"A000400","롯데손해보험","0.432518715"
"A000430","대원강업","0.035072555"
"A000440","중앙에너비스","1.53052561"
"A000480","CR홀딩스","0.0776223"
"A000490","대동","0.630520485"
"A0004V0","엔비알모션",""
"A000500","가온전선","0.1078355"
"A000520","삼일제약","1.2249069"
"A000540","흥국화재","0.148931615"
"A000590","CS홀딩스","0.04174205"
"A000640","동아쏘시오홀딩스","2.3920513"
"A000650","천일고속","0.0074051"
"A000660","SK하이닉스","542.4041675"
"A000670","영풍","0.839509"
"A000680","LS네트웍스","0.16170319"
"A000700","유수홀딩스","0.04336889"
"A000720","현대건설","33.89237305"
"A000760","이화산업","0.01065205"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","19.539099"
"A000850","화천기공","0.09453915"
"A000860","강남제비스코","0.40888135"
"A000880","한화","11.40937665"
"A000890","보해양조","2.15859765"
"A0008Z0","에스엔시스",""
"A000910","유니온","1.56711812"
"A000950","전방","0.11237795"
"A000970","한국주철관","0.50587553"
"A000990","DB하이텍","39.99298885"
"A0009K0","에임드바이오",""
"A001000","신라섬유","0.21343275"
"A001020","페이퍼코리아","0.223847765"
"A001040","CJ","5.6518345"
"A001060","JW중외제약","12.6461994"
"A001070","대한방직","0.0904878"
"A001080","만호제강","0.0996719"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어",""
"A001120","LX인터내셔널","4.9464323"
"A001130","대한제분","0.4928835"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","0.238258625"
"A001210","금호전기","0.190039695"
"A001230","동국홀딩스","0.98649646"
"A001250","GS글로벌","0.379068095"
"A001260","남광토건","12.5460727"
"A001270","부국증권","0.04662625"
"A001290","상상인증권","0.08720966"
"A001340","PKC","6.303369125"
"A001360","삼성제약","4.13240605"
"A001380","SG글로벌","0.15060659"
"A001390","KG케미칼","6.2002939"
"A0013V0","삼진식품",""
"A001420","태원물산","0.101074955"
"A001430","세아베스틸지주","0.88708029"
"A001440","대한전선","0.976107878"
"A001450","현대해상","14.7261988"
"A001460","BYC","0.2380145"
"A001470","삼부토건","1.774219023"
"A001500","현대차증권","2.30104805"
"A001510","SK증권","1.313989996"
"A001520","동양","1.65738963"
"A001530","DI동일","1.4245155"
"A001540","안국약품","0.77236167"
"A001550","조비","2.70334565"
"A001560","제일연마","0.03135368"
"A001570","금양","0.33617648"
"A0015G0","그린광학",""
"A0015N0","아로마티카",""
"A0015S0","페스카로",""
"A001620","케이비아이동국실업","0.075131466"
"A001630","종근당홀딩스","2.008059"
"A001680","대상","4.6722062"
"A001720","신영증권","0.20343755"
"A001740","SK네트웍스","20.87541783"
"A001750","한양증권","0.1241257"
"A001770","SHD","0.03685695"
"A001780","알루코","0.360495495"
"A001790","대한제당","0.1472332"
"A0017J0","세미티에스",""
"A001800","오리온홀딩스","2.29877555"
"A001810","무림SP","0.21461878"
"A001820","삼화콘덴서","6.54458575"
"A001840","이화공영","75.43045332"
"A001940","KISCO홀딩스","0.0421594"
"A002020","코오롱","4.9348535"
"A002030","아세아","0.5816442"
"A002070","비비안","1.229912595"
"A002100","경농","10.20268155"
"A002140","고려산업","1.771345535"
"A002150","도화엔지니어링","5.06204038"
"A002170","SYTS","0.40005985"
"A002200","한국수출포장","0.089729"
"A002210","동성제약","2.6664867"
"A002220","한일철강","0.03007441"
"A002230","피에스텍","1.54857273"
"A002240","고려제강","0.51000885"
"A002290","삼일기업공사","0.191586305"
"A002310","아세아제지","1.75984265"
"A002320","한진","12.3712126"
"A002350","넥센타이어","1.78040265"
"A002360","SH에너지화학","5.722098847"
"A002380","KCC","16.6289795"
"A002390","한독","1.32125185"
"A002410","범양건영","5.80287552"
"A002420","세기상사","0.0103765"
"A002450","삼익악기","0.656503105"
"A002460","HS화성","0.28121651"
"A002600","조흥","0.057627"
"A002620","제일파마홀딩스","0.74408045"
"A002630","오리엔트바이오","0.816451609"
"A002680","한탑","0.134762345"
"A002690","동일제강","0.27996364"
"A002700","신일전자","2.740601735"
"A002710","TCC스틸","0.032505025"
"A002720","국제약품","9.96780342"
"A002760","보락","1.081297795"
"A002780","진흥기업","0.197096235"
"A002790","아모레퍼시픽홀딩스","9.3248862"
"A002800","신신제약","2.81690381"
"A002810","삼영무역","0.1872168"
"A002820","SUN&L","0.224704785"
"A002840","미원상사","0.2426416"
"A002870","신풍","0.3656848"
"A002880","디와이에이","0.084716578"
"A002900","TYM","1.296675883"
"A002920","유성기업","0.107577805"
"A002960","한국쉘석유","0.6059535"
"A002990","금호건설","1.3140536"
"A003000","부광약품","248.18300005"
