"Code","Name","거래대금(십억원)"
"A000020","동화약품","113.0190695"
"A000040","KR모터스","0.27857075"
"A000050","경방","0.1813453"
"A000070","삼양홀딩스","4.1805985"
"A000080","하이트진로","6.6038166"
"A000100","유한양행","20.5035185"
"A000120","CJ대한통운","9.174117"
"A000140","하이트진로홀딩스","0.1032838"
"A000150","두산","9.1175564"
"A000180","성창기업지주","0.768629055"
"A0001A0","덕양에너젠",""
"A000210","DL","64.0861929"
"A000220","유유제약","1.02307072"
"A000230","일동홀딩스","0.159318"
"A000240","한국앤컴퍼니","2.70756185"
"A000250","삼천당제약","23.923386"
"A000270","기아","127.1499454"
"A000300","DH오토넥스","1.68652059"
"A000320","노루홀딩스","0.2803455"
"A000370","한화손해보험","2.20898008"
"A000390","SP삼화","0.59577396"
"A000400","롯데손해보험","0.41611971"
"A000430","대원강업","1.046534955"
"A000440","중앙에너비스","35.3780207"
"A000480","CR홀딩스","0.0867574"
"A000490","대동","3.1668549"
"A0004V0","엔비알모션",""
"A000500","가온전선","0.41793505"
"A000520","삼일제약","1.58783276"
"A000540","흥국화재","0.41267941"
"A000590","CS홀딩스","0.0942831"
"A000640","동아쏘시오홀딩스","1.2186285"
"A000650","천일고속","0.0749253"
"A000660","SK하이닉스","306.328082384"
"A000670","영풍","0.685495"
"A000680","LS네트웍스","0.651090215"
"A000700","유수홀딩스","0.23057778"
"A000720","현대건설","28.9113699"
"A000760","이화산업","0.02292945"
"A0007C0","아크릴",""
"A0007J0","인벤테라",""
"A000810","삼성화재","27.066148"
"A000850","화천기공","0.10748165"
"A000860","강남제비스코","0.22473605"
"A000880","한화","13.81736195"
"A000890","보해양조","1.186322764"
"A0008Z0","에스엔시스",""
"A000910","유니온","0.60696571"
"A000950","전방","0.1496597"
"A000970","한국주철관","1.4918361"
"A000990","DB하이텍","35.5822718"
"A0009K0","에임드바이오",""
"A001000","신라섬유","1.08609948"
"A001020","페이퍼코리아","0.40032744"
"A001040","CJ","6.7815967"
"A001060","JW중외제약","1.2328018"
"A001070","대한방직","0.2071091"
"A001080","만호제강","0.08577905"
"A0010F0","보원케미칼",""
"A0010V0","제이피아이헬스케어",""
"A001120","LX인터내셔널","71.7688749"
"A001130","대한제분","0.5127665"
"A0011A0","액스비스",""
"A0011T0","채비",""
"A001200","유진투자증권","0.771167745"
"A001210","금호전기","0.25955162"
"A001230","동국홀딩스","12.3756518"
"A001250","GS글로벌","3.0877907"
"A001260","남광토건","0.69271105"
"A001270","부국증권","0.13355045"
"A001290","상상인증권","0.63729413"
"A001340","PKC","10.61395063"
"A001360","삼성제약","3.19038081"
"A001380","SG글로벌","0.547126155"
"A001390","KG케미칼","2.76707025"
"A0013V0","삼진식품",""
"A001420","태원물산","0.10361748"
"A001430","세아베스틸지주","2.956606"
"A001440","대한전선","21.65772392"
"A001450","현대해상","20.5093046"
"A001460","BYC","0.1479175"
"A001470","삼부토건","11.768218205"
"A001500","현대차증권","1.21913345"
"A001510","SK증권","2.233326459"
"A001520","동양","1.387003"
"A001530","DI동일","13.7002045"
"A001540","안국약품","0.23151455"
"A001550","조비","7.2769365"
"A001560","제일연마","0.06350161"
"A001570","금양","2.74220896"
"A0015G0","그린광학",""
"A0015N0","아로마티카",""
"A0015S0","페스카로",""
"A001620","케이비아이동국실업","1.11217732"
"A001630","종근당홀딩스","1.6766545"
"A001680","대상","2.25893775"
"A001720","신영증권","0.1458709"
"A001740","SK네트웍스","4.96363367"
"A001750","한양증권","0.99054275"
"A001770","SHD","0.2285301"
"A001780","알루코","11.282395635"
"A001790","대한제당","1.56268365"
"A0017J0","세미티에스",""
"A001800","오리온홀딩스","2.3030118"
"A001810","무림SP","0.32485585"
"A001820","삼화콘덴서","4.3564078"
"A001840","이화공영","1.76388054"
"A001940","KISCO홀딩스","0.77332205"
"A002020","코오롱","11.77853655"
"A002030","아세아","0.476397"
"A002070","비비안","0.85649406"
"A002100","경농","2.02134425"
"A002140","고려산업","0.439616555"
"A002150","도화엔지니어링","0.33764018"
"A002170","SYTS","0.2675234"
"A002200","한국수출포장","0.54908795"
"A002210","동성제약","2.1505738"
"A002220","한일철강","0.481642665"
"A002230","피에스텍","0.13928217"
"A002240","고려제강","2.12549085"
"A002290","삼일기업공사","6.27255191"
"A002310","아세아제지","3.75260495"
"A002320","한진","1.437186"
"A002350","넥센타이어","1.13130208"
"A002360","SH에너지화학","108.300510975"
"A002380","KCC","20.4617085"
"A002390","한독","0.74776545"
"A002410","범양건영","28.48228123"
"A002420","세기상사","0"
"A002450","삼익악기","1.695570855"
"A002460","HS화성","2.7159399"
"A002600","조흥","0.0124015"
"A002620","제일파마홀딩스","0.42934685"
"A002630","오리엔트바이오","1.43694736"
"A002680","한탑","0.20376054"
"A002690","동일제강","0.806337335"
"A002700","신일전자","1.77701232"
"A002710","TCC스틸","4.83846133"
"A002720","국제약품","1.31163632"
"A002760","보락","2.918737365"
"A002780","진흥기업","9.29443105"
"A002790","아모레퍼시픽홀딩스","10.2234054"
"A002800","신신제약","0.44062379"
"A002810","삼영무역","0.14730435"
"A002820","SUN&L","0.08437611"
"A002840","미원상사","0.8746665"
"A002870","신풍","0.180097745"
"A002880","디와이에이","0.991590725"
"A002900","TYM","5.20356925"
"A002920","유성기업","0.32431135"
"A002960","한국쉘석유","0.5672285"
"A002990","금호건설","2.54648405"
"A003000","부광약품","14.61879755"
"A003010","혜인","0.44535986"
"A003030","세아제강지주","6.399794"
"A003060","에이프로젠바이오로직스","1.265295535"
"A003070","코오롱글로벌","33.512984"
"A003080","SB성보","0.21018312"
"A003090","대웅","5.2772797"
"A003100","선광","1.8951986"
"A003120","일성아이에스","0.185083"
"A003160","디아이","1.14248941"
"A003200","일신방직","0.901666"
"A003220","대원제약","17.67224675"
"A003230","삼양식품","1.5984801"
"A003240","태광산업","0.914412"
"A003280","흥아해운","71.517454325"
"A003300","한일홀딩스","0.7316182"
"A003310","대주산업","6.59872282"
"A003350","한국화장품제조","0.1845215"
"A003380","하림지주","3.36388444"
"A003460","유화증권","0.090145045"
"A003470","유안타증권","1.10350018"
"A003480","한진중공업홀딩스","0.973047165"
"A003490","대한항공","106.00638475"
"A003520","영진약품","2.29441652"
"A003530","한화투자증권","7.66841812"
"A003540","대신증권","2.9548655"
"A003550","LG","21.6197692"
"A003570","SNT다이내믹스","0.37562083"
"A003580","HLB글로벌","51.4594916"
"A003610","방림","1.369039625"
"A003620","KG모빌리티","0"
"A003650","미창석유","0.1265669"
"A003670","포스코퓨처엠","103.923468"
"A003680","한성기업","0.19658925"
"A003690","코리안리","3.34822641"
"A003720","삼영","1.57360874"
"A003780","진양산업","2.12525455"
"A003800","에이스침대","0.09313585"
"A003830","대한화섬","0.080886"
"A003850","보령","2.53663835"
"A003920","남양유업","2.894069"
"A003960","사조대림","1.9352541"
"A004000","롯데정밀화학","56.574521"
"A004020","현대제철","45.7097135"
"A004060","SG세계물산","0.673329382"
"A004080","신흥","0.85524435"
