sample,universe,family,current_positive,horizon,metric,series,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,K200,FLOW,0,5,top,ALT_MINUS_MOM,34,-0.00017677088086891414,-0.0008191477607180989,0.5,-0.09825798323125183
TRAIN_2016_2022,K200,FLOW,0,5,top,ALT,34,0.0076347136830306915,0.011178679604220101,0.7058823529411765,2.323215452207916
TRAIN_2016_2022,K200,FLOW,0,5,spread,ALT_MINUS_MOM,34,-0.0004275648734540264,-0.0021592706911811497,0.4411764705882353,-0.13256759392667733
TRAIN_2016_2022,K200,FLOW,0,5,spread,ALT,34,0.0014818825798595735,0.00401558363294495,0.5588235294117647,0.5197064013394248
TRAIN_2016_2022,K200,FLOW,0,20,top,ALT_MINUS_MOM,34,0.005150900410345605,0.006894611365752201,0.6176470588235294,1.3021662710292454
TRAIN_2016_2022,K200,FLOW,0,20,top,ALT,34,0.01593531474905415,0.02066085859604816,0.7352941176470589,1.8639745276846547
TRAIN_2016_2022,K200,FLOW,0,20,spread,ALT_MINUS_MOM,34,0.004788350272759756,0.0012067731601345666,0.5294117647058824,0.7541175648855015
TRAIN_2016_2022,K200,FLOW,0,20,spread,ALT,34,0.004491797692226329,0.0005849561814255666,0.5,0.5013153488004374
TRAIN_2016_2022,K200,FLOW,1,5,top,ALT_MINUS_MOM,34,0.00450249524982427,0.0016249227005676508,0.5588235294117647,1.9626802212043333
TRAIN_2016_2022,K200,FLOW,1,5,top,ALT,34,0.0027127884757956154,0.00331351698202685,0.5882352941176471,1.1026049734613022
TRAIN_2016_2022,K200,FLOW,1,5,spread,ALT_MINUS_MOM,34,0.007027466062856791,0.005745971570938299,0.5588235294117647,2.1374758065157233
TRAIN_2016_2022,K200,FLOW,1,5,spread,ALT,34,-0.0013704233524389471,-0.0008474142771244999,0.47058823529411764,-0.48718799357556114
TRAIN_2016_2022,K200,FLOW,1,20,top,ALT_MINUS_MOM,34,0.010806445846972,0.005899018950343948,0.8235294117647058,3.9622629176205626
TRAIN_2016_2022,K200,FLOW,1,20,top,ALT,34,0.01605815329117683,0.017158176621645205,0.7058823529411765,1.8783589844515567
TRAIN_2016_2022,K200,FLOW,1,20,spread,ALT_MINUS_MOM,34,0.01661125320853253,0.015469506965309854,0.7058823529411765,2.780674402140954
TRAIN_2016_2022,K200,FLOW,1,20,spread,ALT,34,-0.004037913583666475,-0.004898638347160256,0.4411764705882353,-0.749931604292732
