sample,universe,horizon,metric,series,n_pos_rule,n,mean,median,positive_share,nw_tstat
TRAIN_2016_2022,K200,5,top,POS_ALT_MINUS_MOM_BY_N,2,18,0.004348636050337581,-0.0015957803870315734,0.4444444444444444,1.2185601167548352
TRAIN_2016_2022,K200,20,top,POS_ALT_MINUS_MOM_BY_N,2,18,0.005802600330271301,0.0024690924633273825,0.5555555555555556,1.5363413825087946
TRAIN_2016_2022,K200,5,top,POS_ALT_MINUS_MOM_BY_N,3,20,0.006173383628323818,0.005626174218181014,0.75,2.3276290789862206
TRAIN_2016_2022,K200,20,top,POS_ALT_MINUS_MOM_BY_N,3,20,0.013384040473320516,0.010799303523414832,0.75,3.5644323537502514
TRAIN_2016_2022,KOSDAQ,5,top,POS_ALT,>=1,44,0.008550900467184578,0.013965016608361542,0.7272727272727273,1.6275321556311753
TRAIN_2016_2022,KOSDAQ,5,top,MOM,>=1,44,0.004501914455891199,0.01308539260953765,0.6363636363636364,0.6759839365684068
TRAIN_2016_2022,KOSDAQ,5,top,POS_ALT_MINUS_MOM,>=1,44,0.0040489860112933795,0.0008817160641247995,0.5,1.0272365352445223
TRAIN_2016_2022,KOSDAQ,5,spread,POS_ALT,>=1,44,0.00628964388497388,0.006553838256248283,0.6818181818181818,2.6156138527138766
TRAIN_2016_2022,KOSDAQ,5,spread,MOM,>=1,44,-0.0010869994390529363,0.00066493818050875,0.5227272727272727,-0.23458803404730835
TRAIN_2016_2022,KOSDAQ,5,spread,POS_ALT_MINUS_MOM,>=1,44,0.007376643324026816,0.0031608436388157754,0.5454545454545454,1.3585701919139057
TRAIN_2016_2022,KOSDAQ,20,top,POS_ALT,>=1,44,0.01451876625297334,0.016291854595954343,0.6590909090909091,1.400220337016909
TRAIN_2016_2022,KOSDAQ,20,top,MOM,>=1,44,0.013069904078459314,0.02190675805003972,0.5681818181818182,0.6810126928148631
