date,phase,universe,factor,strategy,codes
2016-01-05,1,KOSPI_ALL,PER12MF,BASE,A004800|A011760|A003030|A005850|A138930|A003300|A015760|A183190|A200880|A139130|A000990|A104700|A086790|A000720|A005380|A006650|A175330|A000270|A001430|A011210
2016-01-05,1,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A011760|A200880|A015760|A004800|A003300|A005850|A006650|A104700|A175330|A003030|A029460|A086790|A138930|A139130|A000270|A005380|A012330|A000720
2016-01-05,1,KOSPI_ALL,PRIVATE_FLOW,BASE,A060980|A010140|A006360|A010060|A010120|A093370|A192820|A009450|A128940|A078520|A000990|A006260|A017810|A000150|A009830|A004430|A009240|A183190|A000720|A023590
2016-01-05,1,KOSPI_ALL,PRIVATE_FLOW,CF20,A000990|A006360|A004430|A009830|A093370|A010060|A183190|A010140|A060980|A009450|A006260|A192820|A128940|A078520|A000150|A200880|A072710|A010120|A066570|A103140
2016-01-06,2,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A002020|A017390|A067000|A052790|A009420|A053030|A067390|A044490|A006360|A036930|A182400|A114810|A036030|A035600|A221840|A064760
2016-01-06,2,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A194480|A036930|A009420|A017390|A112040|A052790|A063080|A002020|A064760|A213420|A006360|A044490|A004430|A041910|A067000|A053030|A067390|A182400|A036030|A114810
2016-01-06,2,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A015750|A013120|A200880|A183190|A139130|A078070|A043370|A000990|A175330|A102710|A023410|A030530|A089470|A213500|A102260|A082640|A029460|A060720
2016-01-06,2,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A200880|A183190|A036830|A011760|A015750|A102710|A013120|A089470|A043370|A102260|A078070|A029460|A175330|A139130|A023410|A030530|A069080|A213500|A115160
2016-01-06,2,KOSPI_ALL,PER12MF,BASE,A004800|A011760|A138930|A005850|A003030|A003300|A015760|A200880|A183190|A139130|A000720|A005380|A000990|A104700|A086790|A175330|A000270|A006650|A001430|A011210
2016-01-06,2,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A200880|A011760|A015760|A004800|A005850|A006650|A003300|A175330|A104700|A089470|A003030|A138930|A086790|A000270|A139130|A102260|A029460|A000720
2016-01-06,2,KOSPI_ALL,PRIVATE_FLOW,BASE,A060980|A192820|A001520|A006060|A006360|A010140|A010060|A010120|A093370|A128940|A009450|A078520|A009830|A005740|A057050|A000990|A007210|A004430|A000720|A006260
2016-01-06,2,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A009830|A000990|A004430|A006360|A192820|A128940|A005740|A183190|A093370|A060980|A009450|A010140|A010060|A066570|A078520|A006260|A010120|A007210
2016-01-07,3,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A002020|A017390|A067000|A052790|A196170|A009420|A053030|A067390|A141000|A044490|A006360|A036930|A182400|A173940|A114810|A036030
2016-01-07,3,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A196170|A194480|A009420|A017390|A036930|A052790|A141000|A002020|A112040|A213420|A063080|A006360|A064760|A044490|A067000|A004430|A041910|A173940|A067390|A053030
2016-01-07,3,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BASE,A011760|A036830|A015750|A013120|A200880|A183190|A139130|A078070|A000990|A043370|A102710|A175330|A030530|A023410|A089470|A102260|A213500|A060720|A082640|A029460
2016-01-07,3,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,CF20,A000990|A183190|A200880|A036830|A011760|A015750|A102710|A013120|A043370|A102260|A089470|A175330|A029460|A078070|A139130|A023410|A030530|A069080|A213500|A060720
2016-01-07,3,KOSPI_ALL,PER12MF,BASE,A004800|A011760|A003030|A138930|A005850|A003300|A200880|A015760|A183190|A139130|A086790|A005380|A000990|A104700|A000720|A175330|A000270|A001430|A006650|A011210
2016-01-07,3,KOSPI_ALL,PER12MF,CF20,A000990|A183190|A200880|A011760|A015760|A004800|A005850|A006650|A003300|A175330|A086790|A003030|A104700|A089470|A000210|A138930|A139130|A000270|A029460|A102260
2016-01-07,3,KOSPI_ALL,PRIVATE_FLOW,BASE,A060980|A192820|A006060|A001520|A010140|A010060|A006360|A093370|A128940|A000720|A005740|A009450|A010120|A111770|A000990|A009240|A009830|A066570|A007210|A057050
2016-01-07,3,KOSPI_ALL,PRIVATE_FLOW,CF20,A006060|A001520|A000990|A192820|A009830|A005740|A006360|A128940|A093370|A010140|A010060|A066570|A060980|A004430|A009450|A183190|A111770|A000720|A069960|A009240
2016-01-08,4,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,A194480|A063080|A112040|A213420|A002020|A017390|A067000|A052790|A196170|A009420|A053030|A067390|A141000|A044490|A006360|A036930|A182400|A173940|A114810|A036030
2016-01-08,4,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,CF20,A196170|A009420|A194480|A017390|A036930|A002020|A112040|A052790|A141000|A213420|A063080|A064760|A006360|A044490|A041910|A067000|A004430|A067390|A173940|A053030
