universe,factor,period,return_type,median_delta_cagr,median_delta_sharpe,median_delta_mdd,cagr_win_phases,sharpe_win_phases,mdd_improve_phases,n_phases
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BULL_2025,GROSS,-0.06615071689942609,-0.07870745837783044,0.022801980404168642,1,2,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BULL_2025,NET30,-0.06470901951772967,-0.0910927032493265,0.022380809623564535,1,2,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BULL_2025,NET60,-0.06326541115786133,-0.10332028228283452,0.021962325988398368,1,2,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,EARLY_2016_2019,GROSS,0.007553782332898162,0.04595159382669378,0.0018728999816257086,7,7,5,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,EARLY_2016_2019,NET30,0.0065588068807995725,0.038428826572374675,0.005858395183373777,7,7,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,EARLY_2016_2019,NET60,0.0056282777112292015,0.030854178200226623,0.008181157985916232,7,7,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,FULL_2016_2026,GROSS,0.03181597177081019,0.11142961003288943,0.02647533665846008,10,10,9,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,FULL_2016_2026,NET30,0.029987175592684934,0.10595796118678424,0.021606146086634803,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,FULL_2016_2026,NET60,0.0282518613137418,0.10036101661347896,0.018377066152072574,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,LATE_2020_2022,GROSS,0.0408573261488312,0.12914729775297296,0.006359403150647147,10,10,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,LATE_2020_2022,NET30,0.038600335653484974,0.12279514543784037,0.006008769494473876,10,10,7,10
