universe,factor,strategy,period,return_type,median_cagr,median_sharpe,median_mdd,worst_phase_mdd,median_calmar,median_annual_turnover,min_cagr,max_cagr,positive_phases,n_phases
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,BULL_2025,GROSS,0.9186165066329616,2.8322910618392996,-0.19232686281150113,-0.22466007445870795,4.854799982806628,14.789077708778692,0.6673977062133833,1.037341083648403,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,BULL_2025,NET30,0.8351410568920744,2.6497272036564565,-0.19730085867108682,-0.23256321647278388,4.304719508259713,14.789077708778692,0.5941615010068586,0.9480745320485882,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,BULL_2025,NET60,0.7551474533973142,2.4640309500134765,-0.20225260035141246,-0.2404026321891941,3.7997709725439854,14.789077708778692,0.5240111682784436,0.8625583336341387,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,EARLY_2016_2019,GROSS,0.12174875006524821,0.6774225760183323,-0.22697620713641858,-0.2639127835414894,0.53464191467909,13.264428231789328,0.07754113264918172,0.1546810491468842,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,EARLY_2016_2019,NET30,0.0780684325508394,0.4771131535610845,-0.2413891926633588,-0.28055052994271246,0.3163906663835328,13.264428231789328,0.035537638999724175,0.1098384156155463,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,EARLY_2016_2019,NET60,0.03601806514899619,0.2772316801101638,-0.25887718693193945,-0.3087718785485648,0.13369289294664352,13.264428231789328,-0.0048970081437380575,0.06666456131507603,9,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,FULL_2016_2026,GROSS,0.16322017834611158,0.6922382205551476,-0.4925052421829867,-0.5406518196447918,0.3269927199031652,13.931035992490255,0.11329035149902267,0.19578870210651722,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,FULL_2016_2026,NET30,0.11529780426143255,0.5376645849864219,-0.496659010325906,-0.5456556872016298,0.22853757271400044,13.931035992490255,0.06767520111060055,0.1466308978269928,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,FULL_2016_2026,NET60,0.06926802097509621,0.3827857309802851,-0.5112576741991126,-0.5506141797591829,0.13585409435174128,13.931035992490255,0.023850988767953663,0.09940973818386367,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,LATE_2020_2022,GROSS,0.16418540391774028,0.6644437863265009,-0.45077497634823693,-0.490802599541854,0.35252117596667565,14.112286880314848,0.10514680892335693,0.2113652937849706,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BASE,LATE_2020_2022,NET30,0.11604885353115213,0.5206644478923539,-0.45416204322123305,-0.4925827494660522,0.24892222350988402,14.112286880314848,0.05906868276294297,0.1608786944750129,10,10
