universe,period,cost_bps,strategy,sharpe,ew8_sharpe,delta_sharpe_vs_ew8,cagr,ew8_cagr,delta_cagr_vs_ew8,annualized_weight_turnover
K200,VAL_2020_2022,0,PAIRWISE_BOTTOM2_VETO,1.49745595980851,1.1064801199010208,0.3909758399074892,0.1558225452101183,0.08717491968264679,0.0686476255274715,5.505405405405404
K200,CONF_2023_2024,0,PAIRWISE_BOTTOM2_VETO,0.7220598031684101,1.0513917878010366,-0.3293319846326265,0.06790079484705047,0.08655541649093812,-0.018654621643887648,7.274226804123711
K200,STRESS_2025,0,PAIRWISE_BOTTOM2_VETO,1.8019729697184983,2.1368190077081604,-0.33484603798966206,0.19314842715161595,0.20007697455895346,-0.006928547407337504,6.0
K200,STRESS_2026,0,PAIRWISE_BOTTOM2_VETO,3.9626011042146976,4.013294982580927,-0.050693878366229406,0.678332367027576,0.4165351889842188,0.2617971780433572,4.344827586206895
K200,VAL_2020_2022,10,PAIRWISE_BOTTOM2_VETO,1.4422572348660687,1.1064801199010208,0.3357771149650479,0.14949234209207862,0.08717491968264679,0.06231742240943183,5.505405405405404
K200,CONF_2023_2024,10,PAIRWISE_BOTTOM2_VETO,0.6481854076045509,1.0513917878010366,-0.4032063801964857,0.06017964097336681,0.08655541649093812,-0.02637577551757131,7.274226804123711
K200,STRESS_2025,10,PAIRWISE_BOTTOM2_VETO,1.7438987295166042,2.1368190077081604,-0.39292027819155617,0.18604389078433048,0.20007697455895346,-0.014033083774622979,6.0
K200,STRESS_2026,10,PAIRWISE_BOTTOM2_VETO,3.934272335438435,4.013294982580927,-0.07902264714249219,0.6711588665977399,0.4165351889842188,0.2546236776135211,4.344827586206895
K200,VAL_2020_2022,30,PAIRWISE_BOTTOM2_VETO,1.3317039417481529,1.1064801199010208,0.22522382184713208,0.1369319357809733,0.08717491968264679,0.0497570160983265,5.505405405405404
K200,CONF_2023_2024,30,PAIRWISE_BOTTOM2_VETO,0.49988352170720096,1.0513917878010366,-0.5515082660938356,0.04489927686368134,0.08655541649093812,-0.04165613962725678,7.274226804123711
K200,STRESS_2025,30,PAIRWISE_BOTTOM2_VETO,1.627225993439312,2.1368190077081604,-0.5095930142688483,0.1719572160305427,0.20007697455895346,-0.028119758528410754,6.0
K200,STRESS_2026,30,PAIRWISE_BOTTOM2_VETO,3.876944604835133,4.013294982580927,-0.13635037774579395,0.6568983161459927,0.4165351889842188,0.24036312716177388,4.344827586206895
KOSDAQ,VAL_2020_2022,0,PAIRWISE_BOTTOM2_VETO,1.0117537844423001,0.8022797326080149,0.20947405183428525,0.08498807435996736,0.04990314805870111,0.03508492630126625,5.505405405405404
KOSDAQ,CONF_2023_2024,0,PAIRWISE_BOTTOM2_VETO,0.22569110356902955,0.6486404623602244,-0.4229493587911949,0.01581507194209264,0.04445731768261507,-0.028642245740522432,7.274226804123711
KOSDAQ,STRESS_2025,0,PAIRWISE_BOTTOM2_VETO,1.9084230810356007,1.0937701640890605,0.8146529169465402,0.20053809277749846,0.09349817540314809,0.10703991737435037,6.0
KOSDAQ,STRESS_2026,0,PAIRWISE_BOTTOM2_VETO,2.82194215292995,2.4317244522802226,0.3902177006497274,0.46758966624592047,0.30182673543844474,0.16576293080747573,4.344827586206895
KOSDAQ,VAL_2020_2022,10,PAIRWISE_BOTTOM2_VETO,0.9460262607000591,0.8022797326080149,0.14374652809204425,0.0790375885934611,0.04990314805870111,0.029134440534759998,5.505405405405404
KOSDAQ,CONF_2023_2024,10,PAIRWISE_BOTTOM2_VETO,0.14077417421272082,0.6486404623602244,-0.5078662881475036,0.008451654762629657,0.04445731768261507,-0.036005662919985415,7.274226804123711
KOSDAQ,STRESS_2025,10,PAIRWISE_BOTTOM2_VETO,1.847976029472937,1.0937701640890605,0.7542058653838766,0.19338438609943265,0.09349817540314809,0.09988621069628456,6.0
KOSDAQ,STRESS_2026,10,PAIRWISE_BOTTOM2_VETO,2.7922902159858003,2.4317244522802226,0.3605657637055777,0.4612887251938633,0.30182673543844474,0.1594619897554186,4.344827586206895
KOSDAQ,VAL_2020_2022,30,PAIRWISE_BOTTOM2_VETO,0.8145219255884691,0.8022797326080149,0.012242192980454258,0.06723073876478658,0.04990314805870111,0.01732759070608547,5.505405405405404
KOSDAQ,CONF_2023_2024,30,PAIRWISE_BOTTOM2_VETO,-0.028916407670941016,0.6486404623602244,-0.6775568700311655,-0.006120354341083045,0.04445731768261507,-0.05057767202369812,7.274226804123711
KOSDAQ,STRESS_2025,30,PAIRWISE_BOTTOM2_VETO,1.7266992163850086,1.0937701640890605,0.6329290522959481,0.17920029804707482,0.09349817540314809,0.08570212264392674,6.0
KOSDAQ,STRESS_2026,30,PAIRWISE_BOTTOM2_VETO,2.7325769297329514,2.4317244522802226,0.3008524774527288,0.44876313874909046,0.30182673543844474,0.14693640331064572,4.344827586206895
KOSPI_EX_K200,VAL_2020_2022,0,PAIRWISE_BOTTOM2_VETO,1.7926981760418104,0.9749095066282215,0.8177886694135889,0.19059909750295367,0.07866421760339892,0.11193487989955475,5.505405405405404
KOSPI_EX_K200,CONF_2023_2024,0,PAIRWISE_BOTTOM2_VETO,0.17126758738357098,0.5274482818815506,-0.3561806944979796,0.012764336280059796,0.04331608346119609,-0.03055174718113629,7.274226804123711
KOSPI_EX_K200,STRESS_2025,0,PAIRWISE_BOTTOM2_VETO,1.465661584207674,1.1265396094575826,0.3391219747500913,0.12152116430079563,0.09037202003401523,0.031149144266780393,6.0
KOSPI_EX_K200,STRESS_2026,0,PAIRWISE_BOTTOM2_VETO,1.7310589046883573,1.1970399791014559,0.5340189255869014,0.23692803251693761,0.10143878668023198,0.13548924583670563,4.344827586206895
KOSPI_EX_K200,VAL_2020_2022,10,PAIRWISE_BOTTOM2_VETO,1.737378339629235,0.9749095066282215,0.7624688330010135,0.18408167520679264,0.07866421760339892,0.10541745760339372,5.505405405405404
KOSPI_EX_K200,CONF_2023_2024,10,PAIRWISE_BOTTOM2_VETO,0.10388885756842399,0.5274482818815506,-0.4235594243131266,0.005438252561610346,0.04331608346119609,-0.03787783089958574,7.274226804123711
KOSPI_EX_K200,STRESS_2025,10,PAIRWISE_BOTTOM2_VETO,1.3948408565472132,1.1265396094575826,0.26830124708963066,0.114845192336549,0.09037202003401523,0.024473172302533763,6.0
KOSPI_EX_K200,STRESS_2026,10,PAIRWISE_BOTTOM2_VETO,1.697033351897626,1.1970399791014559,0.49999337279617007,0.2315873524276708,0.10143878668023198,0.13014856574743883,4.344827586206895
KOSPI_EX_K200,VAL_2020_2022,30,PAIRWISE_BOTTOM2_VETO,1.6265601288264377,0.9749095066282215,0.6516506221982162,0.1711497335190042,0.07866421760339892,0.09248551591560528,5.505405405405404
