date,sample,return_type,horizon,factor_breadth_20d,breadth_bin,breadth_group,breadth_transition,breadth_delta,base_state,factor_substate,REVISION_state,high_base_cell,high_revision_cell,high_factor_substate_cell,fwd_mean_across_phases,fwd_median_across_phases
2016-02-25,TRAIN_2016_2022,NET30,5,0.5,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.013733139460127265,0.017208463090932047
2016-02-25,TRAIN_2016_2022,NET30,10,0.5,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.0008184380539739244,0.004894893990959437
2016-02-25,TRAIN_2016_2022,NET30,20,0.5,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.008860029248309986,-0.002109862406479368
2016-02-25,TRAIN_2016_2022,NET60,5,0.5,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.012837976694285724,0.015523664439308194
2016-02-25,TRAIN_2016_2022,NET60,10,0.5,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.002582753261297255,0.0031809733377090033
2016-02-25,TRAIN_2016_2022,NET60,20,0.5,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.01209041745674585,-0.005196023068867406
2016-03-04,TRAIN_2016_2022,GROSS,5,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.013531090897133368,-0.01476289136784048
2016-03-04,TRAIN_2016_2022,GROSS,10,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.008719391018820511,-0.0098922630443114
2016-03-04,TRAIN_2016_2022,GROSS,20,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.001997817256463641,-0.0010386775706741624
2016-03-04,TRAIN_2016_2022,NET30,5,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.014401061220896594,-0.014762891367840536
2016-03-04,TRAIN_2016_2022,NET30,10,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.010339909026150363,-0.011414373432696745
2016-03-04,TRAIN_2016_2022,NET30,20,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.005089352371442224,-0.0043956486910561865
2016-03-04,TRAIN_2016_2022,NET60,5,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.015271031544659808,-0.014762891367840536
2016-03-04,TRAIN_2016_2022,NET60,10,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.011960427033480247,-0.012936483821082034
2016-03-04,TRAIN_2016_2022,NET60,20,0.25,LOW,NON_HIGH,NON_HIGH,-0.25,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.008176101974460826,-0.007747060351897039
2016-03-11,TRAIN_2016_2022,GROSS,5,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.004884699440359142,0.0042154742739395346
2016-03-11,TRAIN_2016_2022,GROSS,10,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,-0.0065839973296326956,-0.0064862351033991295
2016-03-11,TRAIN_2016_2022,GROSS,20,0.25,LOW,NON_HIGH,NON_HIGH,0.0,,,,NON_HIGH,NON_HIGH,NON_HIGH,0.03683816287833015,0.038628562847929704
