sample,return_type,horizon,n_high,n_non_high,high_mean,non_high_mean,high_minus_non_high,high_positive_share,non_high_positive_share,n_high_entry,high_entry_mean,high_entry_positive_share,n_high_persist,high_persist_mean,high_persist_positive_share
BULL_2025,GROSS,5,22,27,0.018557611774844905,0.006541130552543268,0.012016481222301638,0.6363636363636364,0.5555555555555556,5,0.010740214705040375,0.4,17,0.020856846207140355,0.7058823529411765
BULL_2025,GROSS,10,22,27,0.03754160712308346,0.011661906561322963,0.025879700561760494,0.8181818181818182,0.4444444444444444,5,0.049488837789893506,0.8,17,0.034027715750492266,0.8235294117647058
BULL_2025,GROSS,20,22,27,0.055680188778466595,0.044643783416855334,0.011036405361611261,0.8181818181818182,0.7037037037037037,5,0.060501392583223124,0.6,17,0.054262187659420556,0.8823529411764706
BULL_2025,NET30,5,22,27,0.017638559275866026,0.005623858780979362,0.012014700494886664,0.6363636363636364,0.5555555555555556,5,0.009906511747804237,0.4,17,0.01991269090176655,0.7058823529411765
BULL_2025,NET30,10,22,27,0.03566264247538517,0.009830178763097285,0.025832463712287885,0.8181818181818182,0.4444444444444444,5,0.047816069301741704,0.8,17,0.0320881051735156,0.8235294117647058
BULL_2025,NET30,20,22,27,0.051766098261748,0.04099581169127282,0.010770286570475185,0.8181818181818182,0.6666666666666666,5,0.05680652615116326,0.6,17,0.05028361947074352,0.8823529411764706
BULL_2025,NET60,5,22,27,0.016719506776887022,0.004706587009415313,0.012012919767471708,0.6363636363636364,0.5185185185185185,5,0.009072808790568007,0.4,17,0.018968535596392617,0.7058823529411765
BULL_2025,NET60,10,22,27,0.03378367782768663,0.007998450964871326,0.025785226862815307,0.8181818181818182,0.4444444444444444,5,0.04614330081358968,0.8,17,0.030148494596538684,0.8235294117647058
BULL_2025,NET60,20,22,27,0.047859211751224644,0.037354017196604423,0.01050519455462022,0.8181818181818182,0.6296296296296297,5,0.05311799179580107,0.6,17,0.04631251173811393,0.8823529411764706
OOS_2023_2024,GROSS,5,39,58,-6.000192638231813e-05,0.004540980252030501,-0.004600982178412818,0.5641025641025641,0.6379310344827587,10,0.009912606092225645,0.7,29,-0.0034988322776264443,0.5172413793103449
OOS_2023_2024,GROSS,10,39,58,0.0013341254039453047,0.007977933116955218,-0.006643807713009913,0.5128205128205128,0.6379310344827587,10,0.007277831833237212,0.6,29,-0.0007154285371898362,0.4827586206896552
OOS_2023_2024,GROSS,20,39,58,0.00929656202560153,0.01039297559376434,-0.0010964135681628094,0.5128205128205128,0.6551724137931034,10,0.008030987474405648,0.7,29,0.009732967043255287,0.4482758620689655
OOS_2023_2024,NET30,5,39,58,-0.0008874625542357844,0.003644403998700327,-0.004531866552936112,0.5641025641025641,0.6206896551724138,10,0.009099696911149013,0.7,29,-0.004331310645747784,0.5172413793103449
OOS_2023_2024,NET30,10,39,58,-0.00029981326114995193,0.006157502212241907,-0.006457315473391859,0.48717948717948717,0.6206896551724138,10,0.005652905712341362,0.5,29,-0.0023524749761469578,0.4827586206896552
OOS_2023_2024,NET30,20,39,58,0.005994245499132326,0.00672410386019916,-0.0007298583610668334,0.48717948717948717,0.603448275862069,10,0.0047274222774945415,0.7,29,0.006431081092800531,0.41379310344827586
OOS_2023_2024,NET60,5,39,58,-0.0017149231820893691,0.0027478277453699975,-0.004462750927459367,0.5384615384615384,0.603448275862069,10,0.00828678773007227,0.7,29,-0.0051637890138692445,0.4827586206896552
OOS_2023_2024,NET60,10,39,58,-0.0019337519262454838,0.004337071307528329,-0.006270823233773813,0.46153846153846156,0.603448275862069,10,0.004027979591445251,0.5,29,-0.003989521415104359,0.4482758620689655
OOS_2023_2024,NET60,20,39,58,0.0026972293335318347,0.0030617849438989227,-0.00036455561036708795,0.41025641025641024,0.603448275862069,10,0.0014290374266810318,0.5,29,0.0031345368876183164,0.3793103448275862
TRAIN_2016_2022,GROSS,5,167,174,0.002950656343156287,0.0038723506920928428,-0.0009216943489365557,0.562874251497006,0.6149425287356322,48,-0.0012885275921242726,0.5833333333333334,119,0.004660579275034159,0.5546218487394958
TRAIN_2016_2022,GROSS,10,167,174,0.0058338944223939,0.008520175841347555,-0.002686281418953655,0.6227544910179641,0.6379310344827587,48,0.0024020521119335427,0.5416666666666666,119,0.0072181669509829545,0.6554621848739496
TRAIN_2016_2022,GROSS,20,167,174,0.007156911018586714,0.02257874378339716,-0.015421832764810448,0.5748502994011976,0.6609195402298851,48,0.013445343765302882,0.625,119,0.004620400330835657,0.5546218487394958
TRAIN_2016_2022,NET30,5,167,174,0.002132161664433211,0.003048727893332954,-0.0009165662288997426,0.5568862275449101,0.603448275862069,48,-0.002112335083288353,0.5833333333333334,119,0.003844227579480564,0.5462184873949579
TRAIN_2016_2022,NET30,10,167,174,0.004194851457550553,0.0068612256014947606,-0.0026663741439442072,0.6047904191616766,0.6091954022988506,48,0.0007476402969836191,0.5208333333333334,119,0.005585323186182595,0.6386554621848739
TRAIN_2016_2022,NET30,20,167,174,0.0038762969663524455,0.01922991812917246,-0.015353621162820014,0.562874251497006,0.6436781609195402,48,0.010136614659990668,0.6041666666666666,119,0.0013511268042126576,0.5462184873949579
TRAIN_2016_2022,NET60,5,167,174,0.001313666985709996,0.0022251050945729343,-0.0009114381088629383,0.5508982035928144,0.5804597701149425,48,-0.002936142574452573,0.5833333333333334,119,0.003027875883926832,0.5378151260504201
TRAIN_2016_2022,NET60,10,167,174,0.002555808492706943,0.0052022753616416915,-0.0026464668689347485,0.5808383233532934,0.5977011494252874,48,-0.0009067715179665644,0.5208333333333334,119,0.003952479421381973,0.6050420168067226
TRAIN_2016_2022,NET60,20,167,174,0.0006009260071050095,0.01588641373781131,-0.015285487730706301,0.5508982035928144,0.6149425287356322,48,0.006833123294839781,0.6041666666666666,119,-0.0019129014703006127,0.5294117647058824
YTD_2026,GROSS,5,19,9,-0.016105202343924967,0.036436810420732976,-0.05254201276465795,0.3684210526315789,0.6666666666666666,4,0.007789208030632846,0.75,15,-0.022477045110473718,0.26666666666666666
YTD_2026,GROSS,10,18,9,-0.036594677651330815,0.06900342390524589,-0.1055981015565767,0.2222222222222222,0.7777777777777778,4,0.02038349214027511,0.5,14,-0.052874154734646794,0.14285714285714285
YTD_2026,GROSS,20,16,9,-0.06555059517113418,0.11536883582582164,-0.18091943099695582,0.25,0.8888888888888888,4,-0.03380752927634792,0.5,12,-0.07613161713606291,0.16666666666666666
YTD_2026,NET30,5,19,9,-0.017006344891211028,0.035469865463302386,-0.052476210354513414,0.3684210526315789,0.6666666666666666,4,0.006782064316973289,0.75,15,-0.02334992068006018,0.26666666666666666
YTD_2026,NET30,10,18,9,-0.038345816051153545,0.06702120677585668,-0.10536702282701023,0.2222222222222222,0.7777777777777778,4,0.01836755162571977,0.5,14,-0.054549635387403074,0.14285714285714285
YTD_2026,NET30,20,16,9,-0.06892926288460924,0.11103649569756456,-0.17996575858217378,0.25,0.8888888888888888,4,-0.03752643459357964,0.5,12,-0.07939687231495245,0.16666666666666666
