sample,return_type,horizon,high_base_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
BULL_2025,GROSS,5,HIGH|B1_B2,2,0.04217837147827286,0.04217837147827286,1.0,0.04217837147827286
BULL_2025,GROSS,5,HIGH|B3,8,0.02149915316401161,0.015688401793437508,0.625,0.02880236935345992
BULL_2025,GROSS,5,HIGH|B4,12,0.012659790898162443,0.006109675668058945,0.5833333333333334,0.02453068848218831
BULL_2025,GROSS,5,NON_HIGH,27,0.006541130552543268,0.0019491379123402707,0.5555555555555556,0.022310690852776
BULL_2025,GROSS,10,HIGH|B1_B2,2,0.06215931619581827,0.06215931619581827,1.0,0.06215931619581827
BULL_2025,GROSS,10,HIGH|B3,8,0.04933816003656283,0.03118872227098249,0.875,0.05068769782799691
BULL_2025,GROSS,10,HIGH|B4,12,0.025574287001974737,0.022893894322080395,0.75,0.031224248090423526
BULL_2025,GROSS,10,NON_HIGH,27,0.011661906561322963,-0.0025350325563777477,0.4444444444444444,0.03465499854455554
BULL_2025,GROSS,20,HIGH|B1_B2,2,0.11297888791075447,0.11297888791075447,1.0,0.11297888791075447
BULL_2025,GROSS,20,HIGH|B3,8,0.05417349744554271,0.02914872906734748,0.75,0.06141009706537699
BULL_2025,GROSS,20,HIGH|B4,12,0.04713486647836788,0.0473497055090898,0.8333333333333334,0.05410740255522147
BULL_2025,GROSS,20,NON_HIGH,27,0.044643783416855334,0.026574457265353468,0.7037037037037037,0.06808035373666443
BULL_2025,NET30,5,HIGH|B1_B2,2,0.04133464767544558,0.04133464767544558,1.0,0.04133464767544558
BULL_2025,NET30,5,HIGH|B3,8,0.020639396589498746,0.014770306974689335,0.625,0.02861633234216945
BULL_2025,NET30,5,HIGH|B4,12,0.011688653000180953,0.005127443305672613,0.5833333333333334,0.02434651113400149
BULL_2025,NET30,5,NON_HIGH,27,0.005623858780979362,0.00117637608406298,0.5555555555555556,0.022148845490041074
BULL_2025,NET30,10,HIGH|B1_B2,2,0.06045912715671556,0.06045912715671556,1.0,0.06045912715671556
BULL_2025,NET30,10,HIGH|B3,8,0.047534902240074076,0.02908797310279493,0.875,0.049360513818701726
BULL_2025,NET30,10,HIGH|B4,12,0.023615055185370836,0.02101978297672986,0.75,0.03024685295779563
BULL_2025,NET30,10,NON_HIGH,27,0.009830178763097285,-0.004055870223098645,0.4444444444444444,0.03469885003698246
BULL_2025,NET30,20,HIGH|B1_B2,2,0.1091039098073554,0.1091039098073554,1.0,0.1091039098073554
BULL_2025,NET30,20,HIGH|B3,8,0.05043518878961491,0.02576741047316044,0.75,0.059380504486857055
BULL_2025,NET30,20,HIGH|B4,12,0.04309706931890219,0.04365225965471917,0.8333333333333334,0.05135026320781919
BULL_2025,NET30,20,NON_HIGH,27,0.04099581169127282,0.023459621620776593,0.6666666666666666,0.06660582801590852
BULL_2025,NET60,5,HIGH|B1_B2,2,0.04049092387261812,0.04049092387261812,1.0,0.04049092387261812
BULL_2025,NET60,5,HIGH|B3,8,0.01977964001498577,0.013852212155941034,0.625,0.028430295330878905
BULL_2025,NET60,5,HIGH|B4,12,0.010717515102199345,0.004145210943286015,0.5833333333333334,0.02416233378581459
BULL_2025,NET60,5,NON_HIGH,27,0.004706587009415313,0.00040361425578547825,0.5185185185185185,0.02199894529327395
BULL_2025,NET60,10,HIGH|B1_B2,2,0.058758938117612555,0.058758938117612555,1.0,0.058758938117612555
BULL_2025,NET60,10,HIGH|B3,8,0.04573164444358509,0.02698722393460718,0.875,0.04803332980940629
BULL_2025,NET60,10,HIGH|B4,12,0.021655823368766678,0.019145671631379056,0.75,0.029269457825167558
BULL_2025,NET60,10,NON_HIGH,27,0.007998450964871326,-0.005576707889819799,0.4444444444444444,0.03474270152940937
BULL_2025,NET60,20,HIGH|B1_B2,2,0.10523563496938891,0.10523563496938891,1.0,0.10523563496938891
BULL_2025,NET60,20,HIGH|B3,8,0.04670347434664843,0.02239162610161729,0.75,0.05735453756791492
BULL_2025,NET60,20,HIGH|B4,12,0.039066966151248085,0.03996134069677343,0.8333333333333334,0.04859844423833623
BULL_2025,NET60,20,NON_HIGH,27,0.037354017196604423,0.020131226942907487,0.6296296296296297,0.06534056336791973
OOS_2023_2024,GROSS,5,HIGH|B1_B2,10,-0.021007489066699126,-0.012500525401389996,0.3,0.02922247327236227
OOS_2023_2024,GROSS,5,HIGH|B3,24,0.00630448638995621,0.011161080261548523,0.625,0.02380808353003366
OOS_2023_2024,GROSS,5,HIGH|B4,5,0.011285428435826358,0.012270681565455032,0.8,0.015762539421944576
OOS_2023_2024,GROSS,5,NON_HIGH,58,0.004540980252030501,0.005017306355520857,0.6379310344827587,0.021957925087574274
OOS_2023_2024,GROSS,10,HIGH|B1_B2,10,-0.025517547928102957,-0.02380629955515348,0.3,0.04469660774518047
OOS_2023_2024,GROSS,10,HIGH|B3,24,0.01318244759725761,0.011066681530213802,0.625,0.03409038451251222
OOS_2023_2024,GROSS,10,HIGH|B4,5,-0.0018344744598572326,-0.0072124655879512774,0.4,0.0281919647187844
OOS_2023_2024,GROSS,10,NON_HIGH,58,0.007977933116955218,0.009652191139880854,0.6379310344827587,0.02704157512724285
OOS_2023_2024,GROSS,20,HIGH|B1_B2,10,0.004900953922558637,-7.471743129129366e-05,0.5,0.03712277850622076
OOS_2023_2024,GROSS,20,HIGH|B3,24,0.013156729739193566,0.007028990904614251,0.5416666666666666,0.06258849568791998
OOS_2023_2024,GROSS,20,HIGH|B4,5,-0.0004410267935544554,-0.019743436026644225,0.4,0.052951914433468694
OOS_2023_2024,GROSS,20,NON_HIGH,58,0.01039297559376434,0.011973968882134384,0.6551724137931034,0.03784850576351332
OOS_2023_2024,NET30,5,HIGH|B1_B2,10,-0.021780291089911946,-0.013477405614010984,0.3,0.02946377165043802
OOS_2023_2024,NET30,5,HIGH|B3,24,0.005473605560672719,0.010327981900735495,0.625,0.023631713984408293
OOS_2023_2024,NET30,5,HIGH|B4,5,0.010365067565555726,0.011450726290519398,0.8,0.015202641239609932
OOS_2023_2024,NET30,5,NON_HIGH,58,0.003644403998700327,0.003957971526040427,0.6206896551724138,0.0216707446668129
OOS_2023_2024,NET30,10,HIGH|B1_B2,10,-0.026963925270528027,-0.025597198695322794,0.3,0.04524174380378872
OOS_2023_2024,NET30,10,HIGH|B3,24,0.011491207516494675,0.009304014849039116,0.5833333333333334,0.033676358499439986
OOS_2023_2024,NET30,10,HIGH|B4,5,-0.0035684889750880145,-0.008973894574132358,0.4,0.02853654627105647
OOS_2023_2024,NET30,10,NON_HIGH,58,0.006157502212241907,0.007526733068496933,0.6206896551724138,0.02647384180174312
OOS_2023_2024,NET30,20,HIGH|B1_B2,10,0.0018757579452816809,-0.003265093783404105,0.5,0.0368788155355898
OOS_2023_2024,NET30,20,HIGH|B3,24,0.009763939508669888,0.0036092763306393824,0.5416666666666666,0.06202078095296392
OOS_2023_2024,NET30,20,HIGH|B4,5,-0.0038633106389466655,-0.022995089589000196,0.2,0.054614533879863945
OOS_2023_2024,NET30,20,NON_HIGH,58,0.00672410386019916,0.008117038546226352,0.603448275862069,0.03677295747952108
OOS_2023_2024,NET60,5,HIGH|B1_B2,10,-0.02255309311312486,-0.014454285826632047,0.2,0.02985323357893377
OOS_2023_2024,NET60,5,HIGH|B3,24,0.0046427247313891055,0.009494883539922344,0.625,0.02345534443878286
OOS_2023_2024,NET60,5,HIGH|B4,5,0.009444706695284927,0.010630771015583651,0.8,0.014642743057275217
OOS_2023_2024,NET60,5,NON_HIGH,58,0.0027478277453699975,0.0030353138709942164,0.603448275862069,0.02143003484867981
OOS_2023_2024,NET60,10,HIGH|B1_B2,10,-0.028410302612953325,-0.027388097835492325,0.3,0.04578687986239695
OOS_2023_2024,NET60,10,HIGH|B3,24,0.009799967435731452,0.007541348167864259,0.5416666666666666,0.03336781537839969
OOS_2023_2024,NET60,10,HIGH|B4,5,-0.005302503490319102,-0.010735323560313781,0.4,0.028881127823328655
OOS_2023_2024,NET60,10,NON_HIGH,58,0.004337071307528329,0.005401274997112737,0.603448275862069,0.026008229304777534
OOS_2023_2024,NET60,20,HIGH|B1_B2,10,-0.0011449721613911138,-0.0064505359026127305,0.3,0.037112982867674484
OOS_2023_2024,NET60,20,HIGH|B3,24,0.006376691022982034,0.00019539700600419967,0.5,0.061693750428564335
OOS_2023_2024,NET60,20,HIGH|B4,5,-0.0072797837859832236,-0.026241430259666187,0.2,0.05657412831122657
OOS_2023_2024,NET60,20,NON_HIGH,58,0.0030617849438989227,0.004697729689665869,0.603448275862069,0.03576248790772157
TRAIN_2016_2022,GROSS,5,HIGH|B1_B2,32,0.000899837683363945,0.017822712415598317,0.6875,0.03736429367062991
TRAIN_2016_2022,GROSS,5,HIGH|B3,83,0.0025804547031877847,0.002098538988267784,0.5180722891566265,0.021828623638271483
TRAIN_2016_2022,GROSS,5,HIGH|B4,50,0.006286434057902639,0.006265756670033368,0.58,0.02097016641243935
TRAIN_2016_2022,GROSS,5,NON_HIGH,174,0.0038723506920928428,0.007301017642405955,0.6149425287356322,0.024316388979317462
TRAIN_2016_2022,GROSS,5,,2,-0.03226731991013218,-0.03226731991013218,0.0,0.03226731991013218
TRAIN_2016_2022,GROSS,10,HIGH|B1_B2,32,0.004821197349655431,0.019391175861982947,0.6875,0.04437236938819253
TRAIN_2016_2022,GROSS,10,HIGH|B3,83,0.0032041467014614247,0.00776178872288551,0.5783132530120482,0.030762596420609935
TRAIN_2016_2022,GROSS,10,HIGH|B4,50,0.01209946983995258,0.009388537849787215,0.66,0.029774289368247383
TRAIN_2016_2022,GROSS,10,NON_HIGH,174,0.008520175841347555,0.014061748859650303,0.6379310344827587,0.03783203903550267
TRAIN_2016_2022,GROSS,10,,2,-0.025467807434059766,-0.025467807434059766,0.5,0.03896520538054709
TRAIN_2016_2022,GROSS,20,HIGH|B1_B2,32,0.01588884080788004,0.037945796143976585,0.6875,0.05689441665966942
TRAIN_2016_2022,GROSS,20,HIGH|B3,83,-0.002014370633216054,-0.005253036763880603,0.4819277108433735,0.05101514184761419
TRAIN_2016_2022,GROSS,20,HIGH|B4,50,0.017509556906507316,0.013990634731627066,0.66,0.04268460152284525
TRAIN_2016_2022,GROSS,20,NON_HIGH,174,0.02257874378339716,0.025892128863541385,0.6609195402298851,0.057420981514451734
TRAIN_2016_2022,GROSS,20,,2,-0.010761924258306577,-0.010761924258306577,0.5,0.025248091147374606
TRAIN_2016_2022,NET30,5,HIGH|B1_B2,32,2.5192117778782765e-05,0.016964523724866353,0.6875,0.03699274387553633
TRAIN_2016_2022,NET30,5,HIGH|B3,83,0.0017547338698631182,0.0013754542159658655,0.5060240963855421,0.021803259894006426
TRAIN_2016_2022,NET30,5,HIGH|B4,50,0.005515601967210992,0.005433056531580832,0.58,0.0208405149975324
TRAIN_2016_2022,NET30,5,NON_HIGH,174,0.003048727893332954,0.0063832781667688574,0.603448275862069,0.024110471826132844
TRAIN_2016_2022,NET30,5,,2,-0.03307907968388163,-0.03307907968388163,0.0,0.03307907968388163
TRAIN_2016_2022,NET30,10,HIGH|B1_B2,32,0.0030856871105445077,0.017843673785846427,0.6875,0.043674405400389374
TRAIN_2016_2022,NET30,10,HIGH|B3,83,0.0015361485869770195,0.00609737485160945,0.5542168674698795,0.03051884744262512
TRAIN_2016_2022,NET30,10,HIGH|B4,50,0.010570699877583002,0.008129810914922587,0.64,0.029294265993354593
TRAIN_2016_2022,NET30,10,NON_HIGH,174,0.0068612256014947606,0.012338216765126087,0.6091954022988506,0.037340140173747996
TRAIN_2016_2022,NET30,10,,2,-0.027118560362362265,-0.027118560362362265,0.5,0.03886586945555186
TRAIN_2016_2022,NET30,20,HIGH|B1_B2,32,0.012545689638990012,0.034203400047191884,0.6875,0.05551362197048833
TRAIN_2016_2022,NET30,20,HIGH|B3,83,-0.0053284674411523065,-0.008673498911049937,0.46987951807228917,0.05110666629338305
TRAIN_2016_2022,NET30,20,HIGH|B4,50,0.014327788693071981,0.010726284187341239,0.64,0.04171599317310262
TRAIN_2016_2022,NET30,20,NON_HIGH,174,0.01922991812917246,0.02285406949758841,0.6436781609195402,0.05624496435622739
TRAIN_2016_2022,NET30,20,,2,-0.014123556052389947,-0.014123556052389947,0.5,0.025071068695003446
TRAIN_2016_2022,NET60,5,HIGH|B1_B2,32,-0.0008494534478065325,0.015981920124004213,0.65625,0.03666729614078551
TRAIN_2016_2022,NET60,5,HIGH|B3,83,0.0009290130365383148,0.0006523694436639027,0.5060240963855421,0.021781970088193013
